# 100 Random Parameter vector samples from Bayesian Sampling.
# Parametrization of the BK Initial Condition is defined in Equation (10, 11)
# Set-up: 4-parameter case, gamma = 1, with correlated systematic uncertainties consideration
# Q_{s,0}^2              e_c                      C^2                      sigma0/2
5.442448717799684699e-02 5.853206606227085729e+01 5.198474773289203377e+00 1.434348699299733454e+01
6.115959588887871085e-02 4.911516746590277194e+01 3.747774720710250751e+00 1.336212961332792837e+01
6.057178772963661001e-02 3.512617728431007436e+01 5.085986617991115288e+00 1.427332948055014050e+01
6.085489990297968110e-02 5.543998949612789318e+01 3.441597401049918403e+00 1.302270956660739287e+01
6.184990299329210656e-02 4.184462996275505020e+01 4.088055800618934477e+00 1.344509790077886713e+01
6.130208020158074700e-02 5.440726685910082949e+01 3.703060494978312356e+00 1.306566473915033555e+01
5.870951124229892987e-02 3.838536525293567081e+01 5.123761419901578407e+00 1.422940567188685357e+01
5.828187410292337556e-02 5.021938734014013761e+01 4.223852135452239587e+00 1.379124135259050377e+01
7.037471978939030537e-02 1.418104581941348385e+01 6.475202535543175486e+00 1.477481744248018991e+01
5.631591350245730015e-02 5.356132651312849191e+01 4.551370839068611396e+00 1.388590145580615598e+01
5.643868906733795487e-02 5.942588396450225474e+01 4.334372341935837980e+00 1.383540287617789311e+01
5.757955061556753462e-02 3.241622070610883100e+01 6.826302521139682611e+00 1.513964896797476101e+01
5.888091630244343677e-02 5.905089141345182213e+01 3.684344458555936619e+00 1.329715154796787147e+01
5.920744405259979054e-02 3.722784325254894355e+01 5.633383349982299393e+00 1.423658719335105083e+01
6.379027071742317256e-02 2.985856853494009755e+01 4.619128824639214592e+00 1.392104518149097458e+01
5.800833354005158898e-02 3.078214578531949286e+01 6.912740355129669112e+00 1.516717946356616409e+01
7.425017174415801668e-02 1.089572517267982477e+01 6.296069167553429935e+00 1.490439212612082009e+01
5.775529784452142906e-02 4.983128287303360082e+01 4.419360257431378614e+00 1.396536770390259186e+01
5.606493772439745393e-02 4.847432150022027741e+01 4.967630582368005143e+00 1.424135091285749688e+01
5.841205092321684333e-02 5.350375659315920984e+01 4.488756344546610322e+00 1.370999339467912037e+01
5.677135823819864230e-02 5.891878575174520449e+01 4.642782132320425248e+00 1.367522835765888267e+01
5.579113699200928533e-02 4.151510178618304536e+01 6.252769741688057437e+00 1.464777791606102753e+01
6.003660731947942086e-02 2.835534833814644173e+01 6.007813220981240043e+00 1.469029682028241801e+01
6.428629592137494186e-02 2.684023789848385633e+01 5.540072296200672319e+00 1.419119402971906752e+01
6.074298915010768740e-02 4.460095629950495777e+01 4.003232431875749953e+00 1.358645068923081922e+01
6.151587170968424167e-02 3.748760287378666334e+01 4.602418436275862668e+00 1.372282743442655750e+01
5.723240661389882022e-02 5.964644968335574049e+01 4.209220231765646858e+00 1.355067458898923505e+01
5.964277932301369906e-02 2.777156927275443721e+01 6.507842138338137516e+00 1.494512335670182601e+01
6.313143478029273337e-02 2.422670687284032809e+01 6.261027054815820669e+00 1.458638618791090025e+01
6.881697030929857795e-02 2.545406766155799971e+01 3.713096581764173010e+00 1.329839443784465836e+01
6.370097152572370969e-02 1.871547546208486068e+01 6.657235505980221291e+00 1.535822216008735097e+01
5.216801172319859847e-02 5.716109361478577711e+01 6.258513629771022657e+00 1.492552488775672792e+01
6.687242527802578218e-02 2.166380507144905110e+01 4.892199563725738720e+00 1.400481382141407138e+01
5.779812238567576255e-02 5.788150810040585270e+01 4.483984318897626942e+00 1.343767001066265898e+01
5.436756474438309700e-02 4.128970467810222544e+01 6.903256203154689352e+00 1.512385117816601721e+01
6.824287509492515946e-02 1.477200026002845945e+01 7.782742835338627430e+00 1.505742009837280193e+01
6.588598977814831559e-02 2.396538089677460093e+01 4.835932276114245809e+00 1.383827649915336622e+01
