# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0006/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1082.02
0  0.3  857.199
0  0.5  681.257
0  0.7  535.08
0  0.9  416.035
0  1.1  320.609
0  1.3  245.301
0  1.5  186.424
0  1.7  140.908
0  1.9  106.133
0  2.1  79.8511
0  2.3  60.1865
0  2.5  45.518
0  2.7  34.6335
0  2.9  26.5277
0  3.1  20.4737
0  3.3  15.9256
0  3.5  12.4964
0  3.7  9.89674
0  3.9  7.89261
0  4.1  6.34552
0  4.3  5.24502
0  4.5  4.38043
0  4.7  3.69205
0  4.9  3.13057
0  5.1  2.66924
0  5.3  2.28961
0  5.5  1.97747
0  5.7  1.71451
0  5.9  1.49494
0  6.1  1.30882
0  6.3  1.15049
0  6.5  1.01525
0  6.7  0.89888
0  6.9  0.799245
0  7.1  0.713259
0  7.3  0.638064
0  7.5  0.57268
0  7.7  0.515189
0  7.9  0.46507
0  8.1  0.420497
0  8.3  0.381298
0  8.5  0.346973
0  8.7  0.315674
0  8.9  0.288084
0  9.1  0.263812
0  9.3  0.24165
0  9.5  0.221841
0  9.7  0.203925
0  9.9  0.187965
0  10.1  0.173385
0  10.3  0.16009
0  10.5  0.148235
0  10.7  0.13737
0  10.9  0.127448
0  11.1  0.118486
0  11.3  0.110185
0  11.5  0.102693
0  11.7  0.0958176
0  11.9  0.0894668
2  0.1  1080.56
2  0.3  856.129
2  0.5  680.395
2  0.7  534.392
2  0.9  415.51
2  1.1  320.164
2  1.3  244.936
2  1.5  186.129
2  1.7  140.695
2  1.9  105.951
2  2.1  79.7079
2  2.3  60.0669
2  2.5  45.4158
2  2.7  34.565
2  2.9  26.4729
2  3.1  20.4252
2  3.3  15.8925
2  3.5  12.4726
2  3.7  9.87696
2  3.9  7.87808
2  4.1  6.33415
2  4.3  5.23259
2  4.5  4.37469
2  4.7  3.68309
2  4.9  3.12432
2  5.1  2.66303
2  5.3  2.28677
2  5.5  1.9731
2  5.7  1.71151
2  5.9  1.49137
2  6.1  1.30581
2  6.3  1.14738
2  6.5  1.01312
2  6.7  0.89796
2  6.9  0.797799
2  7.1  0.711417
2  7.3  0.636887
2  7.5  0.571018
2  7.7  0.514286
2  7.9  0.464018
2  8.1  0.419726
2  8.3  0.380659
2  8.5  0.345972
2  8.7  0.315233
2  8.9  0.287747
2  9.1  0.263146
2  9.3  0.241203
2  9.5  0.221414
2  9.7  0.203622
2  9.9  0.187603
2  10.1  0.172988
2  10.3  0.159866
2  10.5  0.14794
2  10.7  0.137094
2  10.9  0.127279
2  11.1  0.118121
2  11.3  0.109926
2  11.5  0.102554
2  11.7  0.0956839
2  11.9  0.0892121
4  0.1  1076.34
4  0.3  852.577
4  0.5  677.786
4  0.7  532.586
4  0.9  413.815
4  1.1  318.805
4  1.3  243.817
4  1.5  185.249
4  1.7  139.971
4  1.9  105.377
4  2.1  79.2288
4  2.3  59.6981
4  2.5  45.1642
4  2.7  34.358
4  2.9  26.3184
4  3.1  20.3123
4  3.3  15.7944
4  3.5  12.3946
4  3.7  9.81798
