# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0023/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 3.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  112.873
0  0.3  82.2554
0  0.5  56.1736
0  0.7  36.2443
0  0.9  22.7216
0  1.1  14.085
0  1.3  8.70714
0  1.5  5.39933
0  1.7  3.37036
0  1.9  2.12147
0  2.1  1.34798
0  2.3  0.865104
0  2.5  0.56136
0  2.7  0.368048
0  2.9  0.243763
0  3.1  0.163043
0  3.3  0.110117
0  3.5  0.0750515
0  3.7  0.0516223
0  3.9  0.0358043
0  4.1  0.0250316
0  4.3  0.0176346
0  4.5  0.0125087
0  4.7  0.00894069
0  4.9  0.00643084
0  5.1  0.00465591
0  5.3  0.00339029
0  5.5  0.00248252
0  5.7  0.00182638
0  5.9  0.00135113
0  6.1  0.001004
0  6.3  0.00074948
0  6.5  0.000562463
0  6.7  0.000423293
0  6.9  0.000320209
0  7.1  0.000242877
0  7.3  0.000184954
0  7.5  0.000141438
0  7.7  0.000108485
0  7.9  8.34111e-05
0  8.1  6.43927e-05
0  8.3  4.98514e-05
0  8.5  3.87097e-05
0  8.7  3.01322e-05
0  8.9  2.35131e-05
0  9.1  1.8397e-05
0  9.3  1.44261e-05
0  9.5  1.13538e-05
0  9.7  8.94234e-06
0  9.9  7.06199e-06
0  10.1  5.58779e-06
0  10.3  4.43157e-06
0  10.5  3.52214e-06
0  10.7  2.80325e-06
0  10.9  2.23617e-06
0  11.1  1.78751e-06
0  11.3  1.43164e-06
0  11.5  1.14806e-06
0  11.7  9.22044e-07
0  11.9  7.42018e-07
2  0.1  112.794
2  0.3  82.1973
2  0.5  56.1335
2  0.7  36.2177
2  0.9  22.7043
2  1.1  14.0738
2  1.3  8.69984
2  1.5  5.39456
2  1.7  3.36724
2  1.9  2.11942
2  2.1  1.34662
2  2.3  0.8642
2  2.5  0.560754
2  2.7  0.367641
2  2.9  0.243485
2  3.1  0.162853
2  3.3  0.109986
2  3.5  0.0749605
2  3.7  0.0515586
2  3.9  0.0357595
2  4.1  0.0249999
2  4.3  0.017612
2  4.5  0.0124925
2  4.7  0.008929
2  4.9  0.00642236
2  5.1  0.00464971
2  5.3  0.00338576
2  5.5  0.00247917
2  5.7  0.00182389
2  5.9  0.00134927
2  6.1  0.00100262
2  6.3  0.000748438
2  6.5  0.000561677
2  6.7  0.000422699
2  6.9  0.000319756
2  7.1  0.000242531
2  7.3  0.000184691
2  7.5  0.000141236
2  7.7  0.00010833
2  7.9  8.32914e-05
2  8.1  6.42999e-05
2  8.3  4.97792e-05
2  8.5  3.86534e-05
2  8.7  3.00885e-05
2  8.9  2.34788e-05
2  9.1  1.83701e-05
2  9.3  1.44051e-05
2  9.5  1.13371e-05
2  9.7  8.92918e-06
2  9.9  7.0515e-06
2  10.1  5.57942e-06
2  10.3  4.42505e-06
2  10.5  3.51684e-06
2  10.7  2.79907e-06
2  10.9  2.23279e-06
2  11.1  1.7848e-06
2  11.3  1.42896e-06
2  11.5  1.14633e-06
2  11.7  9.20632e-07
2  11.9  7.40877e-07
4  0.1  112.555
4  0.3  82.0218
4  0.5  56.0121
4  0.7  36.1375
4  0.9  22.652
4  1.1  14.0398
4  1.3  8.67785
4  1.5  5.38017
4  1.7  3.3578
4  1.9  2.11322
4  2.1  1.34252
4  2.3  0.861466
4  2.5  0.558925
4  2.7  0.366408
4  2.9  0.242647
4  3.1  0.162279
4  3.3  0.10959
4  3.5  0.0746857
4  3.7  0.0513666
4  3.9  0.0356246
4  4.1  0.0249043
4  4.3  0.0175438
4  4.5  0.0124436
4  4.7  0.00889374
4  4.9  0.00639681
4  5.1  0.00463099
4  5.3  0.00337207
4  5.5  0.00246903
4  5.7  0.00181639
4  5.9  0.00134368
4  6.1  0.000998431
4  6.3  0.00074529
4  6.5  0.000559303
4  6.7  0.000420906
4  6.9  0.000318391
4  7.1  0.000241494
4  7.3  0.000183899
4  7.5  0.000140627
4  7.7  0.00010786
4  7.9  8.29287e-05
4  8.1  6.40189e-05
4  8.3  4.9561e-05
4  8.5  3.84842e-05
4  8.7  2.99562e-05
4  8.9  2.33753e-05
4  9.1  1.82888e-05
4  9.3  1.43409e-05
4  9.5  1.12864e-05
4  9.7  8.88907e-06
4  9.9  7.01976e-06
4  10.1  5.5544e-06
4  10.3  4.40519e-06
4  10.5  3.50093e-06
4  10.7  2.78645e-06
4  10.9  2.22261e-06
4  11.1  1.77669e-06
4  11.3  1.42234e-06
4  11.5  1.14108e-06
4  11.7  9.16417e-07
4  11.9  7.37483e-07
6  0.1  112.151
6  0.3  81.7258
6  0.5  55.807
6  0.7  36.0017
6  0.9  22.5634
6  1.1  13.9823
6  1.3  8.64065
6  1.5  5.35584
6  1.7  3.34185
6  1.9  2.10274
6  2.1  1.33559
6  2.3  0.856857
6  2.5  0.555839
6  2.7  0.364327
6  2.9  0.241231
6  3.1  0.161311
6  3.3  0.108924
6  3.5  0.0742209
6  3.7  0.0510431
6  3.9  0.035397
6  4.1  0.0247431
6  4.3  0.0174289
6  4.5  0.0123612
6  4.7  0.00883419
6  4.9  0.00635375
6  5.1  0.00459943
6  5.3  0.00334889
6  5.5  0.00245195
6  5.7  0.00180371
6  5.9  0.00133424
6  6.1  0.000991365
6  6.3  0.000739995
6  6.5  0.000555308
6  6.7  0.000417882
6  6.9  0.000316097
6  7.1  0.000239745
6  7.3  0.00018256
6  7.5  0.000139599
6  7.7  0.000107071
6  7.9  8.23191e-05
6  8.1  6.35454e-05
6  8.3  4.91938e-05
6  8.5  3.81978e-05
6  8.7  2.97325e-05
6  8.9  2.32001e-05
6  9.1  1.81513e-05
6  9.3  1.42329e-05
6  9.5  1.12011e-05
6  9.7  8.82184e-06
6  9.9  6.96643e-06
6  10.1  5.51198e-06
6  10.3  4.37133e-06
6  10.5  3.47417e-06
6  10.7  2.765e-06
6  10.9  2.20561e-06
6  11.1  1.76303e-06
6  11.3  1.41202e-06
6  11.5  1.13224e-06
6  11.7  9.09328e-07
6  11.9  7.31776e-07
8  0.1  111.572
8  0.3  81.3038
8  0.5  55.5134
8  0.7  35.8072
8  0.9  22.4367
8  1.1  13.9
8  1.3  8.58697
8  1.5  5.32102
8  1.7  3.31902
8  1.9  2.08776
8  2.1  1.32569
8  2.3  0.850251
8  2.5  0.55143
8  2.7  0.361352
8  2.9  0.239211
8  3.1  0.15993
8  3.3  0.107972
8  3.5  0.0735642
8  3.7  0.0505822
8  3.9  0.0350728
8  4.1  0.0245133
8  4.3  0.0172648
8  4.5  0.0122436
8  4.7  0.0087493
8  4.9  0.00629562
8  5.1  0.00455439
8  5.3  0.00331586
8  5.5  0.0024276
8  5.7  0.00178568
8  5.9  0.00132079
8  6.1  0.000981317
8  6.3  0.00073246
8  6.5  0.00054962
8  6.7  0.000413573
8  6.9  0.000312831
8  7.1  0.000237256
8  7.3  0.000180658
8  7.5  0.000138137
8  7.7  0.000105945
8  7.9  8.14499e-05
8  8.1  6.28727e-05
8  8.3  4.8671e-05
8  8.5  3.77907e-05
8  8.7  2.94146e-05
8  8.9  2.29514e-05
8  9.1  1.79562e-05
8  9.3  1.40795e-05
8  9.5  1.10802e-05
8  9.7  8.7264e-06
8  9.9  6.8908e-06
8  10.1  5.45205e-06
8  10.3  4.32373e-06
8  10.5  3.43615e-06
8  10.7  2.73473e-06
8  10.9  2.18136e-06
8  11.1  1.7436e-06
8  11.3  1.39645e-06
8  11.5  1.11971e-06
8  11.7  8.99248e-07
8  11.9  7.23648e-07
10  0.1  110.804
10  0.3  80.7381
10  0.5  55.122
10  0.7  35.549
10  0.9  22.2686
10  1.1  13.7908
10  1.3  8.516
10  1.5  5.2749
10  1.7  3.2888
10  1.9  2.06792
10  2.1  1.31259
10  2.3  0.841541
10  2.5  0.5456
10  2.7  0.357424
10  2.9  0.236545
10  3.1  0.158107
10  3.3  0.106718
10  3.5  0.0726942
10  3.7  0.0499738
10  3.9  0.0346448
10  4.1  0.0242101
10  4.3  0.0170483
10  4.5  0.0120886
10  4.7  0.00863753
10  4.9  0.00621447
10  5.1  0.00449513
10  5.3  0.00327239
10  5.5  0.00239553
10  5.7  0.00176192
10  5.9  0.0013031
10  6.1  0.000968083
10  6.3  0.000722553
10  6.5  0.000542147
10  6.7  0.000407908
10  6.9  0.000308531
10  7.1  0.00023398
10  7.3  0.000178154
10  7.5  0.000136216
10  7.7  0.000104466
