# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0029/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  598.779
0  0.3  458.666
0  0.5  348.424
0  0.7  258.86
0  0.9  189.635
0  1.1  138.125
0  1.3  100.429
0  1.5  73.1262
0  1.7  53.3713
0  1.9  39.0957
0  2.1  28.7784
0  2.3  21.2773
0  2.5  15.8306
0  2.7  11.8531
0  2.9  8.93415
0  3.1  6.77465
0  3.3  5.17276
0  3.5  3.97698
0  3.7  3.07508
0  3.9  2.39357
0  4.1  1.87469
0  4.3  1.47676
0  4.5  1.17027
0  4.7  0.931874
0  4.9  0.746183
0  5.1  0.600131
0  5.3  0.485098
0  5.5  0.393843
0  5.7  0.321099
0  5.9  0.262938
0  6.1  0.216182
0  6.3  0.178482
0  6.5  0.147817
0  6.7  0.122728
0  6.9  0.10239
0  7.1  0.0856102
0  7.3  0.0718172
0  7.5  0.0603606
0  7.7  0.0509126
0  7.9  0.0430541
0  8.1  0.0365195
0  8.3  0.0310385
0  8.5  0.026427
0  8.7  0.0225601
0  8.9  0.0193145
0  9.1  0.0165552
0  9.3  0.0142243
0  9.5  0.0122447
0  9.7  0.010561
0  9.9  0.00912812
0  10.1  0.00790473
0  10.3  0.00685306
0  10.5  0.00594351
0  10.7  0.005169
0  10.9  0.00450426
0  11.1  0.00392976
0  11.3  0.00343567
0  11.5  0.00300552
0  11.7  0.00263171
0  11.9  0.00230962
2  0.1  598.322
2  0.3  458.314
2  0.5  348.155
2  0.7  258.656
2  0.9  189.482
2  1.1  138.01
2  1.3  100.341
2  1.5  73.0599
2  1.7  53.3208
2  1.9  39.0568
2  2.1  28.7485
2  2.3  21.2542
2  2.5  15.8129
2  2.7  11.8394
2  2.9  8.9235
2  3.1  6.76637
2  3.3  5.16631
2  3.5  3.9719
2  3.7  3.07109
2  3.9  2.39041
2  4.1  1.87218
2  4.3  1.47476
2  4.5  1.16867
2  4.7  0.930586
2  4.9  0.745138
2  5.1  0.599288
2  5.3  0.484409
2  5.5  0.39328
2  5.7  0.320637
2  5.9  0.262557
2  6.1  0.215867
2  6.3  0.17822
2  6.5  0.147599
2  6.7  0.122546
2  6.9  0.102238
2  7.1  0.0854831
2  7.3  0.07171
2  7.5  0.0602697
2  7.7  0.0508357
2  7.9  0.0429888
2  8.1  0.0364639
2  8.3  0.0309912
2  8.5  0.026386
2  8.7  0.0225251
2  8.9  0.0192847
2  9.1  0.0165296
2  9.3  0.0142022
2  9.5  0.0122257
2  9.7  0.0105446
2  9.9  0.00911393
2  10.1  0.00789249
2  10.3  0.00684227
2  10.5  0.00593417
2  10.7  0.00516085
