# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0046/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 3.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  181.258
0  0.3  107.04
0  0.5  65.7692
0  0.7  40.5415
0  0.9  25.1008
0  1.1  15.6393
0  1.3  9.83137
0  1.5  6.23826
0  1.7  3.9985
0  1.9  2.58787
0  2.1  1.69163
0  2.3  1.11738
0  2.5  0.745113
0  2.7  0.501564
0  2.9  0.340777
0  3.1  0.233645
0  3.3  0.161578
0  3.5  0.112653
0  3.7  0.0791887
0  3.9  0.0560812
0  4.1  0.0399915
0  4.3  0.0287189
0  4.5  0.020755
0  4.7  0.015093
0  4.9  0.0110392
0  5.1  0.00811861
0  5.3  0.00600206
0  5.5  0.00445703
0  5.7  0.00332834
0  5.9  0.00249498
0  6.1  0.00187942
0  6.3  0.00142206
0  6.5  0.00107978
0  6.7  0.00082288
0  6.9  0.00062933
0  7.1  0.000482779
0  7.3  0.000371821
0  7.5  0.000287268
0  7.7  0.000222478
0  7.9  0.000172846
0  8.1  0.000134763
0  8.3  0.000105275
0  8.5  8.24019e-05
0  8.7  6.47034e-05
0  8.9  5.09248e-05
0  9.1  4.01783e-05
0  9.3  3.17779e-05
0  9.5  2.5175e-05
0  9.7  1.99953e-05
0  9.9  1.59075e-05
0  10.1  1.26792e-05
0  10.3  1.01264e-05
0  10.5  8.09907e-06
0  10.7  6.48728e-06
0  10.9  5.20766e-06
0  11.1  4.18801e-06
0  11.3  3.37337e-06
0  11.5  2.72046e-06
0  11.7  2.1999e-06
0  11.9  1.77932e-06
2  0.1  181.132
2  0.3  106.965
2  0.5  65.7222
2  0.7  40.5117
2  0.9  25.0825
2  1.1  15.627
2  1.3  9.82321
2  1.5  6.23374
2  1.7  3.99477
2  1.9  2.58526
2  2.1  1.69019
2  2.3  1.11606
2  2.5  0.744189
2  2.7  0.500975
2  2.9  0.34043
2  3.1  0.233345
2  3.3  0.161384
2  3.5  0.112547
2  3.7  0.079093
2  3.9  0.0560152
2  4.1  0.0399474
2  4.3  0.0286824
2  4.5  0.0207279
2  4.7  0.0150729
2  4.9  0.0110237
2  5.1  0.00810668
2  5.3  0.0059902
2  5.5  0.00445111
2  5.7  0.00332373
2  5.9  0.00249156
2  6.1  0.00187683
2  6.3  0.00142009
2  6.5  0.00107827
2  6.7  0.00082173
2  6.9  0.00062845
2  7.1  0.000482099
2  7.3  0.000371297
2  7.5  0.000286861
2  7.7  0.00022216
2  7.9  0.000172598
2  8.1  0.000134576
2  8.3  0.000105123
2  8.5  8.22832e-05
2  8.7  6.4609e-05
2  8.9  5.08506e-05
2  9.1  4.01191e-05
2  9.3  3.17316e-05
2  9.5  2.51383e-05
2  9.7  1.99662e-05
2  9.9  1.5884e-05
2  10.1  1.26604e-05
2  10.3  1.01114e-05
2  10.5  8.08708e-06
2  10.7  6.47699e-06
2  10.9  5.20087e-06
2  11.1  4.18181e-06
2  11.3  3.36833e-06
2  11.5  2.71633e-06
2  11.7  2.19408e-06
2  11.9  1.77662e-06
4  0.1  180.748
4  0.3  106.736
4  0.5  65.6135
4  0.7  40.4209
4  0.9  25.0239
4  1.1  15.5893
4  1.3  9.79842
4  1.5  6.21719
4  1.7  3.9837
4  1.9  2.57778
4  2.1  1.68508
4  2.3  1.11257
4  2.5  0.741792
4  2.7  0.499306
4  2.9  0.339267
4  3.1  0.23253
4  3.3  0.160809
4  3.5  0.112138
4  3.7  0.0788006
4  3.9  0.055805
4  4.1  0.0397954
4  4.3  0.0285719
4  4.5  0.0206472
4  4.7  0.0150136
4  4.9  0.0109796
4  5.1  0.00807415
4  5.3  0.00596593
4  5.5  0.0044329
4  5.7  0.00331009
4  5.9  0.00248122
4  6.1  0.00186901
4  6.3  0.00141414
4  6.5  0.00107375
4  6.7  0.000818253
4  6.9  0.00062578
4  7.1  0.000480038
4  7.3  0.0003697
4  7.5  0.000285622
4  7.7  0.000221198
4  7.9  0.000171849
4  8.1  0.000133986
4  8.3  0.000104664
4  8.5  8.19218e-05
4  8.7  6.43236e-05
4  8.9  5.06254e-05
4  9.1  3.99415e-05
4  9.3  3.15905e-05
4  9.5  2.50259e-05
4  9.7  1.98771e-05
4  9.9  1.58126e-05
4  10.1  1.26035e-05
4  10.3  1.00658e-05
4  10.5  8.05043e-06
4  10.7  6.44799e-06
4  10.9  5.17647e-06
4  11.1  4.1627e-06
4  11.3  3.35294e-06
4  11.5  2.70393e-06
4  11.7  2.18657e-06
4  11.9  1.76848e-06
6  0.1  180.098
6  0.3  106.349
6  0.5  65.3677
6  0.7  40.2674
6  0.9  24.9278
6  1.1  15.5255
6  1.3  9.75651
6  1.5  6.1892
6  1.7  3.96496
6  1.9  2.56513
6  2.1  1.6765
6  2.3  1.10668
6  2.5  0.737719
6  2.7  0.496482
6  2.9  0.337306
6  3.1  0.231154
6  3.3  0.159838
6  3.5  0.111449
6  3.7  0.0783071
6  3.9  0.0554505
6  4.1  0.0395392
6  4.3  0.0283857
6  4.5  0.020511
6  4.7  0.0149133
6  4.9  0.0109055
6  5.1  0.00801927
6  5.3  0.00592497
6  5.5  0.00440224
6  5.7  0.00328705
6  5.9  0.00246387
6  6.1  0.00185582
6  6.3  0.00140411
6  6.5  0.00106609
6  6.7  0.000812385
6  6.9  0.000621288
6  7.1  0.000476562
6  7.3  0.00036701
6  7.5  0.000283533
6  7.7  0.000219576
6  7.9  0.000170585
6  8.1  0.000133006
6  8.3  0.00010386
6  8.5  8.13112e-05
6  8.7  6.38454e-05
6  8.9  5.02472e-05
6  9.1  3.96431e-05
6  9.3  3.13525e-05
6  9.5  2.48358e-05
6  9.7  1.97264e-05
6  9.9  1.56933e-05
6  10.1  1.25073e-05
6  10.3  9.98906e-06
6  10.5  7.98938e-06
6  10.7  6.39902e-06
6  10.9  5.13738e-06
6  11.1  4.1307e-06
6  11.3  3.32704e-06
6  11.5  2.68375e-06
6  11.7  2.16842e-06
6  11.9  1.75478e-06
8  0.1  179.168
8  0.3  105.79
8  0.5  65.0217
8  0.7  40.0479
8  0.9  24.7869
8  1.1  15.4341
8  1.3  9.69649
8  1.5  6.14862
8  1.7  3.93819
8  1.9  2.54704
8  2.1  1.66427
8  2.3  1.09825
8  2.5  0.73193
8  2.7  0.492462
8  2.9  0.334502
8  3.1  0.229189
8  3.3  0.158454
8  3.5  0.110466
8  3.7  0.0776051
8  3.9  0.0549446
8  4.1  0.0391737
8  4.3  0.0281198
8  4.5  0.0203166
8  4.7  0.0147705
8  4.9  0.0108013
8  5.1  0.00794108
8  5.3  0.00586677
8  5.5  0.0043587
8  5.7  0.00325431
8  5.9  0.00243911
8  6.1  0.00183709
8  6.3  0.00138984
8  6.5  0.0010552
8  6.7  0.000804027
8  6.9  0.000614843
8  7.1  0.000471607
8  7.3  0.000363184
8  7.5  0.000280574
8  7.7  0.000217274
8  7.9  0.000168784
8  8.1  0.000131589
8  8.3  0.000102785
8  8.5  8.04463e-05
8  8.7  6.31612e-05
8  8.9  4.97087e-05
8  9.1  3.92156e-05
8  9.3  3.10151e-05
8  9.5  2.45686e-05
8  9.7  1.95134e-05
8  9.9  1.55221e-05
8  10.1  1.23716e-05
8  10.3  9.88013e-06
8  10.5  7.90171e-06
8  10.7  6.32862e-06
8  10.9  5.08107e-06
8  11.1  4.08545e-06
8  11.3  3.29033e-06
8  11.5  2.65356e-06
8  11.7  2.14329e-06
8  11.9  1.7354e-06
10  0.1  177.932
10  0.3  105.052
10  0.5  64.5592
10  0.7  39.7567
10  0.9  24.6
10  1.1  15.3129
10  1.3  9.61692
10  1.5  6.09577
10  1.7  3.90275
10  1.9  2.52312
10  2.1  1.64804
10  2.3  1.08711
10  2.5  0.724278
10  2.7  0.48715
10  2.9  0.330756
10  3.1  0.226598
10  3.3  0.156627
10  3.5  0.109165
10  3.7  0.0766771
10  3.9  0.0542773
10  4.1  0.0386915
10  4.3  0.0277693
10  4.5  0.0200609
10  4.7  0.014582
10  4.9  0.0106617
10  5.1  0.00783812
10  5.3  0.00579006
10  5.5  0.00430125
10  5.7  0.00321112
10  5.9  0.00240653
10  6.1  0.00181246
10  6.3  0.00137105
10  6.5  0.00104011
10  6.7  0.000793063
10  6.9  0.000606438
10  7.1  0.0004651
10  7.3  0.000358156
10  7.5  0.000276684
10  7.7  0.000214239
10  7.9  0.000166419
10  8.1  0.00012975
10  8.3  0.000101338
10  8.5  7.93096e-05
10  8.7  6.22663e-05
10  8.9  4.90017e-05
10  9.1  3.86561e-05
10  9.3  3.05722e-05
10  9.5  2.42167e-05
10  9.7  1.92334e-05
10  9.9  1.52986e-05
10  10.1  1.21932e-05
10  10.3  9.73728e-06
10  10.5  7.78722e-06
10  10.7  6.2375e-06
