# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0055/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -0.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1258.09
0  0.3  829.791
0  0.5  574.588
0  0.7  405.059
0  0.9  289.099
0  1.1  208.27
0  1.3  151.362
0  1.5  110.823
0  1.7  81.7557
0  1.9  60.7825
0  2.1  45.5842
0  2.3  34.4767
0  2.5  26.3073
0  2.7  20.2544
0  2.9  15.7358
0  3.1  12.3311
0  3.3  9.7453
0  3.5  7.76801
0  3.7  6.24171
0  3.9  5.05054
0  4.1  4.11534
0  4.3  3.37602
0  4.5  2.7869
0  4.7  2.31632
0  4.9  1.93344
0  5.1  1.62364
0  5.3  1.37022
0  5.5  1.16261
0  5.7  0.990496
0  5.9  0.847359
0  6.1  0.727803
0  6.3  0.627313
0  6.5  0.542927
0  6.7  0.471616
0  6.9  0.41092
0  7.1  0.359152
0  7.3  0.314716
0  7.5  0.276707
0  7.7  0.243924
0  7.9  0.215516
0  8.1  0.191022
0  8.3  0.169674
0  8.5  0.151057
0  8.7  0.134691
0  8.9  0.120461
0  9.1  0.10792
0  9.3  0.0968394
0  9.5  0.0870422
0  9.7  0.0784185
0  9.9  0.0707987
0  10.1  0.0640032
0  10.3  0.0579593
0  10.5  0.0525609
0  10.7  0.0477637
0  10.9  0.0434542
0  11.1  0.0395784
0  11.3  0.036098
0  11.5  0.0329697
0  11.7  0.0301388
0  11.9  0.0275893
2  0.1  1256.84
2  0.3  828.938
2  0.5  573.985
2  0.7  404.622
2  0.9  288.773
2  1.1  208.024
2  1.3  151.174
2  1.5  110.679
2  1.7  81.6421
2  1.9  60.6869
2  2.1  45.5175
2  2.3  34.4248
2  2.5  26.2668
2  2.7  20.2227
2  2.9  15.7108
2  3.1  12.3112
2  3.3  9.72938
2  3.5  7.75519
2  3.7  6.23136
2  3.9  5.04208
2  4.1  4.10844
2  4.3  3.37033
2  4.5  2.78216
2  4.7  2.31235
2  4.9  1.93013
2  5.1  1.62085
2  5.3  1.36784
2  5.5  1.1606
2  5.7  0.988776
2  5.9  0.845884
2  6.1  0.72654
2  6.3  0.626281
2  6.5  0.541968
2  6.7  0.470782
2  6.9  0.410207
2  7.1  0.358517
2  7.3  0.314187
2  7.5  0.276209
2  7.7  0.24349
2  7.9  0.215127
2  8.1  0.190679
2  8.3  0.169395
2  8.5  0.150778
2  8.7  0.134457
2  8.9  0.120241
2  9.1  0.107723
2  9.3  0.0966701
2  9.5  0.08689
2  9.7  0.0783172
2  9.9  0.0706619
2  10.1  0.0638856
2  10.3  0.0578575
2  10.5  0.0524621
2  10.7  0.047675
2  10.9  0.043376
2  11.1  0.0395071
2  11.3  0.0360314
2  11.5  0.0329102
2  11.7  0.0300871
2  11.9  0.0275398
4  0.1  1252.99
4  0.3  826.363
4  0.5  572.16
4  0.7  403.298
4  0.9  287.785
4  1.1  207.282
4  1.3  150.606
4  1.5  110.243
4  1.7  81.3057
4  1.9  60.4302
4  2.1  45.3169
4  2.3  34.2686
4  2.5  26.1447
4  2.7  20.1271
4  2.9  15.6355
4  3.1  12.2514
4  3.3  9.68154
4  3.5  7.71655
4  3.7  6.20011
4  3.9  5.01661
4  4.1  4.08751
4  4.3  3.35315
4  4.5  2.76789
4  4.7  2.30041
4  4.9  1.9201
4  5.1  1.61239
4  5.3  1.3606
4  5.5  1.15452
4  5.7  0.98361
4  5.9  0.841422
4  6.1  0.722703
4  6.3  0.622966
4  6.5  0.539093
4  6.7  0.468265
4  6.9  0.408032
4  7.1  0.356608
4  7.3  0.312507
4  7.5  0.274742
4  7.7  0.242188
4  7.9  0.213979
4  8.1  0.18964
4  8.3  0.168453
4  8.5  0.149993
4  8.7  0.133756
4  8.9  0.119588
4  9.1  0.107113
4  9.3  0.0961385
4  9.5  0.0864745
4  9.7  0.0778905
4  9.9  0.0702713
4  10.1  0.0635387
4  10.3  0.0575438
4  10.5  0.0521873
4  10.7  0.0474181
4  10.9  0.0431265
4  11.1  0.0392929
4  11.3  0.0358241
4  11.5  0.0327265
4  11.7  0.0299227
4  11.9  0.0273911
6  0.1  1246.39
6  0.3  822.006
6  0.5  569.077
6  0.7  400.86
6  0.9  286.119
6  1.1  206.031
6  1.3  149.649
6  1.5  109.509
6  1.7  80.7444
6  1.9  59.9976
6  2.1  44.9777
6  2.3  34.0055
6  2.5  25.939
6  2.7  19.966
6  2.9  15.5082
6  3.1  12.1506
6  3.3  9.60109
6  3.5  7.6518
6  3.7  6.14754
6  3.9  4.97367
6  4.1  4.05227
6  4.3  3.32411
6  4.5  2.74364
6  4.7  2.2803
6  4.9  1.90318
6  5.1  1.59824
6  5.3  1.34866
6  5.5  1.14429
6  5.7  0.97483
6  5.9  0.833939
6  6.1  0.716246
6  6.3  0.617373
6  6.5  0.534266
6  6.7  0.464043
6  6.9  0.4043
6  7.1  0.353381
6  7.3  0.309738
6  7.5  0.272306
6  7.7  0.240001
6  7.9  0.212043
6  8.1  0.187872
6  8.3  0.16691
6  8.5  0.148601
6  8.7  0.132512
6  8.9  0.118522
6  9.1  0.106201
6  9.3  0.0952954
6  9.5  0.0856172
6  9.7  0.0771673
6  9.9  0.0696386
6  10.1  0.0629494
6  10.3  0.0570009
6  10.5  0.0517054
6  10.7  0.0469913
6  10.9  0.0427367
6  11.1  0.0389242
6  11.3  0.035501
6  11.5  0.0324254
6  11.7  0.0296472
6  11.9  0.0271391
8  0.1  1236.95
8  0.3  815.824
8  0.5  564.673
8  0.7  397.778
8  0.9  283.757
8  1.1  204.238
8  1.3  148.282
8  1.5  108.46
8  1.7  79.9397
8  1.9  59.3778
8  2.1  44.4963
8  2.3  33.6316
8  2.5  25.6467
8  2.7  19.7368
8  2.9  15.3274
8  3.1  12.0071
8  3.3  9.48654
8  3.5  7.55953
8  3.7  6.07294
8  3.9  4.91293
8  4.1  4.00244
8  4.3  3.28284
8  4.5  2.70962
8  4.7  2.25174
8  4.9  1.88055
8  5.1  1.57813
8  5.3  1.33178
8  5.5  1.12984
8  5.7  0.962456
8  5.9  0.823361
8  6.1  0.707165
8  6.3  0.609515
8  6.5  0.5274
8  6.7  0.458092
8  6.9  0.3991
8  7.1  0.348815
8  7.3  0.305801
8  7.5  0.268713
8  7.7  0.23688
8  7.9  0.209282
8  8.1  0.185492
8  8.3  0.164732
8  8.5  0.146621
8  8.7  0.130812
8  8.9  0.116934
