# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0064/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  672.647
0  0.3  528.951
0  0.5  408.342
0  0.7  305.59
0  0.9  223.431
0  1.1  160.459
0  1.3  113.955
0  1.5  80.4633
0  1.7  56.7947
0  1.9  40.2525
0  2.1  28.7366
0  2.3  20.7109
0  2.5  15.089
0  2.7  11.1302
0  2.9  8.30516
0  3.1  6.26763
0  3.3  4.78498
0  3.5  3.69643
0  3.7  2.88518
0  3.9  2.27268
0  4.1  1.8073
0  4.3  1.47969
0  4.5  1.22814
0  4.7  1.02711
0  4.9  0.865173
0  5.1  0.734069
0  5.3  0.626645
0  5.5  0.538127
0  5.7  0.464602
0  5.9  0.403318
0  6.1  0.351243
0  6.3  0.307608
0  6.5  0.270556
0  6.7  0.238789
0  6.9  0.211479
0  7.1  0.188104
0  7.3  0.167549
0  7.5  0.150074
0  7.7  0.134509
0  7.9  0.121035
0  8.1  0.10913
0  8.3  0.0987324
0  8.5  0.0896123
0  8.7  0.0813029
0  8.9  0.074073
0  9.1  0.067617
0  9.3  0.0618229
0  9.5  0.0566425
0  9.7  0.0519331
0  9.9  0.0477571
0  10.1  0.0439785
0  10.3  0.0405712
0  10.5  0.0374543
0  10.7  0.0346504
0  10.9  0.0320778
0  11.1  0.0297466
0  11.3  0.0276383
0  11.5  0.025704
0  11.7  0.0239442
0  11.9  0.0223124
2  0.1  671.908
2  0.3  528.25
2  0.5  407.828
2  0.7  305.192
2  0.9  223.114
2  1.1  160.229
2  1.3  113.765
2  1.5  80.3271
2  1.7  56.6947
2  1.9  40.179
2  2.1  28.6826
2  2.3  20.6713
2  2.5  15.0593
2  2.7  11.1128
2  2.9  8.28887
2  3.1  6.2567
2  3.3  4.77549
2  3.5  3.68815
2  3.7  2.87805
2  3.9  2.26874
2  4.1  1.80352
2  4.3  1.47654
2  4.5  1.22562
2  4.7  1.02514
2  4.9  0.863538
2  5.1  0.732867
2  5.3  0.625406
2  5.5  0.537024
2  5.7  0.463448
2  5.9  0.402272
2  6.1  0.350583
2  6.3  0.307014
2  6.5  0.269772
2  6.7  0.238186
2  6.9  0.21093
2  7.1  0.18749
2  7.3  0.167353
2  7.5  0.149646
2  7.7  0.134194
2  7.9  0.120928
2  8.1  0.109085
2  8.3  0.0986453
2  8.5  0.089381
2  8.7  0.0812478
2  8.9  0.0739084
2  9.1  0.067488
2  9.3  0.0616861
2  9.5  0.0565349
2  9.7  0.051848
2  9.9  0.0476471
2  10.1  0.0438756
2  10.3  0.0404658
2  10.5  0.0373948
2  10.7  0.0345806
2  10.9  0.032015
2  11.1  0.0296587
2  11.3  0.0275817
2  11.5  0.0256604
2  11.7  0.0238922
2  11.9  0.0222491
4  0.1  668.84
4  0.3  526.249
4  0.5  406.266
4  0.7  303.948
4  0.9  222.168
4  1.1  159.52
4  1.3  113.221
4  1.5  79.9167
4  1.7  56.3941
4  1.9  39.9576
4  2.1  28.5201
4  2.3  20.5528
4  2.5  14.9719
4  2.7  11.0364
4  2.9  8.23896
4  3.1  6.21819
4  3.3  4.74717
4  3.5  3.6655
4  3.7  2.86072
4  3.9  2.25504
4  4.1  1.79269
4  4.3  1.46809
4  4.5  1.21819
4  4.7  1.01932
4  4.9  0.859065
4  5.1  0.728239
4  5.3  0.621376
4  5.5  0.533869
4  5.7  0.461069
4  5.9  0.399636
4  6.1  0.348507
4  6.3  0.305088
4  6.5  0.268453
4  6.7  0.236828
4  6.9  0.209726
4  7.1  0.18646
4  7.3  0.166355
4  7.5  0.148771
4  7.7  0.133616
4  7.9  0.120099
4  8.1  0.108428
4  8.3  0.0980611
4  8.5  0.0887612
4  8.7  0.0806496
4  8.9  0.0734814
4  9.1  0.0671035
4  9.3  0.0613176
4  9.5  0.0561947
4  9.7  0.0515851
4  9.9  0.0473937
4  10.1  0.0436266
4  10.3  0.0402772
4  10.5  0.0371314
4  10.7  0.0344035
4  10.9  0.0318361
4  11.1  0.0295612
4  11.3  0.0274338
4  11.5  0.0255153
4  11.7  0.0237581
4  11.9  0.0221464
6  0.1  664.66
6  0.3  522.842
6  0.5  403.099
6  0.7  301.874
6  0.9  220.594
6  1.1  158.291
6  1.3  112.298
6  1.5  79.226
6  1.7  55.8846
6  1.9  39.5848
6  2.1  28.247
6  2.3  20.3518
6  2.5  14.8299
6  2.7  10.929
6  2.9  8.15697
6  3.1  6.15437
6  3.3  4.70015
6  3.5  3.62823
6  3.7  2.83209
6  3.9  2.23156
6  4.1  1.77408
6  4.3  1.45348
6  4.5  1.20619
6  4.7  1.00956
6  4.9  0.849589
6  5.1  0.720865
6  5.3  0.615847
6  5.5  0.528812
6  5.7  0.456507
6  5.9  0.396194
6  6.1  0.345349
6  6.3  0.302193
6  6.5  0.26554
6  6.7  0.234536
6  6.9  0.207771
6  7.1  0.184854
6  7.3  0.164624
6  7.5  0.147575
6  7.7  0.132297
6  7.9  0.118885
6  8.1  0.107231
6  8.3  0.097039
6  8.5  0.0880192
6  8.7  0.0800019
6  8.9  0.0728385
6  9.1  0.0664594
6  9.3  0.0607895
6  9.5  0.055629
6  9.7  0.0510591
6  9.9  0.0468654
6  10.1  0.0432023
6  10.3  0.03981
6  10.5  0.0368121
6  10.7  0.0340545
6  10.9  0.0315051
6  11.1  0.0292215
6  11.3  0.0271734
6  11.5  0.0252638
6  11.7  0.0235272
6  11.9  0.0219304
8  0.1  658.899
8  0.3  518.028
8  0.5  399.759
8  0.7  298.898
8  0.9  218.29
8  1.1  156.548
8  1.3  110.968
8  1.5  78.2437
8  1.7  55.1572
8  1.9  39.05
8  2.1  27.8609
8  2.3  20.0716
8  2.5  14.6141
8  2.7  10.7746
8  2.9  8.03943
8  3.1  6.0657
8  3.3  4.63187
8  3.5  3.57713
8  3.7  2.79087
8  3.9  2.19917
8  4.1  1.74863
8  4.3  1.43247
8  4.5  1.1885
8  4.7  0.994626
8  4.9  0.83749
8  5.1  0.71115
8  5.3  0.606856
8  5.5  0.521117
8  5.7  0.450145
8  5.9  0.390386
8  6.1  0.340186
8  6.3  0.29791
8  6.5  0.26219
8  6.7  0.231177
8  6.9  0.204927
8  7.1  0.18196
8  7.3  0.162407
8  7.5  0.145174
8  7.7  0.130439
8  7.9  0.117253
8  8.1  0.105849
8  8.3  0.0957577
8  8.5  0.0867419
8  8.7  0.0789042
8  8.9  0.0717816
8  9.1  0.0655104
8  9.3  0.0598653
8  9.5  0.0548794
8  9.7  0.0503505
8  9.9  0.0462641
8  10.1  0.0426139
8  10.3  0.0392913
8  10.5  0.036242
8  10.7  0.0335512
8  10.9  0.03109
8  11.1  0.0288397
8  11.3  0.0267752
8  11.5  0.0249161
8  11.7  0.0231996
8  11.9  0.0216168
10  0.1  650.865
10  0.3  511.626
10  0.5  394.74
10  0.7  295.042
10  0.9  215.278
10  1.1  154.223
10  1.3  109.232
10  1.5  76.9543
10  1.7  54.2203
10  1.9  38.3753
10  2.1  27.3519
10  2.3  19.6917
10  2.5  14.3391
10  2.7  10.5686
10  2.9  7.88563
10  3.1  5.95069
10  3.3  4.54277
10  3.5  3.50862
10  3.7  2.73766
10  3.9  2.15603
10  4.1  1.71554
10  4.3  1.40469
10  4.5  1.16602
10  4.7  0.975501
10  4.9  0.821879
10  5.1  0.697759
10  5.3  0.595103
10  5.5  0.511773
10  5.7  0.441338
10  5.9  0.383164
10  6.1  0.334037
10  6.3  0.292334
10  6.5  0.257091
10  6.7  0.226865
10  6.9  0.201014
10  7.1  0.178791
10  7.3  0.159255
10  7.5  0.142512
10  7.7  0.127914
10  7.9  0.115162
10  8.1  0.103869
10  8.3  0.0938228
10  8.5  0.0850558
10  8.7  0.0773608
10  8.9  0.0703702
10  9.1  0.0642524
10  9.3  0.0587738
10  9.5  0.0538606
10  9.7  0.0493807
10  9.9  0.0453644
10  10.1  0.041755
10  10.3  0.0385836
10  10.5  0.0356205
10  10.7  0.0329718
10  10.9  0.030511
10  11.1  0.0282928
10  11.3  0.026307
10  11.5  0.0244572
10  11.7  0.0227515
10  11.9  0.021212
12  0.1  640.133
12  0.3  503.238
12  0.5  388.37
12  0.7  290.108
12  0.9  211.453
12  1.1  151.326
12  1.3  107.045
12  1.5  75.3297
12  1.7  53.0289
12  1.9  37.495
12  2.1  26.7186
12  2.3  19.2304
12  2.5  14.0012
12  2.7  10.3187
12  2.9  7.69425
12  3.1  5.80487
12  3.3  4.43095
12  3.5  3.42234
12  3.7  2.67042
12  3.9  2.10494
12  4.1  1.67295
12  4.3  1.37108
12  4.5  1.13771
12  4.7  0.951848
12  4.9  0.801564
12  5.1  0.680529
12  5.3  0.581091
12  5.5  0.498959
12  5.7  0.430645
12  5.9  0.37383
12  6.1  0.325867
12  6.3  0.28514
12  6.5  0.251075
12  6.7  0.221306
12  6.9  0.196098
12  7.1  0.174289
12  7.3  0.155464
12  7.5  0.139171
12  7.7  0.124947
12  7.9  0.112324
12  8.1  0.101311
12  8.3  0.0916566
12  8.5  0.0830936
12  8.7  0.0755832
12  8.9  0.0687477
12  9.1  0.0626937
12  9.3  0.0574206
12  9.5  0.0525894
12  9.7  0.04823
12  9.9  0.0443259
12  10.1  0.0408232
12  10.3  0.0376772
12  10.5  0.0347844
12  10.7  0.0321635
12  10.9  0.0297896
12  11.1  0.0276149
12  11.3  0.0256922
12  11.5  0.0238821
12  11.7  0.0222317
12  11.9  0.0207218
14  0.1  627.864
14  0.3  493.205
14  0.5  380.411
14  0.7  284.01
14  0.9  206.74
14  1.1  147.755
14  1.3  104.347
14  1.5  73.3435
14  1.7  51.5653
14  1.9  36.416
14  2.1  25.9429
14  2.3  18.6637
14  2.5  13.5814
14  2.7  10.0044
14  2.9  7.45808
14  3.1  5.62893
14  3.3  4.29524
14  3.5  3.31776
14  3.7  2.5887
14  3.9  2.04039
14  4.1  1.6223
14  4.3  1.32952
14  4.5  1.10317
14  4.7  0.923135
14  4.9  0.777175
14  5.1  0.660333
14  5.3  0.563685
14  5.5  0.483992
14  5.7  0.417828
14  5.9  0.362648
14  6.1  0.316317
14  6.3  0.276832
14  6.5  0.243448
14  6.7  0.214813
14  6.9  0.190419
14  7.1  0.169249
14  7.3  0.150965
14  7.5  0.13496
14  7.7  0.121259
14  7.9  0.109089
14  8.1  0.0983273
14  8.3  0.0890392
14  8.5  0.0807211
14  8.7  0.0732524
14  8.9  0.0667484
14  9.1  0.0608318
14  9.3  0.0556294
14  9.5  0.0510223
14  9.7  0.0468404
14  9.9  0.0430303
14  10.1  0.0395572
14  10.3  0.0365567
14  10.5  0.0337612
14  10.7  0.0312099
14  10.9  0.0289065
14  11.1  0.0268284
14  11.3  0.0249076
14  11.5  0.0231697
14  11.7  0.0215667
14  11.9  0.0201109
16  0.1  612.134
16  0.3  481.29
16  0.5  370.835
16  0.7  276.401
16  0.9  201.06
16  1.1  143.357
16  1.3  101.089
16  1.5  70.9357
16  1.7  49.805
16  1.9  35.1471
16  2.1  25.0094
16  2.3  17.984
16  2.5  13.0744
16  2.7  9.63217
16  2.9  7.17441
16  3.1  5.41407
16  3.3  4.1326
16  3.5  3.19213
16  3.7  2.4911
16  3.9  1.96263
16  4.1  1.56087
16  4.3  1.27919
16  4.5  1.06178
16  4.7  0.888268
16  4.9  0.749242
16  5.1  0.635307
16  5.3  0.542252
16  5.5  0.466373
16  5.7  0.402299
16  5.9  0.349107
16  6.1  0.304382
16  6.3  0.266698
16  6.5  0.23449
16  6.7  0.206996
16  6.9  0.183278
16  7.1  0.163057
16  7.3  0.145303
16  7.5  0.130111
16  7.7  0.11682
16  7.9  0.104934
16  8.1  0.0947945
16  8.3  0.0856286
16  8.5  0.0777106
16  8.7  0.0706572
16  8.9  0.0642801
16  9.1  0.0586619
16  9.3  0.0536663
16  9.5  0.0491463
16  9.7  0.0450731
16  9.9  0.04144
16  10.1  0.0380862
16  10.3  0.0352013
16  10.5  0.032511
16  10.7  0.0300744
16  10.9  0.0278384
16  11.1  0.0258396
16  11.3  0.0240126
16  11.5  0.022334
16  11.7  0.0207776
16  11.9  0.0193813
18  0.1  593.281
18  0.3  466.345
18  0.5  359.138
18  0.7  267.519
18  0.9  194.084
18  1.1  138.165
18  1.3  97.1719
18  1.5  68.0546
18  1.7  47.6807
18  1.9  33.6072
18  2.1  23.8927
18  2.3  17.1674
18  2.5  12.4819
18  2.7  9.18948
18  2.9  6.84505
18  3.1  5.16619
18  3.3  3.94016
18  3.5  3.04497
18  3.7  2.37499
18  3.9  1.87174
18  4.1  1.48855
18  4.3  1.21944
18  4.5  1.01211
18  4.7  0.847221
18  4.9  0.713773
18  5.1  0.60614
18  5.3  0.517477
18  5.5  0.44464
18  5.7  0.384134
18  5.9  0.333151
18  6.1  0.290481
18  6.3  0.254468
18  6.5  0.223749
18  6.7  0.197478
18  6.9  0.17494
18  7.1  0.155618
18  7.3  0.138737
18  7.5  0.12424
18  7.7  0.11148
18  7.9  0.100334
18  8.1  0.0904791
18  8.3  0.081868
18  8.5  0.0741379
18  8.7  0.0674351
18  8.9  0.0614021
18  9.1  0.0559937
18  9.3  0.051227
18  9.5  0.046912
18  9.7  0.0430723
18  9.9  0.0395561
18  10.1  0.0364291
18  10.3  0.0336074
18  10.5  0.0310687
18  10.7  0.0287197
18  10.9  0.0265966
18  11.1  0.02466
18  11.3  0.0229271
18  11.5  0.0212933
18  11.7  0.0198122
18  11.9  0.0185025
20  0.1  570.418
20  0.3  448.14
20  0.5  344.969
20  0.7  256.462
20  0.9  185.704
20  1.1  131.795
20  1.3  92.4755
20  1.5  64.5965
20  1.7  45.1847
20  1.9  31.7861
20  2.1  22.5704
20  2.3  16.2065
20  2.5  11.7724
20  2.7  8.66193
20  2.9  6.45388
