# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0003/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1184.22
0  0.3  783.122
0  0.5  543.564
0  0.7  383.894
0  0.9  273.305
0  1.1  195.829
0  1.3  140.848
0  1.5  101.864
0  1.7  73.9927
0  1.9  54.0745
0  2.1  39.8397
0  2.3  29.5924
0  2.5  22.1792
0  2.7  16.7865
0  2.9  12.8256
0  3.1  9.90169
0  3.3  7.71679
0  3.5  6.07197
0  3.7  4.81764
0  3.9  3.85759
0  4.1  3.11431
0  4.3  2.53258
0  4.5  2.07282
0  4.7  1.70884
0  4.9  1.41813
0  5.1  1.18392
0  5.3  0.993943
0  5.5  0.838406
0  5.7  0.710551
0  5.9  0.605866
0  6.1  0.518299
0  6.3  0.445931
0  6.5  0.384929
0  6.7  0.333896
0  6.9  0.290699
0  7.1  0.25419
0  7.3  0.227018
0  7.5  0.203116
0  7.7  0.182422
0  7.9  0.164146
0  8.1  0.148154
0  8.3  0.134068
0  8.5  0.121628
0  8.7  0.110507
0  8.9  0.100549
0  9.1  0.0917533
0  9.3  0.0839575
0  9.5  0.0768922
0  9.7  0.07059
0  9.9  0.0648413
0  10.1  0.0596837
0  10.3  0.0549895
0  10.5  0.0507877
0  10.7  0.046925
0  10.9  0.0434783
0  11.1  0.040346
0  11.3  0.0374457
0  11.5  0.034789
0  11.7  0.032421
0  11.9  0.0301682
2  0.1  1182.87
2  0.3  782.194
2  0.5  542.9
2  0.7  383.385
2  0.9  272.941
2  1.1  195.555
2  1.3  140.639
2  1.5  101.707
2  1.7  73.8733
2  1.9  53.9843
2  2.1  39.769
2  2.3  29.5387
2  2.5  22.1392
2  2.7  16.7518
2  2.9  12.8019
2  3.1  9.88314
2  3.3  7.70247
2  3.5  6.0605
2  3.7  4.80893
2  3.9  3.85037
2  4.1  3.10783
2  4.3  2.52705
2  4.5  2.0688
2  4.7  1.70568
2  4.9  1.41614
2  5.1  1.18197
2  5.3  0.991952
2  5.5  0.836619
2  5.7  0.709411
2  5.9  0.6044
2  6.1  0.517608
2  6.3  0.445019
2  6.5  0.384316
2  6.7  0.333222
2  6.9  0.290126
2  7.1  0.253801
2  7.3  0.226549
2  7.5  0.20297
2  7.7  0.182111
2  7.9  0.163929
2  8.1  0.147991
2  8.3  0.133823
2  8.5  0.121312
2  8.7  0.110348
2  8.9  0.100477
2  9.1  0.0915808
2  9.3  0.0838397
2  9.5  0.0766874
2  9.7  0.0704298
2  9.9  0.0647
2  10.1  0.0595705
2  10.3  0.054941
2  10.5  0.0507053
2  10.7  0.0468675
2  10.9  0.0433942
2  11.1  0.0402354
2  11.3  0.0373526
2  11.5  0.034738
2  11.7  0.0323449
2  11.9  0.0301182
4  0.1  1178.76
4  0.3  779.194
4  0.5  540.903
4  0.7  381.942
4  0.9  271.773
4  1.1  194.773
4  1.3  140.018
4  1.5  101.224
4  1.7  73.5123
4  1.9  53.7105
4  2.1  39.5611
4  2.3  29.3802
4  2.5  22.017
4  2.7  16.6607
4  2.9  12.7293
4  3.1  9.82675
4  3.3  7.6604
4  3.5  6.02479
4  3.7  4.78092
4  3.9  3.82774
4  4.1  3.09023
4  4.3  2.51266
4  4.5  2.05694
4  4.7  1.69588
4  4.9  1.40753
4  5.1  1.17518
4  5.3  0.986263
4  5.5  0.831712
4  5.7  0.705193
4  5.9  0.601034
4  6.1  0.514876
4  6.3  0.442126
4  6.5  0.382117
4  6.7  0.331268
4  6.9  0.288608
4  7.1  0.252263
4  7.3  0.225191
4  7.5  0.201497
4  7.7  0.180954
4  7.9  0.163185
4  8.1  0.147009
4  8.3  0.133098
4  8.5  0.120589
4  8.7  0.109633
4  8.9  0.0999042
4  9.1  0.0911092
4  9.3  0.083315
4  9.5  0.0762684
4  9.7  0.070014
4  9.9  0.0642978
4  10.1  0.059233
4  10.3  0.0546028
4  10.5  0.0503865
4  10.7  0.0465784
4  10.9  0.0431572
4  11.1  0.0399983
4  11.3  0.0371344
4  11.5  0.0345078
4  11.7  0.032142
4  11.9  0.0299373
6  0.1  1171.74
6  0.3  774.581
6  0.5  537.769
6  0.7  379.479
6  0.9  269.956
6  1.1  193.317
6  1.3  138.965
6  1.5  100.418
6  1.7  72.9163
6  1.9  53.284
6  2.1  39.2058
6  2.3  29.1124
6  2.5  21.8163
6  2.7  16.5039
6  2.9  12.6087
6  3.1  9.73261
6  3.3  7.58511
6  3.5  5.96789
6  3.7  4.73563
6  3.9  3.79139
6  4.1  3.0594
6  4.3  2.48819
6  4.5  2.03713
6  4.7  1.67909
6  4.9  1.39389
6  5.1  1.16386
6  5.3  0.97628
6  5.5  0.823807
6  5.7  0.698525
6  5.9  0.594964
6  6.1  0.509505
6  6.3  0.438003
6  6.5  0.378556
6  6.7  0.328101
6  6.9  0.285411
6  7.1  0.249834
6  7.3  0.22295
6  7.5  0.199825
6  7.7  0.179357
6  7.9  0.161396
6  8.1  0.145622
6  8.3  0.131769
6  8.5  0.119452
6  8.7  0.108522
6  8.9  0.098886
6  9.1  0.090234
6  9.3  0.0824541
6  9.5  0.0754964
6  9.7  0.0693122
6  9.9  0.0636867
6  10.1  0.058612
6  10.3  0.054062
6  10.5  0.0499193
6  10.7  0.046152
6  10.9  0.0427372
6  11.1  0.0396287
6  11.3  0.0367705
6  11.5  0.034169
6  11.7  0.0318702
6  11.9  0.0296402
8  0.1  1162.06
8  0.3  767.844
8  0.5  532.97
8  0.7  375.986
8  0.9  267.307
8  1.1  191.33
8  1.3  137.563
8  1.5  99.2796
8  1.7  72.0745
8  1.9  52.6155
8  2.1  38.7056
8  2.3  28.7346
8  2.5  21.5247
8  2.7  16.2834
8  2.9  12.4362
8  3.1  9.59951
8  3.3  7.48075
8  3.5  5.88452
8  3.7  4.6696
8  3.9  3.73754
8  4.1  3.01783
8  4.3  2.45317
8  4.5  2.00863
8  4.7  1.65575
8  4.9  1.37403
8  5.1  1.14706
8  5.3  0.962637
8  5.5  0.812221
8  5.7  0.688461
8  5.9  0.586871
8  6.1  0.502638
8  6.3  0.431812
8  6.5  0.372808
8  6.7  0.323303
8  6.9  0.281658
8  7.1  0.246454
8  7.3  0.219736
8  7.5  0.196816
8  7.7  0.176709
8  7.9  0.159136
8  8.1  0.143679
8  8.3  0.129911
8  8.5  0.117939
8  8.7  0.107116
8  8.9  0.0976043
8  9.1  0.0889454
8  9.3  0.0813012
8  9.5  0.0745232
8  9.7  0.0683536
8  9.9  0.0628175
8  10.1  0.0577714
8  10.3  0.0532982
8  10.5  0.0492108
8  10.7  0.0455286
8  10.9  0.0421686
8  11.1  0.0390454
8  11.3  0.0363106
8  11.5  0.0337068
8  11.7  0.0313688
8  11.9  0.0292691
10  0.1  1148.28
10  0.3  758.901
10  0.5  526.654
10  0.7  371.288
10  0.9  263.903
10  1.1  188.713
10  1.3  135.473
10  1.5  97.778
10  1.7  70.8702
10  1.9  51.7546
10  2.1  38.062
10  2.3  28.2373
10  2.5  21.1468
10  2.7  15.9879
10  2.9  12.2084
10  3.1  9.42429
10  3.3  7.34428
10  3.5  5.77695
10  3.7  4.58302
10  3.9  3.66982
10  4.1  2.96136
10  4.3  2.40767
10  4.5  1.97156
10  4.7  1.62478
10  4.9  1.3485
10  5.1  1.12536
10  5.3  0.945048
10  5.5  0.797271
10  5.7  0.675431
10  5.9  0.575908
10  6.1  0.493082
10  6.3  0.423693
10  6.5  0.365895
10  6.7  0.317495
10  6.9  0.276403
10  7.1  0.241627
10  7.3  0.215947
10  7.5  0.193201
10  7.7  0.17359
10  7.9  0.156222
10  8.1  0.141008
10  8.3  0.12758
10  8.5  0.115546
10  8.7  0.105172
10  8.9  0.0957701
10  9.1  0.0873414
10  9.3  0.0798117
10  9.5  0.073068
10  9.7  0.0670794
10  9.9  0.0615946
10  10.1  0.0567981
10  10.3  0.0522655
10  10.5  0.04832
10  10.7  0.0446634
10  10.9  0.0413942
10  11.1  0.0383698
10  11.3  0.0356154
10  11.5  0.033094
10  11.7  0.0307874
10  11.9  0.0287044
12  0.1  1131.81
12  0.3  747.917
12  0.5  518.676
12  0.7  365.166
12  0.9  259.538
12  1.1  185.403
12  1.3  132.983
12  1.5  95.8831
12  1.7  69.4302
12  1.9  50.6739
12  2.1  37.2424
12  2.3  27.6117
12  2.5  20.6711
12  2.7  15.6227
12  2.9  11.9269
