# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0014/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -0.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  759.506
0  0.3  595.731
0  0.5  457.517
0  0.7  342.174
0  0.9  251.914
0  1.1  183.784
0  1.3  133.547
0  1.5  96.9681
0  1.7  70.5694
0  1.9  51.6539
0  2.1  38.0956
0  2.3  28.3217
0  2.5  21.2516
0  2.7  16.105
0  2.9  12.3148
0  3.1  9.50947
0  3.3  7.4136
0  3.5  5.83032
0  3.7  4.62402
0  3.9  3.69637
0  4.1  2.97743
0  4.3  2.41626
0  4.5  1.9743
0  4.7  1.62395
0  4.9  1.3425
0  5.1  1.11727
0  5.3  0.934152
0  5.5  0.786133
0  5.7  0.664224
0  5.9  0.56378
0  6.1  0.480718
0  6.3  0.411286
0  6.5  0.353445
0  6.7  0.304843
0  6.9  0.263818
0  7.1  0.229074
0  7.3  0.199479
0  7.5  0.174298
0  7.7  0.152817
0  7.9  0.134214
0  8.1  0.118282
0  8.3  0.104492
0  8.5  0.0925052
0  8.7  0.0821257
0  8.9  0.0730778
0  9.1  0.06516
0  9.3  0.0581908
0  9.5  0.0520772
0  9.7  0.0466971
0  9.9  0.0419655
0  10.1  0.0377795
0  10.3  0.0340802
0  10.5  0.030777
0  10.7  0.0278481
0  10.9  0.0252305
0  11.1  0.0228933
0  11.3  0.0207896
0  11.5  0.0189166
0  11.7  0.0172305
0  11.9  0.0157183
2  0.1  758.744
2  0.3  595.128
2  0.5  457.047
2  0.7  341.812
2  0.9  251.635
2  1.1  183.57
2  1.3  133.382
2  1.5  96.8417
2  1.7  70.4733
2  1.9  51.5796
2  2.1  38.0398
2  2.3  28.2789
2  2.5  21.2188
2  2.7  16.0797
2  2.9  12.2952
2  3.1  9.49404
2  3.3  7.40145
2  3.5  5.82072
2  3.7  4.61629
2  3.9  3.69017
2  4.1  2.97237
2  4.3  2.41214
2  4.5  1.97093
2  4.7  1.62117
2  4.9  1.34019
2  5.1  1.11533
2  5.3  0.932536
2  5.5  0.784756
2  5.7  0.663075
2  5.9  0.562784
2  6.1  0.479869
2  6.3  0.410565
2  6.5  0.352813
2  6.7  0.304295
2  6.9  0.263361
2  7.1  0.228675
2  7.3  0.199132
2  7.5  0.17401
2  7.7  0.152534
2  7.9  0.133973
2  8.1  0.11807
2  8.3  0.104307
2  8.5  0.092343
2  8.7  0.0819825
2  8.9  0.0729423
2  9.1  0.0650405
2  9.3  0.0580936
2  9.5  0.0519868
2  9.7  0.0466083
2  9.9  0.0418886
2  10.1  0.0377132
2  10.3  0.0340121
2  10.5  0.0307201
2  10.7  0.0277926
2  10.9  0.0251831
2  11.1  0.0228572
2  11.3  0.020751
2  11.5  0.0188786
2  11.7  0.0171979
2  11.9  0.0156905
4  0.1  756.436
4  0.3  593.305
4  0.5  455.628
4  0.7  340.721
4  0.9  250.916
4  1.1  182.921
4  1.3  132.883
4  1.5  96.4601
4  1.7  70.2124
4  1.9  51.3557
4  2.1  37.8713
4  2.3  28.1501
4  2.5  21.1198
4  2.7  16.0033
4  2.9  12.2359
4  3.1  9.44766
4  3.3  7.36482
4  3.5  5.79173
4  3.7  4.59306
4  3.9  3.67155
4  4.1  2.95727
4  4.3  2.39975
4  4.5  1.96075
4  4.7  1.61279
4  4.9  1.33326
4  5.1  1.10955
4  5.3  0.927646
4  5.5  0.780648
4  5.7  0.65959
4  5.9  0.559845
4  6.1  0.477317
4  6.3  0.408383
4  6.5  0.350965
4  6.7  0.302724
4  6.9  0.261973
4  7.1  0.227446
4  7.3  0.198057
4  7.5  0.173075
4  7.7  0.151691
4  7.9  0.133259
4  8.1  0.117467
4  8.3  0.103749
4  8.5  0.0918447
4  8.7  0.0815318
4  8.9  0.072537
4  9.1  0.0646732
4  9.3  0.0577868
4  9.5  0.0517093
4  9.7  0.0463584
4  9.9  0.0416536
4  10.1  0.0375034
4  10.3  0.0338387
4  10.5  0.0305558
4  10.7  0.0276451
