# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0030/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  357.945
0  0.3  270.591
0  0.5  201.83
0  0.7  146.543
0  0.9  104.565
0  1.1  73.9627
0  1.3  52.1623
0  1.5  36.8135
0  1.7  26.044
0  1.9  18.4957
0  2.1  13.1939
0  2.3  9.46134
0  2.5  6.8277
0  2.7  4.95811
0  2.9  3.62462
0  3.1  2.66851
0  3.3  1.97719
0  3.5  1.47591
0  3.7  1.10835
0  3.9  0.83713
0  4.1  0.636384
0  4.3  0.486757
0  4.5  0.374694
0  4.7  0.289817
0  4.9  0.225309
0  5.1  0.17584
0  5.3  0.138033
0  5.5  0.108848
0  5.7  0.086293
0  5.9  0.0685638
0  6.1  0.0547881
0  6.3  0.0438957
0  6.5  0.0353073
0  6.7  0.0284863
0  6.9  0.0230633
0  7.1  0.0187314
0  7.3  0.0152593
0  7.5  0.0124659
0  7.7  0.0102113
0  7.9  0.0083875
0  8.1  0.00691086
0  8.3  0.00570317
0  8.5  0.00472317
0  8.7  0.00391399
0  8.9  0.00325358
0  9.1  0.00271071
0  9.3  0.0022621
0  9.5  0.00189155
0  9.7  0.00158467
0  9.9  0.00133082
0  10.1  0.00111875
0  10.3  0.000942409
0  10.5  0.000795245
0  10.7  0.000672641
0  10.9  0.000568716
0  11.1  0.00048199
0  11.3  0.000409058
0  11.5  0.000347599
0  11.7  0.000295869
0  11.9  0.000252147
2  0.1  357.675
2  0.3  270.386
2  0.5  201.676
2  0.7  146.429
2  0.9  104.481
2  1.1  73.9019
2  1.3  52.1184
2  1.5  36.7806
2  1.7  26.0196
2  1.9  18.4776
2  2.1  13.1804
2  2.3  9.4513
2  2.5  6.82021
2  2.7  4.95249
2  2.9  3.6204
2  3.1  2.66532
2  3.3  1.97478
2  3.5  1.47407
2  3.7  1.10694
2  3.9  0.836053
2  4.1  0.635553
2  4.3  0.486112
2  4.5  0.374192
2  4.7  0.289425
2  4.9  0.225001
2  5.1  0.175597
2  5.3  0.137841
2  5.5  0.108695
2  5.7  0.0861713
2  5.9  0.0684666
2  6.1  0.05471
2  6.3  0.0438327
2  6.5  0.0352564
2  6.7  0.0284451
2  6.9  0.0230297
2  7.1  0.0187039
2  7.3  0.0152368
2  7.5  0.0124475
2  7.7  0.0101961
2  7.9  0.00837504
2  8.1  0.00690055
2  8.3  0.00569459
2  8.5  0.00471608
2  8.7  0.00390809
2  8.9  0.00324867
2  9.1  0.0027066
2  9.3  0.00225867
2  9.5  0.00188867
2  9.7  0.00158226
2  9.9  0.0013288
2  10.1  0.00111703
2  10.3  0.000940963
2  10.5  0.000794036
2  10.7  0.000671605
2  10.9  0.000567836
2  11.1  0.000481242
