# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0035/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 0.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1209.83
0  0.3  794.016
0  0.5  546.808
0  0.7  383.739
0  0.9  272.532
0  1.1  195.531
0  1.3  141.573
0  1.5  103.36
0  1.7  76.0937
0  1.9  56.4878
0  2.1  42.3047
0  2.3  31.961
0  2.5  24.3673
0  2.7  18.7495
0  2.9  14.5589
0  3.1  11.4035
0  3.3  9.00675
0  3.5  7.17141
0  3.7  5.75441
0  3.9  4.65264
0  4.1  3.78767
0  4.3  3.1046
0  4.5  2.55871
0  4.7  2.12326
0  4.9  1.77122
0  5.1  1.48528
0  5.3  1.2516
0  5.5  1.05955
0  5.7  0.900943
0  5.9  0.76952
0  6.1  0.659913
0  6.3  0.568038
0  6.5  0.490379
0  6.7  0.425302
0  6.9  0.369574
0  7.1  0.322615
0  7.3  0.282335
0  7.5  0.247804
0  7.7  0.218077
0  7.9  0.192386
0  8.1  0.170144
0  8.3  0.150839
0  8.5  0.134014
0  8.7  0.119291
0  8.9  0.106494
0  9.1  0.0952471
0  9.3  0.0853487
0  9.5  0.0766019
0  9.7  0.0688728
0  9.9  0.06206
0  10.1  0.0559686
0  10.3  0.0505992
0  10.5  0.0458177
0  10.7  0.0415216
0  10.9  0.0377117
0  11.1  0.034297
0  11.3  0.0312334
0  11.5  0.0284811
0  11.7  0.026007
0  11.9  0.0237765
2  0.1  1208.66
2  0.3  793.226
2  0.5  546.25
2  0.7  383.337
2  0.9  272.234
2  1.1  195.307
2  1.3  141.404
2  1.5  103.23
2  1.7  75.9942
2  1.9  56.4109
2  2.1  42.2454
2  2.3  31.9151
2  2.5  24.3313
2  2.7  18.7212
2  2.9  14.5366
2  3.1  11.3858
2  3.3  8.99258
2  3.5  7.16003
2  3.7  5.7452
2  3.9  4.64512
2  4.1  3.7815
2  4.3  3.09952
2  4.5  2.55449
2  4.7  2.11972
2  4.9  1.76827
2  5.1  1.48278
2  5.3  1.2495
2  5.5  1.05777
2  5.7  0.899413
2  5.9  0.768211
2  6.1  0.658789
2  6.3  0.567073
2  6.5  0.489546
2  6.7  0.424575
2  6.9  0.368936
2  7.1  0.322054
2  7.3  0.281844
2  7.5  0.247376
2  7.7  0.217707
2  7.9  0.192052
2  8.1  0.169849
2  8.3  0.150566
2  8.5  0.133778
2  8.7  0.119082
2  8.9  0.106306
2  9.1  0.0950798
2  9.3  0.0852007
2  9.5  0.0764664
2  9.7  0.0687535
2  9.9  0.0619501
2  10.1  0.0558626
2  10.3  0.0505077
2  10.5  0.0457345
2  10.7  0.0414506
2  10.9  0.037644
2  11.1  0.0342359
2  11.3  0.0311777
2  11.5  0.0284294
2  11.7  0.0259611
2  11.9  0.0237336
4  0.1  1205.08
4  0.3  790.842
4  0.5  544.565
4  0.7  382.12
4  0.9  271.335
4  1.1  194.632
4  1.3  140.892
4  1.5  102.839
4  1.7  75.6936
4  1.9  56.1787
4  2.1  42.0664
4  2.3  31.7756
4  2.5  24.2231
4  2.7  18.6359
4  2.9  14.4693
4  3.1  11.3323
4  3.3  8.94988
4  3.5  7.12567
4  3.7  5.71737
4  3.9  4.62244
4  4.1  3.76292
4  4.3  3.08422
4  4.5  2.54178
4  4.7  2.10915
4  4.9  1.75934
4  5.1  1.47525
4  5.3  1.24314
4  5.5  1.05237
4  5.7  0.894812
4  5.9  0.764273
4  6.1  0.655401
4  6.3  0.564157
4  6.5  0.487027
4  6.7  0.422384
4  6.9  0.367027
4  7.1  0.320381
4  7.3  0.280341
4  7.5  0.246057
4  7.7  0.21655
4  7.9  0.191046
4  8.1  0.168975
4  8.3  0.149772
4  8.5  0.133075
4  8.7  0.11845
4  8.9  0.105733
4  9.1  0.0945689
4  9.3  0.084736
4  9.5  0.0760593
4  9.7  0.068394
4  9.9  0.0616161
4  10.1  0.0555641
4  10.3  0.0502405
4  10.5  0.0454844
4  10.7  0.0412239
4  10.9  0.0374447
4  11.1  0.034053
4  11.3  0.0310119
4  11.5  0.0282777
4  11.7  0.0258196
4  11.9  0.0236024
6  0.1  1199
6  0.3  786.815
6  0.5  541.716
6  0.7  380.064
6  0.9  269.817
6  1.1  193.494
6  1.3  140.027
6  1.5  102.179
6  1.7  75.1869
6  1.9  55.7871
6  2.1  41.7647
6  2.3  31.5406
6  2.5  24.0408
6  2.7  18.4925
6  2.9  14.3561
6  3.1  11.2422
6  3.3  8.87788
6  3.5  7.06772
6  3.7  5.6705
6  3.9  4.58428
6  4.1  3.73162
6  4.3  3.05844
6  4.5  2.52175
6  4.7  2.09135
6  4.9  1.74443
6  5.1  1.46267
6  5.3  1.23245
6  5.5  1.04329
6  5.7  0.887072
6  5.9  0.757655
6  6.1  0.649708
6  6.3  0.559256
6  6.5  0.48276
6  6.7  0.41841
6  6.9  0.363827
6  7.1  0.31758
6  7.3  0.277893
6  7.5  0.24388
6  7.7  0.21462
6  7.9  0.189321
6  8.1  0.167438
6  8.3  0.148439
6  8.5  0.131897
6  8.7  0.117409
6  8.9  0.104787
6  9.1  0.0937087
6  9.3  0.0839758
6  9.5  0.0753738
6  9.7  0.0677649
6  9.9  0.0610597
6  10.1  0.0550854
6  10.3  0.0497926
6  10.5  0.0450752
6  10.7  0.0408484
6  10.9  0.0370974
6  11.1  0.0337424
6  11.3  0.0307275
6  11.5  0.0280211
6  11.7  0.0255883
6  11.9  0.0233891
8  0.1  1190.27
8  0.3  781.06
8  0.5  537.645
8  0.7  377.126
8  0.9  267.646
8  1.1  191.867
8  1.3  138.792
8  1.5  101.238
8  1.7  74.464
8  1.9  55.2305
8  2.1  41.3347
8  2.3  31.2065
8  2.5  23.7809
8  2.7  18.2884
8  2.9  14.195
8  3.1  11.1143
8  3.3  8.77564
8  3.5  6.98543
8  3.7  5.60382
8  3.9  4.52995
8  4.1  3.68706
8  4.3  3.02175
8  4.5  2.49132
8  4.7  2.06598
8  4.9  1.72316
8  5.1  1.4448
8  5.3  1.21667
8  5.5  1.03047
8  5.7  0.876114
8  5.9  0.748235
8  6.1  0.641602
8  6.3  0.552247
8  6.5  0.476717
8  6.7  0.413146
8  6.9  0.359231
8  7.1  0.313561
8  7.3  0.274361
8  7.5  0.240825
8  7.7  0.211909
8  7.9  0.186936
8  8.1  0.165321
8  8.3  0.146537
8  8.5  0.130188
8  8.7  0.115872
8  8.9  0.103452
8  9.1  0.0925095
8  9.3  0.0828888
8  9.5  0.0743957
8  9.7  0.0668995
8  9.9  0.0602761
8  10.1  0.054392
8  10.3  0.0491461
8  10.5  0.044498
8  10.7  0.0403242
8  10.9  0.0366252
8  11.1  0.0333041
8  11.3  0.0303277
8  11.5  0.0276563
8  11.7  0.0252457
8  11.9  0.0230799
10  0.1  1178.8
10  0.3  773.411
10  0.5  532.593
10  0.7  373.243
10  0.9  264.777
10  1.1  189.72
10  1.3  137.123
10  1.5  99.9943
10  1.7  73.5105
10  1.9  54.497
10  2.1  40.7685
10  2.3  30.7678
10  2.5  23.4387
10  2.7  18.02
10  2.9  13.9832
10  3.1  10.9461
10  3.3  8.64123
10  3.5  6.87729
10  3.7  5.51629
10  3.9  4.45866
10  4.1  3.62863
10  4.3  2.97364
10  4.5  2.45137
10  4.7  2.03265
10  4.9  1.69522
10  5.1  1.4213
10  5.3  1.19743
10  5.5  1.01355
10  5.7  0.86168
10  5.9  0.735865
10  6.1  0.63101
10  6.3  0.543091
10  6.5  0.468815
10  6.7  0.406285
10  6.9  0.353233
10  7.1  0.308299
10  7.3  0.269742
10  7.5  0.236737
10  7.7  0.208299
10  7.9  0.183766
10  8.1  0.162504
10  8.3  0.144055
10  8.5  0.127993
10  8.7  0.113926
10  8.9  0.101678
10  9.1  0.0909233
10  9.3  0.0814886
10  9.5  0.0731523
10  9.7  0.0657475
10  9.9  0.0592346
10  10.1  0.0534235
10  10.3  0.0482977
10  10.5  0.0437062
10  10.7  0.0396226
10  10.9  0.0359858
10  11.1  0.0327274
10  11.3  0.0298042
10  11.5  0.0271828
10  11.7  0.0248191
10  11.9  0.022685
12  0.1  1164.28
12  0.3  763.633
12  0.5  525.75
12  0.7  368.312
12  0.9  261.136
12  1.1  186.999
12  1.3  135.093
12  1.5  98.438
12  1.7  72.3072
12  1.9  53.5726
12  2.1  40.0542
12  2.3  30.2145
12  2.5  23.0066
12  2.7  17.6819
12  2.9  13.7166
12  3.1  10.7344
12  3.3  8.47212
12  3.5  6.74132
12  3.7  5.40622
12  3.9  4.36902
12  4.1  3.55514
12  4.3  2.91318
12  4.5  2.40097
12  4.7  1.99076
12  4.9  1.66012
12  5.1  1.3904
12  5.3  1.17243
12  5.5  0.992326
12  5.7  0.843565
12  5.9  0.720321
12  6.1  0.617666
12  6.3  0.531562
12  6.5  0.458857
12  6.7  0.397625
12  6.9  0.345667
12  7.1  0.301683
12  7.3  0.263963
12  7.5  0.23166
12  7.7  0.203832
