# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0044/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  740.421
0  0.3  581.982
0  0.5  448.596
0  0.7  336.249
0  0.9  247.695
0  1.1  180.527
0  1.3  130.827
0  1.5  94.6567
0  1.7  68.6763
0  1.9  50.12
0  2.1  36.8221
0  2.3  27.2968
0  2.5  20.4364
0  2.7  15.4499
0  2.9  11.7976
0  3.1  9.10604
0  3.3  7.09434
0  3.5  5.57761
0  3.7  4.42399
0  3.9  3.54062
0  4.1  2.85555
0  4.3  2.32038
0  4.5  1.89751
0  4.7  1.56416
0  4.9  1.2965
0  5.1  1.08154
0  5.3  0.906745
0  5.5  0.764393
0  5.7  0.647425
0  5.9  0.551206
0  6.1  0.47144
0  6.3  0.404629
0  6.5  0.348786
0  6.7  0.301751
0  6.9  0.261811
0  7.1  0.228076
0  7.3  0.199435
0  7.5  0.174941
0  7.7  0.153809
0  7.9  0.135593
0  8.1  0.119946
0  8.3  0.106276
0  8.5  0.0944023
0  8.7  0.0840924
0  8.9  0.0751097
0  9.1  0.0671901
0  9.3  0.0602189
0  9.5  0.0541393
0  9.7  0.0487365
0  9.9  0.0439477
0  10.1  0.0397058
0  10.3  0.0359115
0  10.5  0.0325804
0  10.7  0.029553
0  10.9  0.0268692
0  11.1  0.0244846
0  11.3  0.0223326
0  11.5  0.0203907
0  11.7  0.0186427
0  11.9  0.0170767
2  0.1  739.63
2  0.3  581.36
2  0.5  448.11
2  0.7  335.872
2  0.9  247.395
2  1.1  180.303
2  1.3  130.653
2  1.5  94.5274
2  1.7  68.5767
2  1.9  50.0442
2  2.1  36.7647
2  2.3  27.2531
2  2.5  20.4031
2  2.7  15.4233
2  2.9  11.7777
2  3.1  9.09055
2  3.3  7.08204
2  3.5  5.56809
2  3.7  4.41629
2  3.9  3.53442
2  4.1  2.85056
2  4.3  2.31628
2  4.5  1.89506
2  4.7  1.5614
2  4.9  1.2942
2  5.1  1.0796
2  5.3  0.905129
2  5.5  0.763017
2  5.7  0.64626
2  5.9  0.550305
2  6.1  0.47055
2  6.3  0.40388
2  6.5  0.34816
2  6.7  0.30117
2  6.9  0.261325
2  7.1  0.2277
2  7.3  0.199036
2  7.5  0.174621
2  7.7  0.153545
2  7.9  0.135355
2  8.1  0.119739
2  8.3  0.106077
2  8.5  0.0942282
2  8.7  0.0839403
2  8.9  0.0749718
2  9.1  0.0670692
2  9.3  0.0601089
2  9.5  0.0540349
2  9.7  0.0486394
2  9.9  0.0438699
2  10.1  0.0396088
2  10.3  0.0358502
2  10.5  0.0325134
2  10.7  0.0294966
2  10.9  0.0268177
2  11.1  0.0244369
2  11.3  0.0222906
2  11.5  0.0203505
2  11.7  0.0186118
2  11.9  0.0170446
4  0.1  737.148
4  0.3  579.461
4  0.5  446.638
4  0.7  334.73
4  0.9  246.492
4  1.1  179.622
4  1.3  130.128
4  1.5  94.1316
4  1.7  68.2764
4  1.9  49.8155
4  2.1  36.5912
4  2.3  27.1214
4  2.5  20.3026
4  2.7  15.3467
4  2.9  11.7177
4  3.1  9.04366
4  3.3  7.04527
4  3.5  5.53917
4  3.7  4.39283
4  3.9  3.51581
4  4.1  2.83528
4  4.3  2.30395
4  4.5  1.88489
4  4.7  1.5529
4  4.9  1.28725
4  5.1  1.07375
4  5.3  0.900284
4  5.5  0.758892
4  5.7  0.64272
4  5.9  0.547323
4  6.1  0.468041
4  6.3  0.401587
4  6.5  0.346209
4  6.7  0.299489
4  6.9  0.25987
4  7.1  0.226463
4  7.3  0.197946
4  7.5  0.173647
4  7.7  0.152641
4  7.9  0.134643
4  8.1  0.119039
4  8.3  0.105476
4  8.5  0.0936773
4  8.7  0.0834598
4  8.9  0.0745485
4  9.1  0.0667037
4  9.3  0.0597843
4  9.5  0.0537282
4  9.7  0.0483735
4  9.9  0.0436432
4  10.1  0.039409
4  10.3  0.0356468
4  10.5  0.0323018
4  10.7  0.0293115
4  10.9  0.0266728
4  11.1  0.0242963
4  11.3  0.0221602
4  11.5  0.0202406
4  11.7  0.0184995
4  11.9  0.0169464
6  0.1  732.949
6  0.3  576.252
6  0.5  444.139
6  0.7  332.794
6  0.9  244.979
6  1.1  178.466
6  1.3  129.249
6  1.5  93.4954
6  1.7  67.7713
6  1.9  49.4302
6  2.1  36.299
6  2.3  26.8993
6  2.5  20.1333
6  2.7  15.2168
6  2.9  11.6173
6  3.1  8.9652
6  3.3  6.98334
6  3.5  5.49043
6  3.7  4.35396
6  3.9  3.48417
6  4.1  2.80998
6  4.3  2.28335
6  4.5  1.86707
6  4.7  1.53898
6  4.9  1.2755
6  5.1  1.06393
6  5.3  0.892017
6  5.5  0.751969
6  5.7  0.636799
6  5.9  0.542203
6  6.1  0.463728
6  6.3  0.397942
6  6.5  0.342967
6  6.7  0.296695
6  6.9  0.257579
6  7.1  0.224346
6  7.3  0.196157
6  7.5  0.17195
6  7.7  0.151215
6  7.9  0.133354
6  8.1  0.117891
6  8.3  0.1045
6  8.5  0.0928248
6  8.7  0.0826765
6  8.9  0.0738483
6  9.1  0.066067
6  9.3  0.0592171
6  9.5  0.0532305
6  9.7  0.0479214
6  9.9  0.0431986
6  10.1  0.039028
6  10.3  0.0353045
6  10.5  0.03202
6  10.7  0.0290481
6  10.9  0.0264158
6  11.1  0.0240734
6  11.3  0.0219431
6  11.5  0.0200434
6  11.7  0.0183367
6  11.9  0.0168024
8  0.1  727.36
8  0.3  571.666
8  0.5  440.556
8  0.7  330.023
8  0.9  242.84
8  1.1  176.809
8  1.3  127.995
8  1.5  92.5365
8  1.7  67.0471
8  1.9  48.8817
8  2.1  35.8834
8  2.3  26.5834
8  2.5  19.8924
8  2.7  15.0319
8  2.9  11.4747
8  3.1  8.85392
8  3.3  6.89569
8  3.5  5.421
8  3.7  4.29869
8  3.9  3.43971
8  4.1  2.77388
8  4.3  2.25355
8  4.5  1.8436
8  4.7  1.51757
8  4.9  1.25886
8  5.1  1.05012
8  5.3  0.880297
8  5.5  0.742007
8  5.7  0.628458
8  5.9  0.535003
8  6.1  0.457584
8  6.3  0.392651
8  6.5  0.338483
8  6.7  0.292776
8  6.9  0.25404
8  7.1  0.221374
8  7.3  0.193484
8  7.5  0.169711
8  7.7  0.149237
8  7.9  0.131529
8  8.1  0.116311
8  8.3  0.103096
8  8.5  0.0915694
8  8.7  0.0815622
8  8.9  0.0728498
8  9.1  0.0651704
8  9.3  0.0584261
8  9.5  0.052502
8  9.7  0.0472765
8  9.9  0.0426234
8  10.1  0.0384777
8  10.3  0.0348308
8  10.5  0.0315577
8  10.7  0.0286429
8  10.9  0.0260627
8  11.1  0.0237276
8  11.3  0.0216478
8  11.5  0.0197716
8  11.7  0.0180739
8  11.9  0.0165569
10  0.1  719.872
10  0.3  565.615
10  0.5  435.538
10  0.7  326.354
10  0.9  240.051
10  1.1  174.665
10  1.3  126.336
10  1.5  91.2726
10  1.7  66.0939
10  1.9  48.1521
10  2.1  35.336
10  2.3  26.1693
10  2.5  19.5763
10  2.7  14.7887
10  2.9  11.287
10  3.1  8.70754
10  3.3  6.7806
10  3.5  5.33015
10  3.7  4.22602
10  3.9  3.38111
10  4.1  2.72633
10  4.3  2.21492
10  4.5  1.81115
10  4.7  1.49253
10  4.9  1.2371
10  5.1  1.03184
10  5.3  0.86502
10  5.5  0.728905
10  5.7  0.617445
10  5.9  0.525679
10  6.1  0.44954
10  6.3  0.385789
10  6.5  0.332462
10  6.7  0.287602
10  6.9  0.249633
10  7.1  0.217431
10  7.3  0.190055
10  7.5  0.166711
10  7.7  0.146603
10  7.9  0.129185
10  8.1  0.114292
10  8.3  0.101257
10  8.5  0.089931
10  8.7  0.0801143
10  8.9  0.0715455
10  9.1  0.0639915
10  9.3  0.0573918
10  9.5  0.0515582
10  9.7  0.0464149
10  9.9  0.0418532
10  10.1  0.0378027
10  10.3  0.0342011
10  10.5  0.0309867
10  10.7  0.0281444
10  10.9  0.0255717
10  11.1  0.0232953
10  11.3  0.0212725
10  11.5  0.0194091
10  11.7  0.0177518
10  11.9  0.016257
12  0.1  710.234
12  0.3  558.168
12  0.5  429.797
12  0.7  321.674
12  0.9  236.529
12  1.1  171.943
12  1.3  124.244
12  1.5  89.6418
12  1.7  64.9027
12  1.9  47.2435
12  2.1  34.6494
12  2.3  25.6482
12  2.5  19.1788
12  2.7  14.4843
12  2.9  11.0514
12  3.1  8.52354
12  3.3  6.63622
12  3.5  5.21583
12  3.7  4.13476
12  3.9  3.30789
12  4.1  2.66689
12  4.3  2.16646
12  4.5  1.77134
12  4.7  1.45968
12  4.9  1.20976
12  5.1  1.00898
12  5.3  0.845774
12  5.5  0.712689
12  5.7  0.603613
12  5.9  0.513828
12  6.1  0.439275
12  6.3  0.377051
12  6.5  0.324976
12  6.7  0.281146
12  6.9  0.243998
12  7.1  0.212476
12  7.3  0.185736
12  7.5  0.16292
12  7.7  0.143229
12  7.9  0.126272
12  8.1  0.111635
12  8.3  0.0989194
12  8.5  0.0878707
12  8.7  0.0782726
12  8.9  0.0699149
12  9.1  0.0625204
12  9.3  0.0560793
12  9.5  0.0503769
12  9.7  0.0453179
12  9.9  0.0408951
12  10.1  0.0369296
12  10.3  0.0334215
12  10.5  0.0302708
12  10.7  0.0274795
12  10.9  0.0250016
12  11.1  0.0227733
12  11.3  0.0207715
12  11.5  0.0189642
12  11.7  0.0173403
12  11.9  0.0158784
14  0.1  698.19
14  0.3  548.694
14  0.5  422.332
14  0.7  316.013
14  0.9  231.918
14  1.1  168.402
14  1.3  121.649
14  1.5  87.6883
14  1.7  63.4201
14  1.9  46.127
14  2.1  33.8069
14  2.3  25.0093
14  2.5  18.6919
14  2.7  14.1108
14  2.9  10.7628
14  3.1  8.29615
14  3.3  6.46025
14  3.5  5.07602
14  3.7  4.02338
14  3.9  3.21815
14  4.1  2.5942
14  4.3  2.10724
14  4.5  1.72345
14  4.7  1.41945
14  4.9  1.1763
14  5.1  0.980975
14  5.3  0.822301
14  5.5  0.692795
14  5.7  0.586773
14  5.9  0.499527
14  6.1  0.427182
14  6.3  0.366484
14  6.5  0.315866
14  6.7  0.273258
14  6.9  0.237109
14  7.1  0.206473
14  7.3  0.180529
14  7.5  0.158305
14  7.7  0.139174
14  7.9  0.122682
14  8.1  0.108441
14  8.3  0.0961159
14  8.5  0.0853689
14  8.7  0.0760263
14  8.9  0.0679131
14  9.1  0.0607415
14  9.3  0.0544464
14  9.5  0.0489339
14  9.7  0.0440417
14  9.9  0.0397305
14  10.1  0.0358606
14  10.3  0.0324491
14  10.5  0.0294069
14  10.7  0.026681
14  10.9  0.0242798
14  11.1  0.0221173
14  11.3  0.0201548
14  11.5  0.01842
14  11.7  0.0168384
14  11.9  0.0154128
16  0.1  683.377
16  0.3  536.942
16  0.5  413.238
16  0.7  308.98
16  0.9  226.529
16  1.1  164.284
16  1.3  118.488
16  1.5  85.3087
16  1.7  61.6223
16  1.9  44.7654
16  2.1  32.786
16  2.3  24.2383
16  2.5  18.1037
16  2.7  13.6594
16  2.9  10.4197
16  3.1  8.02806
16  3.3  6.2481
16  3.5  4.90772
16  3.7  3.889
16  3.9  3.11036
16  4.1  2.5071
16  4.3  2.03597
16  4.5  1.66494
16  4.7  1.37115
16  4.9  1.13615
16  5.1  0.947272
16  5.3  0.794015
16  5.5  0.668916
16  5.7  0.566498
16  5.9  0.482192
16  6.1  0.412337
16  6.3  0.353736
16  6.5  0.304854
16  6.7  0.263746
16  6.9  0.22879
16  7.1  0.199242
16  7.3  0.1742
16  7.5  0.15276
16  7.7  0.134268
16  7.9  0.118332
16  8.1  0.104655
16  8.3  0.0927376
16  8.5  0.0823049
16  8.7  0.0733504
16  8.9  0.0655005
16  9.1  0.0585896
16  9.3  0.0525239
16  9.5  0.0472057
16  9.7  0.0424687
16  9.9  0.0382976
16  10.1  0.0346004
16  10.3  0.0312884
16  10.5  0.0283622
16  10.7  0.0257306
16  10.9  0.023416
16  11.1  0.0213089
16  11.3  0.019451
16  11.5  0.0177579
16  11.7  0.0162384
16  11.9  0.0148642
18  0.1  665.321
18  0.3  522.634
18  0.5  402.176
18  0.7  300.404
18  0.9  219.941
18  1.1  159.266
18  1.3  114.668
18  1.5  82.4326
18  1.7  59.4543
18  1.9  43.138
18  2.1  31.5635
18  2.3  23.3129
18  2.5  17.3981
18  2.7  13.1201
18  2.9  10.0014
18  3.1  7.70495
18  3.3  5.99411
18  3.5  4.70641
18  3.7  3.72872
18  3.9  2.98149
18  4.1  2.40272
18  4.3  1.95083
18  4.5  1.5951
18  4.7  1.31337
18  4.9  1.08815
18  5.1  0.907218
18  5.3  0.760371
18  5.5  0.64048
18  5.7  0.542363
18  5.9  0.461556
18  6.1  0.394685
18  6.3  0.338565
18  6.5  0.291807
18  6.7  0.252367
18  6.9  0.218891
18  7.1  0.190637
18  7.3  0.166652
18  7.5  0.146122
18  7.7  0.128442
18  7.9  0.113258
18  8.1  0.1001
18  8.3  0.088708
18  8.5  0.0787753
18  8.7  0.0701409
18  8.9  0.0625749
18  9.1  0.0560251
18  9.3  0.0502078
18  9.5  0.045131
18  9.7  0.0406118
18  9.9  0.0366144
18  10.1  0.0330685
18  10.3  0.0299075
18  10.5  0.0271301
18  10.7  0.0245856
18  10.9  0.0223693
18  11.1  0.0203839
18  11.3  0.0185819
18  11.5  0.0169674
18  11.7  0.0155178
18  11.9  0.0142068
20  0.1  643.398
20  0.3  505.129
20  0.5  388.647
20  0.7  289.953
20  0.9  212.025
20  1.1  153.226
20  1.3  110.019
20  1.5  78.952
20  1.7  56.8398
20  1.9  41.1803
20  2.1  30.0924
20  2.3  22.2002
20  2.5  16.5532
20  2.7  12.4747
20  2.9  9.50395
20  3.1  7.31802
20  3.3  5.69002
20  3.5  4.46634
20  3.7  3.53759
20  3.9  2.82777
20  4.1  2.27834
20  4.3  1.84935
20  4.5  1.51174
20  4.7  1.24453
20  4.9  1.03083
20  5.1  0.859421
20  5.3  0.720114
20  5.5  0.606457
20  5.7  0.513545
20  5.9  0.436987
20  6.1  0.373361
20  6.3  0.320474
20  6.5  0.276097
20  6.7  0.238832
20  6.9  0.207165
20  7.1  0.180362
20  7.3  0.157693
20  7.5  0.138168
20  7.7  0.121514
20  7.9  0.107104
20  8.1  0.0946519
20  8.3  0.083895
20  8.5  0.074501
20  8.7  0.0663155
20  8.9  0.0591952
20  9.1  0.0529674
20  9.3  0.0474756
20  9.5  0.0426649
20  9.7  0.0383887
20  9.9  0.0346112
20  10.1  0.0312602
20  10.3  0.028259
20  10.5  0.0256068
20  10.7  0.0232563
20  10.9  0.0211335
20  11.1  0.0192492
20  11.3  0.0175689
20  11.5  0.0160292
20  11.7  0.014646
20  11.9  0.0134237
22  0.1  616.002
22  0.3  483.521
22  0.5  371.839
22  0.7  277.036
22  0.9  202.16
22  1.1  145.73
22  1.3  104.385
22  1.5  74.7067
22  1.7  53.6671
22  1.9  38.81
22  2.1  28.3161
22  2.3  20.8615
22  2.5  15.5381
22  2.7  11.6995
22  2.9  8.90617
22  3.1  6.85243
22  3.3  5.32589
22  3.5  4.17869
22  3.7  3.30829
22  3.9  2.64369
22  4.1  2.12926
22  4.3  1.72771
22  4.5  1.4116
22  4.7  1.16217
22  4.9  0.962522
22  5.1  0.802183
22  5.3  0.672068
22  5.5  0.566117
22  5.7  0.479124
22  5.9  0.407627
22  6.1  0.348301
22  6.3  0.298816
22  6.5  0.257418
22  6.7  0.222511
22  6.9  0.193073
22  7.1  0.168141
22  7.3  0.146948
22  7.5  0.128815
22  7.7  0.113207
22  7.9  0.0997778
22  8.1  0.0881929
22  8.3  0.0781281
22  8.5  0.0693608
22  8.7  0.0617519
22  8.9  0.0551166
22  9.1  0.0493078
22  9.3  0.044203
22  9.5  0.039708
22  9.7  0.0357518
22  9.9  0.0322095
22  10.1  0.0290971
22  10.3  0.0263172
22  10.5  0.0238386
22  10.7  0.0216499
22  10.9  0.0196659
22  11.1  0.017919
22  11.3  0.01634
22  11.5  0.0149098
22  11.7  0.0136467
22  11.9  0.0124874
24  0.1  581.942
24  0.3  456.718
24  0.5  350.874
24  0.7  260.965
24  0.9  189.793
24  1.1  136.361
24  1.3  97.4024
24  1.5  69.4976
24  1.7  49.7831
24  1.9  35.9191
24  2.1  26.155
24  2.3  19.239
24  2.5  14.3092
24  2.7  10.7621
24  2.9  8.1849
24  3.1  6.2926
24  3.3  4.88746
24  3.5  3.83238
24  3.7  3.03234
24  3.9  2.42194
24  4.1  1.94998
24  4.3  1.5818
24  4.5  1.29214
24  4.7  1.0632
24  4.9  0.880243
24  5.1  0.733395
24  5.3  0.614381
24  5.5  0.517363
24  5.7  0.437711
24  5.9  0.372327
24  6.1  0.318149
24  6.3  0.272903
24  6.5  0.235012
24  6.7  0.203152
24  6.9  0.176259
24  7.1  0.153442
24  7.3  0.13409
24  7.5  0.117503
24  7.7  0.10327
24  7.9  0.0909569
24  8.1  0.0803975
24  8.3  0.0712346
24  8.5  0.0632603
24  8.7  0.0562886
24  8.9  0.0502525
24  9.1  0.0449422
24  9.3  0.0402826
24  9.5  0.0361787
24  9.7  0.0325615
24  9.9  0.0293477
24  10.1  0.0265085
24  10.3  0.0239733
24  10.5  0.0217151
24  10.7  0.0196978
24  10.9  0.0179021
24  11.1  0.0163058
24  11.3  0.0148738
24  11.5  0.0135866
24  11.7  0.0124117
24  11.9  0.0113691
26  0.1  538.449
26  0.3  422.566
26  0.5  324.271
26  0.7  240.516
26  0.9  174.318
26  1.1  124.723
26  1.3  88.7048
26  1.5  63.0341
26  1.7  45.001
26  1.9  32.3727
26  2.1  23.5141
26  2.3  17.2595
26  2.5  12.8157
26  2.7  9.62408
26  2.9  7.31158
26  3.1  5.61448
26  3.3  4.35617
26  3.5  3.41363
26  3.7  2.69885
26  3.9  2.15422
26  4.1  1.73372
26  4.3  1.40574
26  4.5  1.14767
26  4.7  0.943989
26  4.9  0.781254
26  5.1  0.650644
26  5.3  0.544805
26  5.5  0.458619
26  5.7  0.387942
26  5.9  0.329913
26  6.1  0.281912
26  6.3  0.241648
26  6.5  0.208088
26  6.7  0.179906
26  6.9  0.15596
26  7.1  0.135774
26  7.3  0.118595
26  7.5  0.103888
26  7.7  0.0913359
26  7.9  0.0804643
26  8.1  0.071048
26  8.3  0.0629596
26  8.5  0.0558877
26  8.7  0.0497218
26  8.9  0.0443901
26  9.1  0.0396879
26  9.3  0.0355756
26  9.5  0.031944
26  9.7  0.0287307
26  9.9  0.025919
26  10.1  0.0233766
26  10.3  0.0211549
26  10.5  0.019147
26  10.7  0.0173755
26  10.9  0.0157921
26  11.1  0.0143806
26  11.3  0.0131189
26  11.5  0.0119633
26  11.7  0.0109461
26  11.9  0.0100234
28  0.1  483.13
28  0.3  379.03
28  0.5  290.419
28  0.7  214.729
28  0.9  154.921
28  1.1  110.148
28  1.3  77.8993
28  1.5  55.0788
28  1.7  39.1438
28  1.9  28.0528
28  2.1  20.3082
28  2.3  14.8655
28  2.5  11.0146
28  2.7  8.2551
28  2.9  6.25767
28  3.1  4.80101
28  3.3  3.72175
28  3.5  2.91247
28  3.7  2.30037
28  3.9  1.83495
28  4.1  1.47471
28  4.3  1.1951
28  4.5  0.975428
28  4.7  0.802066
28  4.9  0.663224
28  5.1  0.551811
28  5.3  0.461922
28  5.5  0.389092
28  5.7  0.329218
28  5.9  0.27945
28  6.1  0.238768
28  6.3  0.204576
28  6.5  0.176017
28  6.7  0.152049
28  6.9  0.131859
28  7.1  0.114738
28  7.3  0.100162
28  7.5  0.0877983
28  7.7  0.0771427
28  7.9  0.0679361
28  8.1  0.0599762
28  8.3  0.0531074
28  8.5  0.0471577
28  8.7  0.0419291
28  8.9  0.0374295
28  9.1  0.0334763
28  9.3  0.0299798
28  9.5  0.0269317
28  9.7  0.0242176
28  9.9  0.0218187
28  10.1  0.0196911
28  10.3  0.0178213
28  10.5  0.0161305
28  10.7  0.0146314
28  10.9  0.0132934
28  11.1  0.0121062
28  11.3  0.0110414
28  11.5  0.0100762
28  11.7  0.00920396
28  11.9  0.00842855
30  0.1  414.152
30  0.3  324.69
30  0.5  248.405
30  0.7  182.712
30  0.9  130.995
30  1.1  92.4141
30  1.3  64.8802
30  1.5  45.5699
30  1.7  32.1996
30  1.9  22.9656
30  2.1  16.5535
30  2.3  12.0757
30  2.5  8.91879
30  2.7  6.67079
30  2.9  5.04485
30  3.1  3.86239
30  3.3  2.98906
30  3.5  2.33559
30  3.7  1.84232
30  3.9  1.46783
30  4.1  1.17903
30  4.3  0.954186
30  4.5  0.777959
30  4.7  0.638993
30  4.9  0.528091
30  5.1  0.439157
30  5.3  0.367452
30  5.5  0.308901
30  5.7  0.261002
30  5.9  0.221779
30  6.1  0.189337
30  6.3  0.162258
30  6.5  0.139551
30  6.7  0.120517
30  6.9  0.104411
30  7.1  0.0908153
30  7.3  0.0792657
30  7.5  0.0694362
30  7.7  0.0609402
30  7.9  0.0536786
30  8.1  0.0474078
30  8.3  0.0419165
30  8.5  0.0372167
30  8.7  0.0330887
30  8.9  0.0295144
30  9.1  0.0264138
30  9.3  0.0236391
30  9.5  0.0212267
30  9.7  0.0190859
30  9.9  0.0172123
30  10.1  0.0155227
30  10.3  0.0140313
30  10.5  0.0126908
30  10.7  0.0115151
30  10.9  0.0104644
30  11.1  0.00952304
30  11.3  0.00868247
30  11.5  0.0079266
30  11.7  0.00724145
30  11.9  0.00662926
32  0.1  333.639
32  0.3  261.382
32  0.5  199.383
32  0.7  145.715
32  0.9  103.501
32  1.1  72.3783
32  1.3  50.3585
32  1.5  35.0729
32  1.7  24.6046
32  1.9  17.4319
32  2.1  12.4976
32  2.3  9.07799
32  2.5  6.68064
32  2.7  4.97774
32  2.9  3.75527
32  3.1  2.86755
32  3.3  2.2142
32  3.5  1.7266
32  3.7  1.35964
32  3.9  1.08155
32  4.1  0.867387
32  4.3  0.701063
32  4.5  0.570831
32  4.7  0.468174
32  4.9  0.386608
32  5.1  0.321284
32  5.3  0.268427
32  5.5  0.225408
32  5.7  0.190303
32  5.9  0.161556
32  6.1  0.137857
32  6.3  0.118216
32  6.5  0.101905
32  6.7  0.0878315
32  6.9  0.0751655
32  7.1  0.0655876
32  7.3  0.0576598
32  7.5  0.0505194
32  7.7  0.0442113
32  7.9  0.0388433
32  8.1  0.0343019
32  8.3  0.0303486
32  8.5  0.0269265
32  8.7  0.0239148
32  8.9  0.0213392
32  9.1  0.0190727
32  9.3  0.0170776
32  9.5  0.0153215
32  9.7  0.0137715
32  9.9  0.0124021
32  10.1  0.0111805
32  10.3  0.0101033
32  10.5  0.00915424
32  10.7  0.00830042
32  10.9  0.00752571
32  11.1  0.00685357
32  11.3  0.00625257
32  11.5  0.00569661
32  11.7  0.00520616
32  11.9  0.00476878
34  0.1  250.049
34  0.3  195.854
34  0.5  148.966
34  0.7  107.979
34  0.9  75.8802
34  1.1  52.456
34  1.3  36.0723
34  1.5  24.8802
34  1.7  17.3027
34  1.9  12.1687
34  2.1  8.6678
34  2.3  6.26351
34  2.5  4.58568
34  2.7  3.4039
34  2.9  2.5578
34  3.1  1.94645
34  3.3  1.49853
34  3.5  1.16573
34  3.7  0.915514
34  3.9  0.72677
34  4.1  0.581865
34  4.3  0.469359
34  4.5  0.38159
34  4.7  0.312495
34  4.9  0.257635
34  5.1  0.213723
34  5.3  0.178488
34  5.5  0.149764
34  5.7  0.126165
34  5.9  0.107049
34  6.1  0.0911944
34  6.3  0.0779154
34  6.5  0.0670698
34  6.7  0.0578127
34  6.9  0.0499518
34  7.1  0.0434411
34  7.3  0.0378264
34  7.5  0.033109
34  7.7  0.0290293
34  7.9  0.0255
34  8.1  0.0224951
34  8.3  0.0199237
34  8.5  0.0176334
34  8.7  0.015649
34  8.9  0.0139858
34  9.1  0.0124625
34  9.3  0.0111471
34  9.5  0.0100176
34  9.7  0.00898767
34  9.9  0.00809247
34  10.1  0.00731241
34  10.3  0.00658071
34  10.5  0.00595851
34  10.7  0.0054278
34  10.9  0.00488801
34  11.1  0.00446988
34  11.3  0.00408154
34  11.5  0.00369947
34  11.7  0.00339999
34  11.9  0.00309363
