# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0047/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1211.84
0  0.3  960.118
0  0.5  762.466
0  0.7  598.662
0  0.9  466.268
0  1.1  361.679
0  1.3  279.805
0  1.5  216.157
0  1.7  166.795
0  1.9  128.738
0  2.1  99.5658
0  2.3  77.2383
0  2.5  60.2297
0  2.7  47.187
0  2.9  37.1921
0  3.1  29.5133
0  3.3  23.5771
0  3.5  18.964
0  3.7  15.3553
0  3.9  12.5198
0  4.1  10.2737
0  4.3  8.48192
0  4.5  7.04333
0  4.7  5.8859
0  4.9  4.94101
0  5.1  4.1707
0  5.3  3.5397
0  5.5  3.01546
0  5.7  2.58035
0  5.9  2.21637
0  6.1  1.91267
0  6.3  1.6568
0  6.5  1.44051
0  6.7  1.25614
0  6.9  1.09979
0  7.1  0.965299
0  7.3  0.85016
0  7.5  0.749945
0  7.7  0.664441
0  7.9  0.58982
0  8.1  0.524691
0  8.3  0.467959
0  8.5  0.418114
0  8.7  0.374374
0  8.9  0.3361
0  9.1  0.302434
0  9.3  0.272367
0  9.5  0.245866
0  9.7  0.222385
0  9.9  0.201651
0  10.1  0.183018
0  10.3  0.166314
0  10.5  0.151454
0  10.7  0.138031
0  10.9  0.126058
0  11.1  0.115232
0  11.3  0.105647
0  11.5  0.0969378
0  11.7  0.0888664
0  11.9  0.0817071
2  0.1  1210.57
2  0.3  959.09
2  0.5  761.643
2  0.7  598.007
2  0.9  465.747
2  1.1  361.254
2  1.3  279.46
2  1.5  215.877
2  1.7  166.588
2  1.9  128.555
2  2.1  99.4183
2  2.3  77.1198
2  2.5  60.1345
2  2.7  47.1109
2  2.9  37.1306
2  3.1  29.4639
2  3.3  23.5371
2  3.5  18.9316
2  3.7  15.3288
2  3.9  12.4981
2  4.1  10.2557
2  4.3  8.46704
2  4.5  7.03092
2  4.7  5.87551
2  4.9  4.93212
2  5.1  4.1633
2  5.3  3.53341
2  5.5  3.01006
2  5.7  2.57573
2  5.9  2.21235
2  6.1  1.90923
2  6.3  1.6538
2  6.5  1.43789
2  6.7  1.25386
2  6.9  1.09778
2  7.1  0.963615
2  7.3  0.848502
2  7.5  0.74861
2  7.7  0.663243
2  7.9  0.58871
2  8.1  0.523713
2  8.3  0.467087
2  8.5  0.417119
2  8.7  0.373689
2  8.9  0.33547
2  9.1  0.301882
2  9.3  0.271897
2  9.5  0.245417
2  9.7  0.221961
2  9.9  0.201312
2  10.1  0.182677
2  10.3  0.166004
2  10.5  0.151136
2  10.7  0.137759
2  10.9  0.125816
2  11.1  0.115002
2  11.3  0.105352
2  11.5  0.0967229
2  11.7  0.08882
2  11.9  0.0815701
4  0.1  1206.65
4  0.3  955.986
4  0.5  759.156
4  0.7  596.01
4  0.9  464.18
4  1.1  359.969
4  1.3  278.418
4  1.5  215.032
