# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0066/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 3.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  42.9277
0  0.3  30.458
0  0.5  19.8433
0  0.7  12.0641
0  0.9  7.0674
0  1.1  4.0681
0  1.3  2.33374
0  1.5  1.33937
0  1.7  0.773594
0  1.9  0.450556
0  2.1  0.264792
0  2.3  0.157277
0  2.5  0.0944132
0  2.7  0.0572722
0  2.9  0.035102
0  3.1  0.021723
0  3.3  0.0135889
0  3.5  0.00857544
0  3.7  0.00546164
0  3.9  0.00350776
0  4.1  0.00227166
0  4.3  0.00148307
0  4.5  0.000975666
0  4.7  0.000646597
0  4.9  0.000430904
0  5.1  0.000289106
0  5.3  0.000195213
0  5.5  0.000132608
0  5.7  9.05118e-05
0  5.9  6.21081e-05
0  6.1  4.28214e-05
0  6.3  2.96628e-05
0  6.5  2.06463e-05
0  6.7  1.44278e-05
0  6.9  1.01291e-05
0  7.1  7.14089e-06
0  7.3  5.05074e-06
0  7.5  3.5868e-06
0  7.7  2.55464e-06
0  7.9  1.82522e-06
0  8.1  1.30948e-06
0  8.3  9.424e-07
0  8.5  6.79509e-07
0  8.7  4.91709e-07
0  8.9  3.56839e-07
0  9.1  2.59508e-07
0  9.3  1.89178e-07
0  9.5  1.3834e-07
0  9.7  1.01379e-07
0  9.9  7.44655e-08
0  10.1  5.48173e-08
0  10.3  4.04541e-08
0  10.5  2.99111e-08
0  10.7  2.21522e-08
0  10.9  1.64351e-08
0  11.1  1.22239e-08
0  11.3  9.10977e-09
0  11.5  6.79733e-09
0  11.7  5.07962e-09
0  11.9  3.80551e-09
2  0.1  42.8973
2  0.3  30.4353
2  0.5  19.8368
2  0.7  12.0545
2  0.9  7.06195
2  1.1  4.06496
2  1.3  2.33167
2  1.5  1.33833
2  1.7  0.772908
2  1.9  0.450142
2  2.1  0.264538
2  2.3  0.157121
2  2.5  0.0943163
2  2.7  0.0572118
2  2.9  0.0350637
2  3.1  0.0216989
2  3.3  0.0135734
2  3.5  0.00856553
2  3.7  0.0054552
2  3.9  0.00350357
2  4.1  0.00226894
2  4.3  0.00148124
2  4.5  0.000974452
2  4.7  0.000645779
2  4.9  0.000430355
2  5.1  0.000288735
2  5.3  0.000194961
2  5.5  0.000132434
2  5.7  9.03929e-05
2  5.9  6.20255e-05
2  6.1  4.27644e-05
2  6.3  2.96236e-05
2  6.5  2.06184e-05
2  6.7  1.44082e-05
2  6.9  1.01153e-05
2  7.1  7.13112e-06
2  7.3  5.0438e-06
2  7.5  3.58183e-06
2  7.7  2.55108e-06
2  7.9  1.82267e-06
2  8.1  1.30765e-06
2  8.3  9.41071e-07
2  8.5  6.78555e-07
2  8.7  4.91012e-07
2  8.9  3.56329e-07
2  9.1  2.59136e-07
2  9.3  1.88906e-07
2  9.5  1.3814e-07
2  9.7  1.01232e-07
2  9.9  7.43578e-08
2  10.1  5.47394e-08
2  10.3  4.03952e-08
2  10.5  2.98676e-08
2  10.7  2.212e-08
2  10.9  1.6411e-08
2  11.1  1.22058e-08
2  11.3  9.09635e-09
2  11.5  6.78725e-09
2  11.7  5.07212e-09
2  11.9  3.79988e-09
4  0.1  42.813
4  0.3  30.3761
4  0.5  19.7888
4  0.7  12.0302
4  0.9  7.04783
4  1.1  4.05571
4  1.3  2.32611
4  1.5  1.33478
4  1.7  0.770813
4  1.9  0.448847
4  2.1  0.263746
4  2.3  0.156652
4  2.5  0.0940176
4  2.7  0.0570327
4  2.9  0.0349338
4  3.1  0.0216394
4  3.3  0.0135275
4  3.5  0.00853373
4  3.7  0.0054371
4  3.9  0.00349097
4  4.1  0.00226073
4  4.3  0.00147595
4  4.5  0.000970134
4  4.7  0.00064279
4  4.9  0.000428637
4  5.1  0.000287734
4  5.3  0.000194033
4  5.5  0.000131866
4  5.7  9.00028e-05
4  5.9  6.17667e-05
4  6.1  4.25736e-05
4  6.3  2.95088e-05
4  6.5  2.05435e-05
4  6.7  1.43569e-05
4  6.9  1.00779e-05
4  7.1  7.10305e-06
4  7.3  5.02197e-06
4  7.5  3.56813e-06
4  7.7  2.54037e-06
4  7.9  1.81499e-06
4  8.1  1.30212e-06
4  8.3  9.37071e-07
4  8.5  6.75652e-07
4  8.7  4.88902e-07
4  8.9  3.54794e-07
4  9.1  2.58013e-07
4  9.3  1.88087e-07
4  9.5  1.37539e-07
4  9.7  1.00791e-07
4  9.9  7.40355e-08
4  10.1  5.45001e-08
4  10.3  4.02172e-08
4  10.5  2.97356e-08
4  10.7  2.20224e-08
4  10.9  1.63384e-08
4  11.1  1.21517e-08
4  11.3  9.05588e-09
4  11.5  6.75702e-09
4  11.7  5.04951e-09
4  11.9  3.78299e-09
6  0.1  42.6661
6  0.3  30.2709
6  0.5  19.7193
6  0.7  11.9871
6  0.9  7.02148
6  1.1  4.03987
6  1.3  2.31659
6  1.5  1.32899
