# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/bk_posterior/member_0095/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  360.73
0  0.3  272.307
0  0.5  196.999
0  0.7  136.857
0  0.9  93.15
0  1.1  62.8776
0  1.3  42.382
0  1.5  28.6557
0  1.7  19.4884
0  1.9  13.3567
0  2.1  9.23746
0  2.3  6.45284
0  2.5  4.55203
0  2.7  3.24402
0  2.9  2.33513
0  3.1  1.69797
0  3.3  1.2463
0  3.5  0.922971
0  3.7  0.68931
0  3.9  0.519299
0  4.1  0.39422
0  4.3  0.301455
0  4.5  0.23208
0  4.7  0.180052
0  4.9  0.140475
0  5.1  0.110307
0  5.3  0.0870645
0  5.5  0.0691255
0  5.7  0.0551299
0  5.9  0.0442035
0  6.1  0.0355961
0  6.3  0.0288148
0  6.5  0.0234083
0  6.7  0.0190659
0  6.9  0.015604
0  7.1  0.0128154
0  7.3  0.0105614
0  7.5  0.00873647
0  7.7  0.00724769
0  7.9  0.00602955
0  8.1  0.00503177
0  8.3  0.00421713
0  8.5  0.00353761
0  8.7  0.00297577
0  8.9  0.00250975
0  9.1  0.00212153
0  9.3  0.00179724
0  9.5  0.00152407
0  9.7  0.00129865
0  9.9  0.00110707
0  10.1  0.000945663
0  10.3  0.000809462
0  10.5  0.000694028
0  10.7  0.000596007
0  10.9  0.000512868
0  11.1  0.000441431
0  11.3  0.000381096
0  11.5  0.000330082
0  11.7  0.000285785
0  11.9  0.000247486
2  0.1  360.444
2  0.3  272.09
2  0.5  196.84
2  0.7  136.744
2  0.9  93.0704
2  1.1  62.8209
2  1.3  42.3417
2  1.5  28.6272
2  1.7  19.468
2  1.9  13.3421
2  2.1  9.22695
2  2.3  6.44526
2  2.5  4.54651
2  2.7  3.23997
2  2.9  2.33216
2  3.1  1.69577
2  3.3  1.24465
2  3.5  0.921737
2  3.7  0.688373
2  3.9  0.518588
2  4.1  0.393673
2  4.3  0.301032
2  4.5  0.231752
2  4.7  0.179795
2  4.9  0.140273
2  5.1  0.110148
2  5.3  0.0869377
2  5.5  0.0690241
2  5.7  0.0550488
2  5.9  0.0441378
2  6.1  0.0355431
2  6.3  0.0287717
2  6.5  0.0233732
2  6.7  0.0190372
2  6.9  0.0155804
2  7.1  0.0127959
2  7.3  0.0105453
2  7.5  0.00872312
2  7.7  0.0072366
2  7.9  0.0060202
2  8.1  0.00502402
2  8.3  0.00421061
2  8.5  0.00353214
2  8.7  0.00297117
2  8.9  0.00250585
2  9.1  0.00211824
2  9.3  0.00179444
2  9.5  0.00152171
2  9.7  0.00129663
2  9.9  0.00110534
2  10.1  0.000944174
2  10.3  0.000808188
2  10.5  0.000692933
2  10.7  0.000595061
2  10.9  0.000512054
2  11.1  0.000440722
2  11.3  0.000380489
2  11.5  0.000329554
2  11.7  0.000285325
2  11.9  0.000247088
4  0.1  359.576
4  0.3  271.434
4  0.5  196.359
4  0.7  136.401
4  0.9  92.807
4  1.1  62.6498
4  1.3  42.22
4  1.5  28.5406
4  1.7  19.4063
4  1.9  13.298
4  2.1  9.19526
4  2.3  6.42237
4  2.5  4.52987
4  2.7  3.2278
4  2.9  2.32322
4  3.1  1.68913
4  3.3  1.2397
4  3.5  0.918013
4  3.7  0.685551
4  3.9  0.516432
4  4.1  0.39202
4  4.3  0.299757
4  4.5  0.230761
4  4.7  0.17902
4  4.9  0.139664
4  5.1  0.109666
4  5.3  0.0865553
4  5.5  0.0687186
4  5.7  0.0548036
4  5.9  0.0439405
4  6.1  0.0353832
4  6.3  0.0286418
4  6.5  0.0232672
4  6.7  0.0189506
4  6.9  0.0155092
4  7.1  0.0127372
4  7.3  0.0104968
4  7.5  0.00868284
4  7.7  0.00720308
4  7.9  0.00599232
4  8.1  0.00500071
4  8.3  0.00419104
4  8.5  0.00351568
4  8.7  0.00295734
4  8.9  0.00249413
4  9.1  0.00210833
4  9.3  0.00178605
4  9.5  0.00151457
4  9.7  0.0012905
4  9.9  0.00110013
4  10.1  0.000939703
4  10.3  0.000804356
4  10.5  0.00068965
4  10.7  0.000592243
4  10.9  0.000509622
4  11.1  0.000438627
4  11.3  0.000378672
4  11.5  0.000327976
4  11.7  0.00028396
4  11.9  0.000246299
6  0.1  358.121
6  0.3  270.336
6  0.5  195.548
6  0.7  135.826
6  0.9  92.3975
6  1.1  62.3607
6  1.3  42.0145
6  1.5  28.3943
6  1.7  19.3021
6  1.9  13.2235
6  2.1  9.14172
6  2.3  6.38369
6  2.5  4.50178
6  2.7  3.20729
6  2.9  2.30811
6  3.1  1.67794
6  3.3  1.23135
6  3.5  0.911728
6  3.7  0.680794
6  3.9  0.51281
6  4.1  0.389238
6  4.3  0.297609
6  4.5  0.229092
6  4.7  0.177715
6  4.9  0.138638
6  5.1  0.108855
6  5.3  0.0859115
6  5.5  0.0682043
6  5.7  0.0543917
6  5.9  0.0436084
6  6.1  0.0351147
6  6.3  0.0284234
6  6.5  0.0230891
6  6.7  0.0188049
6  6.9  0.0153894
6  7.1  0.0126385
6  7.3  0.0104151
6  7.5  0.00861516
6  7.7  0.00714676
6  7.9  0.00594536
6  8.1  0.0049614
6  8.3  0.00415801
6  8.5  0.00348788
6  8.7  0.0029339
6  8.9  0.00247428
6  9.1  0.00209149
6  9.3  0.00177175
6  9.5  0.00150243
6  9.7  0.00128016
6  9.9  0.00109129
6  10.1  0.000932144
6  10.3  0.000797865
6  10.5  0.000684063
6  10.7  0.000587429
6  10.9  0.000505459
6  11.1  0.000435034
6  11.3  0.000375592
6  11.5  0.00032531
6  11.7  0.000281653
6  11.9  0.000244297
8  0.1  356.03
8  0.3  268.749
8  0.5  194.385
8  0.7  134.996
8  0.9  91.8117
8  1.1  61.9475
8  1.3  41.7205
8  1.5  28.1854
8  1.7  19.1534
8  1.9  13.1169
8  2.1  9.06527
8  2.3  6.3285
8  2.5  4.46176
8  2.7  3.17803
8  2.9  2.28657
8  3.1  1.662
8  3.3  1.21944
8  3.5  0.90278
8  3.7  0.674014
8  3.9  0.507644
8  4.1  0.385277
8  4.3  0.294551
8  4.5  0.226716
8  4.7  0.175858
8  4.9  0.137179
8  5.1  0.107702
8  5.3  0.0849948
8  5.5  0.0674723
8  5.7  0.0538043
8  5.9  0.0431348
8  6.1  0.0347316
8  6.3  0.0281118
8  6.5  0.022835
8  6.7  0.018597
8  6.9  0.0152186
8  7.1  0.0124978
8  7.3  0.0102987
8  7.5  0.00851851
8  7.7  0.00706627
8  7.9  0.00587819
8  8.1  0.00490521
8  8.3  0.00411076
8  8.5  0.00344819
