# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.0
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1197.45
0  0.3  948.742
0  0.5  753.369
0  0.7  591.378
0  0.9  460.564
0  1.1  357.029
0  1.3  276.051
0  1.5  213.063
0  1.7  164.329
0  1.9  126.731
0  2.1  97.9868
0  2.3  76.0535
0  2.5  59.2633
0  2.7  46.4517
0  2.9  36.6278
0  3.1  29.0877
0  3.3  23.2561
0  3.5  18.7261
0  3.7  15.1747
0  3.9  12.3872
0  4.1  10.1769
0  4.3  8.4133
0  4.5  6.99709
0  4.7  5.85241
0  4.9  4.92454
0  5.1  4.16178
0  5.3  3.53572
0  5.5  3.01861
0  5.7  2.58706
0  5.9  2.22631
0  6.1  1.92533
0  6.3  1.66909
0  6.5  1.45329
0  6.7  1.2698
0  6.9  1.11305
0  7.1  0.978757
0  7.3  0.863436
0  7.5  0.763717
0  7.7  0.677327
0  7.9  0.602249
0  8.1  0.536792
0  8.3  0.479399
0  8.5  0.429231
0  8.7  0.38504
0  8.9  0.346334
0  9.1  0.312169
0  9.3  0.281901
0  9.5  0.255025
0  9.7  0.231082
0  9.9  0.209732
0  10.1  0.190531
0  10.3  0.173606
0  10.5  0.158324
0  10.7  0.144499
0  10.9  0.132287
0  11.1  0.121197
0  11.3  0.111197
0  11.5  0.102159
0  11.7  0.0939572
0  11.9  0.0864845
2  0.1  1196.12
2  0.3  947.72
2  0.5  752.542
2  0.7  590.695
2  0.9  460.04
2  1.1  356.585
2  1.3  275.705
2  1.5  212.782
2  1.7  164.103
2  1.9  126.548
2  2.1  97.8405
2  2.3  75.9355
2  2.5  59.169
2  2.7  46.3763
2  2.9  36.5669
2  3.1  29.039
2  3.3  23.2166
2  3.5  18.6939
2  3.7  15.1534
2  3.9  12.3657
2  4.1  10.159
2  4.3  8.39849
2  4.5  6.98477
2  4.7  5.842
2  4.9  4.91573
2  5.1  4.15437
2  5.3  3.52937
2  5.5  3.01322
2  5.7  2.5825
2  5.9  2.22226
2  6.1  1.92183
2  6.3  1.66607
2  6.5  1.45066
2  6.7  1.26749
2  6.9  1.11106
2  7.1  0.976949
2  7.3  0.8618
2  7.5  0.76235
2  7.7  0.676136
2  7.9  0.601191
2  8.1  0.535762
2  8.3  0.478581
2  8.5  0.428434
2  8.7  0.384328
2  8.9  0.345676
2  9.1  0.311566
2  9.3  0.28136
2  9.5  0.254497
2  9.7  0.23066
2  9.9  0.209343
2  10.1  0.190329
2  10.3  0.17329
2  10.5  0.15803
2  10.7  0.144226
2  10.9  0.132038
2  11.1  0.120967
2  11.3  0.110992
2  11.5  0.101959
2  11.7  0.0937827
2  11.9  0.0863797
4  0.1  1192.31
4  0.3  944.612
4  0.5  750.054
4  0.7  588.619
4  0.9  458.457
4  1.1  355.338
4  1.3  274.664
4  1.5  211.941
4  1.7  163.412
4  1.9  125.998
4  2.1  97.4345
4  2.3  75.5873
4  2.5  58.8858
4  2.7  46.1474
4  2.9  36.3847
4  3.1  28.8898
4  3.3  23.0946
4  3.5  18.5929
4  3.7  15.0693
4  3.9  12.3012
4  4.1  10.1057
4  4.3  8.35349
4  4.5  6.947
4  4.7  5.81182
4  4.9  4.88964
4  5.1  4.13397
4  5.3  3.51174
4  5.5  2.99668
4  5.7  2.56806
4  5.9  2.21151
4  6.1  1.9104
4  6.3  1.65752
4  6.5  1.44378
4  6.7  1.26103
4  6.9  1.10558
4  7.1  0.971861
4  7.3  0.856869
4  7.5  0.757758
4  7.7  0.672539
4  7.9  0.597903
4  8.1  0.53278
4  8.3  0.475825
4  8.5  0.426024
4  8.7  0.382182
4  8.9  0.343753
4  9.1  0.309837
4  9.3  0.279795
4  9.5  0.253075
4  9.7  0.229347
4  9.9  0.208168
4  10.1  0.189266
4  10.3  0.172305
4  10.5  0.157144
4  10.7  0.143413
4  10.9  0.131288
4  11.1  0.120282
4  11.3  0.11036
4  11.5  0.101391
4  11.7  0.0932478
4  11.9  0.0858391
6  0.1  1185.9
6  0.3  939.37
6  0.5  745.843
6  0.7  585.24
6  0.9  455.774
6  1.1  353.158
6  1.3  272.902
6  1.5  210.519
6  1.7  162.258
6  1.9  125.061
6  2.1  96.6525
6  2.3  74.9868
6  2.5  58.4056
6  2.7  45.765
6  2.9  36.0753
6  3.1  28.6432
6  3.3  22.8965
6  3.5  18.4337
6  3.7  14.936
6  3.9  12.1909
6  4.1  10.0147
6  4.3  8.27863
6  4.5  6.88468
6  4.7  5.75806
6  4.9  4.84413
6  5.1  4.09571
6  5.3  3.47806
6  5.5  2.96936
6  5.7  2.54342
6  5.9  2.18976
6  6.1  1.89368
6  6.3  1.64166
6  6.5  1.42938
6  6.7  1.24875
6  6.9  1.09469
6  7.1  0.962525
6  7.3  0.849157
6  7.5  0.750977
6  7.7  0.666132
6  7.9  0.592181
6  8.1  0.527781
6  8.3  0.471454
6  8.5  0.422059
6  8.7  0.378583
6  8.9  0.340511
6  9.1  0.306934
6  9.3  0.277131
6  9.5  0.250542
6  9.7  0.227199
6  9.9  0.206203
6  10.1  0.187472
6  10.3  0.17069
6  10.5  0.155649
6  10.7  0.142113
6  10.9  0.130032
6  11.1  0.119144
6  11.3  0.10932
6  11.5  0.100425
6  11.7  0.0923356
6  11.9  0.0850166
8  0.1  1176.76
8  0.3  931.861
8  0.5  740.032
8  0.7  580.421
8  0.9  451.916
8  1.1  350.06
8  1.3  270.386
8  1.5  208.51
8  1.7  160.611
8  1.9  123.75
8  2.1  95.5973
8  2.3  74.1346
8  2.5  57.7242
8  2.7  45.2187
8  2.9  35.6374
8  3.1  28.2906
8  3.3  22.6109
8  3.5  18.202
8  3.7  14.7467
8  3.9  12.0357
8  4.1  9.88668
8  4.3  8.17181
8  4.5  6.79506
8  4.7  5.68472
8  4.9  4.78111
8  5.1  4.04242
8  5.3  3.43235
8  5.5  2.92879
8  5.7  2.51149
8  5.9  2.16209
8  6.1  1.86778
8  6.3  1.61978
8  6.5  1.41073
8  6.7  1.23196
8  6.9  1.07999
8  7.1  0.949737
8  7.3  0.837615
8  7.5  0.740511
8  7.7  0.657214
8  7.9  0.584379
8  8.1  0.520719
8  8.3  0.464995
8  8.5  0.416333
8  8.7  0.373325
8  8.9  0.335597
8  9.1  0.302796
8  9.3  0.27341
8  9.5  0.247248
8  9.7  0.22405
8  9.9  0.203385
8  10.1  0.184905
8  10.3  0.168331
8  10.5  0.153517
8  10.7  0.140093
8  10.9  0.128266
8  11.1  0.117515
8  11.3  0.107824
8  11.5  0.099052
8  11.7  0.0910674
8  11.9  0.0838385
10  0.1  1164.19
10  0.3  921.945
10  0.5  731.931
10  0.7  574.103
10  0.9  446.654
10  1.1  345.962
10  1.3  267.066
10  1.5  205.796
10  1.7  158.44
10  1.9  122.042
10  2.1  94.1985
10  2.3  73.0156
10  2.5  56.8282
10  2.7  44.4933
10  2.9  35.0615
10  3.1  27.8259
10  3.3  22.2374
10  3.5  17.8978
10  3.7  14.5035
10  3.9  11.8314
10  4.1  9.71777
10  4.3  8.03184
10  4.5  6.67876
10  4.7  5.58706
10  4.9  4.69819
10  5.1  3.97182
10  5.3  3.37266
10  5.5  2.87774
10  5.7  2.46589
10  5.9  2.12291
10  6.1  1.83586
10  6.3  1.59148
10  6.5  1.3855
10  6.7  1.21128
10  6.9  1.06092
10  7.1  0.932941
10  7.3  0.823001
10  7.5  0.727695
10  7.7  0.645493
10  7.9  0.573808
10  8.1  0.511366
10  8.3  0.456812
10  8.5  0.408893
10  8.7  0.366801
10  8.9  0.329875
10  9.1  0.297342
10  9.3  0.26848
10  9.5  0.24285
10  9.7  0.220071
10  9.9  0.199751
10  10.1  0.181562
10  10.3  0.165307
10  10.5  0.150758
10  10.7  0.137562
10  10.9  0.125919
10  11.1  0.115386
10  11.3  0.105859
10  11.5  0.0972508
10  11.7  0.0894078
10  11.9  0.0823242
12  0.1  1148.52
12  0.3  909.349
12  0.5  721.883
12  0.7  566.163
12  0.9  440.367
12  1.1  340.774
12  1.3  263.011
12  1.5  202.396
12  1.7  155.702
12  1.9  119.852
12  2.1  92.4363
12  2.3  71.5647
12  2.5  55.7118
12  2.7  43.592
12  2.9  34.3383
12  3.1  27.2431
12  3.3  21.7685
12  3.5  17.5162
12  3.7  14.1918
12  3.9  11.5755
12  4.1  9.5064
12  4.3  7.85662
12  4.5  6.53215
12  4.7  5.46318
12  4.9  4.59441
12  5.1  3.8828
12  5.3  3.29757
12  5.5  2.81365
12  5.7  2.41176
12  5.9  2.07535
12  6.1  1.79486
12  6.3  1.55708
12  6.5  1.35433
12  6.7  1.18347
12  6.9  1.03687
12  7.1  0.911848
12  7.3  0.804265
12  7.5  0.711243
12  7.7  0.630779
12  7.9  0.560712
12  8.1  0.499724
12  8.3  0.446288
12  8.5  0.399534
12  8.7  0.358399
12  8.9  0.322314
12  9.1  0.29053
12  9.3  0.262331
12  9.5  0.237321
12  9.7  0.215034
12  9.9  0.195131
12  10.1  0.177384
12  10.3  0.161508
12  10.5  0.147275
12  10.7  0.134465
12  10.9  0.123023
12  11.1  0.112712
12  11.3  0.103399
12  11.5  0.0949739
12  11.7  0.0873712
12  11.9  0.0804546
14  0.1  1128.87
14  0.3  893.654
14  0.5  709.419
14  0.7  556.22
14  0.9  432.385
14  1.1  334.354
14  1.3  257.821
14  1.5  198.159
14  1.7  152.335
14  1.9  117.158
14  2.1  90.2985
14  2.3  69.8371
14  2.5  54.3229
14  2.7  42.488
14  2.9  33.4544
14  3.1  26.5318
14  3.3  21.1932
14  3.5  17.0498
14  3.7  13.8111
14  3.9  11.2625
14  4.1  9.2479
14  4.3  7.64242
14  4.5  6.35317
14  4.7  5.31319
14  4.9  4.46764
14  5.1  3.77491
14  5.3  3.20614
14  5.5  2.73528
14  5.7  2.3447
14  5.9  2.01725
14  6.1  1.7428
14  6.3  1.51202
14  6.5  1.31691
14  6.7  1.14956
14  6.9  1.00758
14  7.1  0.885958
14  7.3  0.781419
14  7.5  0.691072
14  7.7  0.61283
14  7.9  0.544778
14  8.1  0.485388
14  8.3  0.433618
14  8.5  0.387804
14  8.7  0.348129
14  8.9  0.313127
14  9.1  0.282188
14  9.3  0.254763
14  9.5  0.230273
14  9.7  0.208858
14  9.9  0.189502
14  10.1  0.172161
14  10.3  0.156842
14  10.5  0.14302
14  10.7  0.130563
14  10.9  0.119433
14  11.1  0.109367
14  11.3  0.100427
14  11.5  0.0922178
14  11.7  0.0847757
14  11.9  0.0781277
16  0.1  1105.13
16  0.3  874.587
16  0.5  694.08
16  0.7  544.016
16  0.9  422.623
16  1.1  326.501
16  1.3  251.345
16  1.5  193.052
16  1.7  148.234
