# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -3.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1037.87
0  0.3  821.723
0  0.5  653.043
0  0.7  512.385
0  0.9  397.197
0  1.1  305.076
0  1.3  231.938
0  1.5  174.727
0  1.7  130.547
0  1.9  97.118
0  2.1  72.0056
0  2.3  53.9518
0  2.5  41.0355
0  2.7  31.5505
0  2.9  24.4837
0  3.1  19.2041
0  3.3  15.2439
0  3.5  12.2197
0  3.7  9.9012
0  3.9  8.0962
0  4.1  6.68167
0  4.3  5.55965
0  4.5  4.66563
0  4.7  3.94158
0  4.9  3.35093
0  5.1  2.86704
0  5.3  2.46871
0  5.5  2.13711
0  5.7  1.86029
0  5.9  1.6255
0  6.1  1.42707
0  6.3  1.2581
0  6.5  1.11381
0  6.7  0.989057
0  6.9  0.88192
0  7.1  0.788546
0  7.3  0.707361
0  7.5  0.636536
0  7.7  0.574235
0  7.9  0.519525
0  8.1  0.47123
0  8.3  0.428481
0  8.5  0.39047
0  8.7  0.356584
0  8.9  0.326337
0  9.1  0.299258
0  9.3  0.274972
0  9.5  0.253007
0  9.7  0.233304
0  9.9  0.215405
0  10.1  0.19922
0  10.3  0.18453
0  10.5  0.171258
0  10.7  0.159025
0  10.9  0.147982
0  11.1  0.137848
0  11.3  0.128593
0  11.5  0.120173
0  11.7  0.112354
0  11.9  0.105055
2  0.1  1036.55
2  0.3  820.608
2  0.5  652.183
2  0.7  511.689
2  0.9  396.627
2  1.1  304.622
2  1.3  231.518
2  1.5  174.451
2  1.7  130.314
2  1.9  96.8818
2  2.1  71.8674
2  2.3  53.8385
2  2.5  40.9776
2  2.7  31.4661
2  2.9  24.4196
2  3.1  19.1648
2  3.3  15.2138
2  3.5  12.1974
2  3.7  9.88307
2  3.9  8.08052
2  4.1  6.67092
2  4.3  5.54872
2  4.5  4.65634
2  4.7  3.93374
2  4.9  3.34604
2  5.1  2.86131
2  5.3  2.46397
2  5.5  2.13362
2  5.7  1.85665
2  5.9  1.62258
2  6.1  1.42437
2  6.3  1.25568
2  6.5  1.11162
2  6.7  0.987051
2  6.9  0.880158
2  7.1  0.787027
2  7.3  0.706026
2  7.5  0.635303
2  7.7  0.573164
2  7.9  0.518498
2  8.1  0.470215
2  8.3  0.427598
2  8.5  0.389714
2  8.7  0.355906
2  8.9  0.325701
2  9.1  0.298684
2  9.3  0.274429
2  9.5  0.252514
2  9.7  0.232852
2  9.9  0.21499
2  10.1  0.198835
2  10.3  0.184188
2  10.5  0.170925
2  10.7  0.158715
2  10.9  0.147687
2  11.1  0.137585
2  11.3  0.128345
2  11.5  0.11994
2  11.7  0.112147
2  11.9  0.10485
4  0.1  1032.34
4  0.3  817.343
4  0.5  649.56
4  0.7  509.558
4  0.9  394.992
4  1.1  303.233
4  1.3  230.412
4  1.5  173.464
4  1.7  129.624
4  1.9  96.3348
4  2.1  71.462
4  2.3  53.51
4  2.5  40.7277
4  2.7  31.2714
4  2.9  24.2802
