# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.0
# ============================================================
# b  pD0  dsigma_dy
0  0.1  581.79
0  0.3  445.593
0  0.5  338.493
0  0.7  251.451
0  0.9  184.141
0  1.1  134.052
0  1.3  97.3916
0  1.5  70.8394
0  1.7  51.6363
0  1.9  37.7808
0  2.1  27.7614
0  2.3  20.5079
0  2.5  15.2471
0  2.7  11.3995
0  2.9  8.58386
0  3.1  6.50343
0  3.3  4.96221
0  3.5  3.81283
0  3.7  2.94668
0  3.9  2.29282
0  4.1  1.79531
0  4.3  1.41396
0  4.5  1.12032
0  4.7  0.892027
0  4.9  0.71425
0  5.1  0.574465
0  5.3  0.464376
0  5.5  0.377059
0  5.7  0.307696
0  5.9  0.251814
0  6.1  0.207072
0  6.3  0.170996
0  6.5  0.14165
0  6.7  0.117636
0  6.9  0.0981664
0  7.1  0.082102
0  7.3  0.0688961
0  7.5  0.0579191
0  7.7  0.0488681
0  7.9  0.041338
0  8.1  0.0350986
0  8.3  0.0298222
0  8.5  0.0253997
0  8.7  0.0216912
0  8.9  0.0185688
0  9.1  0.0159294
0  9.3  0.0136912
0  9.5  0.0117913
0  9.7  0.0101728
0  9.9  0.00879629
0  10.1  0.00762073
0  10.3  0.00660322
0  10.5  0.00573435
0  10.7  0.00498852
0  10.9  0.00434844
0  11.1  0.00379589
0  11.3  0.00331901
0  11.5  0.00290347
0  11.7  0.00254463
0  11.9  0.00223383
2  0.1  581.326
2  0.3  445.235
2  0.5  338.219
2  0.7  251.244
2  0.9  183.985
2  1.1  133.936
2  1.3  97.3033
2  1.5  70.7723
2  1.7  51.5851
2  1.9  37.7415
2  2.1  27.7313
2  2.3  20.4848
2  2.5  15.2293
2  2.7  11.3857
2  2.9  8.5733
2  3.1  6.49524
2  3.3  4.95582
2  3.5  3.80783
2  3.7  2.94273
2  3.9  2.28971
2  4.1  1.79284
2  4.3  1.41199
2  4.5  1.11875
2  4.7  0.89076
2  4.9  0.713227
2  5.1  0.573638
2  5.3  0.4637
2  5.5  0.376509
2  5.7  0.307246
2  5.9  0.25144
2  6.1  0.206763
2  6.3  0.170741
2  6.5  0.141438
2  6.7  0.117458
2  6.9  0.0980173
2  7.1  0.0819776
2  7.3  0.0687913
2  7.5  0.0578308
2  7.7  0.0487933
2  7.9  0.0412747
2  8.1  0.0350446
2  8.3  0.0297762
2  8.5  0.0253606
2  8.7  0.0216574
2  8.9  0.0185398
2  9.1  0.0159042
2  9.3  0.0136695
2  9.5  0.0117726
2  9.7  0.0101567
2  9.9  0.00878223
2  10.1  0.00760848
2  10.3  0.00659258
2  10.5  0.00572524
2  10.7  0.00498062
2  10.9  0.00434158
2  11.1  0.00378975
2  11.3  0.00331366
2  11.5  0.00289879
2  11.7  0.00254054
2  11.9  0.0022302
4  0.1  579.916
4  0.3  444.146
4  0.5  337.387
4  0.7  250.617
4  0.9  183.506
4  1.1  133.58
4  1.3  97.0358
4  1.5  70.5668
4  1.7  51.4408
4  1.9  37.6233
4  2.1  27.6479
4  2.3  20.4152
4  2.5  15.176
4  2.7  11.3443
4  2.9  8.54127
4  3.1  6.47096
4  3.3  4.93674
4  3.5  3.79316
4  3.7  2.93242
4  3.9  2.28028
4  4.1  1.78626
4  4.3  1.40616
4  4.5  1.11406
4  4.7  0.886728
4  4.9  0.710315
4  5.1  0.571355
4  5.3  0.461919
4  5.5  0.37541
4  5.7  0.306149
4  5.9  0.25063
4  6.1  0.206115
4  6.3  0.170203
4  6.5  0.141031
4  6.7  0.11725
4  6.9  0.0978079
4  7.1  0.081815
4  7.3  0.0687549
4  7.5  0.0579252
4  7.7  0.0488835
4  7.9  0.0413855
4  8.1  0.0351464
4  8.3  0.0299378
4  8.5  0.0255039
4  8.7  0.0218004
4  8.9  0.0186929
4  9.1  0.0160657
4  9.3  0.0138316
4  9.5  0.0119371
4  9.7  0.0103198
4  9.9  0.00894169
4  10.1  0.00775625
4  10.3  0.00675206
4  10.5  0.00587852
4  10.7  0.005136
4  10.9  0.00449241
4  11.1  0.00393567
4  11.3  0.00345314
4  11.5  0.00303396
4  11.7  0.00266417
4  11.9  0.00235194
6  0.1  577.567
6  0.3  442.328
6  0.5  335.991
6  0.7  249.567
6  0.9  182.722
6  1.1  132.987
6  1.3  96.5863
6  1.5  70.2274
6  1.7  51.1695
6  1.9  37.4238
6  2.1  27.4881
6  2.3  20.298
6  2.5  15.0859
6  2.7  11.2752
6  2.9  8.4879
6  3.1  6.42899
6  3.3  4.90421
6  3.5  3.7675
6  3.7  2.91096
6  3.9  2.26469
6  4.1  1.77296
6  4.3  1.39619
6  4.5  1.10608
6  4.7  0.880599
6  4.9  0.70501
6  5.1  0.567142
6  5.3  0.458275
6  5.5  0.372067
6  5.7  0.303598
6  5.9  0.248441
6  6.1  0.204282
6  6.3  0.168683
6  6.5  0.139717
6  6.7  0.11603
6  6.9  0.0967327
6  7.1  0.0809674
6  7.3  0.0679446
6  7.5  0.0571176
6  7.7  0.0481863
6  7.9  0.0408136
6  8.1  0.0346047
6  8.3  0.029405
6  8.5  0.025048
6  8.7  0.0213941
6  8.9  0.018306
6  9.1  0.0157013
6  9.3  0.0135082
6  9.5  0.0116224
6  9.7  0.010027
6  9.9  0.00866674
6  10.1  0.00750642
6  10.3  0.00650965
6  10.5  0.00565486
6  10.7  0.00491827
6  10.9  0.00428625
6  11.1  0.00374235
6  11.3  0.00327062
6  11.5  0.00286214
6  11.7  0.0025082
6  11.9  0.00219962
8  0.1  574.171
8  0.3  439.71
8  0.5  333.985
8  0.7  248.059
8  0.9  181.588
8  1.1  132.134
8  1.3  95.9419
8  1.5  69.738
8  1.7  50.7967
8  1.9  37.1391
8  2.1  27.2699
8  2.3  20.131
8  2.5  14.9574
8  2.7  11.1762
8  2.9  8.41143
8  3.1  6.36972
8  3.3  4.85802
8  3.5  3.73138
8  3.7  2.88258
8  3.9  2.24228
8  4.1  1.75521
8  4.3  1.38202
8  4.5  1.09475
8  4.7  0.871457
8  4.9  0.697627
8  5.1  0.561
8  5.3  0.453409
8  5.5  0.368095
8  5.7  0.300336
8  5.9  0.245752
8  6.1  0.202062
8  6.3  0.166835
8  6.5  0.138187
8  6.7  0.114748
8  6.9  0.0957464
8  7.1  0.0800692
8  7.3  0.0671834
8  7.5  0.0564759
8  7.7  0.0476465
8  7.9  0.040301
8  8.1  0.034193
8  8.3  0.0290696
8  8.5  0.0247567
8  8.7  0.0211401
8  8.9  0.0180965
8  9.1  0.0155233
8  9.3  0.0133415
8  9.5  0.0114892
8  9.7  0.00991184
8  9.9  0.00857019
8  10.1  0.00741886
8  10.3  0.00643281
8  10.5  0.0055862
8  10.7  0.00485953
8  10.9  0.00423583
8  11.1  0.00369728
8  11.3  0.00323268
8  11.5  0.00282771
8  11.7  0.00247799
8  11.9  0.00217529
10  0.1  569.661
10  0.3  436.222
10  0.5  331.321
10  0.7  246.054
10  0.9  180.074
10  1.1  131.002
10  1.3  95.0882
10  1.5  69.0875
10  1.7  50.3145
10  1.9  36.7619
10  2.1  26.9887
10  2.3  19.9097
10  2.5  14.7878
10  2.7  11.0451
10  2.9  8.31097
10  3.1  6.29178
10  3.3  4.79733
10  3.5  3.68398
10  3.7  2.84519
10  3.9  2.2127
10  4.1  1.7327
10  4.3  1.36361
10  4.5  1.07953
10  4.7  0.859344
10  4.9  0.688247
10  5.1  0.553784
10  5.3  0.447445
10  5.5  0.36363
10  5.7  0.296478
10  5.9  0.24269
10  6.1  0.199651
10  6.3  0.164793
10  6.5  0.136547
10  6.7  0.113493
10  6.9  0.0947403
10  7.1  0.0792985
10  7.3  0.0666065
10  7.5  0.0560826
10  7.7  0.0473585
10  7.9  0.040153
10  8.1  0.0340557
10  8.3  0.0289845
10  8.5  0.0247281
10  8.7  0.0211354
10  8.9  0.018131
10  9.1  0.0155758
10  9.3  0.013432
10  9.5  0.0115939
10  9.7  0.0100298
10  9.9  0.00868906
10  10.1  0.00754229
10  10.3  0.00657219
10  10.5  0.00573117
10  10.7  0.00500668
10  10.9  0.0043845
10  11.1  0.00384592
10  11.3  0.00337024
10  11.5  0.00296942
10  11.7  0.00261656
10  11.9  0.00231108
12  0.1  563.952
12  0.3  431.809
12  0.5  327.935
12  0.7  243.502
12  0.9  178.17
12  1.1  129.569
12  1.3  94.0027
12  1.5  68.2676
12  1.7  49.6763
12  1.9  36.2841
12  2.1  26.6162
12  2.3  19.6297
12  2.5  14.5727
12  2.7  10.8801
12  2.9  8.18296
12  3.1  6.19273
12  3.3  4.72024
12  3.5  3.62372
12  3.7  2.79797
12  3.9  2.17561
12  4.1  1.70232
12  4.3  1.33994
12  4.5  1.06107
12  4.7  0.84437
12  4.9  0.675556
12  5.1  0.543478
12  5.3  0.438984
12  5.5  0.356312
12  5.7  0.290437
12  5.9  0.237793
12  6.1  0.195484
12  6.3  0.161375
12  6.5  0.133642
12  6.7  0.110959
12  6.9  0.0925751
12  7.1  0.07741
12  7.3  0.0649401
12  7.5  0.0545832
12  7.7  0.0460448
12  7.9  0.0389428
12  8.1  0.0330372
12  8.3  0.0280839
12  8.5  0.0239147
12  8.7  0.0204194
12  8.9  0.0174781
12  9.1  0.014991
12  9.3  0.0128831
12  9.5  0.0110931
12  9.7  0.00956957
12  9.9  0.00827333
12  10.1  0.007167
12  10.3  0.00620932
12  10.5  0.00539181
12  10.7  0.0046901
12  10.9  0.00408789
12  11.1  0.00356782
12  11.3  0.00311937
12  11.5  0.00272845
12  11.7  0.00239093
12  11.9  0.00209873
14  0.1  556.83
14  0.3  426.307
14  0.5  323.72
14  0.7  240.324
14  0.9  175.794
14  1.1  127.782
14  1.3  92.654
14  1.5  67.2454
14  1.7  48.9122
14  1.9  35.6915
14  2.1  26.1634
14  2.3  19.2836
14  2.5  14.3073
14  2.7  10.6759
14  2.9  8.02548
14  3.1  6.07088
14  3.3  4.6255
14  3.5  3.54821
14  3.7  2.73987
14  3.9  2.12985
14  4.1  1.66602
14  4.3  1.31107
14  4.5  1.03798
14  4.7  0.825811
14  4.9  0.660582
14  5.1  0.531332
14  5.3  0.429112
14  5.5  0.348248
14  5.7  0.283825
14  5.9  0.232352
14  6.1  0.190987
14  6.3  0.157647
14  6.5  0.130535
14  6.7  0.108371
14  6.9  0.0904048
14  7.1  0.0755859
14  7.3  0.0634018
14  7.5  0.0532874
14  7.7  0.0449478
14  7.9  0.0380121
14  8.1  0.0322451
14  8.3  0.0274084
14  8.5  0.0233381
14  8.7  0.0199255
14  8.9  0.0170544
14  9.1  0.0146269
14  9.3  0.0125697
14  9.5  0.0108225
14  9.7  0.00934529
14  9.9  0.00807068
14  10.1  0.00699103
14  10.3  0.00605648
14  10.5  0.00525877
14  10.7  0.00457417
14  10.9  0.00398543
14  11.1  0.00347927
14  11.3  0.00304197
14  11.5  0.00266054
14  11.7  0.00233113
14  11.9  0.00204616
16  0.1  548.067
16  0.3  419.534
16  0.5  318.531
16  0.7  236.412
16  0.9  172.877
16  1.1  125.586
16  1.3  90.9978
16  1.5  65.9911
16  1.7  47.9584
16  1.9  34.9656
16  2.1  25.6098
16  2.3  18.8606
16  2.5  13.9833
16  2.7  10.4269
16  2.9  7.83373
16  3.1  5.92255
16  3.3  4.5104
16  3.5  3.45828
16  3.7  2.66934
16  3.9  2.07432
16  4.1  1.62197
16  4.3  1.27606
16  4.5  1.01004
16  4.7  0.803336
16  4.9  0.642474
16  5.1  0.516637
16  5.3  0.417165
16  5.5  0.338484
16  5.7  0.275816
16  5.9  0.225755
16  6.1  0.185537
16  6.3  0.15312
16  6.5  0.126769
16  6.7  0.105233
16  6.9  0.0877753
16  7.1  0.0733763
16  7.3  0.0615434
16  7.5  0.0517199
16  7.7  0.0436207
16  7.9  0.0368863
16  8.1  0.0312875
16  8.3  0.0265916
16  8.5  0.0226404
16  8.7  0.0193282
16  8.9  0.0165418
16  9.1  0.014186
16  9.3  0.0121899
16  9.5  0.0104951
16  9.7  0.00906146
16  9.9  0.00782541
16  10.1  0.00677799
16  10.3  0.00587138
16  10.5  0.00509779
16  10.7  0.00443396
16  10.9  0.00386317
16  11.1  0.00337224
16  11.3  0.00294829
16  11.5  0.00257851
16  11.7  0.00225925
16  11.9  0.00198297
18  0.1  537.272
18  0.3  411.219
18  0.5  312.154
18  0.7  231.553
18  0.9  169.296
18  1.1  122.893
18  1.3  88.9698
18  1.5  64.4568
18  1.7  46.7934
18  1.9  34.0803
18  2.1  24.9352
18  2.3  18.346
18  2.5  13.5897
18  2.7  10.1248
18  2.9  7.59862
18  3.1  5.74288
18  3.3  4.37096
18  3.5  3.34948
18  3.7  2.5841
18  3.9  2.00718
18  4.1  1.56878
18  4.3  1.23376
18  4.5  0.976246
18  4.7  0.776216
18  4.9  0.620612
18  5.1  0.498903
18  5.3  0.402751
18  5.5  0.326708
18  5.7  0.266168
18  5.9  0.217816
18  6.1  0.178985
18  6.3  0.147684
18  6.5  0.122246
18  6.7  0.101462
18  6.9  0.0846169
18  7.1  0.0707269
18  7.3  0.059309
18  7.5  0.0498376
18  7.7  0.0420285
18  7.9  0.035536
18  8.1  0.0301385
18  8.3  0.025612
18  8.5  0.0218044
18  8.7  0.0186128
18  8.9  0.0159281
18  9.1  0.0136585
18  9.3  0.0117357
18  9.5  0.0101024
18  9.7  0.00872166
18  9.9  0.00753166
18  10.1  0.00652278
18  10.3  0.00565009
18  10.5  0.00490517
18  10.7  0.00426602
18  10.9  0.00371657
18  11.1  0.00324402
18  11.3  0.00283591
18  11.5  0.00248011
18  11.7  0.00217287
18  11.9  0.00190702
20  0.1  523.928
20  0.3  400.954
20  0.5  304.245
20  0.7  225.625
20  0.9  164.869
20  1.1  119.576
20  1.3  86.4725
20  1.5  62.5698
20  1.7  45.3643
20  1.9  32.9958
20  2.1  24.1109
20  2.3  17.7184
20  2.5  13.1102
20  2.7  9.75735
20  2.9  7.31617
20  3.1  5.52792
20  3.3  4.20198
20  3.5  3.21778
20  3.7  2.48103
20  3.9  1.92605
20  4.1  1.50458
20  4.3  1.18273
20  4.5  0.935496
20  4.7  0.743534
20  4.9  0.594269
20  5.1  0.477574
20  5.3  0.385401
20  5.5  0.312536
20  5.7  0.254561
20  5.9  0.208266
20  6.1  0.171101
20  6.3  0.141088
20  6.5  0.116808
