# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 3.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  42.5989
0  0.3  30.1118
0  0.5  19.6902
0  0.7  12.1107
0  0.9  7.23534
0  1.1  4.27505
0  1.3  2.52694
0  1.5  1.49919
0  1.7  0.895866
0  1.9  0.540296
0  2.1  0.328646
0  2.3  0.202142
0  2.5  0.125499
0  2.7  0.0786731
0  2.9  0.0497785
0  3.1  0.0317783
0  3.3  0.0204705
0  3.5  0.0133031
0  3.7  0.00870725
0  3.9  0.00574588
0  4.1  0.00381894
0  4.3  0.00255736
0  4.5  0.00172404
0  4.7  0.00116866
0  4.9  0.000797229
0  5.1  0.0005472
0  5.3  0.000377462
0  5.5  0.00026174
0  5.7  0.00018238
0  5.9  0.000127676
0  6.1  8.97786e-05
0  6.3  6.3397e-05
0  6.5  4.49203e-05
0  6.7  3.19727e-05
0  6.9  2.28627e-05
0  7.1  1.63831e-05
0  7.3  1.17873e-05
0  7.5  8.51197e-06
0  7.7  6.16302e-06
0  7.9  4.47534e-06
0  8.1  3.25806e-06
0  8.3  2.38094e-06
0  8.5  1.74399e-06
0  8.7  1.28024e-06
0  8.9  9.42487e-07
0  9.1  6.95259e-07
0  9.3  5.1419e-07
0  9.5  3.81081e-07
0  9.7  2.8296e-07
0  9.9  2.10648e-07
0  10.1  1.57118e-07
0  10.3  1.17412e-07
0  10.5  8.7904e-08
0  10.7  6.59337e-08
0  10.9  4.95413e-08
0  11.1  3.72788e-08
0  11.3  2.81177e-08
0  11.5  2.12235e-08
0  11.7  1.60537e-08
0  11.9  1.21597e-08
2  0.1  42.5701
2  0.3  30.0913
2  0.5  19.6767
2  0.7  12.1021
2  0.9  7.2302
2  1.1  4.27178
2  1.3  2.52492
2  1.5  1.49793
2  1.7  0.895076
2  1.9  0.5398
2  2.1  0.328332
2  2.3  0.201942
2  2.5  0.12537
2  2.7  0.0785899
2  2.9  0.0497246
2  3.1  0.031743
2  3.3  0.0204474
2  3.5  0.0132878
2  3.7  0.00869703
2  3.9  0.00573902
2  4.1  0.00381431
2  4.3  0.00255423
2  4.5  0.0017219
2  4.7  0.0011672
2  4.9  0.000796226
2  5.1  0.000546504
2  5.3  0.000376972
2  5.5  0.000261397
2  5.7  0.000182139
2  5.9  0.000127506
2  6.1  8.96585e-05
2  6.3  6.33116e-05
2  6.5  4.48595e-05
2  6.7  3.19293e-05
2  6.9  2.28314e-05
2  7.1  1.63606e-05
2  7.3  1.17709e-05
2  7.5  8.50013e-06
2  7.7  6.1544e-06
2  7.9  4.46906e-06
2  8.1  3.25346e-06
2  8.3  2.37757e-06
2  8.5  1.74151e-06
2  8.7  1.27839e-06
2  8.9  9.41134e-07
2  9.1  6.94251e-07
2  9.3  5.13445e-07
2  9.5  3.80529e-07
2  9.7  2.82543e-07
2  9.9  2.10334e-07
2  10.1  1.56883e-07
2  10.3  1.17236e-07
2  10.5  8.77715e-08
2  10.7  6.5834e-08
2  10.9  4.94663e-08
2  11.1  3.72235e-08
2  11.3  2.80738e-08
2  11.5  2.11911e-08
2  11.7  1.60292e-08
2  11.9  1.2141e-08
4  0.1  42.4832
4  0.3  30.0297
4  0.5  19.6359
4  0.7  12.0763
4  0.9  7.2141
4  1.1  4.26183
4  1.3  2.51883
4  1.5  1.49411
4  1.7  0.892687
4  1.9  0.538305
4  2.1  0.327387
4  2.3  0.201337
4  2.5  0.124984
4  2.7  0.0783404
4  2.9  0.0495621
4  3.1  0.0316361
4  3.3  0.0203769
4  3.5  0.0132409
4  3.7  0.00866593
4  3.9  0.00571805
4  4.1  0.00380334
4  4.3  0.00254462
4  4.5  0.00171529
4  4.7  0.00116267
4  4.9  0.000793559
4  5.1  0.000544389
4  5.3  0.00037534
4  5.5  0.000260369
4  5.7  0.000181413
4  5.9  0.00012699
4  6.1  8.92976e-05
4  6.3  6.30531e-05
4  6.5  4.46755e-05
4  6.7  3.17986e-05
4  6.9  2.27347e-05
4  7.1  1.63024e-05
4  7.3  1.17277e-05
4  7.5  8.46448e-06
4  7.7  6.12879e-06
4  7.9  4.45067e-06
4  8.1  3.24037e-06
4  8.3  2.36777e-06
4  8.5  1.73411e-06
4  8.7  1.27302e-06
4  8.9  9.37121e-07
4  9.1  6.9113e-07
4  9.3  5.11048e-07
4  9.5  3.78849e-07
4  9.7  2.81358e-07
4  9.9  2.09453e-07
4  10.1  1.56183e-07
4  10.3  1.1672e-07
4  10.5  8.73934e-08
4  10.7  6.55481e-08
4  10.9  4.92689e-08
4  11.1  3.70683e-08
4  11.3  2.79446e-08
4  11.5  2.11074e-08
4  11.7  1.5959e-08
4  11.9  1.20854e-08
6  0.1  42.3363
6  0.3  29.9254
6  0.5  19.5668
6  0.7  12.0327
6  0.9  7.18705
6  1.1  4.24519
6  1.3  2.50852
6  1.5  1.48768
6  1.7  0.888661
6  1.9  0.535772
6  2.1  0.32579
6  2.3  0.200315
6  2.5  0.124333
6  2.7  0.0779171
6  2.9  0.0492877
6  3.1  0.0314568
6  3.3  0.020259
6  3.5  0.0131632
6  3.7  0.00861406
6  3.9  0.00568335
6  4.1  0.00377676
6  4.3  0.00252874
6  4.5  0.0017045
6  4.7  0.00115528
6  4.9  0.000788012
6  5.1  0.000540837
6  5.3  0.000372874
6  5.5  0.000258644
6  5.7  0.000180205
6  5.9  0.000126143
6  6.1  8.86956e-05
6  6.3  6.26272e-05
6  6.5  4.43708e-05
6  6.7  3.15836e-05
6  6.9  2.25795e-05
6  7.1  1.61791e-05
6  7.3  1.16395e-05
6  7.5  8.40458e-06
6  7.7  6.08511e-06
6  7.9  4.41845e-06
6  8.1  3.21626e-06
6  8.3  2.35035e-06
6  8.5  1.7215e-06
6  8.7  1.26371e-06
6  8.9  9.3024e-07
6  9.1  6.86215e-07
6  9.3  5.07468e-07
6  9.5  3.76095e-07
6  9.7  2.79265e-07
6  9.9  2.07914e-07
6  10.1  1.55036e-07
6  10.3  1.15853e-07
6  10.5  8.67335e-08
6  10.7  6.50532e-08
6  10.9  4.88789e-08
6  11.1  3.67816e-08
6  11.3  2.77258e-08
6  11.5  2.09359e-08
6  11.7  1.58362e-08
6  11.9  1.19956e-08
8  0.1  42.1246
8  0.3  29.7747
8  0.5  19.4675
8  0.7  11.9702
8  0.9  7.14824
8  1.1  4.22132
8  1.3  2.49375
8  1.5  1.47846
8  1.7  0.882894
8  1.9  0.532146
8  2.1  0.323503
8  2.3  0.198852
8  2.5  0.1234
8  2.7  0.0773134
8  2.9  0.0488955
8  3.1  0.0312003
8  3.3  0.0200965
8  3.5  0.0130515
8  3.7  0.00854519
8  3.9  0.00563351
8  4.1  0.00374629
8  4.3  0.00250594
8  4.5  0.00168895
8  4.7  0.00114463
8  4.9  0.000780674
8  5.1  0.000535741
8  5.3  0.000369328
8  5.5  0.000256165
8  5.7  0.000178464
8  5.9  0.000124916
8  6.1  8.78211e-05
8  6.3  6.20056e-05
8  6.5  4.39292e-05
8  6.7  3.12933e-05
8  6.9  2.23536e-05
8  7.1  1.60164e-05
8  7.3  1.15218e-05
8  7.5  8.31911e-06
8  7.7  6.02292e-06
8  7.9  4.37315e-06
8  8.1  3.18316e-06
8  8.3  2.32606e-06
8  8.5  1.70361e-06
8  8.7  1.25056e-06
8  8.9  9.20531e-07
8  9.1  6.79029e-07
8  9.3  5.02143e-07
8  9.5  3.72141e-07
8  9.7  2.76308e-07
8  9.9  2.05666e-07
8  10.1  1.53394e-07
8  10.3  1.14622e-07
8  10.5  8.581e-08
8  10.7  6.43597e-08
8  10.9  4.83562e-08
8  11.1  3.63862e-08
8  11.3  2.74415e-08
8  11.5  2.0712e-08
8  11.7  1.56671e-08
8  11.9  1.18619e-08
10  0.1  41.8452
10  0.3  29.5752
10  0.5  19.3354
10  0.7  11.8871
10  0.9  7.09662
10  1.1  4.18967
10  1.3  2.47418
10  1.5  1.46593
10  1.7  0.875245
10  1.9  0.527351
10  2.1  0.320468
10  2.3  0.196925
10  2.5  0.122164
10  2.7  0.0765153
10  2.9  0.048377
10  3.1  0.0308617
10  3.3  0.0198733
10  3.5  0.0129037
10  3.7  0.00844481
10  3.9  0.00556753
10  4.1  0.00370171
10  4.3  0.0024758
10  4.5  0.00166784
10  4.7  0.00113048
10  4.9  0.00077136
10  5.1  0.000529013
10  5.3  0.000364638
10  5.5  0.000252891
10  5.7  0.000176161
10  5.9  0.000123288
10  6.1  8.6679e-05
10  6.3  6.11912e-05
10  6.5  4.33509e-05
10  6.7  3.08742e-05
10  6.9  2.20518e-05
10  7.1  1.58106e-05
10  7.3  1.13722e-05
10  7.5  8.20676e-06
