# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.0,
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1255.49
0  0.3  829.78
0  0.5  575.884
0  0.7  406.763
0  0.9  290.536
0  1.1  209.353
0  1.3  151.92
0  1.5  111.035
0  1.7  81.7142
0  1.9  60.6195
0  2.1  45.3384
0  2.3  34.2181
0  2.5  26.065
0  2.7  20.0437
0  2.9  15.5592
0  3.1  12.1925
0  3.3  9.63954
0  3.5  7.68712
0  3.7  6.17988
0  3.9  5.00821
0  4.1  4.09011
0  4.3  3.36296
0  4.5  2.78261
0  4.7  2.31663
0  4.9  1.94088
0  5.1  1.63506
0  5.3  1.38423
0  5.5  1.17794
0  5.7  1.00676
0  5.9  0.864272
0  6.1  0.7456
0  6.3  0.645407
0  6.5  0.560578
0  6.7  0.488848
0  6.9  0.427663
0  7.1  0.375266
0  7.3  0.330454
0  7.5  0.291744
0  7.7  0.258359
0  7.9  0.22934
0  8.1  0.204222
0  8.3  0.182078
0  8.5  0.162752
0  8.7  0.145821
0  8.9  0.131037
0  9.1  0.117961
0  9.3  0.106389
0  9.5  0.0960854
0  9.7  0.0870059
0  9.9  0.0788712
0  10.1  0.0716308
0  10.3  0.0651603
0  10.5  0.0593703
0  10.7  0.0541488
0  10.9  0.0495026
0  11.1  0.0453249
0  11.3  0.041543
0  11.5  0.0381408
0  11.7  0.0350617
0  11.9  0.0322541
2  0.1  1254.05
2  0.3  828.867
2  0.5  575.233
2  0.7  406.296
2  0.9  290.185
2  1.1  209.088
2  1.3  151.717
2  1.5  110.88
2  1.7  81.5955
2  1.9  60.5276
2  2.1  45.2678
2  2.3  34.1634
2  2.5  26.0222
2  2.7  20.0103
2  2.9  15.533
2  3.1  12.1718
2  3.3  9.62301
2  3.5  7.6738
2  3.7  6.16911
2  3.9  4.99949
2  4.1  4.08288
2  4.3  3.35702
2  4.5  2.77775
2  4.7  2.3125
2  4.9  1.93743
2  5.1  1.63214
2  5.3  1.38177
2  5.5  1.17588
2  5.7  1.00496
2  5.9  0.862696
2  6.1  0.744213
2  6.3  0.644245
2  6.5  0.559523
2  6.7  0.48778
2  6.9  0.426916
2  7.1  0.37459
2  7.3  0.329848
2  7.5  0.291301
2  7.7  0.257869
2  7.9  0.228929
2  8.1  0.203755
2  8.3  0.181721
2  8.5  0.162442
2  8.7  0.145562
2  8.9  0.130734
2  9.1  0.117715
2  9.3  0.106192
2  9.5  0.0959112
2  9.7  0.0868015
2  9.9  0.0787113
2  10.1  0.0714981
2  10.3  0.0650432
2  10.5  0.0592638
2  10.7  0.0540446
2  10.9  0.0494091
2  11.1  0.0452322
2  11.3  0.0414649
2  11.5  0.0380862
2  11.7  0.034995
2  11.9  0.0321943
4  0.1  1250.18
4  0.3  826.114
4  0.5  573.277
4  0.7  404.871
4  0.9  289.122
4  1.1  208.287
4  1.3  151.112
4  1.5  110.412
4  1.7  81.2363
4  1.9  60.2514
4  2.1  45.0546
4  2.3  33.9988
4  2.5  25.8934
4  2.7  19.9117
4  2.9  15.4535
4  3.1  12.1084
4  3.3  9.57302
4  3.5  7.63361
4  3.7  6.13725
4  3.9  4.97294
4  4.1  4.06129
4  4.3  3.33912
4  4.5  2.76309
4  4.7  2.30031
4  4.9  1.92712
4  5.1  1.62356
4  5.3  1.37499
4  5.5  1.16899
4  5.7  0.999152
4  5.9  0.858631
4  6.1  0.74
4  6.3  0.640639
4  6.5  0.556803
4  6.7  0.485317
4  6.9  0.424557
4  7.1  0.37239
4  7.3  0.327909
4  7.5  0.289697
4  7.7  0.2564
4  7.9  0.227657
4  8.1  0.202635
4  8.3  0.180696
4  8.5  0.161608
4  8.7  0.144732
4  8.9  0.13001
4  9.1  0.117063
4  9.3  0.105597
4  9.5  0.0953753
4  9.7  0.0863163
4  9.9  0.0782764
4  10.1  0.0710982
4  10.3  0.0646748
4  10.5  0.0589295
4  10.7  0.053735
4  10.9  0.0491333
4  11.1  0.0449734
4  11.3  0.0412272
4  11.5  0.0378723
4  11.7  0.0347983
4  11.9  0.0320133
6  0.1  1243.33
6  0.3  821.457
6  0.5  569.975
6  0.7  402.443
6  0.9  287.329
6  1.1  206.935
6  1.3  150.077
6  1.5  109.623
6  1.7  80.632
6  1.9  59.7842
6  2.1  44.6957
6  2.3  33.721
6  2.5  25.6781
6  2.7  19.7412
6  2.9  15.3214
6  3.1  12.004
6  3.3  9.48923
6  3.5  7.56633
6  3.7  6.08222
6  3.9  4.92854
6  4.1  4.02503
