# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1225.56
0  0.3  810.765
0  0.5  563.274
0  0.7  397.869
0  0.9  283.816
0  1.1  203.993
0  1.3  147.529
0  1.5  107.272
0  1.7  78.5803
0  1.9  57.9589
0  2.1  43.0887
0  2.3  32.3402
0  2.5  24.4945
0  2.7  18.7306
0  2.9  14.4684
0  3.1  11.2847
0  3.3  8.88375
0  3.5  7.06024
0  3.7  5.65748
0  3.9  4.57118
0  4.1  3.72162
0  4.3  3.05354
0  4.5  2.52272
0  4.7  2.09649
0  4.9  1.75258
0  5.1  1.47429
0  5.3  1.24784
0  5.5  1.0607
0  5.7  0.906257
0  5.9  0.77763
0  6.1  0.669943
0  6.3  0.579531
0  6.5  0.503471
0  6.7  0.439103
0  6.9  0.384123
0  7.1  0.337308
0  7.3  0.296829
0  7.5  0.262196
0  7.7  0.232088
0  7.9  0.206073
0  8.1  0.183732
0  8.3  0.163909
0  8.5  0.146813
0  8.7  0.131566
0  8.9  0.118327
0  9.1  0.106423
0  9.3  0.0961501
0  9.5  0.0869305
0  9.7  0.078619
0  9.9  0.0714973
0  10.1  0.064934
0  10.3  0.0591618
0  10.5  0.0539777
0  10.7  0.0493211
0  10.9  0.0451349
0  11.1  0.041376
0  11.3  0.0379488
0  11.5  0.0349023
0  11.7  0.0320635
0  11.9  0.0295839
2  0.1  1224.72
2  0.3  809.821
2  0.5  562.612
2  0.7  397.358
2  0.9  283.454
2  1.1  203.718
2  1.3  147.32
2  1.5  107.114
2  1.7  78.4586
2  1.9  57.8662
2  2.1  43.0179
2  2.3  32.2855
2  2.5  24.4525
2  2.7  18.6983
2  2.9  14.4428
2  3.1  11.2646
2  3.3  8.8675
2  3.5  7.04745
2  3.7  5.64715
2  3.9  4.56287
2  4.1  3.71481
2  4.3  3.04799
2  4.5  2.51647
2  4.7  2.09255
2  4.9  1.74963
2  5.1  1.47167
2  5.3  1.24549
2  5.5  1.05876
2  5.7  0.904603
2  5.9  0.776151
2  6.1  0.668758
2  6.3  0.578436
2  6.5  0.502506
2  6.7  0.438271
2  6.9  0.383486
2  7.1  0.336661
2  7.3  0.296282
2  7.5  0.261735
2  7.7  0.231642
2  7.9  0.20569
2  8.1  0.183358
2  8.3  0.163735
2  8.5  0.146534
2  8.7  0.13131
2  8.9  0.118099
2  9.1  0.106224
2  9.3  0.0959681
2  9.5  0.086762
2  9.7  0.0784684
2  9.9  0.0713618
2  10.1  0.0648117
2  10.3  0.0591129
2  10.5  0.0539412
2  10.7  0.0492917
2  10.9  0.0450479
2  11.1  0.0412959
2  11.3  0.03788
2  11.5  0.034834
2  11.7  0.0320032
2  11.9  0.0295269
4  0.1  1220.18
4  0.3  807.064
4  0.5  560.575
4  0.7  395.918
4  0.9  282.353
4  1.1  202.904
4  1.3  146.692
4  1.5  106.631
4  1.7  78.0537
4  1.9  57.5872
4  2.1  42.8067
4  2.3  32.1212
4  2.5  24.308
4  2.7  18.5986
4  2.9  14.3666
4  3.1  11.202
4  3.3  8.81838
4  3.5  7.00827
4  3.7  5.61684
4  3.9  4.5375
4  4.1  3.69405
4  4.3  3.03286
4  4.5  2.50378
4  4.7  2.08036
4  4.9  1.74096
4  5.1  1.46314
4  5.3  1.2386
4  5.5  1.05286
4  5.7  0.899475
4  5.9  0.771841
4  6.1  0.664919
4  6.3  0.575175
4  6.5  0.499645
4  6.7  0.435783
4  6.9  0.381286
4  7.1  0.334743
4  7.3  0.294745
4  7.5  0.260115
4  7.7  0.230425
4  7.9  0.204668
4  8.1  0.18233
4  8.3  0.162658
4  8.5  0.145693
4  8.7  0.130466
4  8.9  0.117419
4  9.1  0.105614
4  9.3  0.0954197
4  9.5  0.0862638
4  9.7  0.0780283
4  9.9  0.0708453
4  10.1  0.0644449
4  10.3  0.0587783
4  10.5  0.053628
4  10.7  0.0490078
4  10.9  0.0447931
4  11.1  0.0410567
4  11.3  0.0376601
4  11.5  0.0346327
4  11.7  0.0318559
4  11.9  0.0293988
6  0.1  1213.66
6  0.3  802.346
6  0.5  557.216
6  0.7  393.428
6  0.9  280.517
6  1.1  201.506
6  1.3  145.635
6  1.5  105.825
6  1.7  77.4882
6  1.9  57.1164
6  2.1  42.443
6  2.3  31.843
6  2.5  24.1116
6  2.7  18.4256
6  2.9  14.2371
6  3.1  11.1016
6  3.3  8.7376
6  3.5  6.9442
6  3.7  5.56412
6  3.9  4.49539
6  4.1  3.65978
6  4.3  3.00273
6  4.5  2.48021
6  4.7  2.06227
6  4.9  1.72334
6  5.1  1.44947
6  5.3  1.22641
6  5.5  1.04289
6  5.7  0.890936
6  5.9  0.7645
6  6.1  0.658703
6  6.3  0.569761
6  6.5  0.494872
6  6.7  0.431588
6  6.9  0.377526
6  7.1  0.331482
6  7.3  0.291887
6  7.5  0.257838
6  7.7  0.228155
6  7.9  0.2027
6  8.1  0.180595
6  8.3  0.161209
6  8.5  0.144274
6  8.7  0.129222
6  8.9  0.116225
6  9.1  0.104601
6  9.3  0.0943704
6  9.5  0.0854282
6  9.7  0.0772666
6  9.9  0.070254
6  10.1  0.0638934
6  10.3  0.0582134
6  10.5  0.0531145
6  10.7  0.0485323
6  10.9  0.0443598
6  11.1  0.0406588
6  11.3  0.0372775
6  11.5  0.034281
6  11.7  0.031545
6  11.9  0.0291039
8  0.1  1203.53
8  0.3  795.564
8  0.5  552.357
8  0.7  389.884
8  0.9  277.875
8  1.1  199.525
8  1.3  144.124
8  1.5  104.667
8  1.7  76.6118
8  1.9  56.446
8  2.1  41.9303
8  2.3  31.4494
8  2.5  23.792
8  2.7  18.1994
8  2.9  14.0523
8  3.1  10.9549
8  3.3  8.6229
8  3.5  6.8522
8  3.7  5.49067
8  3.9  4.43593
8  4.1  3.61102
8  4.3  2.96254
8  4.5  2.4465
8  4.7  2.03268
8  4.9  1.70047
8  5.1  1.4305
8  5.3  1.20936
8  5.5  1.02879
8  5.7  0.878936
8  5.9  0.75402
8  6.1  0.649688
8  6.3  0.561901
8  6.5  0.488126
8  6.7  0.425697
8  6.9  0.372323
8  7.1  0.326959
8  7.3  0.287848
8  7.5  0.2542
8  7.7  0.225092
8  7.9  0.199915
8  8.1  0.178021
8  8.3  0.158815
8  8.5  0.142262
8  8.7  0.127572
8  8.9  0.114598
8  9.1  0.103298
8  9.3  0.0932064
8  9.5  0.0842274
8  9.7  0.0762127
8  9.9  0.0692031
8  10.1  0.0630082
8  10.3  0.0573271
8  10.5  0.052298
8  10.7  0.0478519
8  10.9  0.0437527
8  11.1  0.0400828
8  11.3  0.036777
8  11.5  0.0337834
8  11.7  0.0310718
8  11.9  0.0286987
10  0.1  1189.82
10  0.3  786.452
10  0.5  545.967
10  0.7  385.189
10  0.9  274.4
10  1.1  196.896
10  1.3  142.142
10  1.5  103.199
10  1.7  75.4558
10  1.9  55.5633
10  2.1  41.257
10  2.3  30.9258
10  2.5  23.4058
10  2.7  17.8807
10  2.9  13.8115
10  3.1  10.7665
10  3.3  8.47267
10  3.5  6.73161
10  3.7  5.39323
10  3.9  4.35683
10  4.1  3.5466
10  4.3  2.9095
10  4.5  2.40318
10  4.7  1.99696
10  4.9  1.66949
10  5.1  1.40497
10  5.3  1.18799
10  5.5  1.01026
10  5.7  0.862773
10  5.9  0.740411
10  6.1  0.637793
10  6.3  0.551714
10  6.5  0.47919
10  6.7  0.417798
10  6.9  0.365672
10  7.1  0.320925
10  7.3  0.282762
10  7.5  0.249544
10  7.7  0.220926
10  7.9  0.1962
10  8.1  0.17484
10  8.3  0.155907
10  8.5  0.139482
10  8.7  0.125247
10  8.9  0.112494
10  9.1  0.101362
10  9.3  0.0914736
10  9.5  0.082674
10  9.7  0.0747943
10  9.9  0.0679086
10  10.1  0.0618426
10  10.3  0.0562738
10  10.5  0.0514012
10  10.7  0.0469685
10  10.9  0.0429315
10  11.1  0.0393835
10  11.3  0.0361271
10  11.5  0.0331887
10  11.7  0.0304853
10  11.9  0.0281681
12  0.1  1173.15
12  0.3  774.892
12  0.5  537.868
12  0.7  379.148
12  0.9  270.007
12  1.1  193.588
12  1.3  139.618
12  1.5  101.291
12  1.7  74.0031
12  1.9  54.4541
12  2.1  40.4127
12  2.3  30.2803
12  2.5  22.9085
12  2.7  17.4923
12  2.9  13.507
12  3.1  10.5284
12  3.3  8.28403
12  3.5  6.58087
12  3.7  5.27289
12  3.9  4.25833
12  4.1  3.46647
12  4.3  2.84331
12  4.5  2.34855
12  4.7  1.95107
12  4.9  1.63108
12  5.1  1.37255
12  5.3  1.16044
12  5.5  0.986341
12  5.7  0.842705
12  5.9  0.723189
12  6.1  0.623015
12  6.3  0.538877
12  6.5  0.468041
12  6.7  0.408227
12  6.9  0.357164
12  7.1  0.313502
12  7.3  0.27584
12  7.5  0.243737
12  7.7  0.215698
12  7.9  0.191577
12  8.1  0.170707
12  8.3  0.152414
12  8.5  0.136292
12  8.7  0.122319
12  8.9  0.109924
12  9.1  0.0988675
12  9.3  0.0893276
12  9.5  0.080633
12  9.7  0.0730294
12  9.9  0.0663942
12  10.1  0.0603841
12  10.3  0.055012
12  10.5  0.0501955
12  10.7  0.0458561
12  10.9  0.0419658
12  11.1  0.0384031
12  11.3  0.0352729
12  11.5  0.0323809
12  11.7  0.0298086
12  11.9  0.0275083
14  0.1  1152.21
14  0.3  760.761
14  0.5  527.819
14  0.7  371.745
14  0.9  264.563
14  1.1  189.531
14  1.3  136.521
14  1.5  98.9399
14  1.7  72.2175
14  1.9  53.0928
14  2.1  39.3729
14  2.3  29.4845
14  2.5  22.2957
14  2.7  17.0173
14  2.9  13.1362
14  3.1  10.2371
14  3.3  8.05267
14  3.5  6.39595
14  3.7  5.12442
14  3.9  4.13815
14  4.1  3.36843
14  4.3  2.76264
14  4.5  2.28162
14  4.7  1.89497
14  4.9  1.58617
14  5.1  1.33324
14  5.3  1.1272
14  5.5  0.958528
14  5.7  0.818393
14  5.9  0.701984
14  6.1  0.604794
14  6.3  0.523551
14  6.5  0.454427
14  6.7  0.396471
14  6.9  0.346862
14  7.1  0.304379
14  7.3  0.268049
14  7.5  0.236682
14  7.7  0.209526
14  7.9  0.185705
14  8.1  0.165604
14  8.3  0.147796
14  8.5  0.132421
14  8.7  0.118588
14  8.9  0.106671
14  9.1  0.0960909
14  9.3  0.0866551
14  9.5  0.0783693
14  9.7  0.0708924
14  9.9  0.0644391
