# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  376.944
0  0.3  229.566
0  0.5  146.067
0  0.7  93.8242
0  0.9  60.7618
0  1.1  39.7339
0  1.3  26.2561
0  1.5  17.537
0  1.7  11.8348
0  1.9  8.07175
0  2.1  5.56475
0  2.3  3.87409
0  2.5  2.72456
0  2.7  1.93525
0  2.9  1.3879
0  3.1  1.00433
0  3.3  0.733295
0  3.5  0.540028
0  3.7  0.400798
0  3.9  0.299773
0  4.1  0.225804
0  4.3  0.171279
0  4.5  0.13075
0  4.7  0.100445
0  4.9  0.0776177
0  5.1  0.0602936
0  5.3  0.0470926
0  5.5  0.0369632
0  5.7  0.0291554
0  5.9  0.0230848
0  6.1  0.0183657
0  6.3  0.0146703
0  6.5  0.0117645
0  6.7  0.00947037
0  6.9  0.00765029
0  7.1  0.00620085
0  7.3  0.00504193
0  7.5  0.00411139
0  7.7  0.0033631
0  7.9  0.00275858
0  8.1  0.00226955
0  8.3  0.00187324
0  8.5  0.00154909
0  8.7  0.00128392
0  8.9  0.00106664
0  9.1  0.000888012
0  9.3  0.000740944
0  9.5  0.000619469
0  9.7  0.000518926
0  9.9  0.000435625
0  10.1  0.000366392
0  10.3  0.00030861
0  10.5  0.000260489
0  10.7  0.000220238
0  10.9  0.000186477
0  11.1  0.000158135
0  11.3  0.000134302
0  11.5  0.000114231
0  11.7  9.72914e-05
0  11.9  8.29859e-05
2  0.1  376.658
2  0.3  229.39
2  0.5  145.953
2  0.7  93.7489
2  0.9  60.7113
2  1.1  39.6997
2  1.3  26.2324
2  1.5  17.5203
2  1.7  11.8231
2  1.9  8.06339
2  2.1  5.55875
2  2.3  3.86977
2  2.5  2.72142
2  2.7  1.93297
2  2.9  1.38622
2  3.1  1.00308
2  3.3  0.732364
2  3.5  0.539334
2  3.7  0.400274
2  3.9  0.299376
2  4.1  0.225501
2  4.3  0.171047
2  4.5  0.130571
2  4.7  0.100306
2  4.9  0.0775094
2  5.1  0.0602087
2  5.3  0.0470259
2  5.5  0.0369105
2  5.7  0.0291135
2  5.9  0.0230514
2  6.1  0.018339
2  6.3  0.0146487
2  6.5  0.0117471
2  6.7  0.00945626
2  6.9  0.0076388
2  7.1  0.00619151
2  7.3  0.0050343
2  7.5  0.00410516
2  7.7  0.00335798
2  7.9  0.00275436
2  8.1  0.00226606
2  8.3  0.00187035
2  8.5  0.0015467
2  8.7  0.00128193
2  8.9  0.00106499
2  9.1  0.000886632
2  9.3  0.000739804
2  9.5  0.00061851
2  9.7  0.000518117
2  9.9  0.000434946
2  10.1  0.000365822
2  10.3  0.000308132
2  10.5  0.000260083
2  10.7  0.000219898
2  10.9  0.000186188
2  11.1  0.00015789
2  11.3  0.00013409
2  11.5  0.000114049
2  11.7  9.71375e-05
2  11.9  8.28554e-05
4  0.1  375.786
4  0.3  228.851
4  0.5  145.604
4  0.7  93.5191
4  0.9  60.5568
4  1.1  39.595
4  1.3  26.1602
4  1.5  17.4697
4  1.7  11.7876
4  1.9  8.03822
4  2.1  5.5407
4  2.3  3.85631
4  2.5  2.71219
4  2.7  1.92611
4  2.9  1.38104
4  3.1  0.999428
4  3.3  0.729599
4  3.5  0.537257
4  3.7  0.398694
4  3.9  0.298178
4  4.1  0.224588
4  4.3  0.170336
4  4.5  0.130035
4  4.7  0.0999039
4  4.9  0.0771919
4  5.1  0.059963
4  5.3  0.0468294
4  5.5  0.0367517
4  5.7  0.0289869
4  5.9  0.0229508
4  6.1  0.0182585
4  6.3  0.014584
4  6.5  0.0116955
4  6.7  0.00942088
4  6.9  0.00760967
