# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 sweep             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 0.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1167.27
0  0.3  759.895
0  0.5  519.654
0  0.7  361.723
0  0.9  254.963
0  1.1  181.708
0  1.3  130.775
0  1.5  94.9039
0  1.7  69.478
0  1.9  51.3089
0  2.1  38.2174
0  2.3  28.7232
0  2.5  21.781
0  2.7  16.6673
0  2.9  12.8685
0  3.1  10.015
0  3.3  7.86125
0  3.5  6.22205
0  3.7  4.96358
0  3.9  3.98631
0  4.1  3.2212
0  4.3  2.62252
0  4.5  2.14934
0  4.7  1.77107
0  4.9  1.46706
0  5.1  1.22178
0  5.3  1.02262
0  5.5  0.860095
0  5.7  0.72663
0  5.9  0.616412
0  6.1  0.525007
0  6.3  0.448849
0  6.5  0.385216
0  6.7  0.331806
0  6.9  0.286691
0  7.1  0.248516
0  7.3  0.216062
0  7.5  0.188406
0  7.7  0.164682
0  7.9  0.14436
0  8.1  0.126903
0  8.3  0.111836
0  8.5  0.0987778
0  8.7  0.0874278
0  8.9  0.0775497
0  9.1  0.0689313
0  9.3  0.0613856
0  9.5  0.0547722
0  9.7  0.0489585
0  9.9  0.0438649
0  10.1  0.0393526
0  10.3  0.0353691
0  10.5  0.0318399
0  10.7  0.0287113
0  10.9  0.0259248
0  11.1  0.0234368
0  11.3  0.0212279
0  11.5  0.0192466
0  11.7  0.0174725
0  11.9  0.0158718
2  0.1  1166.19
2  0.3  759.178
2  0.5  519.152
2  0.7  361.363
2  0.9  254.7
2  1.1  181.512
2  1.3  130.628
2  1.5  94.7915
2  1.7  69.3918
2  1.9  51.2431
2  2.1  38.1667
2  2.3  28.6838
2  2.5  21.7505
2  2.7  16.6435
2  2.9  12.8498
2  3.1  10.0001
2  3.3  7.8494
2  3.5  6.21247
2  3.7  4.95591
2  3.9  3.98007
2  4.1  3.21611
2  4.3  2.61835
2  4.5  2.14592
2  4.7  1.76824
2  4.9  1.46469
2  5.1  1.21981
2  5.3  1.02096
2  5.5  0.858706
2  5.7  0.725448
2  5.9  0.615398
2  6.1  0.524134
2  6.3  0.448115
2  6.5  0.38459
2  6.7  0.331254
2  6.9  0.286209
2  7.1  0.2481
2  7.3  0.2157
2  7.5  0.188093
2  7.7  0.16441
2  7.9  0.144131
2  8.1  0.126692
2  8.3  0.111649
2  8.5  0.0986122
2  8.7  0.0872762
2  8.9  0.0774177
2  9.1  0.0688195
2  9.3  0.0612834
2  9.5  0.0546793
2  9.7  0.0488729
2  9.9  0.0437854
2  10.1  0.0392864
2  10.3  0.0353067
2  10.5  0.0317843
2  10.7  0.0286598
2  10.9  0.0258767
2  11.1  0.023399
2  11.3  0.0211932
2  11.5  0.0192149
2  11.7  0.0174439
2  11.9  0.0158447
4  0.1  1163.1
4  0.3  757.457
4  0.5  518.021
4  0.7  360.633
4  0.9  254.219
4  1.1  181.249
4  1.3  130.407
4  1.5  94.6731
4  1.7  69.3911
4  1.9  51.2557
4  2.1  38.2414
4  2.3  28.7807
4  2.5  21.8558
4  2.7  16.6796
4  2.9  12.83
4  3.1  9.96126
4  3.3  7.81383
4  3.5  6.18394
4  3.7  4.93286
4  3.9  3.96146
4  4.1  3.20095
4  4.3  2.60591
4  4.5  2.13563
4  4.7  1.75976
4  4.9  1.4576
4  5.1  1.21387
4  5.3  1.01598
4  5.5  0.854481
4  5.7  0.721861
4  5.9  0.612356
4  6.1  0.52153
4  6.3  0.445889
4  6.5  0.382656
4  6.7  0.329572
4  6.9  0.284768
4  7.1  0.246848
4  7.3  0.214628
4  7.5  0.187139
4  7.7  0.163587
4  7.9  0.143387
4  8.1  0.126052
4  8.3  0.111078
4  8.5  0.098106
4  8.7  0.086829
4  8.9  0.0770223
4  9.1  0.0684617
4  9.3  0.0609666
4  9.5  0.0543932
4  9.7  0.0486287
4  9.9  0.0435528
4  10.1  0.0390838
4  10.3  0.0351277
4  10.5  0.031626
4  10.7  0.0285091
4  10.9  0.0257317
4  11.1  0.0232696
4  11.3  0.0210764
4  11.5  0.019114
4  11.7  0.0173537
4  11.9  0.0157708
6  0.1  1157.37
6  0.3  753.351
6  0.5  515.083
6  0.7  358.447
6  0.9  252.567
6  1.1  180.002
6  1.3  129.428
6  1.5  93.8804
6  1.7  68.696
6  1.9  50.7097
6  2.1  37.7589
6  2.3  28.3712
6  2.5  21.5026
6  2.7  16.4526
6  2.9  12.6929
6  3.1  9.87977
6  3.3  7.75364
6  3.5  6.13579
6  3.7  4.894
6  3.9  3.92998
6  4.1  3.17529
6  4.3  2.5849
6  4.5  2.11828
6  4.7  1.74533
6  4.9  1.44559
6  5.1  1.20382
6  5.3  1.00752
6  5.5  0.847334
6  5.7  0.715798
6  5.9  0.607186
6  6.1  0.517128
6  6.3  0.442094
6  6.5  0.379391
6  6.7  0.326776
6  6.9  0.282327
6  7.1  0.244729
6  7.3  0.212766
6  7.5  0.185522
6  7.7  0.162157
6  7.9  0.142137
6  8.1  0.124952
6  8.3  0.110118
6  8.5  0.0972588
6  8.7  0.0860756
6  8.9  0.0763483
6  9.1  0.0678643
6  9.3  0.0604308
6  9.5  0.0539194
6  9.7  0.0481962
6  9.9  0.0431802
6  10.1  0.0387369
6  10.3  0.0348136
6  10.5  0.0313396
6  10.7  0.028258
6  10.9  0.0255148
6  11.1  0.0230692
6  11.3  0.0208928
6  11.5  0.0189414
6  11.7  0.0171965
6  11.9  0.0156265
8  0.1  1149.42
8  0.3  748.105
8  0.5  511.416
8  0.7  355.826
8  0.9  250.65
8  1.1  178.578
8  1.3  128.316
8  1.5  93.0655
8  1.7  68.0716
8  1.9  50.2318
8  2.1  37.3877
8  2.3  28.0813
8  2.5  21.2823
8  2.7  16.2777
8  2.9  12.5586
8  3.1  9.77238
8  3.3  7.66832
8  3.5  6.06752
8  3.7  4.83907
8  3.9  3.8854
8  4.1  3.13899
8  4.3  2.55513
8  4.5  2.09372
8  4.7  1.725
8  4.9  1.42865
8  5.1  1.18965
8  5.3  0.995609
8  5.5  0.837269
8  5.7  0.707271
8  5.9  0.599936
8  6.1  0.510924
8  6.3  0.436771
8  6.5  0.374813
8  6.7  0.322812
8  6.9  0.278897
8  7.1  0.241746
8  7.3  0.210156
8  7.5  0.183243
8  7.7  0.16017
8  7.9  0.140385
8  8.1  0.123402
8  8.3  0.108746
8  8.5  0.0960439
8  8.7  0.0849977
8  8.9  0.0753949
8  9.1  0.0670155
8  9.3  0.059681
8  9.5  0.0532443
8  9.7  0.0475904
8  9.9  0.042633
8  10.1  0.0382589
8  10.3  0.0343767
8  10.5  0.0309415
8  10.7  0.0279003
8  10.9  0.0251895
8  11.1  0.0227802
8  11.3  0.0206193
8  11.5  0.0187016
8  11.7  0.0169785
8  11.9  0.0154268
10  0.1  1139.41
10  0.3  741.804
10  0.5  507.125
10  0.7  352.85
10  0.9  248.693
10  1.1  177.011
10  1.3  127.269
10  1.5  92.2728
10  1.7  67.548
10  1.9  49.8679
10  2.1  37.1792
10  2.3  27.9605
10  2.5  21.2169
10  2.7  16.1819
10  2.9  12.4301
10  3.1  9.64112
10  3.3  7.55602
10  3.5  5.97765
10  3.7  4.76667
10  3.9  3.82671
10  4.1  3.09117
10  4.3  2.51588
10  4.5  2.06136
10  4.7  1.69819
10  4.9  1.4063
10  5.1  1.17096
10  5.3  0.979912
10  5.5  0.823979
10  5.7  0.696025
10  5.9  0.590356
10  6.1  0.502715
10  6.3  0.429739
10  6.5  0.368764
10  6.7  0.317581
10  6.9  0.274372
10  7.1  0.237805
10  7.3  0.206724
10  7.5  0.180251
10  7.7  0.157537
10  7.9  0.138077
10  8.1  0.12137
10  8.3  0.10695
10  8.5  0.0944515
10  8.7  0.0835852
10  8.9  0.0741373
10  9.1  0.0658953
10  9.3  0.0586786
10  9.5  0.0523501
10  9.7  0.0467892
10  9.9  0.0419191
10  10.1  0.0376088
10  10.3  0.0337977
10  10.5  0.0304234
10  10.7  0.0274303
10  10.9  0.0247639
10  11.1  0.0223943
10  11.3  0.0202791
10  11.5  0.0183855
10  11.7  0.0166918
10  11.9  0.0151624
12  0.1  1125.28
12  0.3  732.261
12  0.5  500.417
12  0.7  347.956
12  0.9  244.9
12  1.1  174.221
12  1.3  125.135
12  1.5  90.6235
12  1.7  66.2107
12  1.9  48.8072
12  2.1  36.2896
12  2.3  27.2341
12  2.5  20.6247
12  2.7  15.7642
12  2.9  12.155
12  3.1  9.45348
12  3.3  7.41462
12  3.5  5.86449
12  3.7  4.67553
12  3.9  3.75285
12  4.1  3.03104
12  4.3  2.4666
12  4.5  2.02078
12  4.7  1.66449
12  4.9  1.37826
12  5.1  1.14749
12  5.3  0.960148
12  5.5  0.807331
12  5.7  0.681887
12  5.9  0.578327
12  6.1  0.492447
12  6.3  0.420922
12  6.5  0.361178
12  6.7  0.311008
12  6.9  0.268692
12  7.1  0.23288
12  7.3  0.202427
12  7.5  0.176497
12  7.7  0.154254
12  7.9  0.135188
12  8.1  0.118827
12  8.3  0.104707
12  8.5  0.0924679
12  8.7  0.0818296
12  8.9  0.0725789
12  9.1  0.0645073
12  9.3  0.0574397
12  9.5  0.0512395
12  9.7  0.0457945
12  9.9  0.0410228
12  10.1  0.036803
12  10.3  0.0330736
12  10.5  0.0297719
12  10.7  0.02684
12  10.9  0.024229
12  11.1  0.0219126
12  11.3  0.0198389
12  11.5  0.0179862
12  11.7  0.0163278
12  11.9  0.014836
14  0.1  1108.69
14  0.3  721.31
14  0.5  492.924
14  0.7  342.491
14  0.9  240.913
14  1.1  171.26
14  1.3  122.874
14  1.5  88.9385
14  1.7  64.9306
14  1.9  47.8248
14  2.1  35.5351
14  2.3  26.6524
14  2.5  20.174
14  2.7  15.4123
14  2.9  11.8784
14  3.1  9.23512
14  3.3  7.24119
14  3.5  5.7257
14  3.7  4.56372
14  3.9  3.66205
14  4.1  2.95733
14  4.3  2.40619
14  4.5  1.97116
14  4.7  1.62322
14  4.9  1.34389
14  5.1  1.11869
14  5.3  0.935946
14  5.5  0.786895
14  5.7  0.664551
14  5.9  0.563587
