# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -0.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1242.46
0  0.3  819.631
0  0.5  567.436
0  0.7  399.662
0  0.9  285.159
0  1.1  205.387
0  1.3  149.149
0  1.5  109.164
0  1.7  80.5
0  1.9  59.8457
0  2.1  44.8774
0  2.3  33.9515
0  2.5  25.9184
0  2.7  19.9751
0  2.9  15.5277
0  3.1  12.1814
0  3.3  9.63894
0  3.5  7.69492
0  3.7  6.19002
0  3.9  5.01553
0  4.1  4.09288
0  4.3  3.36422
0  4.5  2.78276
0  4.7  2.31544
0  4.9  1.93728
0  5.1  1.62833
0  5.3  1.37786
0  5.5  1.17078
0  5.7  0.998733
0  5.9  0.85639
0  6.1  0.736638
0  6.3  0.636382
0  6.5  0.551483
0  6.7  0.480111
0  6.9  0.41919
0  7.1  0.367084
0  7.3  0.322425
0  7.5  0.283922
0  7.7  0.250799
0  7.9  0.222014
0  8.1  0.197149
0  8.3  0.175473
0  8.5  0.156504
0  8.7  0.139882
0  8.9  0.125306
0  9.1  0.112462
0  9.3  0.101159
0  9.5  0.0911375
0  9.7  0.0822439
0  9.9  0.074361
0  10.1  0.0673635
0  10.3  0.0611253
0  10.5  0.0555614
0  10.7  0.0505646
0  10.9  0.0460815
0  11.1  0.0420426
0  11.3  0.0384155
0  11.5  0.035153
0  11.7  0.0322119
0  11.9  0.0295467
2  0.1  1241.37
2  0.3  818.776
2  0.5  566.37
2  0.7  399.22
2  0.9  284.832
2  1.1  205.14
2  1.3  148.961
2  1.5  109.02
2  1.7  80.3889
2  1.9  59.7607
2  2.1  44.8097
2  2.3  33.9
2  2.5  25.8783
2  2.7  19.9438
2  2.9  15.5027
2  3.1  12.1617
2  3.3  9.62317
2  3.5  7.68221
2  3.7  6.17964
2  3.9  5.00713
2  4.1  4.08599
2  4.3  3.3585
2  4.5  2.77796
2  4.7  2.31145
2  4.9  1.93393
2  5.1  1.62551
2  5.3  1.37545
2  5.5  1.16877
2  5.7  0.997018
2  5.9  0.854897
2  6.1  0.735336
2  6.3  0.635269
2  6.5  0.55054
2  6.7  0.479268
2  6.9  0.41845
2  7.1  0.366439
2  7.3  0.321858
2  7.5  0.283414
2  7.7  0.250359
2  7.9  0.221622
2  8.1  0.196799
2  8.3  0.175169
2  8.5  0.156222
2  8.7  0.139655
2  8.9  0.125084
2  9.1  0.112255
2  9.3  0.100962
2  9.5  0.0909737
2  9.7  0.0820899
2  9.9  0.0742551
2  10.1  0.0672428
2  10.3  0.0610112
2  10.5  0.0554615
2  10.7  0.0504718
2  10.9  0.0459955
2  11.1  0.0419767
2  11.3  0.0383475
2  11.5  0.0350909
2  11.7  0.0321444
2  11.9  0.0294904
4  0.1  1237.49
4  0.3  816.205
4  0.5  565.024
4  0.7  397.892
4  0.9  283.857
4  1.1  204.397
4  1.3  148.412
4  1.5  108.585
4  1.7  80.0539
4  1.9  59.5026
4  2.1  44.6106
4  2.3  33.7461
4  2.5  25.7572
4  2.7  19.8492
4  2.9  15.4311
4  3.1  12.1039
4  3.3  9.57529
4  3.5  7.64377
4  3.7  6.1485
4  3.9  4.98134
4  4.1  4.06515
4  4.3  3.34063
4  4.5  2.76371
4  4.7  2.29951
4  4.9  1.92388
4  5.1  1.6181
4  5.3  1.36769
4  5.5  1.16258
4  5.7  0.992227
4  5.9  0.850307
4  6.1  0.731239
4  6.3  0.631875
4  6.5  0.547743
4  6.7  0.476701
4  6.9  0.416137
4  7.1  0.364396
4  7.3  0.320005
4  7.5  0.281881
4  7.7  0.249021
4  7.9  0.220434
4  8.1  0.195734
4  8.3  0.174183
4  8.5  0.155403
4  8.7  0.138897
4  8.9  0.124411
4  9.1  0.111705
4  9.3  0.100406
4  9.5  0.0904786
4  9.7  0.0816458
4  9.9  0.073825
4  10.1  0.0668975
4  10.3  0.060684
4  10.5  0.0551436
4  10.7  0.0501952
4  10.9  0.0457431
4  11.1  0.0417437
4  11.3  0.0381537
4  11.5  0.034905
4  11.7  0.0319587
4  11.9  0.0293143
6  0.1  1230.94
6  0.3  811.862
6  0.5  561.939
6  0.7  395.651
6  0.9  282.156
6  1.1  203.14
6  1.3  147.433
6  1.5  107.851
6  1.7  79.4913
6  1.9  59.0667
6  2.1  44.2689
6  2.3  33.485
6  2.5  25.5533
6  2.7  19.689
6  2.9  15.3014
6  3.1  12.0016
6  3.3  9.49518
6  3.5  7.57905
6  3.7  6.09606
6  3.9  4.93893
6  4.1  4.02999
6  4.3  3.31231
6  4.5  2.73957
6  4.7  2.2794
6  4.9  1.90698
6  5.1  1.60259
6  5.3  1.35614
6  5.5  1.15227
6  5.7  0.982932
6  5.9  0.842805
6  6.1  0.724903
6  6.3  0.626234
6  6.5  0.542731
6  6.7  0.4724
6  6.9  0.412432
6  7.1  0.361175
6  7.3  0.317196
6  7.5  0.279335
6  7.7  0.246741
6  7.9  0.218425
6  8.1  0.193955
6  8.3  0.172624
6  8.5  0.153967
6  8.7  0.137614
6  8.9  0.123254
6  9.1  0.110625
6  9.3  0.0994766
6  9.5  0.0896494
6  9.7  0.080898
6  9.9  0.0731281
6  10.1  0.0662716
6  10.3  0.0601156
6  10.5  0.0546297
6  10.7  0.0497247
6  10.9  0.045324
6  11.1  0.0413456
6  11.3  0.0377749
6  11.5  0.0345729
6  11.7  0.0316777
6  11.9  0.0290551
8  0.1  1222.16
8  0.3  805.585
8  0.5  557.532
8  0.7  392.44
8  0.9  279.768
8  1.1  201.348
8  1.3  146.07
8  1.5  106.805
8  1.7  78.6885
8  1.9  58.4395
8  2.1  43.7993
8  2.3  33.1147
8  2.5  25.2635
8  2.7  19.4613
8  2.9  15.1216
8  3.1  11.859
8  3.3  9.38114
8  3.5  7.48729
8  3.7  6.02155
8  3.9  4.87813
8  4.1  3.98011
8  4.3  3.2711
8  4.5  2.70531
8  4.7  2.25075
8  4.9  1.88294
8  5.1  1.58257
8  5.3  1.33812
8  5.5  1.13761
8  5.7  0.970431
8  5.9  0.831983
8  6.1  0.71542
8  6.3  0.618128
8  6.5  0.535914
8  6.7  0.466297
8  6.9  0.407074
8  7.1  0.356492
8  7.3  0.313029
8  7.5  0.2757
8  7.7  0.24349
8  7.9  0.215586
8  8.1  0.191367
8  8.3  0.170323
8  8.5  0.151927
8  8.7  0.135795
8  8.9  0.121697
8  9.1  0.109155
8  9.3  0.0981462
8  9.5  0.0884543
8  9.7  0.0798154
8  9.9  0.0721681
8  10.1  0.0653757
8  10.3  0.0593247
8  10.5  0.0538972
8  10.7  0.0490501
8  10.9  0.0447039
8  11.1  0.040809
8  11.3  0.0372796
8  11.5  0.0341121
8  11.7  0.0312448
8  11.9  0.0286593
10  0.1  1209.91
10  0.3  797.173
10  0.5  551.673
10  0.7  388.206
10  0.9  276.628
10  1.1  198.978
10  1.3  144.265
10  1.5  105.426
10  1.7  77.6282
10  1.9  57.6228
10  2.1  43.1523
10  2.3  32.6237
10  2.5  24.8825
10  2.7  19.1618
10  2.9  14.8897
10  3.1  11.6713
10  3.3  9.23339
10  3.5  7.36652
10  3.7  5.92381
10  3.9  4.79848
10  4.1  3.91474
10  4.3  3.21705
10  4.5  2.66048
10  4.7  2.21319
10  4.9  1.8514
10  5.1  1.55588
10  5.3  1.31568
10  5.5  1.11835
10  5.7  0.95388
10  5.9  0.817281
10  6.1  0.703385
10  6.3  0.607606
10  6.5  0.526506
10  6.7  0.458286
10  6.9  0.400097
10  7.1  0.350349
10  7.3  0.307683
10  7.5  0.270913
10  7.7  0.239334
10  7.9  0.211818
10  8.1  0.18808
10  8.3  0.167393
10  8.5  0.149286
10  8.7  0.133469
10  8.9  0.119505
10  9.1  0.107259
10  9.3  0.0964467
10  9.5  0.0868856
10  9.7  0.0784262
10  9.9  0.0709028
10  10.1  0.0642264
10  10.3  0.0582677
10  10.5  0.0529456
10  10.7  0.048188
10  10.9  0.0439097
10  11.1  0.0400787
10  11.3  0.0366093
10  11.5  0.0335009
10  11.7  0.0306877
10  11.9  0.0281539
12  0.1  1193.72
12  0.3  786.741
12  0.5  544.234
12  0.7  382.856
12  0.9  272.646
12  1.1  195.98
12  1.3  141.985
12  1.5  103.682
12  1.7  76.291
12  1.9  56.5964
12  2.1  42.3621
12  2.3  32.0067
12  2.5  24.4029
12  2.7  18.7849
12  2.9  14.5928
12  3.1  11.4359
12  3.3  9.04527
12  3.5  7.21495
12  3.7  5.80094
12  3.9  4.69825
12  4.1  3.83246
12  4.3  3.14916
12  4.5  2.60408
12  4.7  2.16611
12  4.9  1.81181
12  5.1  1.52259
12  5.3  1.28731
12  5.5  1.09425
12  5.7  0.933669
12  5.9  0.79953
12  6.1  0.688051
12  6.3  0.594289
12  6.5  0.515023
12  6.7  0.448277
12  6.9  0.391333
12  7.1  0.34264
12  7.3  0.300917
12  7.5  0.264919
12  7.7  0.234036
12  7.9  0.20712
12  8.1  0.183899
12  8.3  0.163669
12  8.5  0.146001
12  8.7  0.130452
12  8.9  0.116852
12  9.1  0.104864
12  9.3  0.094276
12  9.5  0.0849343
12  9.7  0.0766568
12  9.9  0.0693256
12  10.1  0.0627708
12  10.3  0.0569515
12  10.5  0.0517597
12  10.7  0.0471137
12  10.9  0.0429215
12  11.1  0.0391731
12  11.3  0.0357826
12  11.5  0.0327463
12  11.7  0.0300001
12  11.9  0.0275155
14  0.1  1174.45
14  0.3  773.747
14  0.5  534.982
14  0.7  376.302
14  0.9  267.713
14  1.1  192.275
14  1.3  139.171
14  1.5  101.532
14  1.7  74.6438
14  1.9  55.3344
14  2.1  41.3854
14  2.3  31.2509
14  2.5  23.8144
14  2.7  18.3235
14  2.9  14.2306
14  3.1  11.1475
14  3.3  8.81484
14  3.5  7.02948
14  3.7  5.65063
14  3.9  4.57586
14  4.1  3.73202
14  4.3  3.06622
14  4.5  2.53525
14  4.7  2.10848
14  4.9  1.76335
14  5.1  1.48188
14  5.3  1.25336
14  5.5  1.06469
14  5.7  0.908057
14  5.9  0.777836
14  6.1  0.669325
14  6.3  0.578032
14  6.5  0.500951
14  6.7  0.436
14  6.9  0.380581
14  7.1  0.333247
14  7.3  0.292673
14  7.5  0.25763
14  7.7  0.227444
14  7.9  0.201367
14  8.1  0.178798
14  8.3  0.159118
14  8.5  0.141894
14  8.7  0.126846
14  8.9  0.113579
14  9.1  0.101927
14  9.3  0.0916609
14  9.5  0.0825644
14  9.7  0.0745111
14  9.9  0.0673471
14  10.1  0.0610364
14  10.3  0.0553609
14  10.5  0.0503163
14  10.7  0.0457703
14  10.9  0.0417052
14  11.1  0.0380584
14  11.3  0.0347662
14  11.5  0.0318062
14  11.7  0.0291444
14  11.9  0.0267352
