# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -3.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1070.32
0  0.3  705.015
0  0.5  487.489
0  0.7  341.792
0  0.9  240.826
0  1.1  169.889
0  1.3  119.964
0  1.5  84.743
0  1.7  60.0124
0  1.9  42.6598
0  2.1  30.5279
0  2.3  22.2853
0  2.5  16.65
0  2.7  12.6229
0  2.9  9.70569
0  3.1  7.5697
0  3.3  5.97483
0  3.5  4.7732
0  3.7  3.85772
0  3.9  3.14936
0  4.1  2.59545
0  4.3  2.15705
0  4.5  1.80808
0  4.7  1.52631
0  4.9  1.29751
0  5.1  1.11023
0  5.3  0.954918
0  5.5  0.826572
0  5.7  0.718862
0  5.9  0.628297
0  6.1  0.551961
0  6.3  0.486619
0  6.5  0.43073
0  6.7  0.382464
0  6.9  0.341083
0  7.1  0.305013
0  7.3  0.273656
0  7.5  0.246233
0  7.7  0.222178
0  7.9  0.201123
0  8.1  0.182446
0  8.3  0.165814
0  8.5  0.151141
0  8.7  0.13802
0  8.9  0.126309
0  9.1  0.115739
0  9.3  0.106418
0  9.5  0.0979693
0  9.7  0.0902345
0  9.9  0.083305
0  10.1  0.0770591
0  10.3  0.0713924
0  10.5  0.0663174
0  10.7  0.0616181
0  10.9  0.0572264
0  11.1  0.053296
0  11.3  0.0498027
0  11.5  0.0465026
0  11.7  0.0434744
0  11.9  0.0406363
2  0.1  1069.01
2  0.3  704.052
2  0.5  486.83
2  0.7  341.315
2  0.9  240.462
2  1.1  169.644
2  1.3  119.759
2  1.5  84.5907
2  1.7  59.881
2  1.9  42.5936
2  2.1  30.4661
2  2.3  22.2389
2  2.5  16.6155
2  2.7  12.6039
2  2.9  9.686
2  3.1  7.55421
2  3.3  5.9608
2  3.5  4.76512
2  3.7  3.84988
2  3.9  3.14294
2  4.1  2.59041
2  4.3  2.15247
2  4.5  1.80451
2  4.7  1.52333
2  4.9  1.29496
2  5.1  1.10806
2  5.3  0.953124
2  5.5  0.824956
2  5.7  0.71743
2  5.9  0.627084
2  6.1  0.550898
2  6.3  0.485703
2  6.5  0.429907
2  6.7  0.381735
2  6.9  0.340419
2  7.1  0.304386
2  7.3  0.273232
2  7.5  0.24585
2  7.7  0.221754
2  7.9  0.200733
2  8.1  0.182058
2  8.3  0.165496
2  8.5  0.150839
2  8.7  0.137776
2  8.9  0.126072
2  9.1  0.115541
2  9.3  0.106218
2  9.5  0.0977845
2  9.7  0.0900601
2  9.9  0.0831474
2  10.1  0.0769124
2  10.3  0.0712542
2  10.5  0.0661901
2  10.7  0.0615001
2  10.9  0.0571178
2  11.1  0.0531887
2  11.3  0.0497022
2  11.5  0.0464132
2  11.7  0.0433921
2  11.9  0.0406138
4  0.1  1064.72
4  0.3  701.19
4  0.5  484.875
4  0.7  339.814
4  0.9  239.392
