# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  359.591
0  0.3  218.498
0  0.5  138.645
0  0.7  88.7739
0  0.9  57.2989
0  1.1  37.3349
0  1.3  24.5605
0  1.5  16.3293
0  1.7  10.9661
0  1.9  7.44296
0  2.1  5.10672
0  2.3  3.53777
0  2.5  2.4754
0  2.7  1.74908
0  2.9  1.2477
0  3.1  0.898014
0  3.3  0.652119
0  3.5  0.477567
0  3.7  0.352523
0  3.9  0.262146
0  4.1  0.19636
0  4.3  0.148097
0  4.5  0.112441
0  4.7  0.0858828
0  4.9  0.065965
0  5.1  0.0509312
0  5.3  0.0395643
0  5.5  0.0308797
0  5.7  0.0242252
0  5.9  0.0190638
0  6.1  0.0150908
0  6.3  0.0119765
0  6.5  0.00954713
0  6.7  0.00764265
0  6.9  0.00613704
0  7.1  0.00494582
0  7.3  0.00399785
0  7.5  0.00324134
0  7.7  0.0026374
0  7.9  0.00214945
0  8.1  0.00175798
0  8.3  0.00144133
0  8.5  0.00118505
0  8.7  0.000976416
0  8.9  0.000806364
0  9.1  0.000667417
0  9.3  0.000553935
0  9.5  0.000459976
0  9.7  0.000383122
0  9.9  0.000320044
0  10.1  0.000267563
0  10.3  0.000224072
0  10.5  0.000188031
0  10.7  0.000158018
0  10.9  0.000133016
0  11.1  0.00011213
0  11.3  9.4592e-05
0  11.5  8.00615e-05
0  11.7  6.78059e-05
0  11.9  5.74266e-05
2  0.1  359.318
2  0.3  218.33
2  0.5  138.536
2  0.7  88.7027
2  0.9  57.2514
2  1.1  37.303
2  1.3  24.5383
2  1.5  16.3138
2  1.7  10.9552
2  1.9  7.43525
2  2.1  5.10123
2  2.3  3.53383
2  2.5  2.47256
2  2.7  1.74701
2  2.9  1.24619
2  3.1  0.896904
2  3.3  0.651292
2  3.5  0.476954
2  3.7  0.352063
2  3.9  0.261799
2  4.1  0.196097
2  4.3  0.147897
2  4.5  0.112287
2  4.7  0.0857642
2  4.9  0.0658728
2  5.1  0.0508597
2  5.3  0.0395082
2  5.5  0.0308357
2  5.7  0.0241904
2  5.9  0.0190362
2  6.1  0.0150688
2  6.3  0.0119589
2  6.5  0.00953301
2  6.7  0.00763128
2  6.9  0.00612781
2  7.1  0.00493837
2  7.3  0.0039918
2  7.5  0.00323643
2  7.7  0.00263339
2  7.9  0.00214616
2  8.1  0.00175528
2  8.3  0.00143911
2  8.5  0.00118322
2  8.7  0.000974907
2  8.9  0.000805114
2  9.1  0.00066638
2  9.3  0.000553084
2  9.5  0.000459264
2  9.7  0.000382525
2  9.9  0.000319546
2  10.1  0.000267149
2  10.3  0.000223724
2  10.5  0.000187739
2  10.7  0.000157775
2  10.9  0.000132811
2  11.1  0.000111956
2  11.3  9.4443e-05
2  11.5  7.99341e-05
2  11.7  6.76984e-05
2  11.9  5.73362e-05
4  0.1  358.479
4  0.3  217.817
4  0.5  138.201
4  0.7  88.5321
4  0.9  57.1059
4  1.1  37.2038
4  1.3  24.471
4  1.5  16.264
4  1.7  10.9223
4  1.9  7.41199
4  2.1  5.08465
4  2.3  3.52206
4  2.5  2.464
4  2.7  1.74043
4  2.9  1.24167
4  3.1  0.893517
4  3.3  0.648807
4  3.5  0.475086
4  3.7  0.350645
4  3.9  0.260731
4  4.1  0.195212
4  4.3  0.147286
4  4.5  0.111836
4  4.7  0.0853805
4  4.9  0.0655763
4  5.1  0.050648
4  5.3  0.0393455
4  5.5  0.0307047
4  5.7  0.0240735
4  5.9  0.0189681
4  6.1  0.0150014
4  6.3  0.011914
4  6.5  0.0094905
4  6.7  0.00759783
4  6.9  0.00610196
4  7.1  0.00491694
4  7.3  0.00397443
4  7.5  0.00322447
4  7.7  0.00261965
4  7.9  0.0021369
4  8.1  0.00174756
4  8.3  0.00143381
4  8.5  0.00117918
4  8.7  0.000971745
4  8.9  0.000802775
4  9.1  0.000664061
4  9.3  0.000551279
4  9.5  0.000458013
4  9.7  0.000381524
4  9.9  0.000318727
4  10.1  0.00026661
4  10.3  0.000223392
4  10.5  0.000187498
4  10.7  0.000157829
4  10.9  0.000132939
4  11.1  0.000112203
4  11.3  9.47747e-05
4  11.5  8.02548e-05
4  11.7  6.79655e-05
4  11.9  5.77118e-05
6  0.1  357.097
6  0.3  216.966
6  0.5  137.653
6  0.7  88.1243
6  0.9  56.8656
6  1.1  37.0508
6  1.3  24.358
6  1.5  16.1853
6  1.7  10.8672
6  1.9  7.3728
6  2.1  5.05676
6  2.3  3.50194
6  2.5  2.44955
6  2.7  1.73029
6  2.9  1.23396
6  3.1  0.887909
6  3.3  0.644643
6  3.5  0.471998
6  3.7  0.348345
6  3.9  0.259002
6  4.1  0.193977
6  4.3  0.14628
6  4.5  0.111047
6  4.7  0.0848073
6  4.9  0.0651317
6  5.1  0.0502835
6  5.3  0.0390574
6  5.5  0.0304815
6  5.7  0.0238973
6  5.9  0.0188297
6  6.1  0.0148925
6  6.3  0.0118182
6  6.5  0.00942035
6  6.7  0.00754067
6  6.9  0.00605539
6  7.1  0.00487927
6  7.3  0.00394395
6  7.5  0.00319928
6  7.7  0.00260152
6  7.9  0.00212007
6  8.1  0.00173379
6  8.3  0.00142146
6  8.5  0.00116848
6  8.7  0.00096276
6  8.9  0.000795109
6  9.1  0.000658074
6  9.3  0.000545801
6  9.5  0.000453984
6  9.7  0.000378047
6  9.9  0.000315522
6  10.1  0.000263569
6  10.3  0.00022092
6  10.5  0.000185362
6  10.7  0.000155775
6  10.9  0.00013103
6  11.1  0.000110549
6  11.3  9.32478e-05
6  11.5  7.89409e-05
6  11.7  6.6766e-05
6  11.9  5.66793e-05
8  0.1  355.098
8  0.3  215.738
8  0.5  136.86
8  0.7  87.6041
8  0.9  56.5186
8  1.1  36.8145
8  1.3  24.1956
8  1.5  16.0723
8  1.7  10.7879
8  1.9  7.31675
8  2.1  5.01684
8  2.3  3.47331
8  2.5  2.4289
8  2.7  1.7153
8  2.9  1.22302
8  3.1  0.879873
8  3.3  0.638698
8  3.5  0.467508
8  3.7  0.34503
8  3.9  0.256503
8  4.1  0.19208
8  4.3  0.144837
8  4.5  0.109942
8  4.7  0.0839518
8  4.9  0.0644679
8  5.1  0.0497676
8  5.3  0.0386535
8  5.5  0.0301642
8  5.7  0.0236605
8  5.9  0.0186167
8  6.1  0.014735
8  6.3  0.0116924
8  6.5  0.00931968
8  6.7  0.00745975
8  6.9  0.00599333
8  7.1  0.00482645
8  7.3  0.00390097
8  7.5  0.00316445
8  7.7  0.00257309
8  7.9  0.00209681
8  8.1  0.0017148
8  8.3  0.00140579
8  8.5  0.00115572
8  8.7  0.000952207
8  8.9  0.000786305
8  9.1  0.000650758
8  9.3  0.000540082
8  9.5  0.000448444
8  9.7  0.000373489
8  9.9  0.000311983
8  10.1  0.00026081
8  10.3  0.000218401
8  10.5  0.000183265
8  10.7  0.000154006
8  10.9  0.000129632
8  11.1  0.000109273
8  11.3  9.21783e-05
8  11.5  7.80153e-05
8  11.7  6.60703e-05
8  11.9  5.60162e-05
10  0.1  352.435
10  0.3  214.102
10  0.5  135.798
10  0.7  86.9101
10  0.9  56.0807
10  1.1  36.5012
10  1.3  23.98
10  1.5  15.9255
10  1.7  10.6828
10  1.9  7.24254
10  2.1  4.96406
10  2.3  3.43557
10  2.5  2.40166
10  2.7  1.69524
10  2.9  1.20863
10  3.1  0.86924
10  3.3  0.630853
10  3.5  0.461641
10  3.7  0.340619
10  3.9  0.253177
10  4.1  0.189487
10  4.3  0.14292
10  4.5  0.108496
10  4.7  0.082803
10  4.9  0.0635802
10  5.1  0.0490935
10  5.3  0.0381296
10  5.5  0.0297621
10  5.7  0.0233191
10  5.9  0.0183709
10  6.1  0.0145262
10  6.3  0.0115338
10  6.5  0.00918742
10  6.7  0.00735458
10  6.9  0.00590514
10  7.1  0.00475774
10  7.3  0.00384753
10  7.5  0.00311734
10  7.7  0.00253467
10  7.9  0.00206701
10  8.1  0.00169163
10  8.3  0.00138754
10  8.5  0.00114093
10  8.7  0.000939545
10  8.9  0.000776039
10  9.1  0.000642465
10  9.3  0.000533529
10  9.5  0.000443316
10  9.7  0.000369386
10  9.9  0.00030846
10  10.1  0.000258306
10  10.3  0.000216524
10  10.5  0.000181726
10  10.7  0.000152924
10  10.9  0.000128768
10  11.1  0.000108677
10  11.3  9.19554e-05
10  11.5  7.77821e-05
10  11.7  6.59687e-05
10  11.9  5.60634e-05
12  0.1  349.177
12  0.3  212.036
12  0.5  134.465
12  0.7  86.0351
12  0.9  55.4956
12  1.1  36.1036
12  1.3  23.707
12  1.5  15.7331
12  1.7  10.55
12  1.9  7.14856
12  2.1  4.89713
12  2.3  3.38756
12  2.5  2.36715
12  2.7  1.67056
12  2.9  1.19035
12  3.1  0.855878
12  3.3  0.62095
12  3.5  0.454318
12  3.7  0.335136
12  3.9  0.249051
12  4.1  0.186431
12  4.3  0.140533
12  4.5  0.106644
12  4.7  0.0814064
12  4.9  0.0624955
12  5.1  0.0482358
12  5.3  0.0374545
12  5.5  0.0292225
12  5.7  0.0229047
12  5.9  0.0180429
12  6.1  0.0142669
12  6.3  0.0113191
12  6.5  0.0090208
12  6.7  0.00721946
12  6.9  0.00579548
12  7.1  0.00466962
12  7.3  0.00377379
12  7.5  0.00306093
12  7.7  0.00248864
12  7.9  0.00202771
12  8.1  0.00165815
12  8.3  0.00135921
12  8.5  0.00111732
12  8.7  0.000920525
12  8.9  0.000760036
12  9.1  0.000628954
12  9.3  0.000521949
12  9.5  0.000433782
12  9.7  0.000360886
12  9.9  0.000301434
12  10.1  0.000251969
12  10.3  0.000210969
12  10.5  0.000177025
12  10.7  0.000148751
12  10.9  0.000125203
12  11.1  0.000105533
12  11.3  8.9015e-05
12  11.5  7.53348e-05
12  11.7  6.3798e-05
12  11.9  5.40864e-05
14  0.1  344.98
14  0.3  209.448
14  0.5  132.797
14  0.7  84.9416
14  0.9  54.7667
14  1.1  35.6098
14  1.3  23.3673
14  1.5  15.5007
14  1.7  10.3851
14  1.9  7.03204
14  2.1  4.81432
14  2.3  3.32829
14  2.5  2.3245
14  2.7  1.6397
14  2.9  1.16781
14  3.1  0.83933
14  3.3  0.608728
14  3.5  0.44524
14  3.7  0.328331
14  3.9  0.243932
14  4.1  0.182554
14  4.3  0.137582
14  4.5  0.104386
14  4.7  0.0796616
14  4.9  0.061143
