# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dy
0  0.1  701.464
0  0.3  547.471
0  0.5  420.73
0  0.7  316.548
0  0.9  234.664
0  1.1  172.469
0  1.3  126.097
0  1.5  92.0085
0  1.7  67.2573
0  1.9  49.4147
0  2.1  36.5522
0  2.3  27.249
0  2.5  20.5096
0  2.7  15.5819
0  2.9  11.9577
0  3.1  9.27075
0  3.3  7.25713
0  3.5  5.73607
0  3.7  4.57058
0  3.9  3.67813
0  4.1  2.98257
0  4.3  2.43601
0  4.5  2.00411
0  4.7  1.65967
0  4.9  1.38384
0  5.1  1.16045
0  5.3  0.978564
0  5.5  0.829403
0  5.7  0.706573
0  5.9  0.604852
0  6.1  0.520227
0  6.3  0.449183
0  6.5  0.389381
0  6.7  0.33876
0  6.9  0.295856
0  7.1  0.259046
0  7.3  0.23179
0  7.5  0.208068
0  7.7  0.187195
0  7.9  0.168987
0  8.1  0.152871
0  8.3  0.138599
0  8.5  0.125971
0  8.7  0.114842
0  8.9  0.104777
0  9.1  0.0958401
0  9.3  0.0878278
0  9.5  0.0806426
0  9.7  0.0742058
0  9.9  0.0683437
0  10.1  0.0629966
0  10.3  0.0582187
0  10.5  0.0539352
0  10.7  0.0499983
0  10.9  0.0463941
0  11.1  0.0430714
0  11.3  0.0400825
0  11.5  0.0373483
0  11.7  0.0348405
0  11.9  0.0325707
2  0.1  700.544
2  0.3  546.55
2  0.5  420.243
2  0.7  316.146
2  0.9  234.352
2  1.1  172.226
2  1.3  125.908
2  1.5  91.8739
2  1.7  67.1436
2  1.9  49.3431
2  2.1  36.4885
2  2.3  27.2023
2  2.5  20.4659
2  2.7  15.5533
2  2.9  11.9356
2  3.1  9.2533
2  3.3  7.24342
2  3.5  5.72526
2  3.7  4.56188
2  3.9  3.67101
2  4.1  2.97666
2  4.3  2.43149
2  4.5  2.0003
2  4.7  1.65649
2  4.9  1.38119
2  5.1  1.15823
2  5.3  0.976623
2  5.5  0.827804
2  5.7  0.705232
2  5.9  0.603671
2  6.1  0.519219
2  6.3  0.448314
2  6.5  0.388629
2  6.7  0.338105
2  6.9  0.295285
2  7.1  0.258544
2  7.3  0.231406
2  7.5  0.207668
2  7.7  0.186899
2  7.9  0.168657
2  8.1  0.152569
2  8.3  0.138332
2  8.5  0.125731
2  8.7  0.114626
2  8.9  0.104577
2  9.1  0.0956603
2  9.3  0.0876631
2  9.5  0.0804863
2  9.7  0.0740592
2  9.9  0.0682129
2  10.1  0.0628792
2  10.3  0.0581055
2  10.5  0.0538311
2  10.7  0.0498978
2  10.9  0.0463086
2  11.1  0.0429893
2  11.3  0.0400055
2  11.5  0.0372811
2  11.7  0.0347548
2  11.9  0.032508
4  0.1  697.909
4  0.3  544.652
4  0.5  418.785
4  0.7  314.979
4  0.9  233.422
4  1.1  171.496
4  1.3  125.339
4  1.5  91.4428
4  1.7  66.8184
4  1.9  49.0748
4  2.1  36.2892
4  2.3  27.0594
4  2.5  20.3546
4  2.7  15.465
4  2.9  11.8686
4  3.1  9.20072
4  3.3  7.20232
4  3.5  5.69064
4  3.7  4.53597
4  3.9  3.64987
4  4.1  2.95949
4  4.3  2.41606
4  4.5  1.98877
4  4.7  1.64692
4  4.9  1.37318
4  5.1  1.15149
4  5.3  0.971017
4  5.5  0.823096
