# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  675.759
0  0.3  531.383
0  0.5  409.722
0  0.7  307.049
0  0.9  224.555
0  1.1  161.374
0  1.3  114.595
0  1.5  80.9625
0  1.7  57.1497
0  1.9  40.5344
0  2.1  28.9342
0  2.3  20.8616
0  2.5  15.2064
0  2.7  11.2074
0  2.9  8.36281
0  3.1  6.31675
0  3.3  4.82231
0  3.5  3.7261
0  3.7  2.90823
0  3.9  2.29244
0  4.1  1.82273
0  4.3  1.49345
0  4.5  1.23917
0  4.7  1.03669
0  4.9  0.873131
0  5.1  0.740758
0  5.3  0.632538
0  5.5  0.543305
0  5.7  0.468818
0  5.9  0.406831
0  6.1  0.354602
0  6.3  0.310408
0  6.5  0.272904
0  6.7  0.240899
0  6.9  0.213513
0  7.1  0.189726
0  7.3  0.169268
0  7.5  0.151447
0  7.7  0.135907
0  7.9  0.122147
0  8.1  0.110221
0  8.3  0.0996927
0  8.5  0.0904916
0  8.7  0.0821987
0  8.9  0.0747911
0  9.1  0.068328
0  9.3  0.062431
0  9.5  0.0571713
0  9.7  0.05248
0  9.9  0.0482571
0  10.1  0.0444227
0  10.3  0.0409666
0  10.5  0.0378476
0  10.7  0.0350003
0  10.9  0.0323961
0  11.1  0.0300748
0  11.3  0.0279491
0  11.5  0.0259825
0  11.7  0.0241964
0  11.9  0.0225426
2  0.1  674.861
2  0.3  530.715
2  0.5  409.197
2  0.7  306.623
2  0.9  224.241
2  1.1  161.131
2  1.3  114.417
2  1.5  80.8256
2  1.7  57.0488
2  1.9  40.4605
2  2.1  28.8799
2  2.3  20.8216
2  2.5  15.1755
2  2.7  11.1855
2  2.9  8.34671
2  3.1  6.30508
2  3.3  4.81286
2  3.5  3.71874
2  3.7  2.90243
2  3.9  2.28792
2  4.1  1.81913
2  4.3  1.49059
2  4.5  1.23671
2  4.7  1.0345
2  4.9  0.871299
2  5.1  0.739338
2  5.3  0.631257
2  5.5  0.542162
2  5.7  0.467914
2  5.9  0.405989
2  6.1  0.353885
2  6.3  0.309784
2  6.5  0.272362
2  6.7  0.240433
2  6.9  0.213101
2  7.1  0.189359
2  7.3  0.168951
2  7.5  0.151156
2  7.7  0.13568
2  7.9  0.122086
2  8.1  0.109999
2  8.3  0.0994974
2  8.5  0.0901561
2  8.7  0.0819571
2  8.9  0.0746459
2  9.1  0.0681219
2  9.3  0.0623058
2  9.5  0.0570626
2  9.7  0.0523785
2  9.9  0.0481624
2  10.1  0.0443422
2  10.3  0.0408922
2  10.5  0.0377726
2  10.7  0.0349399
2  10.9  0.0323335
2  11.1  0.0300152
2  11.3  0.0278977
2  11.5  0.0259398
2  11.7  0.0241037
2  11.9  0.0225039
4  0.1  671.82
4  0.3  528.778
4  0.5  407.751
4  0.7  305.403
4  0.9  223.229
4  1.1  160.379
4  1.3  113.859
4  1.5  80.413
4  1.7  56.744
4  1.9  40.2179
4  2.1  28.7163
4  2.3  20.7013
4  2.5  15.0863
4  2.7  11.1196
4  2.9  8.29801
4  3.1  6.26745
4  3.3  4.78451
4  3.5  3.69659
4  3.7  2.88488
4  3.9  2.27392
4  4.1  1.80823
4  4.3  1.48169
4  4.5  1.22941
4  4.7  1.02847
4  4.9  0.866059
4  5.1  0.734912
4  5.3  0.627527
4  5.5  0.538982
4  5.7  0.465201
4  5.9  0.403616
4  6.1  0.351861
4  6.3  0.308038
4  6.5  0.270702
4  6.7  0.239031
4  6.9  0.211881
4  7.1  0.18836
4  7.3  0.167963
4  7.5  0.150278
4  7.7  0.134792
4  7.9  0.121337
4  8.1  0.109357
4  8.3  0.0989075
4  8.5  0.0896493
4  8.7  0.081524
4  8.9  0.074209
4  9.1  0.0677594
4  9.3  0.0619507
4  9.5  0.0567152
4  9.7  0.0520976
4  9.9  0.0478506
4  10.1  0.0440841
4  10.3  0.0406608
4  10.5  0.0375592
4  10.7  0.0347386
4  10.9  0.0321502
4  11.1  0.0298629
4  11.3  0.0277381
4  11.5  0.0257909
4  11.7  0.0239929
4  11.9  0.0223633
6  0.1  667.708
6  0.3  525.267
6  0.5  404.944
6  0.7  303.345
6  0.9  221.669
6  1.1  159.163
6  1.3  112.942
6  1.5  79.7173
6  1.7  56.2319
6  1.9  39.8381
6  2.1  28.4382
6  2.3  20.4999
6  2.5  14.9371
6  2.7  11.0085
6  2.9  8.21867
6  3.1  6.20451
6  3.3  4.7365
6  3.5  3.6593
6  3.7  2.85641
6  3.9  2.25106
6  4.1  1.79004
6  4.3  1.46672
6  4.5  1.21676
6  4.7  1.01805
6  4.9  0.857437
6  5.1  0.727598
6  5.3  0.621314
6  5.5  0.533453
6  5.7  0.460588
6  5.9  0.399584
6  6.1  0.348393
6  6.3  0.305007
6  6.5  0.268302
6  6.7  0.236678
6  6.9  0.209791
6  7.1  0.186506
6  7.3  0.166312
6  7.5  0.148797
6  7.7  0.133579
6  7.9  0.120135
6  8.1  0.108404
6  8.3  0.0980779
6  8.5  0.0888526
6  8.7  0.08066
6  8.9  0.0734627
6  9.1  0.067127
6  9.3  0.0613641
6  9.5  0.0562178
6  9.7  0.051557
6  9.9  0.0473796
6  10.1  0.0436438
6  10.3  0.0402573
6  10.5  0.037186
6  10.7  0.0343941
6  10.9  0.0318303
6  11.1  0.0295628
6  11.3  0.0274587
6  11.5  0.0255358
6  11.7  0.023753
6  11.9  0.0221489
8  0.1  661.73
8  0.3  520.494
8  0.5  401.133
8  0.7  300.342
8  0.9  219.387
8  1.1  157.397
8  1.3  111.611
8  1.5  78.7217
8  1.7  55.5054
8  1.9  39.3083
8  2.1  28.047
8  2.3  20.207
8  2.5  14.7235
8  2.7  10.858
8  2.9  8.09992
8  3.1  6.11321
8  3.3  4.66602
8  3.5  3.60617
8  3.7  2.81489
8  3.9  2.21857
8  4.1  1.76405
8  4.3  1.44509
8  4.5  1.19924
8  4.7  1.00327
8  4.9  0.845155
8  5.1  0.717716
8  5.3  0.61233
8  5.5  0.52597
8  5.7  0.454007
8  5.9  0.393984
8  6.1  0.343441
8  6.3  0.300707
8  6.5  0.264322
8  6.7  0.233333
8  6.9  0.206826
8  7.1  0.183874
8  7.3  0.16396
8  7.5  0.146673
8  7.7  0.131613
8  7.9  0.118502
8  8.1  0.106743
8  8.3  0.0965436
8  8.5  0.0875511
8  8.7  0.0795239
8  8.9  0.0725445
8  9.1  0.0661858
8  9.3  0.0604804
8  9.5  0.0553993
8  9.7  0.0508469
8  9.9  0.0467215
8  10.1  0.0430023
8  10.3  0.0396668
8  10.5  0.0366642
8  10.7  0.0339141
8  10.9  0.03142
8  11.1  0.0291556
8  11.3  0.0270798
8  11.5  0.0251524
8  11.7  0.0234216
8  11.9  0.0218386
10  0.1  653.409
10  0.3  513.702
10  0.5  396.516
10  0.7  296.424
10  0.9  216.331
10  1.1  155.086
10  1.3  109.852
10  1.5  77.4215
10  1.7  54.5463
10  1.9  38.6114
10  2.1  27.5452
10  2.3  19.833
10  2.5  14.447
10  2.7  10.6536
10  2.9  7.94543
10  3.1  5.99691
10  3.3  4.57842
10  3.5  3.5363
10  3.7  2.7614
10  3.9  2.17571
10  4.1  1.73013
10  4.3  1.4175
10  4.5  1.17647
10  4.7  0.984166
10  4.9  0.829062
10  5.1  0.703532
10  5.3  0.600803
10  5.5  0.516072
10  5.7  0.445495
10  5.9  0.38649
10  6.1  0.337031
10  6.3  0.294997
10  6.5  0.259318
10  6.7  0.228967
10  6.9  0.202933
10  7.1  0.180444
10  7.3  0.160872
10  7.5  0.143958
10  7.7  0.129242
10  7.9  0.116301
10  8.1  0.104804
10  8.3  0.0947492
10  8.5  0.0859171
10  8.7  0.078108
10  8.9  0.0711134
10  9.1  0.0649622
10  9.3  0.059322
10  9.5  0.0544006
10  9.7  0.0498897
10  9.9  0.045883
10  10.1  0.0422423
10  10.3  0.0389648
10  10.5  0.0359912
10  10.7  0.0332951
10  10.9  0.0308379
10  11.1  0.0285817
10  11.3  0.0265788
10  11.5  0.0246918
10  11.7  0.0229938
10  11.9  0.0214326
12  0.1  643.179
12  0.3  505.786
12  0.5  390.134
12  0.7  291.483
12  0.9  212.499
12  1.1  152.154
12  1.3  107.646
12  1.5  75.7823
12  1.7  53.3615
12  1.9  37.728
12  2.1  26.8978
12  2.3  19.3681
12  2.5  14.0968
12  2.7  10.3907
12  2.9  7.74987
12  3.1  5.85078
12  3.3  4.46717
12  3.5  3.44966
12  3.7  2.69291
12  3.9  2.12231
12  4.1  1.68794
12  4.3  1.38302
12  4.5  1.14792
12  4.7  0.960134
12  4.9  0.809017
12  5.1  0.686687
12  5.3  0.5863
12  5.5  0.50372
12  5.7  0.434828
12  5.9  0.377285
12  6.1  0.328857
12  6.3  0.287989
12  6.5  0.253332
12  6.7  0.223509
12  6.9  0.198133
12  7.1  0.17617
12  7.3  0.157091
12  7.5  0.140576
12  7.7  0.126145
12  7.9  0.113481
12  8.1  0.102356
12  8.3  0.0926811
