# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 0.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  695.236
0  0.3  540.981
0  0.5  410.366
0  0.7  302.469
0  0.9  219.491
0  1.1  157.965
0  1.3  113.428
0  1.5  81.543
0  1.7  58.8261
0  1.9  42.6815
0  2.1  31.2027
0  2.3  23.0022
0  2.5  17.1199
0  2.7  12.8604
0  2.9  9.74887
0  3.1  7.45898
0  3.3  5.75884
0  3.5  4.48563
0  3.7  3.52167
0  3.9  2.78647
0  4.1  2.21989
0  4.3  1.78352
0  4.5  1.44075
0  4.7  1.17246
0  4.9  0.959212
0  5.1  0.78956
0  5.3  0.653764
0  5.5  0.543954
0  5.7  0.454586
0  5.9  0.381376
0  6.1  0.321771
0  6.3  0.272127
0  6.5  0.231383
0  6.7  0.197365
0  6.9  0.169187
0  7.1  0.145376
0  7.3  0.125267
0  7.5  0.108309
0  7.7  0.0939159
0  7.9  0.0816456
0  8.1  0.0711937
0  8.3  0.0622552
0  8.5  0.0545634
0  8.7  0.0478929
0  8.9  0.0421818
0  9.1  0.0372304
0  9.3  0.0329152
0  9.5  0.0291856
0  9.7  0.0259006
0  9.9  0.0230422
0  10.1  0.0205465
0  10.3  0.0183433
0  10.5  0.0164082
0  10.7  0.0146993
0  10.9  0.0131945
0  11.1  0.0118522
0  11.3  0.0106713
0  11.5  0.00961199
0  11.7  0.00867342
0  11.9  0.00784014
2  0.1  694.587
2  0.3  540.475
2  0.5  409.975
2  0.7  302.174
2  0.9  219.268
2  1.1  157.795
2  1.3  113.301
2  1.5  81.4461
2  1.7  58.7529
2  1.9  42.6263
2  2.1  31.1608
2  2.3  22.9704
2  2.5  17.0957
2  2.7  12.8418
2  2.9  9.73459
2  3.1  7.44784
2  3.3  5.75014
2  3.5  4.47867
2  3.7  3.5162
2  3.9  2.78209
2  4.1  2.21636
2  4.3  1.78068
2  4.5  1.43845
2  4.7  1.17058
2  4.9  0.957656
2  5.1  0.788282
2  5.3  0.652704
2  5.5  0.543071
2  5.7  0.453846
2  5.9  0.380745
2  6.1  0.321239
2  6.3  0.271686
2  6.5  0.231006
2  6.7  0.197037
2  6.9  0.168903
2  7.1  0.145133
2  7.3  0.125056
2  7.5  0.108128
2  7.7  0.0937589
2  7.9  0.081509
2  8.1  0.0710761
2  8.3  0.062155
2  8.5  0.0544723
2  8.7  0.0478059
2  8.9  0.042108
2  9.1  0.0371708
2  9.3  0.0328569
2  9.5  0.0291379
2  9.7  0.0258556
2  9.9  0.0230018
2  10.1  0.0205028
2  10.3  0.0183106
2  10.5  0.0163778
2  10.7  0.0146723
2  10.9  0.0131709
2  11.1  0.0118321
2  11.3  0.0106544
2  11.5  0.00959648
2  11.7  0.00865935
2  11.9  0.00782734
4  0.1  692.986
4  0.3  539.465
4  0.5  409.094
4  0.7  301.536
4  0.9  218.859
4  1.1  157.6
4  1.3  113.143
4  1.5  81.3695
4  1.7  58.7231
4  1.9  42.658
4  2.1  31.1856
4  2.3  23.0527
4  2.5  17.1715
4  2.7  12.8724
4  2.9  9.7224
4  3.1  7.41859
4  3.3  5.72393
4  3.5  4.45795
4  3.7  3.49974
4  3.9  2.76901
4  4.1  2.20587
4  4.3  1.77224
4  4.5  1.43154
4  4.7  1.16492
4  4.9  0.953011
4  5.1  0.784439
4  5.3  0.649501
4  5.5  0.5404
4  5.7  0.451598
4  5.9  0.378863
4  6.1  0.319638
4  6.3  0.270324
4  6.5  0.229827
4  6.7  0.196046
4  6.9  0.168049
4  7.1  0.144396
4  7.3  0.124427
4  7.5  0.10758
4  7.7  0.0932812
4  7.9  0.081093
4  8.1  0.0707187
4  8.3  0.0618352
4  8.5  0.0541944
4  8.7  0.0475668
4  8.9  0.0419261
4  9.1  0.0369757
4  9.3  0.032683
4  9.5  0.0289864
4  9.7  0.0257346
4  9.9  0.0228847
4  10.1  0.0203963
4  10.3  0.0182166
4  10.5  0.0163002
4  10.7  0.0145954
4  10.9  0.0130983
4  11.1  0.0117669
4  11.3  0.0105963
4  11.5  0.00954685
4  11.7  0.00861453
4  11.9  0.00778659
6  0.1  689.319
6  0.3  536.358
6  0.5  406.822
6  0.7  299.777
6  0.9  217.457
6  1.1  156.42
6  1.3  112.265
6  1.5  80.6612
6  1.7  58.1607
6  1.9  42.1809
6  2.1  30.8259
6  2.3  22.7162
6  2.5  16.9004
6  2.7  12.6903
6  2.9  9.61841
6  3.1  7.35763
