# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  501.02
0  0.3  380.486
0  0.5  280.365
0  0.7  200.775
0  0.9  142.171
0  1.1  100.407
0  1.3  71.0826
0  1.5  50.561
0  1.7  36.1937
0  1.9  26.1067
0  2.1  18.9829
0  2.3  13.9245
0  2.5  10.3072
0  2.7  7.69924
0  2.9  5.80212
0  3.1  4.40966
0  3.3  3.37986
0  3.5  2.61156
0  3.7  2.03343
0  3.9  1.595
0  4.1  1.2597
0  4.3  1.00171
0  4.5  0.801784
0  4.7  0.645345
0  4.9  0.522502
0  5.1  0.425294
0  5.3  0.347992
0  5.5  0.286124
0  5.7  0.236328
0  5.9  0.19605
0  6.1  0.163373
0  6.3  0.136561
0  6.5  0.114636
0  6.7  0.0966042
0  6.9  0.0816729
0  7.1  0.0693258
0  7.3  0.058987
0  7.5  0.0503351
0  7.7  0.0430734
0  7.9  0.0369353
0  8.1  0.0318084
0  8.3  0.0274419
0  8.5  0.0237304
0  8.7  0.0205701
0  8.9  0.0178728
0  9.1  0.0155605
0  9.3  0.0135738
0  9.5  0.0118624
0  9.7  0.010388
0  9.9  0.00911561
0  10.1  0.0080129
0  10.3  0.00705546
0  10.5  0.00622245
0  10.7  0.00549723
0  10.9  0.00486305
0  11.1  0.00430913
0  11.3  0.00382409
0  11.5  0.0033988
0  11.7  0.00302426
0  11.9  0.0026945
2  0.1  500.597
2  0.3  380.163
2  0.5  280.124
2  0.7  200.599
2  0.9  142.042
2  1.1  100.311
2  1.3  71.0114
2  1.5  50.5079
2  1.7  36.1539
2  1.9  26.0766
2  2.1  18.9602
2  2.3  13.9073
2  2.5  10.2941
2  2.7  7.68922
2  2.9  5.79442
2  3.1  4.40368
2  3.3  3.3752
2  3.5  2.60791
2  3.7  2.03055
2  3.9  1.59271
2  4.1  1.25788
2  4.3  1.00025
2  4.5  0.800604
2  4.7  0.644391
2  4.9  0.521719
2  5.1  0.424653
2  5.3  0.347464
2  5.5  0.285685
2  5.7  0.235965
2  5.9  0.195746
2  6.1  0.163119
2  6.3  0.136349
2  6.5  0.114459
2  6.7  0.0964532
2  6.9  0.0815453
2  7.1  0.0692169
2  7.3  0.0588922
2  7.5  0.0502542
2  7.7  0.0430037
2  7.9  0.0368757
2  8.1  0.0317571
2  8.3  0.0273982
2  8.5  0.0236924
2  8.7  0.0205371
2  8.9  0.0178439
2  9.1  0.0155353
2  9.3  0.0135515
2  9.5  0.0118427
2  9.7  0.0103707
2  9.9  0.00910027
2  10.1  0.00799952
2  10.3  0.00704352
2  10.5  0.00621178
2  10.7  0.00548819
2  10.9  0.00485467
2  11.1  0.0043016
2  11.3  0.00381755
2  11.5  0.00339295
2  11.7  0.00301905
2  11.9  0.00268985
4  0.1  499.302
4  0.3  379.176
4  0.5  279.352
4  0.7  200.074
4  0.9  141.645
4  1.1  100.021
4  1.3  70.7969
4  1.5  50.346
4  1.7  36.0332
4  1.9  25.9853
4  2.1  18.8901
4  2.3  13.8553
4  2.5  10.2553
4  2.7  7.65994
4  2.9  5.77199
4  3.1  4.38678
4  3.3  3.36232
4  3.5  2.59882
4  3.7  2.02346
4  3.9  1.5882
4  4.1  1.25484
4  4.3  0.99845
4  4.5  0.799509
4  4.7  0.644081
4  4.9  0.521918
4  5.1  0.425175
4  5.3  0.34832
4  5.5  0.286807
4  5.7  0.237218
4  5.9  0.197118
4  6.1  0.164465
4  6.3  0.137839
4  6.5  0.115969
4  6.7  0.0979641
4  6.9  0.0830323
4  7.1  0.0706787
4  7.3  0.0603347
4  7.5  0.0516789
4  7.7  0.0444125
4  7.9  0.0382312
4  8.1  0.03273
4  8.3  0.0280549
4  8.5  0.0241242
4  8.7  0.0207886
4  8.9  0.01793
4  9.1  0.0155305
4  9.3  0.0134792
4  9.5  0.0117827
4  9.7  0.0103204
4  9.9  0.00905558
4  10.1  0.00795988
4  10.3  0.00700884
4  10.5  0.00618118
4  10.7  0.00546079
4  10.9  0.00483058
4  11.1  0.00428044
4  11.3  0.00379864
4  11.5  0.00337603
4  11.7  0.00300399
4  11.9  0.00267648
6  0.1  497.168
6  0.3  377.547
6  0.5  278.13
6  0.7  199.168
6  0.9  140.992
6  1.1  99.5356
6  1.3  70.4348
6  1.5  50.0769
6  1.7  35.8311
6  1.9  25.8335
6  2.1  18.777
6  2.3  13.7684
6  2.5  10.1884
6  2.7  7.60835
6  2.9  5.73214
6  3.1  4.35538
6  3.3  3.3376
6  3.5  2.5784
6  3.7  2.00732
6  3.9  1.57429
6  4.1  1.24316
6  4.3  0.988424
6  4.5  0.790956
6  4.7  0.636667
6  4.9  0.515398
6  5.1  0.41949
6  5.3  0.343224
6  5.5  0.282166
6  5.7  0.233053
6  5.9  0.193316
6  6.1  0.161008
6  6.3  0.134634
6  6.5  0.113013
6  6.7  0.0952391
6  6.9  0.0805818
6  7.1  0.0683376
6  7.3  0.0581317
6  7.5  0.0495745
6  7.7  0.0424472
6  7.9  0.0364165
6  8.1  0.031337
6  8.3  0.0270412
6  8.5  0.0233884
6  8.7  0.020271
6  8.9  0.0176123
6  9.1  0.0153321
6  9.3  0.0133728
6  9.5  0.0116882
6  9.7  0.0102345
6  9.9  0.00898025
6  10.1  0.00789375
6  10.3  0.00695031
6  10.5  0.00612955
6  10.7  0.00541542
6  10.9  0.00479014
6  11.1  0.00424456
6  11.3  0.00376673
6  11.5  0.00334765
6  11.7  0.00297884
6  11.9  0.00265398
8  0.1  494.09
8  0.3  375.196
8  0.5  276.382
8  0.7  197.883
8  0.9  140.05
8  1.1  98.8393
8  1.3  69.9018
8  1.5  49.6902
8  1.7  35.5414
8  1.9  25.616
8  2.1  18.6128
8  2.3  13.6442
8  2.5  10.0937
8  2.7  7.5359
8  2.9  5.6764
8  3.1  4.31276
8  3.3  3.30395
8  3.5  2.55206
8  3.7  1.98649
8  3.9  1.55776
8  4.1  1.23001
8  4.3  0.977877
8  4.5  0.782544
8  4.7  0.629733
8  4.9  0.509768
8  5.1  0.414857
8  5.3  0.33941
8  5.5  0.279025
8  5.7  0.230435
8  5.9  0.191138
8  6.1  0.159262
8  6.3  0.133111
8  6.5  0.11173
8  6.7  0.0941456
8  6.9  0.079586
8  7.1  0.067548
8  7.3  0.057469
8  7.5  0.0490372
8  7.7  0.0419567
8  7.9  0.0359775
8  8.1  0.0309805
8  8.3  0.0267274
8  8.5  0.0231107
8  8.7  0.0200312
8  8.9  0.0174038
8  9.1  0.0151512
8  9.3  0.0132161
8  9.5  0.0115493
8  9.7  0.0101134
8  9.9  0.00887397
8  10.1  0.00780019
8  10.3  0.00686769
8  10.5  0.0060567
8  10.7  0.00535086
8  10.9  0.00473297
8  11.1  0.00419379
8  11.3  0.00372163
8  11.5  0.00330747
8  11.7  0.00294301
8  11.9  0.00262189
10  0.1  489.981
10  0.3  372.066
10  0.5  274.063
10  0.7  196.19
10  0.9  138.797
10  1.1  97.9152
10  1.3  69.2322
10  1.5  49.1774
10  1.7  35.1574
10  1.9  25.3285
10  2.1  18.3946
10  2.3  13.4807
10  2.5  9.97047
10  2.7  7.44262
10  2.9  5.60484
10  3.1  4.25791
10  3.3  3.26243
10  3.5  2.51952
10  3.7  1.96153
10  3.9  1.53965
10  4.1  1.21623
10  4.3  0.96754
10  4.5  0.774591
10  4.7  0.624126
10  4.9  0.50566
10  5.1  0.412048
10  5.3  0.337567
10  5.5  0.278011
10  5.7  0.230047
10  5.9  0.19113
10  6.1  0.159591
10  6.3  0.133735
10  6.5  0.112502
10  6.7  0.0950807
10  6.9  0.0806778
10  7.1  0.0687282
10  7.3  0.058706
10  7.5  0.0503445
10  7.7  0.0432487
10  7.9  0.0372669
10  8.1  0.0318711
10  8.3  0.0273134
10  8.5  0.0234336
10  8.7  0.020143
10  8.9  0.0173957
10  9.1  0.0150174
10  9.3  0.013031
10  9.5  0.0113639
10  9.7  0.00995349
10  9.9  0.00873324
10  10.1  0.00767608
10  10.3  0.00675848
10  10.5  0.00596022
10  10.7  0.00526487
10  10.9  0.00465734
10  11.1  0.00412654
10  11.3  0.00366183
10  11.5  0.00325412
10  11.7  0.00289548
10  11.9  0.00257951
12  0.1  484.807
12  0.3  368.11
12  0.5  271.114
12  0.7  194.013
12  0.9  137.214
12  1.1  96.7456
12  1.3  68.3447
12  1.5  48.5298
12  1.7  34.6729
12  1.9  24.9647
12  2.1  18.122
12  2.3  13.2729
12  2.5  9.81118
12  2.7  7.31998
12  2.9  5.51036
12  3.1  4.18386
12  3.3  3.20389
12  3.5  2.47365
12  3.7  1.92468
12  3.9  1.50874
12  4.1  1.19091
12  4.3  0.946543
12  4.5  0.75726
12  4.7  0.609229
12  4.9  0.493053
12  5.1  0.401166
12  5.3  0.328142
12  5.5  0.269707
12  5.7  0.2227
12  5.9  0.184687
12  6.1  0.153868
12  6.3  0.128578
12  6.5  0.107911
12  6.7  0.0909159
12  6.9  0.0769095
12  7.1  0.0652167
12  7.3  0.0554792
