# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0016.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 4.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  10.6367
0  0.3  7.48241
0  0.5  4.69007
0  0.7  2.65285
0  0.9  1.41105
0  1.1  0.72662
0  1.3  0.368839
0  1.5  0.186353
0  1.7  0.0942711
0  1.9  0.047997
0  2.1  0.0246572
0  2.3  0.0127779
0  2.5  0.006702
0  2.7  0.00355137
0  2.9  0.00190365
0  3.1  0.00103078
0  3.3  0.000563886
0  3.5  0.0003118
0  3.7  0.000173978
0  3.9  9.79691e-05
0  4.1  5.56571e-05
0  4.3  3.18827e-05
0  4.5  1.84057e-05
0  4.7  1.07134e-05
0  4.9  6.27606e-06
0  5.1  3.70702e-06
0  5.3  2.20033e-06
0  5.5  1.31577e-06
0  5.7  7.90636e-07
0  5.9  4.77977e-07
0  6.1  2.9054e-07
0  6.3  1.77402e-07
0  6.5  1.08937e-07
0  6.7  6.71559e-08
0  6.9  4.1603e-08
0  7.1  2.58838e-08
0  7.3  1.61652e-08
0  7.5  1.01403e-08
0  7.7  6.38288e-09
0  7.9  4.03102e-09
0  8.1  2.55675e-09
0  8.3  1.62706e-09
0  8.5  1.03744e-09
0  8.7  6.64163e-10
0  8.9  4.26629e-10
0  9.1  2.74756e-10
0  9.3  1.77389e-10
0  9.5  1.14914e-10
0  9.7  7.46001e-11
0  9.9  4.85418e-11
0  10.1  3.16695e-11
0  10.3  2.07169e-11
0  10.5  1.35836e-11
0  10.7  8.91826e-12
0  10.9  5.87086e-12
0  11.1  3.87561e-12
0  11.3  2.56299e-12
0  11.5  1.69842e-12
0  11.7  1.12686e-12
0  11.9  7.49653e-13
2  0.1  10.63
2  0.3  7.47761
2  0.5  4.68702
2  0.7  2.65108
2  0.9  1.41007
2  1.1  0.726091
2  1.3  0.368556
2  1.5  0.186203
2  1.7  0.0941923
2  1.9  0.0479548
2  2.1  0.0246347
2  2.3  0.0127657
2  2.5  0.00669546
2  2.7  0.0035478
