# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0089.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  840.288
0  0.3  638.405
0  0.5  474.889
0  0.7  344.705
0  0.9  246.798
0  1.1  174.879
0  1.3  123.469
0  1.5  87.1656
0  1.7  61.7752
0  1.9  44.0935
0  2.1  31.7477
0  2.3  23.0914
0  2.5  17.0111
0  2.7  12.666
0  2.9  9.54132
0  3.1  7.27283
0  3.3  5.6031
0  3.5  4.3623
0  3.7  3.4308
0  3.9  2.72509
0  4.1  2.18297
0  4.3  1.76349
0  4.5  1.43537
0  4.7  1.17758
0  4.9  0.972258
0  5.1  0.808803
0  5.3  0.676757
0  5.5  0.569075
0  5.7  0.480933
0  5.9  0.408472
0  6.1  0.349257
0  6.3  0.299329
0  6.5  0.257891
0  6.7  0.223014
0  6.9  0.193653
0  7.1  0.168736
0  7.3  0.150198
0  7.5  0.133988
0  7.7  0.120101
0  7.9  0.107743
0  8.1  0.0971013
0  8.3  0.0877082
0  8.5  0.0793566
0  8.7  0.0718971
0  8.9  0.0653556
0  9.1  0.059575
0  9.3  0.0543521
0  9.5  0.0497115
0  9.7  0.0455262
0  9.9  0.0417599
0  10.1  0.0383831
0  10.3  0.0353323
0  10.5  0.0325798
0  10.7  0.0300634
0  10.9  0.0277703
0  11.1  0.0257425
0  11.3  0.0238668
0  11.5  0.0221498
0  11.7  0.0205932
0  11.9  0.0191761
2  0.1  838.998
2  0.3  637.623
2  0.5  474.304
2  0.7  344.265
2  0.9  246.481
2  1.1  174.631
2  1.3  123.283
2  1.5  87.0258
2  1.7  61.6736
2  1.9  44.0177
2  2.1  31.6919
2  2.3  23.0494
2  2.5  16.9797
2  2.7  12.6426
2  2.9  9.52359
2  3.1  7.25921
2  3.3  5.59231
2  3.5  4.35395
2  3.7  3.42473
2  3.9  2.7199
2  4.1  2.17882
2  4.3  1.76
2  4.5  1.43251
2  4.7  1.17536
2  4.9  0.970444
2  5.1  0.807268
2  5.3  0.674552
2  5.5  0.567984
2  5.7  0.480068
2  5.9  0.407689
2  6.1  0.348629
2  6.3  0.298716
2  6.5  0.257392
2  6.7  0.222588
2  6.9  0.193326
2  7.1  0.168403
2  7.3  0.149913
2  7.5  0.133739
2  7.7  0.119871
2  7.9  0.107549
2  8.1  0.0969602
2  8.3  0.0875395
2  8.5  0.0790895
2  8.7  0.0717588
2  8.9  0.0652914
2  9.1  0.0594099
2  9.3  0.0542449
2  9.5  0.0496035
2  9.7  0.0454375
2  9.9  0.0416814
2  10.1  0.0382724
2  10.3  0.0352695
2  10.5  0.0324999
2  10.7  0.0300074
2  10.9  0.0277645
2  11.1  0.0256962
2  11.3  0.0238054
2  11.5  0.0221119
2  11.7  0.0205583
2  11.9  0.0191295
4  0.1  835.973
4  0.3  635.251
4  0.5  472.391
4  0.7  342.978
4  0.9  245.438
4  1.1  173.932
4  1.3  122.715
4  1.5  86.5902
4  1.7  61.325
4  1.9  43.7854
4  2.1  31.5288
4  2.3  22.9383
4  2.5  16.8899
4  2.7  12.5664
4  2.9  9.46992
4  3.1  7.21802
4  3.3  5.56075
4  3.5  4.32937
4  3.7  3.40481
4  3.9  2.70421
4  4.1  2.16648
4  4.3  1.74937
4  4.5  1.42426
4  4.7  1.16845
4  4.9  0.964801
4  5.1  0.802561
4  5.3  0.671364
4  5.5  0.564771
4  5.7  0.477286
4  5.9  0.405344
4  6.1  0.346518
4  6.3  0.297241
4  6.5  0.255898
4  6.7  0.221298
4  6.9  0.192165
4  7.1  0.167427
4  7.3  0.149038
4  7.5  0.132964
4  7.7  0.119176
4  7.9  0.106902
4  8.1  0.0962712
4  8.3  0.0870327
4  8.5  0.0787436
4  8.7  0.0713418
4  8.9  0.0648504
4  9.1  0.0591144
4  9.3  0.0539367
4  9.5  0.0493156
4  9.7  0.0451699
4  9.9  0.0414401
4  10.1  0.0380884
4  10.3  0.0350594
4  10.5  0.0323307
4  10.7  0.0298312
4  10.9  0.0276035
4  11.1  0.0255515
4  11.3  0.0236966
4  11.5  0.0219769
4  11.7  0.0204217
4  11.9  0.0190226
6  0.1  830.844
6  0.3  631.352
6  0.5  469.423
6  0.7  340.696
6  0.9  243.649
6  1.1  172.587
6  1.3  121.767
6  1.5  85.8977
6  1.7  60.8424
6  1.9  43.3779
6  2.1  31.2405
6  2.3  22.7138
6  2.5  16.7281
6  2.7  12.4535
6  2.9  9.37924
6  3.1  7.14894
6  3.3  5.50689
6  3.5  4.28762
6  3.7  3.37281
6  3.9  2.67791
6  4.1  2.14526
6  4.3  1.73281
6  4.5  1.41035
6  4.7  1.15722
6  4.9  0.955526
6  5.1  0.794948
6  5.3  0.664832
6  5.5  0.559201
6  5.7  0.472229
6  5.9  0.401371
6  6.1  0.343193
6  6.3  0.294101
6  6.5  0.253573
6  6.7  0.219097
6  6.9  0.190159
6  7.1  0.165775
6  7.3  0.147578
6  7.5  0.131813
6  7.7  0.117958
6  7.9  0.105913
6  8.1  0.0954518
6  8.3  0.0860481
6  8.5  0.0778938
6  8.7  0.0706256
6  8.9  0.0642012
6  9.1  0.0584732
6  9.3  0.0533906
6  9.5  0.0488288
6  9.7  0.0447207
6  9.9  0.04103
6  10.1  0.0377073
6  10.3  0.0347116
6  10.5  0.0320047
6  10.7  0.0295622
6  10.9  0.0273332
6  11.1  0.0252843
6  11.3  0.023424
6  11.5  0.0217802
6  11.7  0.020234
6  11.9  0.0188303
8  0.1  824.036
8  0.3  626.098
8  0.5  465.208
8  0.7  337.487
8  0.9  241.233
8  1.1  170.757
8  1.3  120.402
8  1.5  84.8872
8  1.7  60.1048
8  1.9  42.8285
8  2.1  30.8397
8  2.3  22.4302
8  2.5  16.507
8  2.7  12.2797
8  2.9  9.2513
8  3.1  7.04985
8  3.3  5.43056
8  3.5  4.22847
8  3.7  3.32512
8  3.9  2.64062
8  4.1  2.11538
8  4.3  1.70843
8  4.5  1.39104
8  4.7  1.14107
8  4.9  0.942433
8  5.1  0.78374
8  5.3  0.655439
8  5.5  0.551479
8  5.7  0.465624
8  5.9  0.395859
8  6.1  0.338045
8  6.3  0.289971
8  6.5  0.24985
8  6.7  0.216036
8  6.9  0.187604
8  7.1  0.163436
8  7.3  0.145497
8  7.5  0.129963
8  7.7  0.116397
8  7.9  0.1044
8  8.1  0.0941218
8  8.3  0.0849541
8  8.5  0.0768719
8  8.7  0.0697245
8  8.9  0.0633121
8  9.1  0.0577142
8  9.3  0.0526564
8  9.5  0.0481459
8  9.7  0.0441008
8  9.9  0.0404568
8  10.1  0.0371657
8  10.3  0.0342352
8  10.5  0.0315447
8  10.7  0.0291149
8  10.9  0.0269519
8  11.1  0.0249224
8  11.3  0.0231087
8  11.5  0.0214682
8  11.7  0.0199481
8  11.9  0.0185671
10  0.1  814.044
10  0.3  618.864
10  0.5  459.582
10  0.7  333.277
10  0.9  238.174
10  1.1  168.35
10  1.3  118.621
10  1.5  83.5686
10  1.7  59.1216
10  1.9  42.1367
10  2.1  30.3106
10  2.3  22.0197
10  2.5  16.2095
10  2.7  12.0635
10  2.9  9.08337
10  3.1  6.92207
10  3.3  5.33129
10  3.5  4.1506
10  3.7  3.26444
10  3.9  2.5921
10  4.1  2.07641
10  4.3  1.67719
10  4.5  1.36522
10  4.7  1.11978
10  4.9  0.924927
10  5.1  0.768968
10  5.3  0.643335
10  5.5  0.541082
10  5.7  0.456926
10  5.9  0.38835
10  6.1  0.331966
10  6.3  0.284592
10  6.5  0.245173
10  6.7  0.211969
10  6.9  0.184005
10  7.1  0.160375
10  7.3  0.14274
