# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1129.53
0  0.3  895.195
0  0.5  711.962
0  0.7  559.552
0  0.9  435.722
0  1.1  337.052
0  1.3  259.205
0  1.5  198.437
0  1.7  151.376
0  1.9  115.349
0  2.1  87.8901
0  2.3  67.1729
0  2.5  51.564
0  2.7  39.783
0  2.9  30.9148
0  3.1  24.2192
0  3.3  19.1052
0  3.5  15.1937
0  3.7  12.1818
0  3.9  9.84579
0  4.1  8.00964
0  4.3  6.56318
0  4.5  5.41275
0  4.7  4.49409
0  4.9  3.75598
0  5.1  3.15375
0  5.3  2.66248
0  5.5  2.26114
0  5.7  1.92818
0  5.9  1.65267
0  6.1  1.4226
0  6.3  1.22976
0  6.5  1.0668
0  6.7  0.928676
0  6.9  0.811163
0  7.1  0.711318
0  7.3  0.636242
0  7.5  0.571391
0  7.7  0.514279
0  7.9  0.463964
0  8.1  0.420048
0  8.3  0.38093
0  8.5  0.346358
0  8.7  0.315433
0  8.9  0.288031
0  9.1  0.263512
0  9.3  0.241594
0  9.5  0.22169
0  9.7  0.203928
0  9.9  0.187993
0  10.1  0.173435
0  10.3  0.160312
0  10.5  0.148445
0  10.7  0.137609
0  10.9  0.127723
0  11.1  0.118742
0  11.3  0.110548
0  11.5  0.102983
0  11.7  0.0961062
0  11.9  0.0896624
2  0.1  1128.37
2  0.3  894.138
2  0.5  711.099
2  0.7  558.856
2  0.9  435.22
2  1.1  336.611
2  1.3  258.843
2  1.5  198.143
2  1.7  151.146
2  1.9  115.16
2  2.1  87.7414
2  2.3  67.0358
2  2.5  51.4694
2  2.7  39.7102
2  2.9  30.8579
2  3.1  24.1647
2  3.3  19.0761
2  3.5  15.1649
2  3.7  12.1587
2  3.9  9.82706
2  4.1  7.99424
2  4.3  6.5506
2  4.5  5.40231
2  4.7  4.48692
2  4.9  3.74877
2  5.1  3.14773
2  5.3  2.65737
2  5.5  2.25645
2  5.7  1.92442
2  5.9  1.64948
2  6.1  1.41978
2  6.3  1.22739
2  6.5  1.0647
2  6.7  0.926854
2  6.9  0.809682
2  7.1  0.70995
2  7.3  0.635201
2  7.5  0.570258
2  7.7  0.513288
2  7.9  0.463072
2  8.1  0.419245
2  8.3  0.380192
2  8.5  0.345693
2  8.7  0.314842
2  8.9  0.287412
2  9.1  0.263008
2  9.3  0.241126
2  9.5  0.221256
2  9.7  0.203664
2  9.9  0.187682
2  10.1  0.173161
2  10.3  0.159994
2  10.5  0.148154
2  10.7  0.137339
2  10.9  0.127476
2  11.1  0.118509
2  11.3  0.110336
2  11.5  0.10278
2  11.7  0.095918
2  11.9  0.0895788
4  0.1  1123.9
4  0.3  891.2
4  0.5  708.764
4  0.7  556.743
4  0.9  433.426
4  1.1  335.241
4  1.3  257.765
4  1.5  197.255
4  1.7  150.43
4  1.9  114.569
4  2.1  87.2922
4  2.3  66.6783
4  2.5  51.1682
4  2.7  39.5132
4  2.9  30.6841
4  3.1  24.0371
4  3.3  18.9598
4  3.5  15.0856
4  3.7  12.0892
4  3.9  9.77069
4  4.1  7.94527
4  4.3  6.51254
4  4.5  5.37095
4  4.7  4.45928
4  4.9  3.72714
4  5.1  3.12942
4  5.3  2.64208
4  5.5  2.24368
4  5.7  1.91349
4  5.9  1.63973
4  6.1  1.41158
4  6.3  1.21958
4  6.5  1.0584
4  6.7  0.92143
4  6.9  0.80482
4  7.1  0.705721
4  7.3  0.631669
4  7.5  0.566781
4  7.7  0.510314
4  7.9  0.46038
4  8.1  0.416796
4  8.3  0.377959
4  8.5  0.343676
4  8.7  0.313001
4  8.9  0.285692
4  9.1  0.261494
4  9.3  0.239589
4  9.5  0.219946
4  9.7  0.202357
4  9.9  0.186587
4  10.1  0.17215
4  10.3  0.15908
4  10.5  0.147301
4  10.7  0.136557
4  10.9  0.126738
4  11.1  0.117822
4  11.3  0.109692
4  11.5  0.10217
4  11.7  0.095369
4  11.9  0.0890443
6  0.1  1116.99
6  0.3  885.758
6  0.5  704.111
6  0.7  553.265
6  0.9  430.646
6  1.1  332.961
6  1.3  255.903
6  1.5  195.73
6  1.7  149.214
6  1.9  113.614
6  2.1  86.5309
6  2.3  66.0794
6  2.5  50.7204
6  2.7  39.1208
6  2.9  30.4087
6  3.1  23.8062
6  3.3  18.7848
6  3.5  14.935
6  3.7  11.9705
6  3.9  9.66836
6  4.1  7.86756
6  4.3  6.44865
6  4.5  5.31662
6  4.7  4.41677
6  4.9  3.69015
6  5.1  3.09968
6  5.3  2.61667
6  5.5  2.22187
6  5.7  1.89449
6  5.9  1.6236
6  6.1  1.39787
6  6.3  1.20793
6  6.5  1.04794
6  6.7  0.912394
6  6.9  0.797235
6  7.1  0.698736
6  7.3  0.625243
6  7.5  0.561393
6  7.7  0.505274
6  7.9  0.45594
6  8.1  0.412728
6  8.3  0.374266
6  8.5  0.340022
6  8.7  0.310006
6  8.9  0.282936
6  9.1  0.258928
6  9.3  0.237261
6  9.5  0.21779
6  9.7  0.200364
6  9.9  0.184771
6  10.1  0.170415
6  10.3  0.157548
6  10.5  0.145845
6  10.7  0.13522
6  10.9  0.125557
6  11.1  0.116705
6  11.3  0.108613
6  11.5  0.1012
6  11.7  0.0944238
6  11.9  0.0881078
8  0.1  1107.45
8  0.3  877.812
8  0.5  697.89
8  0.7  548.23
8  0.9  426.671
8  1.1  329.685
8  1.3  253.226
8  1.5  193.621
8  1.7  147.529
8  1.9  112.256
8  2.1  85.4552
8  2.3  65.2332
8  2.5  50.026
8  2.7  38.6127
8  2.9  29.9892
8  3.1  23.4674
8  3.3  18.5222
8  3.5  14.7277
8  3.7  11.8039
8  3.9  9.53566
8  4.1  7.75847
8  4.3  6.35972
8  4.5  5.24357
8  4.7  4.35416
8  4.9  3.63829
8  5.1  3.05602
8  5.3  2.58067
8  5.5  2.19017
8  5.7  1.86729
8  5.9  1.60069
8  6.1  1.37755
8  6.3  1.19086
8  6.5  1.0332
8  6.7  0.899346
8  6.9  0.7856
8  7.1  0.688831
8  7.3  0.616396
8  7.5  0.553383
8  7.7  0.497984
8  7.9  0.449494
8  8.1  0.406885
8  8.3  0.369001
8  8.5  0.335258
8  8.7  0.305708
8  8.9  0.279028
8  9.1  0.255271
8  9.3  0.233965
8  9.5  0.214733
8  9.7  0.197517
8  9.9  0.182039
8  10.1  0.168022
8  10.3  0.155364
8  10.5  0.143787
8  10.7  0.133288
8  10.9  0.123753
8  11.1  0.115059
8  11.3  0.107068
8  11.5  0.0997857
8  11.7  0.09301
8  11.9  0.0868718
10  0.1  1094.86
10  0.3  867.89
10  0.5  689.681
10  0.7  541.609
10  0.9  421.225
10  1.1  325.341
10  1.3  249.699
10  1.5  190.842
10  1.7  145.28
10  1.9  110.484
10  2.1  84.0357
10  2.3  64.1174
10  2.5  49.1761
10  2.7  37.9091
10  2.9  29.4386
10  3.1  23.0407
10  3.3  18.1822
10  3.5  14.46
10  3.7  11.5874
10  3.9  9.35935
10  4.1  7.61587
10  4.3  6.23973
10  4.5  5.14583
10  4.7  4.27167
10  4.9  3.57002
10  5.1  2.99859
10  5.3  2.53217
10  5.5  2.14879
10  5.7  1.83229
10  5.9  1.57021
10  6.1  1.35218
10  6.3  1.16877
10  6.5  1.01365
10  6.7  0.882543
10  6.9  0.771124
10  7.1  0.675896
10  7.3  0.60475
10  7.5  0.543018
10  7.7  0.488777
10  7.9  0.441056
10  8.1  0.399149
10  8.3  0.362139
10  8.5  0.32915
10  8.7  0.299791
10  8.9  0.273804
10  9.1  0.250509
10  9.3  0.229637
10  9.5  0.210751
10  9.7  0.193831
10  9.9  0.178611
10  10.1  0.164956
10  10.3  0.152423
10  10.5  0.141104
10  10.7  0.130845
10  10.9  0.121446
10  11.1  0.112937
10  11.3  0.105088
10  11.5  0.0979364
10  11.7  0.0913845
10  11.9  0.0853187
12  0.1  1078.46
12  0.3  854.52
