# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  357.3
0  0.3  270.104
0  0.5  201.469
0  0.7  146.282
0  0.9  104.379
0  1.1  73.8303
0  1.3  52.0674
0  1.5  36.745
0  1.7  25.9936
0  1.9  18.4584
0  2.1  13.1664
0  2.3  9.44085
0  2.5  6.81245
0  2.7  4.94665
0  2.9  3.61596
0  3.1  2.66196
0  3.3  1.97224
0  3.5  1.47215
0  3.7  1.10548
0  3.9  0.834929
0  4.1  0.635032
0  4.3  0.485443
0  4.5  0.373674
0  4.7  0.289021
0  4.9  0.224689
0  5.1  0.175357
0  5.3  0.137646
0  5.5  0.108541
0  5.7  0.0860481
0  5.9  0.0683687
0  6.1  0.0546313
0  6.3  0.043772
0  6.5  0.0352066
0  6.7  0.0284049
0  6.9  0.0229971
0  7.1  0.0186777
0  7.3  0.0152158
0  7.5  0.0124305
0  7.7  0.0101822
0  7.9  0.00836367
0  8.1  0.00689167
0  8.3  0.00568705
0  8.5  0.0047102
0  8.7  0.00390309
0  8.9  0.00324443
0  9.1  0.00270311
0  9.3  0.00225577
0  9.5  0.0018862
0  9.7  0.00158023
0  9.9  0.00132715
0  10.1  0.0011157
0  10.3  0.000939867
0  10.5  0.00079313
0  10.7  0.000670907
0  10.9  0.000567302
0  11.1  0.000480826
0  11.3  0.000408115
0  11.5  0.000346824
0  11.7  0.000295183
0  11.9  0.000251611
2  0.1  357.03
2  0.3  269.898
2  0.5  201.314
2  0.7  146.167
2  0.9  104.295
2  1.1  73.7697
2  1.3  52.0229
2  1.5  36.712
2  1.7  25.9691
2  1.9  18.4403
2  2.1  13.1529
2  2.3  9.43078
2  2.5  6.80494
2  2.7  4.94102
2  2.9  3.61172
2  3.1  2.65876
2  3.3  1.9698
2  3.5  1.4703
2  3.7  1.10407
2  3.9  0.833847
2  4.1  0.634196
2  4.3  0.484797
2  4.5  0.37317
2  4.7  0.288627
2  4.9  0.22438
2  5.1  0.175114
2  5.3  0.137453
2  5.5  0.108388
2  5.7  0.0859265
2  5.9  0.068271
2  6.1  0.0545527
2  6.3  0.0437082
2  6.5  0.035155
2  6.7  0.028363
2  6.9  0.022963
2  7.1  0.0186499
2  7.3  0.015193
2  7.5  0.0124118
2  7.7  0.0101668
2  7.9  0.00835101
2  8.1  0.00688113
2  8.3  0.00567829
2  8.5  0.00470298
2  8.7  0.00389709
2  8.9  0.00323942
2  9.1  0.00269892
2  9.3  0.00225231
2  9.5  0.00188329
2  9.7  0.00157777
2  9.9  0.00132509
2  10.1  0.00111396
2  10.3  0.000938412
2  10.5  0.000791902
2  10.7  0.000669874
2  10.9  0.000566422
2  11.1  0.000480082
2  11.3  0.000407475
2  11.5  0.000346273
2  11.7  0.00029472
2  11.9  0.000251217
4  0.1  356.267
4  0.3  269.27
4  0.5  200.841
4  0.7  145.818
4  0.9  104.04
4  1.1  73.5837
4  1.3  51.8889
4  1.5  36.6112
4  1.7  25.8943
4  1.9  18.3859
4  2.1  13.1128
4  2.3  9.4002
4  2.5  6.78218
4  2.7  4.92415
4  2.9  3.59908
4  3.1  2.64911
4  3.3  1.9626
4  3.5  1.4647
4  3.7  1.09973
4  3.9  0.830631
4  4.1  0.631706
4  4.3  0.482832
4  4.5  0.3717
4  4.7  0.287445
4  4.9  0.223474
4  5.1  0.174544
4  5.3  0.136867
4  5.5  0.107937
4  5.7  0.0855487
4  5.9  0.0680461
4  6.1  0.0543005
4  6.3  0.0435041
4  6.5  0.0349826
4  6.7  0.0282476
4  6.9  0.0228654
4  7.1  0.0185655
4  7.3  0.0151271
4  7.5  0.0123607
4  7.7  0.0101257
4  7.9  0.00831883
4  8.1  0.0068508
4  8.3  0.00566056
4  8.5  0.00468293
4  8.7  0.00388162
4  8.9  0.00322725
4  9.1  0.00268919
4  9.3  0.00224381
4  9.5  0.00187677
4  9.7  0.00157447
4  9.9  0.00132171
4  10.1  0.00111225
4  10.3  0.0009374
4  10.5  0.000791442
4  10.7  0.000669478
4  10.9  0.000567168
4  11.1  0.000480873
4  11.3  0.000408493
4  11.5  0.000347093
4  11.7  0.000295796
4  11.9  0.000252304
6  0.1  354.831
6  0.3  268.225
6  0.5  200.056
