# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 4.0
# ============================================================
# b  pD0  dsigma_dy
0  0.1  20.5385
0  0.3  11.1833
0  0.5  6.20956
0  0.7  3.39151
0  0.9  1.83202
0  1.1  0.98562
0  1.3  0.530803
0  1.5  0.287052
0  1.7  0.156127
0  1.9  0.0855371
0  2.1  0.0472261
0  2.3  0.0263096
0  2.5  0.014782
0  2.7  0.00837225
0  2.9  0.00478496
0  3.1  0.00275646
0  3.3  0.00160203
0  3.5  0.000937682
0  3.7  0.000553204
0  3.9  0.000328748
0  4.1  0.000196737
0  4.3  0.000118561
0  4.5  7.18729e-05
0  4.7  4.38442e-05
0  4.9  2.69002e-05
0  5.1  1.65989e-05
0  5.3  1.02923e-05
0  5.5  6.41612e-06
0  5.7  4.01868e-06
0  5.9  2.52909e-06
0  6.1  1.59827e-06
0  6.3  1.0144e-06
0  6.5  6.46654e-07
0  6.7  4.13604e-07
0  6.9  2.65521e-07
0  7.1  1.71056e-07
0  7.3  1.10627e-07
0  7.5  7.17471e-08
0  7.7  4.66847e-08
0  7.9  3.04667e-08
0  8.1  1.99427e-08
0  8.3  1.30874e-08
0  8.5  8.61324e-09
0  8.7  5.67998e-09
0  8.9  3.76062e-09
0  9.1  2.49397e-09
0  9.3  1.65762e-09
0  9.5  1.10385e-09
0  9.7  7.36948e-10
0  9.9  4.92966e-10
0  10.1  3.30501e-10
0  10.3  2.21868e-10
0  10.5  1.49275e-10
0  10.7  1.00608e-10
0  10.9  6.80071e-11
0  11.1  4.60079e-11
0  11.3  3.11623e-11
0  11.5  2.11532e-11
0  11.7  1.43824e-11
0  11.9  9.79555e-12
2  0.1  20.5254
2  0.3  11.1762
2  0.5  6.20547
2  0.7  3.38922
2  0.9  1.83074
2  1.1  0.984902
2  1.3  0.5304
2  1.5  0.286824
2  1.7  0.155998
2  1.9  0.085464
2  2.1  0.0471835
2  2.3  0.026285
2  2.5  0.0147681
2  2.7  0.00836392
2  2.9  0.00478002
2  3.1  0.00275354
2  3.3  0.0016003
2  3.5  0.000936641
2  3.7  0.00055258
2  3.9  0.00032837
2  4.1  0.000196509
2  4.3  0.000118421
2  4.5  7.17865e-05
2  4.7  4.37908e-05
2  4.9  2.68689e-05
2  5.1  1.65784e-05
2  5.3  1.02794e-05
2  5.5  6.40803e-06
2  5.7  4.01358e-06
2  5.9  2.52584e-06
2  6.1  1.59621e-06
2  6.3  1.01308e-06
2  6.5  6.45809e-07
2  6.7  4.13059e-07
2  6.9  2.6517e-07
2  7.1  1.70828e-07
2  7.3  1.10479e-07
2  7.5  7.16505e-08
2  7.7  4.66214e-08
2  7.9  3.04264e-08
2  8.1  1.991e-08
2  8.3  1.30701e-08
2  8.5  8.60181e-09
2  8.7  5.67243e-09
2  8.9  3.75562e-09
2  9.1  2.49048e-09
2  9.3  1.65535e-09
2  9.5  1.1023e-09
2  9.7  7.35902e-10
2  9.9  4.92265e-10
2  10.1  3.30028e-10
2  10.3  2.21548e-10
2  10.5  1.49062e-10
2  10.7  1.00503e-10
2  10.9  6.7909e-11
2  11.1  4.59413e-11
2  11.3  3.11169e-11
2  11.5  2.11221e-11
2  11.7  1.43613e-11
2  11.9  9.78107e-12
4  0.1  20.4858
4  0.3  11.1544
4  0.5  6.19314
4  0.7  3.38231
4  0.9  1.82687
4  1.1  0.982754
4  1.3  0.529185
4  1.5  0.286136
4  1.7  0.155608
4  1.9  0.0852383
4  2.1  0.0470524
4  2.3  0.0262104
4  2.5  0.0147243
4  2.7  0.00833842
4  2.9  0.00476487
4  3.1  0.00274476
4  3.3  0.00159505
4  3.5  0.000933478
4  3.7  0.000550697
4  3.9  0.000327226
4  4.1  0.000195818
4  4.3  0.000118002
4  4.5  7.15248e-05
4  4.7  4.36309e-05
4  4.9  2.677e-05
4  5.1  1.65169e-05
4  5.3  1.02407e-05
4  5.5  6.38332e-06
4  5.7  3.99798e-06
4  5.9  2.51579e-06
4  6.1  1.59047e-06
4  6.3  1.00936e-06
4  6.5  6.43212e-07
4  6.7  4.11392e-07
4  6.9  2.64089e-07
4  7.1  1.70124e-07
4  7.3  1.10021e-07
4  7.5  7.13543e-08
4  7.7  4.64299e-08
4  7.9  3.02989e-08
4  8.1  1.98334e-08
4  8.3  1.30113e-08
4  8.5  8.56065e-09
4  8.7  5.64933e-09
4  8.9  3.7401e-09
4  9.1  2.47975e-09
4  9.3  1.64835e-09
4  9.5  1.09761e-09
4  9.7  7.32487e-10
4  9.9  4.90136e-10
4  10.1  3.28599e-10
4  10.3  2.20601e-10
4  10.5  1.4844e-10
4  10.7  1.00089e-10
4  10.9  6.75712e-11
4  11.1  4.57215e-11
