# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1118.75
0  0.3  738.477
0  0.5  511.599
0  0.7  360.107
0  0.9  255.187
0  1.1  181.48
0  1.3  129.462
0  1.5  92.5742
0  1.7  66.4952
0  1.9  48.0265
0  2.1  34.9659
0  2.3  25.668
0  2.5  19.0267
0  2.7  14.2618
0  2.9  10.8052
0  3.1  8.27354
0  3.3  6.40078
0  3.5  5.00571
0  3.7  3.95254
0  3.9  3.14891
0  4.1  2.53087
0  4.3  2.09168
0  4.5  1.7514
0  4.7  1.47655
0  4.9  1.25392
0  5.1  1.07121
0  5.3  0.920783
0  5.5  0.795809
0  5.7  0.691747
0  5.9  0.603699
0  6.1  0.529634
0  6.3  0.466472
0  6.5  0.412368
0  6.7  0.365893
0  6.9  0.325796
0  7.1  0.291073
0  7.3  0.260824
0  7.5  0.234633
0  7.7  0.211334
0  7.9  0.191119
0  8.1  0.173062
0  8.3  0.157262
0  8.5  0.143096
0  8.7  0.130586
0  8.9  0.119337
0  9.1  0.109277
0  9.3  0.100288
0  9.5  0.0921894
0  9.7  0.0849962
0  9.9  0.0783488
0  10.1  0.0724585
0  10.3  0.0669703
0  10.5  0.062084
0  10.7  0.0576864
0  10.9  0.0536209
0  11.1  0.0498234
0  11.3  0.0464743
0  11.5  0.0433695
0  11.7  0.0404714
0  11.9  0.0378797
2  0.1  1117.31
2  0.3  737.556
2  0.5  510.971
2  0.7  359.597
2  0.9  254.82
2  1.1  181.204
2  1.3  129.259
2  1.5  92.4226
2  1.7  66.3783
2  1.9  47.9378
2  2.1  34.8998
2  2.3  25.6176
2  2.5  18.9897
2  2.7  14.2362
2  2.9  10.7838
2  3.1  8.25699
2  3.3  6.38794
2  3.5  4.99575
2  3.7  3.94472
2  3.9  3.14263
2  4.1  2.52593
2  4.3  2.08749
2  4.5  1.7485
2  4.7  1.47362
2  4.9  1.25162
2  5.1  1.0692
2  5.3  0.919003
2  5.5  0.794275
2  5.7  0.690477
2  5.9  0.602524
2  6.1  0.5286
2  6.3  0.465569
2  6.5  0.411562
2  6.7  0.365188
2  6.9  0.325156
2  7.1  0.290518
2  7.3  0.260439
2  7.5  0.234148
2  7.7  0.210918
2  7.9  0.19064
2  8.1  0.172849
2  8.3  0.156959
2  8.5  0.142802
2  8.7  0.130333
2  8.9  0.11911
2  9.1  0.109073
2  9.3  0.100092
2  9.5  0.0920182
2  9.7  0.0847574
2  9.9  0.0782639
2  10.1  0.0723164
2  10.3  0.0668497
2  10.5  0.0619669
2  10.7  0.0575803
2  10.9  0.0535169
2  11.1  0.0497256
2  11.3  0.0463867
2  11.5  0.0432905
2  11.7  0.0403924
2  11.9  0.0378065
4  0.1  1112.78
4  0.3  734.484
4  0.5  508.897
4  0.7  358.2
4  0.9  253.687
4  1.1  180.306
4  1.3  128.634
4  1.5  91.9527
4  1.7  66.0281
4  1.9  47.6775
4  2.1  34.6934
4  2.3  25.471
4  2.5  18.879
4  2.7  14.1523
4  2.9  10.7192
4  3.1  8.20631
4  3.3  6.34947
4  3.5  4.96562
4  3.7  3.92086
4  3.9  3.12374
4  4.1  2.51106
4  4.3  2.07488
4  4.5  1.73803
4  4.7  1.46481
4  4.9  1.24458
4  5.1  1.06323
4  5.3  0.913564
4  5.5  0.789603
4  5.7  0.686464
4  5.9  0.599013
4  6.1  0.52551
4  6.3  0.462844
4  6.5  0.409145
4  6.7  0.363071
4  6.9  0.323212
4  7.1  0.288812
4  7.3  0.258926
4  7.5  0.232713
4  7.7  0.209696
4  7.9  0.189522
4  8.1  0.171713
4  8.3  0.156026
4  8.5  0.141963
4  8.7  0.129562
4  8.9  0.118432
4  9.1  0.108428
4  9.3  0.099492
4  9.5  0.0914739
4  9.7  0.0842638
4  9.9  0.077807
4  10.1  0.0718962
4  10.3  0.0664569
4  10.5  0.0616096
4  10.7  0.0572494
4  10.9  0.0531201
4  11.1  0.0495033
4  11.3  0.0461162
4  11.5  0.0430366
4  11.7  0.0401541
4  11.9  0.0375859
6  0.1  1105.83
6  0.3  729.776
6  0.5  505.744
6  0.7  355.598
6  0.9  251.82
6  1.1  178.911
6  1.3  127.597
6  1.5  91.1615
6  1.7  65.4355
6  1.9  47.2532
6  2.1  34.363
6  2.3  25.2211
6  2.5  18.6957
6  2.7  14.0103
6  2.9  10.6114
6  3.1  8.12429
6  3.3  6.28573
6  3.5  4.91555
6  3.7  3.88069
6  3.9  3.09238
6  4.1  2.48536
6  4.3  2.05387
6  4.5  1.72018
6  4.7  1.44999
6  4.9  1.23198
6  5.1  1.05243
6  5.3  0.904514
6  5.5  0.781625
6  5.7  0.67954
6  5.9  0.593094
6  6.1  0.520404
6  6.3  0.458168
6  6.5  0.405075
6  6.7  0.359487
6  6.9  0.320092
6  7.1  0.286014
6  7.3  0.25634
6  7.5  0.230335
6  7.7  0.20761
6  7.9  0.187663
6  8.1  0.17002
6  8.3  0.15449
6  8.5  0.140564
6  8.7  0.128285
6  8.9  0.117273
6  9.1  0.107455
6  9.3  0.0985164
6  9.5  0.09058
6  9.7  0.0834491
6  9.9  0.0769748
6  10.1  0.0711955
6  10.3  0.0658046
6  10.5  0.0609974
6  10.7  0.0566809
6  10.9  0.0525913
6  11.1  0.0489736
6  11.3  0.0456809
6  11.5  0.0426182
6  11.7  0.0397967
6  11.9  0.0372149
8  0.1  1095.78
8  0.3  722.965
8  0.5  500.538
8  0.7  352.13
8  0.9  249.202
8  1.1  177.017
8  1.3  126.027
8  1.5  90.0565
8  1.7  64.5943
8  1.9  46.6016
8  2.1  33.893
8  2.3  24.8644
8  2.5  18.4179
8  2.7  13.805
8  2.9  10.4568
8  3.1  8.0059
8  3.3  6.19402
8  3.5  4.84239
8  3.7  3.82475
8  3.9  3.04778
8  4.1  2.44945
8  4.3  2.02444
8  4.5  1.69521
8  4.7  1.429
8  4.9  1.21427
8  5.1  1.0371
8  5.3  0.891739
8  5.5  0.770876
8  5.7  0.669832
8  5.9  0.584644
8  6.1  0.512933
8  6.3  0.451673
8  6.5  0.399351
8  6.7  0.354388
8  6.9  0.31553
8  7.1  0.281982
8  7.3  0.252723
8  7.5  0.22713
8  7.7  0.204688
8  7.9  0.184999
8  8.1  0.1676
8  8.3  0.152337
8  8.5  0.138667
8  8.7  0.12649
8  8.9  0.115565
8  9.1  0.105866
8  9.3  0.0971492
8  9.5  0.0893371
8  9.7  0.0822851
8  9.9  0.075895
8  10.1  0.0701052
8  10.3  0.0648824
8  10.5  0.060145
8  10.7  0.0558908
8  10.9  0.0519417
8  11.1  0.0483357
8  11.3  0.0450386
8  11.5  0.0420223
8  11.7  0.0392344
8  11.9  0.0367038
10  0.1  1082.33
10  0.3  714.088
10  0.5  494.149
10  0.7  347.415
10  0.9  245.68
10  1.1  174.396
10  1.3  124.042
10  1.5  88.567
10  1.7  63.513
10  1.9  45.7767
10  2.1  33.2738
10  2.3  24.4099
10  2.5  18.0752
10  2.7  13.5433
10  2.9  10.2573
10  3.1  7.853
10  3.3  6.07594
10  3.5  4.75069
10  3.7  3.75128
10  3.9  2.98874
10  4.1  2.40246
10  4.3  1.9853
10  4.5  1.66254
10  4.7  1.40222
10  4.9  1.1912
10  5.1  1.01749
10  5.3  0.874563
10  5.5  0.756011
10  5.7  0.657157
10  5.9  0.573542
10  6.1  0.503088
10  6.3  0.443011
10  6.5  0.391774
10  6.7  0.347671
10  6.9  0.309633
10  7.1  0.276661
10  7.3  0.247898
10  7.5  0.222994
10  7.7  0.200849
10  7.9  0.181552
10  8.1  0.164472
10  8.3  0.149339
10  8.5  0.136096
10  8.7  0.124129
10  8.9  0.113424
10  9.1  0.103967
10  9.3  0.0953405
10  9.5  0.0876716
10  9.7  0.0807225
10  9.9  0.0744773
10  10.1  0.068799
10  10.3  0.0636671
10  10.5  0.059093
10  10.7  0.05486
10  10.9  0.0509094
10  11.1  0.0474353
10  11.3  0.0442076
10  11.5  0.0411873
10  11.7  0.0385219
10  11.9  0.036012
12  0.1  1065.5
12  0.3  702.304
12  0.5  485.946
12  0.7  341.384
12  0.9  241.308
12  1.1  171.096
12  1.3  121.583
12  1.5  86.7101
12  1.7  62.1173
12  1.9  44.7412
12  2.1  32.4976
12  2.3  23.8263
12  2.5  17.6438
12  2.7  13.216
12  2.9  10.0054
12  3.1  7.66007
12  3.3  5.92587
12  3.5  4.63382
12  3.7  3.65914
12  3.9  2.91519
12  4.1  2.34287
12  4.3  1.93676
12  4.5  1.62176
12  4.7  1.36803
12  4.9  1.16167
12  5.1  0.992838
12  5.3  0.853519
12  5.5  0.737859
12  5.7  0.641324
12  5.9  0.559745
12  6.1  0.491039
12  6.3  0.432442
12  6.5  0.382509
12  6.7  0.339432
12  6.9  0.302238
12  7.1  0.270011
12  7.3  0.242132
12  7.5  0.217617
12  7.7  0.196114
12  7.9  0.177185
12  8.1  0.160711
12  8.3  0.145959
12  8.5  0.132771
12  8.7  0.121216
12  8.9  0.110743
12  9.1  0.101443
12  9.3  0.0930896
12  9.5  0.085581
12  9.7  0.0788491
12  9.9  0.0727452
12  10.1  0.0671956
12  10.3  0.0621805
12  10.5  0.0577095
12  10.7  0.0534953
12  10.9  0.0497809
12  11.1  0.0463293
12  11.3  0.0431745
12  11.5  0.0402521
12  11.7  0.0375666
12  11.9  0.0351716
14  0.1  1044.21
14  0.3  688.089
14  0.5  475.863
14  0.7  334.104
14  0.9  235.755
14  1.1  167.024
14  1.3  118.545
14  1.5  84.4391
14  1.7  60.4283
14  1.9  43.5022
14  2.1  31.5611
14  2.3  23.1251
14  2.5  17.1174
14  2.7  12.812
14  2.9  9.70308
14  3.1  7.42463
14  3.3  5.74398
14  3.5  4.49188
14  3.7  3.54643
14  3.9  2.82617
14  4.1  2.27067
14  4.3  1.87735
14  4.5  1.57244
14  4.7  1.32627
14  4.9  1.12647
14  5.1  0.962738
14  5.3  0.827731
14  5.5  0.715585
14  5.7  0.621803
14  5.9  0.542941
14  6.1  0.476283
14  6.3  0.419419
14  6.5  0.370928
14  6.7  0.329195
14  6.9  0.293128
14  7.1  0.262045
14  7.3  0.234849
14  7.5  0.211027
14  7.7  0.190242
14  7.9  0.172072
14  8.1  0.155781
14  8.3  0.141588
14  8.5  0.12889
14  8.7  0.117587
14  8.9  0.107439
14  9.1  0.0984073
14  9.3  0.0903164
14  9.5  0.0830699
14  9.7  0.0764802
14  9.9  0.0705772
14  10.1  0.0651678
14  10.3  0.0603311
14  10.5  0.0559814
