# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.0
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1015.46
0  0.3  654.008
0  0.5  441.83
0  0.7  303.597
0  0.9  211.313
0  1.1  148.561
0  1.3  105.544
0  1.5  75.6756
0  1.7  54.7446
0  1.9  39.9564
0  2.1  29.4289
0  2.3  21.8692
0  2.5  16.3965
0  2.7  12.4115
0  2.9  9.47422
0  3.1  7.29651
0  3.3  5.66652
0  3.5  4.43563
0  3.7  3.49691
0  3.9  2.78
0  4.1  2.22327
0  4.3  1.79063
0  4.5  1.45113
0  4.7  1.18303
0  4.9  0.969989
0  5.1  0.799656
0  5.3  0.662485
0  5.5  0.551477
0  5.7  0.461109
0  5.9  0.387292
0  6.1  0.326967
0  6.3  0.276591
0  6.5  0.235294
0  6.7  0.200673
0  6.9  0.171723
0  7.1  0.147382
0  7.3  0.126859
0  7.5  0.109644
0  7.7  0.0949928
0  7.9  0.0825172
0  8.1  0.0718553
0  8.3  0.0627245
0  8.5  0.0548858
0  8.7  0.0480945
0  8.9  0.0423209
0  9.1  0.0372533
0  9.3  0.0329189
0  9.5  0.0291192
0  9.7  0.0258064
0  9.9  0.0229093
0  10.1  0.0203746
0  10.3  0.0181496
0  10.5  0.0161926
0  10.7  0.0144685
0  10.9  0.0129497
0  11.1  0.0116115
0  11.3  0.0104268
0  11.5  0.00937357
0  11.7  0.00844031
0  11.9  0.00760604
2  0.1  1014.56
2  0.3  653.418
2  0.5  441.423
2  0.7  303.31
2  0.9  211.106
2  1.1  148.463
2  1.3  105.431
2  1.5  75.5907
2  1.7  54.6804
2  1.9  39.9078
2  2.1  29.3918
2  2.3  21.8408
2  2.5  16.3747
2  2.7  12.3945
2  2.9  9.46099
2  3.1  7.28611
2  3.3  5.65834
2  3.5  4.42913
2  3.7  3.49176
2  3.9  2.77585
2  4.1  2.21993
2  4.3  1.7879
2  4.5  1.44889
2  4.7  1.18118
2  4.9  0.968486
2  5.1  0.798417
2  5.3  0.661453
2  5.5  0.550605
2  5.7  0.460378
2  5.9  0.386671
2  6.1  0.326433
2  6.3  0.276145
2  6.5  0.234904
2  6.7  0.200344
2  6.9  0.171438
2  7.1  0.147136
2  7.3  0.126648
2  7.5  0.109463
2  7.7  0.0948353
2  7.9  0.0823798
2  8.1  0.071736
2  8.3  0.0626205
2  8.5  0.054796
2  8.7  0.0480164
2  8.9  0.0422524
2  9.1  0.0371947
2  9.3  0.0328652
2  9.5  0.0290716
2  9.7  0.0257641
2  9.9  0.0228713
2  10.1  0.0203407
2  10.3  0.0181197
2  10.5  0.0161659
2  10.7  0.0144449
2  10.9  0.0129286
2  11.1  0.0115919
2  11.3  0.0104089
2  11.5  0.0093573
2  11.7  0.00842556
2  11.9  0.00759312
4  0.1  1011.85
4  0.3  651.336
4  0.5  440.136
4  0.7  302.441
4  0.9  210.475
4  1.1  147.953
4  1.3  105.108
4  1.5  75.3571
4  1.7  54.5109
4  1.9  39.7919
4  2.1  29.3025
4  2.3  21.7901
4  2.5  16.3452
4  2.7  12.3724
4  2.9  9.44795
4  3.1  7.28455
4  3.3  5.65907
4  3.5  4.43488
4  3.7  3.50346
4  3.9  2.78987
4  4.1  2.23653
4  4.3  1.805
4  4.5  1.46654
4  4.7  1.19608
4  4.9  0.976511
4  5.1  0.801238
4  5.3  0.660924
4  5.5  0.548797
4  5.7  0.458218
4  5.9  0.384808
4  6.1  0.324863
4  6.3  0.274809
4  6.5  0.233765
4  6.7  0.199193
4  6.9  0.170597
4  7.1  0.146419
4  7.3  0.126029
4  7.5  0.108927
4  7.7  0.094368
4  7.9  0.0819746
4  8.1  0.071383
4  8.3  0.0623134
4  8.5  0.0545242
4  8.7  0.0477785
4  8.9  0.0420436
4  9.1  0.0370056
4  9.3  0.0327
4  9.5  0.028926
4  9.7  0.0256323
4  9.9  0.022756
4  10.1  0.0202381
4  10.3  0.0180276
4  10.5  0.0160841
4  10.7  0.0143712
4  10.9  0.0128622
4  11.1  0.0115326
4  11.3  0.0103556
4  11.5  0.00930891
4  11.7  0.00838229
4  11.9  0.00755415
6  0.1  1007.32
6  0.3  648.641
6  0.5  438.08
6  0.7  300.988
6  0.9  209.43
6  1.1  147.232
6  1.3  104.515
6  1.5  74.9035
6  1.7  54.1615
6  1.9  39.514
6  2.1  29.0924
6  2.3  21.6069
6  2.5  16.1969
6  2.7  12.257
6  2.9  9.35418
6  3.1  7.20241
6  3.3  5.59241
6  3.5  4.3768
6  3.7  3.45016
6  3.9  2.74093
6  4.1  2.19268
6  4.3  1.7658
6  4.5  1.43089
6  4.7  1.16642
6  4.9  0.956284
6  5.1  0.788327
6  5.3  0.653082
6  5.5  0.543573
6  5.7  0.454477
6  5.9  0.381676
6  6.1  0.32197
6  6.3  0.272554
6  6.5  0.231849
6  6.7  0.197551
6  6.9  0.169188
6  7.1  0.145205
6  7.3  0.124984
6  7.5  0.108019
6  7.7  0.0935795
6  7.9  0.0812865
6  8.1  0.0707802
6  8.3  0.0617847
6  8.5  0.0540613
6  8.7  0.0473737
6  8.9  0.041685
6  9.1  0.0366931
6  9.3  0.03242
6  9.5  0.0286771
6  9.7  0.0254128
6  9.9  0.0225593
6  10.1  0.020063
6  10.3  0.0178721
6  10.5  0.015945
6  10.7  0.0142461
6  10.9  0.0127499
6  11.1  0.0114313
6  11.3  0.010265
6  11.5  0.00922775
6  11.7  0.00830875
6  11.9  0.00748764
8  0.1  1000.82
8  0.3  644.348
8  0.5  435.093
8  0.7  298.903
8  0.9  207.842
8  1.1  146.126
8  1.3  103.692
8  1.5  74.2862
8  1.7  53.695
8  1.9  39.1606
8  2.1  28.822
8  2.3  21.4041
8  2.5  16.0394
8  2.7  12.1344
8  2.9  9.25859
8  3.1  7.12754
8  3.3  5.53334
8  3.5  4.32992
8  3.7  3.41266
8  3.9  2.71235
8  4.1  2.16866
8  4.3  1.74626
8  4.5  1.41488
8  4.7  1.15334
8  4.9  0.94547
8  5.1  0.77932
8  5.3  0.645556
8  5.5  0.537304
8  5.7  0.449214
8  5.9  0.37758
8  6.1  0.318218
8  6.3  0.269371
8  6.5  0.229129
8  6.7  0.19523
8  6.9  0.167053
8  7.1  0.143483
8  7.3  0.123499
8  7.5  0.106732
8  7.7  0.0924616
8  7.9  0.0803133
8  8.1  0.0699317
8  8.3  0.0610411
8  8.5  0.0534102
8  8.7  0.0468029
8  8.9  0.0411821
8  9.1  0.0362458
8  9.3  0.0320269
8  9.5  0.0283296
8  9.7  0.0251048
8  9.9  0.0222856
8  10.1  0.0198195
8  10.3  0.0176546
8  10.5  0.0157501
8  10.7  0.0140722
8  10.9  0.0125941
8  11.1  0.0112915
8  11.3  0.0101389
8  11.5  0.00911369
8  11.7  0.00820582
8  11.9  0.00739473
10  0.1  992.144
10  0.3  638.345
10  0.5  431.373
10  0.7  296.296
10  0.9  205.858
10  1.1  144.629
10  1.3  102.638
10  1.5  73.5091
10  1.7  53.1178
10  1.9  38.7402
10  2.1  28.5017
10  2.3  21.1743
10  2.5  15.8739
10  2.7  12.0065
10  2.9  9.17289
10  3.1  7.06575
10  3.3  5.49072
10  3.5  4.30439
10  3.7  3.39817
10  3.9  2.70559
10  4.1  2.16925
10  4.3  1.75126
10  4.5  1.42338
10  4.7  1.1603
10  4.9  0.94653
10  5.1  0.775982
10  5.3  0.639452
10  5.5  0.529806
10  5.7  0.442343
10  5.9  0.371744
10  6.1  0.313286
10  6.3  0.265182
10  6.5  0.225545
10  6.7  0.192163
10  6.9  0.164417
10  7.1  0.141212
10  7.3  0.121537
10  7.5  0.105032
10  7.7  0.0909869
10  7.9  0.0790305
10  8.1  0.0688133
10  8.3  0.0600617
10  8.5  0.0525512
10  8.7  0.0460497
10  8.9  0.0405192
10  9.1  0.0357012
10  9.3  0.0315081
10  9.5  0.0278701
10  9.7  0.0246977
10  9.9  0.0219234
10  10.1  0.0194942
10  10.3  0.0173642
10  10.5  0.0154919
10  10.7  0.0138415
10  10.9  0.0123873
10  11.1  0.0111061
10  11.3  0.00997201
10  11.5  0.00896341
10  11.7  0.00807066
10  11.9  0.00727276
12  0.1  981.086
12  0.3  631.417
12  0.5  426.254
12  0.7  292.628
12  0.9  203.32
12  1.1  142.755
12  1.3  101.226
12  1.5  72.4387
12  1.7  52.3017
12  1.9  38.1056
12  2.1  28.0184
12  2.3  20.7869
12  2.5  15.568
12  2.7  11.7689
12  2.9  8.97444
12  3.1  6.90482
12  3.3  5.35803
12  3.5  4.19092
12  3.7  3.30179
12  3.9  2.62335
12  4.1  2.09686
12  4.3  1.688
12  4.5  1.3673
12  4.7  1.11512
12  4.9  0.913279
12  5.1  0.752638
12  5.3  0.623356
12  5.5  0.518737
12  5.7  0.433609
12  5.9  0.364401
12  6.1  0.307077
12  6.3  0.259904
12  6.5  0.221055
12  6.7  0.188318
12  6.9  0.161116
12  7.1  0.138365
12  7.3  0.119082
12  7.5  0.102908
12  7.7  0.0891385
12  7.9  0.0774205
12  8.1  0.067407
12  8.3  0.0588318
12  8.5  0.0514731
12  8.7  0.045102
12  8.9  0.039686
12  9.1  0.0349587
12  9.3  0.0308563
12  9.5  0.0272916
12  9.7  0.0241837
12  9.9  0.0214669
12  10.1  0.0190894
12  10.3  0.017004
12  10.5  0.015169
12  10.7  0.0135525
12  10.9  0.0121279
12  11.1  0.0108727
12  11.3  0.00976219
12  11.5  0.00877389
12  11.7  0.00790044
12  11.9  0.00711911
14  0.1  967.332
14  0.3  622.13
14  0.5  420.058
14  0.7  288.268
14  0.9  200.178
14  1.1  140.453
14  1.3  99.5172
14  1.5  71.1608
14  1.7  51.3401
14  1.9  37.3785
14  2.1  27.4651
14  2.3  20.3641
14  2.5  15.2436
14  2.7  11.5179
14  2.9  8.7795
14  3.1  6.75235
14  3.3  5.238
14  3.5  4.09575
14  3.7  3.22592
14  3.9  2.5612
14  4.1  2.04778
14  4.3  1.64819
14  4.5  1.33482
14  4.7  1.08755
14  4.9  0.891289
14  5.1  0.734409
14  5.3  0.608181
14  5.5  0.50605
14  5.7  0.42297
14  5.9  0.35541
14  6.1  0.299471
14  6.3  0.253444
14  6.5  0.215529
14  6.7  0.183597
14  6.9  0.157066
