# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  617.524
0  0.3  477.141
0  0.5  357.814
0  0.7  260.104
0  0.9  185.93
0  1.1  131.949
0  1.3  93.4177
0  1.5  66.2711
0  1.7  47.1988
0  1.9  33.8228
0  2.1  24.4259
0  2.3  17.7903
0  2.5  13.0859
0  2.7  9.71232
0  2.9  7.27568
0  3.1  5.50314
0  3.3  4.19965
0  3.5  3.23296
0  3.7  2.50832
0  3.9  1.96293
0  4.1  1.54772
0  4.3  1.23018
0  4.5  0.982386
0  4.7  0.790559
0  4.9  0.640011
0  5.1  0.521331
0  5.3  0.426841
0  5.5  0.351367
0  5.7  0.290553
0  5.9  0.24149
0  6.1  0.201669
0  6.3  0.169012
0  6.5  0.142263
0  6.7  0.12016
0  6.9  0.101968
0  7.1  0.0867619
0  7.3  0.0740604
0  7.5  0.0634348
0  7.7  0.0544341
0  7.9  0.0468888
0  8.1  0.0405125
0  8.3  0.0351235
0  8.5  0.0304893
0  8.7  0.0265399
0  8.9  0.0231681
0  9.1  0.0202638
0  9.3  0.0177572
0  9.5  0.0156003
0  9.7  0.0137295
0  9.9  0.0121071
0  10.1  0.0106926
0  10.3  0.00946311
0  10.5  0.00839039
0  10.7  0.00744815
0  10.9  0.00662529
0  11.1  0.00590469
0  11.3  0.00526943
0  11.5  0.00470905
0  11.7  0.00421384
0  11.9  0.00377649
2  0.1  616.974
2  0.3  476.715
2  0.5  357.49
2  0.7  259.862
2  0.9  185.718
2  1.1  131.815
2  1.3  93.3178
2  1.5  66.1964
2  1.7  47.1431
2  1.9  33.7814
2  2.1  24.3948
2  2.3  17.7669
2  2.5  13.0683
2  2.7  9.6989
2  2.9  7.26545
2  3.1  5.49524
2  3.3  4.19355
2  3.5  3.22819
2  3.7  2.5046
2  3.9  1.95998
2  4.1  1.54538
2  4.3  1.22829
2  4.5  0.980864
2  4.7  0.789326
2  4.9  0.639015
2  5.1  0.52052
2  5.3  0.426172
2  5.5  0.350809
2  5.7  0.29009
2  5.9  0.2411
2  6.1  0.201338
2  6.3  0.168732
2  6.5  0.142027
2  6.7  0.119961
2  6.9  0.101797
2  7.1  0.0866192
2  7.3  0.0739366
2  7.5  0.06333
2  7.7  0.0543436
2  7.9  0.0468106
2  8.1  0.0404452
2  8.3  0.0350651
2  8.5  0.0304397
2  8.7  0.0264963
2  8.9  0.0231302
2  9.1  0.0202308
2  9.3  0.0177281
2  9.5  0.0155753
2  9.7  0.0137069
2  9.9  0.012087
2  10.1  0.0106743
2  10.3  0.00944735
2  10.5  0.00837641
2  10.7  0.00743601
2  10.9  0.00661426
2  11.1  0.00589469
2  11.3  0.00526035
2  11.5  0.00470087
2  11.7  0.00420639
2  11.9  0.00377008
4  0.1  615.284
4  0.3  475.415
4  0.5  356.523
4  0.7  259.129
4  0.9  185.162
4  1.1  131.417
4  1.3  93.0302
4  1.5  65.9901
4  1.7  46.9953
4  1.9  33.6778
4  2.1  24.321
4  2.3  17.7239
4  2.5  13.0393
4  2.7  9.68109
4  2.9  7.25947
4  3.1  5.49305
4  3.3  4.1958
4  3.5  3.23729
4  3.7  2.51408
4  3.9  1.97157
4  4.1  1.55869
4  4.3  1.24128
4  4.5  0.994738
4  4.7  0.801239
4  4.9  0.64534
4  5.1  0.522989
4  5.3  0.426236
4  5.5  0.349419
4  5.7  0.288707
4  5.9  0.239937
4  6.1  0.200367
4  6.3  0.16791
4  6.5  0.141337
4  6.7  0.119432
4  6.9  0.1013
4  7.1  0.0862015
4  7.3  0.0735746
4  7.5  0.0630188
4  7.7  0.0540746
4  7.9  0.0465794
4  8.1  0.0402439
4  8.3  0.0348902
4  8.5  0.0302894
4  8.7  0.0263646
4  8.9  0.0230145
4  9.1  0.0201296
4  9.3  0.017639
4  9.5  0.015496
4  9.7  0.013637
4  9.9  0.0120263
4  10.1  0.0106201
4  10.3  0.00939975
4  10.5  0.0083339
4  10.7  0.00739802
4  10.9  0.00658062
4  11.1  0.00585931
4  11.3  0.00523322
4  11.5  0.0046767
4  11.7  0.00418475
4  11.9  0.00375062
6  0.1  612.522
6  0.3  473.258
6  0.5  354.872
6  0.7  257.91
6  0.9  184.25
6  1.1  130.73
6  1.3  92.5083
6  1.5  65.5917
6  1.7  46.6923
6  1.9  33.4452
6  2.1  24.1433
6  2.3  17.5777
6  2.5  12.9216
6  2.7  9.59022
6  2.9  7.18293
6  3.1  5.43159
6  3.3  4.14436
6  3.5  3.1898
6  3.7  2.47451
6  3.9  1.93608
6  4.1  1.5264
6  4.3  1.21176
6  4.5  0.969447
6  4.7  0.779674
6  4.9  0.631177
6  5.1  0.51394
6  5.3  0.42073
6  5.5  0.346278
6  5.7  0.286355
6  5.9  0.237977
6  6.1  0.198729
6  6.3  0.16653
6  6.5  0.140173
6  6.7  0.118395
6  6.9  0.100462
6  7.1  0.0854758
6  7.3  0.072963
6  7.5  0.062492
6  7.7  0.0536219
6  7.9  0.0461873
6  8.1  0.0399043
6  8.3  0.0345961
6  8.5  0.0300311
6  8.7  0.0261406
6  8.9  0.0228184
6  9.1  0.0199577
6  9.3  0.0174881
6  9.5  0.0153632
6  9.7  0.0135199
6  9.9  0.011922
6  10.1  0.0105294
6  10.3  0.00931839
6  10.5  0.00826217
6  10.7  0.00733327
6  10.9  0.00652269
6  11.1  0.00581265
6  11.3  0.0051874
6  11.5  0.00463582
6  11.7  0.00414798
6  11.9  0.00371764
8  0.1  608.525
8  0.3  470.15
8  0.5  352.423
8  0.7  256.156
8  0.9  182.945
8  1.1  129.756
8  1.3  91.7807
8  1.5  65.0475
8  1.7  46.288
8  1.9  33.1436
8  2.1  23.9178
8  2.3  17.4086
8  2.5  12.7978
8  2.7  9.49372
8  2.9  7.10884
8  3.1  5.37481
8  3.3  4.10027
8  3.5  3.15544
8  3.7  2.44753
8  3.9  1.91488
8  4.1  1.50948
8  4.3  1.19954
8  4.5  0.957729
8  4.7  0.770596
8  4.9  0.62377
8  5.1  0.508024
8  5.3  0.415893
8  5.5  0.342311
8  5.7  0.283029
8  5.9  0.235214
8  6.1  0.196406
8  6.3  0.164577
8  6.5  0.138527
8  6.7  0.116999
8  6.9  0.0992737
8  7.1  0.0844573
8  7.3  0.0720952
8  7.5  0.0617449
8  7.7  0.0529792
8  7.9  0.0456331
8  8.1  0.0394245
8  8.3  0.0341784
8  8.5  0.0296696
8  8.7  0.0258246
8  8.9  0.0225417
8  9.1  0.0197149
8  9.3  0.0172754
8  9.5  0.0151763
8  9.7  0.0133558
8  9.9  0.0117772
8  10.1  0.0104015
8  10.3  0.00920507
8  10.5  0.00816048
8  10.7  0.00724355
8  10.9  0.0064428
8  11.1  0.00574156
8  11.3  0.0051235
8  11.5  0.0045783
8  11.7  0.0040965
8  11.9  0.00367126
10  0.1  603.218
10  0.3  466.017
10  0.5  349.406
10  0.7  253.839
10  0.9  181.209
10  1.1  128.485
10  1.3  90.8454
10  1.5  64.3601
10  1.7  45.7864
10  1.9  32.7659
10  2.1  23.6501
10  2.3  17.2216
10  2.5  12.6636
10  2.7  9.39641
10  2.9  7.04164
10  3.1  5.33014
10  3.3  4.07011
10  3.5  3.13702
10  3.7  2.44043
10  3.9  1.91303
10  4.1  1.51211
10  4.3  1.20347
10  4.5  0.965024
10  4.7  0.777901
10  4.9  0.625853
10  5.1  0.506465
10  5.3  0.412287
10  5.5  0.337977
10  5.7  0.278782
10  5.9  0.231567
10  6.1  0.193545
10  6.3  0.162015
10  6.5  0.136357
10  6.7  0.115161
10  6.9  0.0977022
10  7.1  0.0831173
10  7.3  0.0709468
10  7.5  0.0607587
10  7.7  0.0521319
10  7.9  0.0449019
10  8.1  0.0387917
10  8.3  0.0336276
10  8.5  0.0291936
10  8.7  0.0254072
10  8.9  0.0221777
10  9.1  0.0193958
10  9.3  0.0169942
10  9.5  0.0149288
10  9.7  0.013139
10  9.9  0.0115846
10  10.1  0.01023
10  10.3  0.0090528
10  10.5  0.00802682
10  10.7  0.00712471
10  10.9  0.006338
10  11.1  0.00564805
10  11.3  0.00503911
10  11.5  0.00450293
10  11.7  0.00402906
10  11.9  0.00361078
12  0.1  596.499
12  0.3  460.634
12  0.5  345.338
12  0.7  250.873
12  0.9  178.998
12  1.1  126.831
12  1.3  89.5975
12  1.5  63.4201
12  1.7  45.0789
12  1.9  32.2432
12  2.1  23.2453
12  2.3  16.9042
12  2.5  12.4176
12  2.7  9.20565
12  2.9  6.88896
12  3.1  5.20573
12  3.3  3.96949
12  3.5  3.05355
12  3.7  2.36756
12  3.9  1.85169
12  4.1  1.45924
12  4.3  1.1593
12  4.5  0.925382
12  4.7  0.744395
12  4.9  0.602445
12  5.1  0.490565
12  5.3  0.401708
12  5.5  0.330584
12  5.7  0.273163
12  5.9  0.226977
12  6.1  0.189698
12  6.3  0.158784
12  6.5  0.133626
12  6.7  0.112851
12  6.9  0.0957358
12  7.1  0.0814357
12  7.3  0.0695119
12  7.5  0.059527
12  7.7  0.0510712
12  7.9  0.0439848
12  8.1  0.0379971
12  8.3  0.0329374
12  8.5  0.0285907
12  8.7  0.024883
12  8.9  0.0217177
12  9.1  0.0189935
12  9.3  0.016643
12  9.5  0.0146183
12  9.7  0.0128646
12  9.9  0.0113432
12  10.1  0.0100177
12  10.3  0.00886426
12  10.5  0.00785887
12  10.7  0.00697572
12  10.9  0.00620526
12  11.1  0.00552827
12  11.3  0.00493291
12  11.5  0.00440792
12  11.7  0.0039439
12  11.9  0.00353431
14  0.1  588.121
14  0.3  454.125
14  0.5  340.409
14  0.7  247.195
14  0.9  176.25
14  1.1  124.8
14  1.3  88.085
14  1.5  62.2956
14  1.7  44.245
14  1.9  31.6226
14  2.1  22.7825
14  2.3  16.5573
14  2.5  12.1564
14  2.7  9.00783
14  2.9  6.73812
14  3.1  5.09
14  3.3  3.87996
14  3.5  2.9838
14  3.7  2.31285
14  3.9  1.80852
14  4.1  1.42491
14  4.3  1.13182
14  4.5  0.903306
14  4.7  0.726494
14  4.9  0.587877
14  5.1  0.47864
14  5.3  0.391888
14  5.5  0.322465
14  5.7  0.266433
14  5.9  0.221361
14  6.1  0.184986
14  6.3  0.154833
14  6.5  0.130282
14  6.7  0.110018
14  6.9  0.0933226
14  7.1  0.0793318
14  7.3  0.0677394
14  7.5  0.0580141
14  7.7  0.0497696
14  7.9  0.0428626
14  8.1  0.0370263
14  8.3  0.0320917
14  8.5  0.0278543
14  8.7  0.0242403
14  8.9  0.021156
14  9.1  0.0185014
14  9.3  0.0162111
14  9.5  0.014238
14  9.7  0.0125291
14  9.9  0.0110473
14  10.1  0.00975482
14  10.3  0.00863151
14  10.5  0.00765249
14  10.7  0.00679246
14  10.9  0.00604207
14  11.1  0.00538219
14  11.3  0.00480269
14  11.5  0.00429177
14  11.7  0.00383984
14  11.9  0.00344079
16  0.1  577.837
16  0.3  446.132
16  0.5  334.35
16  0.7  242.676
16  0.9  172.887
16  1.1  122.311
16  1.3  86.2367
16  1.5  60.9228
16  1.7  43.2262
16  1.9  30.8654
16  2.1  22.2185
16  2.3  16.1349
16  2.5  11.8387
16  2.7  8.76761
16  2.9  6.55501
16  3.1  4.94945
16  3.3  3.77144
16  3.5  2.8994
16  3.7  2.24669
16  3.9  1.7563
16  4.1  1.38332
16  4.3  1.09858
16  4.5  0.876572
16  4.7  0.704853
16  4.9  0.570269
16  5.1  0.464234
16  5.3  0.380017
16  5.5  0.312948
16  5.7  0.258272
16  5.9  0.214857
16  6.1  0.179282
16  6.3  0.150049
16  6.5  0.126372
16  6.7  0.106603
16  6.9  0.0904151
16  7.1  0.0768921
16  7.3  0.0656219
16  7.5  0.0561913
16  7.7  0.0482044
16  7.9  0.041509
16  8.1  0.0358539
16  8.3  0.0310731
16  8.5  0.0269477
16  8.7  0.0234687
16  8.9  0.0204817
16  9.1  0.0179099
16  9.3  0.0156901
16  9.5  0.0137802
16  9.7  0.0121257
16  9.9  0.0106913
16  10.1  0.00943978
16  10.3  0.00835366
16  10.5  0.00740562
16  10.7  0.00657305
16  10.9  0.0058461
16  11.1  0.00520865
16  11.3  0.00464715
16  11.5  0.00415231
16  11.7  0.00371494
16  11.9  0.00332883
18  0.1  565.221
18  0.3  436.337
18  0.5  326.928
18  0.7  237.057
18  0.9  168.8
18  1.1  119.265
18  1.3  83.9894
18  1.5  59.2513
18  1.7  41.9894
18  1.9  29.9476
18  2.1  21.5357
18  2.3  15.6286
18  2.5  11.4547
18  2.7  8.47799
18  2.9  6.33433
18  3.1  4.78025
18  3.3  3.64072
18  3.5  2.79768
18  3.7  2.16701
18  3.9  1.69343
18  4.1  1.33343
18  4.3  1.05748
18  4.5  0.844477
18  4.7  0.678874
18  4.9  0.549133
18  5.1  0.446937
18  5.3  0.365804
18  5.5  0.300889
18  5.7  0.248515
18  5.9  0.206712
18  6.1  0.172456
18  6.3  0.144456
18  6.5  0.121524
18  6.7  0.102581
18  6.9  0.086922
18  7.1  0.0739157
18  7.3  0.0630677
18  7.5  0.0539991
18  7.7  0.046319
18  7.9  0.0398813
18  8.1  0.034446
18  8.3  0.02985
18  8.5  0.0258843
18  8.7  0.022543
18  8.9  0.0196694
18  9.1  0.0171996
18  9.3  0.0150704
18  9.5  0.0132346
18  9.7  0.0116442
18  9.9  0.0102647
18  10.1  0.00906258
18  10.3  0.00801816
18  10.5  0.00710872
18  10.7  0.00630831
18  10.9  0.0056104
18  11.1  0.00499819
18  11.3  0.00445933
18  11.5  0.00398416
18  11.7  0.00356416
18  11.9  0.00319323
20  0.1  549.669
20  0.3  424.281
20  0.5  317.799
20  0.7  230.271
20  0.9  163.847
20  1.1  115.566
20  1.3  81.2387
20  1.5  57.2122
20  1.7  40.4831
20  1.9  28.8321
20  2.1  20.7078
20  2.3  15.0109
20  2.5  10.9914
20  2.7  8.12755
20  2.9  6.0679
20  3.1  4.57612
20  3.3  3.48319
20  3.5  2.67519
20  3.7  2.07114
20  3.9  1.61756
20  4.1  1.27345
20  4.3  1.0095
20  4.5  0.805898
20  4.7  0.64766
20  4.9  0.523746
20  5.1  0.426199
20  5.3  0.348738
20  5.5  0.286781
20  5.7  0.23681
20  5.9  0.196939
20  6.1  0.164117
20  6.3  0.137579
20  6.5  0.115717
20  6.7  0.0975815
20  6.9  0.082746
20  7.1  0.0703529
20  7.3  0.0600194
20  7.5  0.051385
20  7.7  0.0440697
20  7.9  0.0379403
20  8.1  0.032766
20  8.3  0.0283663
20  8.5  0.0246155
20  8.7  0.0214359
20  8.9  0.0187023
20  9.1  0.0163513
20  9.3  0.0143245
20  9.5  0.0125778
20  9.7  0.0110661
20  9.9  0.00975431
20  10.1  0.00860186
20  10.3  0.00761883
20  10.5  0.0067526
20  10.7  0.00599252
20  10.9  0.0053293
20  11.1  0.00474783
20  11.3  0.00423551
20  11.5  0.00378383
20  11.7  0.00338453
20  11.9  0.00303261
22  0.1  530.337
22  0.3  409.273
22  0.5  306.439
22  0.7  221.917
22  0.9  157.538
22  1.1  110.913
22  1.3  77.8281
22  1.5  54.7023
22  1.7  38.6345
22  1.9  27.465
22  2.1  19.6954
22  2.3  14.2568
22  2.5  10.4268
22  2.7  7.70158
22  2.9  5.74442
22  3.1  4.32858
22  3.3  3.2923
22  3.5  2.52691
22  3.7  1.95521
22  3.9  1.52634
22  4.1  1.20102
22  4.3  0.952497
22  4.5  0.759386
22  4.7  0.610227
22  4.9  0.493719
22  5.1  0.401181
22  5.3  0.328003
22  5.5  0.269757
22  5.7  0.222797
22  5.9  0.184975
22  6.1  0.154426
22  6.3  0.129311
22  6.5  0.108717
22  6.7  0.0917378
22  6.9  0.0777252
22  7.1  0.0660743
22  7.3  0.0562936
22  7.5  0.04818
22  7.7  0.0413796
22  7.9  0.035657
22  8.1  0.0307766
22  8.3  0.0266365
22  8.5  0.0231057
22  8.7  0.0200977
22  8.9  0.0175471
22  9.1  0.0153364
22  9.3  0.013435
22  9.5  0.011785
22  9.7  0.0103723
22  9.9  0.00915197
22  10.1  0.00809317
22  10.3  0.0071693
22  10.5  0.00635211
22  10.7  0.00565466
22  10.9  0.00504308
22  11.1  0.00450095
22  11.3  0.00402705
22  11.5  0.00360383
22  11.7  0.00324111
22  11.9  0.00291508
24  0.1  505.837
24  0.3  390.421
24  0.5  292.088
24  0.7  211.274
24  0.9  149.674
24  1.1  105.15
24  1.3  73.5728
24  1.5  51.5748
24  1.7  36.3311
24  1.9  25.7722
