# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  221.459
0  0.3  163.75
0  0.5  115.44
0  0.7  78.3016
0  0.9  52.1749
0  1.1  34.6619
0  1.3  23.0866
0  1.5  15.4709
0  1.7  10.4487
0  1.9  7.12348
0  2.1  4.90077
0  2.3  3.40508
0  2.5  2.38859
0  2.7  1.69127
0  2.9  1.20928
0  3.1  0.872498
0  3.3  0.635062
0  3.5  0.465886
0  3.7  0.344647
0  3.9  0.256853
0  4.1  0.192777
0  4.3  0.145717
0  4.5  0.11085
0  4.7  0.0848499
0  4.9  0.065309
0  5.1  0.0505162
0  5.3  0.0393088
0  5.5  0.0307391
0  5.7  0.0241677
0  5.9  0.0190704
0  6.1  0.0151083
0  6.3  0.0120214
0  6.5  0.00960474
0  6.7  0.00770143
0  6.9  0.00619821
0  7.1  0.00500622
0  7.3  0.00405523
0  7.5  0.00329483
0  7.7  0.00268468
0  7.9  0.00219251
0  8.1  0.00179689
0  8.3  0.00147667
0  8.5  0.00121748
0  8.7  0.00100465
0  8.9  0.00083213
0  9.1  0.000690289
0  9.3  0.000573376
0  9.5  0.000478038
0  9.7  0.000399025
0  9.9  0.000333797
0  10.1  0.000279718
0  10.3  0.000234632
0  10.5  0.000197514
0  10.7  0.000166228
0  10.9  0.000140398
0  11.1  0.000118526
0  11.3  0.000100329
0  11.5  8.51146e-05
0  11.7  7.21846e-05
0  11.9  6.14303e-05
2  0.1  221.292
2  0.3  163.625
2  0.5  115.351
2  0.7  78.2399
2  0.9  52.1322
2  1.1  34.6325
2  1.3  23.066
2  1.5  15.4563
2  1.7  10.4383
2  1.9  7.11613
2  2.1  4.89553
2  2.3  3.4013
2  2.5  2.38586
2  2.7  1.68927
2  2.9  1.20782
2  3.1  0.871423
2  3.3  0.634259
2  3.5  0.46529
2  3.7  0.344198
2  3.9  0.256514
2  4.1  0.19252
2  4.3  0.145559
2  4.5  0.110699
2  4.7  0.0847331
2  4.9  0.065218
2  5.1  0.0504454
2  5.3  0.0392532
2  5.5  0.0306954
2  5.7  0.0241331
2  5.9  0.0190429
2  6.1  0.0150863
2  6.3  0.0120037
2  6.5  0.00959058
2  6.7  0.00768998
2  6.9  0.00618892
2  7.1  0.0049987
2  7.3  0.00404911
2  7.5  0.00328985
2  7.7  0.00268062
2  7.9  0.00218917
2  8.1  0.00179413
2  8.3  0.0014744
2  8.5  0.00121561
2  8.7  0.0010031
2  8.9  0.000830844
2  9.1  0.000689219
2  9.3  0.000572495
2  9.5  0.0004773
2  9.7  0.000398403
2  9.9  0.000333278
2  10.1  0.000279283
2  10.3  0.000234268
2  10.5  0.000197208
2  10.7  0.000165972
2  10.9  0.000140017
2  11.1  0.000118343
2  11.3  0.000100171
2  11.5  8.49794e-05
2  11.7  7.2133e-05
2  11.9  6.13338e-05
4  0.1  220.782
4  0.3  163.245
4  0.5  115.078
4  0.7  78.0517
4  0.9  52.0018
4  1.1  34.5419
4  1.3  23.0032
4  1.5  15.412
4  1.7  10.4071
4  1.9  7.09401
4  2.1  4.8796
4  2.3  3.38987
4  2.5  2.37764
4  2.7  1.68326
4  2.9  1.20342
4  3.1  0.868197
4  3.3  0.631854
4  3.5  0.463499
4  3.7  0.342847
4  3.9  0.255483
4  4.1  0.191729
4  4.3  0.144947
4  4.5  0.110267
4  4.7  0.0843919
4  4.9  0.0649053
4  5.1  0.0502309
4  5.3  0.0391165
4  5.5  0.0305665
4  5.7  0.0240137
4  5.9  0.0189469
4  6.1  0.0150195
4  6.3  0.0119505
4  6.5  0.00954827
4  6.7  0.00765689
4  6.9  0.00616342
4  7.1  0.00497391
4  7.3  0.00402888
4  7.5  0.0032734
4  7.7  0.00266692
4  7.9  0.00217954
4  8.1  0.00178677
4  8.3  0.00146812
4  8.5  0.00121012
4  8.7  0.000999556
4  8.9  0.000827373
4  9.1  0.000686151
4  9.3  0.000570708
4  9.5  0.000475524
4  9.7  0.000397213
4  9.9  0.00033209
4  10.1  0.000278679
4  10.3  0.000234112
4  10.5  0.000197104
4  10.7  0.000165943
4  10.9  0.000140168
4  11.1  0.000118593
4  11.3  0.000100486
4  11.5  8.52789e-05
4  11.7  7.2451e-05
4  11.9  6.16902e-05
6  0.1  219.928
6  0.3  162.61
6  0.5  114.627
6  0.7  77.7387
6  0.9  51.7853
6  1.1  34.3921
6  1.3  22.898
6  1.5  15.3382
6  1.7  10.3548
6  1.9  7.05663
6  2.1  4.85299
6  2.3  3.37068
6  2.5  2.36369
6  2.7  1.67315
6  2.9  1.19602
6  3.1  0.862713
6  3.3  0.627656
6  3.5  0.460469
6  3.7  0.340577
6  3.9  0.253782
6  4.1  0.190445
6  4.3  0.143971
6  4.5  0.109479
6  4.7  0.0837908
6  4.9  0.0644872
6  5.1  0.0498751
6  5.3  0.0388064
6  5.5  0.0303437
6  5.7  0.0238547
6  5.9  0.0188219
6  6.1  0.0149098
6  6.3  0.0118625
6  6.5  0.0094771
6  6.7  0.00759911
6  6.9  0.00611516
6  7.1  0.00493898
6  7.3  0.00399826
6  7.5  0.00325036
6  7.7  0.00264828
6  7.9  0.00216271
6  8.1  0.00177227
6  8.3  0.00145636
6  8.5  0.00120074
6  8.7  0.000990789
6  8.9  0.000820634
6  9.1  0.000680675
6  9.3  0.000565847
6  9.5  0.000471365
6  9.7  0.000393445
6  9.9  0.000329138
6  10.1  0.000275772
6  10.3  0.000231526
6  10.5  0.000194544
6  10.7  0.000164055
6  10.9  0.000138253
6  11.1  0.000116863
6  11.3  9.89167e-05
6  11.5  8.39215e-05
6  11.7  7.12305e-05
6  11.9  6.05592e-05
8  0.1  218.7
8  0.3  161.697
8  0.5  113.975
8  0.7  77.2875
8  0.9  51.4731
8  1.1  34.1764
8  1.3  22.7466
8  1.5  15.2319
8  1.7  10.2794
8  1.9  7.0032
8  2.1  4.81486
8  2.3  3.34321
8  2.5  2.34382
8  2.7  1.65871
8  2.9  1.18544
8  3.1  0.854926
8  3.3  0.621879
8  3.5  0.456166
8  3.7  0.337346
8  3.9  0.251341
8  4.1  0.188592
8  4.3  0.142557
8  4.5  0.108388
8  4.7  0.0829496
8  4.9  0.0638326
8  5.1  0.0493646
8  5.3  0.0384061
8  5.5  0.0300287
8  5.7  0.0236058
8  5.9  0.0186243
8  6.1  0.0147527
8  6.3  0.011737
8  6.5  0.00937655
8  6.7  0.00751729
8  6.9  0.00604911
8  7.1  0.00488571
8  7.3  0.00395719
8  7.5  0.00321486
8  7.7  0.00261938
8  7.9  0.00213895
8  8.1  0.00175283
8  8.3  0.00144033
8  8.5  0.00118742
8  8.7  0.000979763
8  8.9  0.000811478
8  9.1  0.000673099
8  9.3  0.000559057
8  9.5  0.000466071
8  9.7  0.000389007
8  9.9  0.000325402
8  10.1  0.00027267
8  10.3  0.000228706
8  10.5  0.000192515
8  10.7  0.000162011
8  10.9  0.000136679
8  11.1  0.000115504
8  11.3  9.7772e-05
8  11.5  8.29427e-05
8  11.7  7.04008e-05
8  11.9  5.98579e-05
10  0.1  217.068
10  0.3  160.482
10  0.5  113.106
10  0.7  76.6871
10  0.9  51.0574
10  1.1  33.889
10  1.3  22.5518
10  1.5  15.0907
10  1.7  10.1797
10  1.9  6.93257
10  2.1  4.76429
10  2.3  3.30694
10  2.5  2.31759
10  2.7  1.6396
10  2.9  1.1715
10  3.1  0.844686
10  3.3  0.614274
10  3.5  0.450506
10  3.7  0.33308
10  3.9  0.248108
10  4.1  0.186139
10  4.3  0.140661
10  4.5  0.106975
10  4.7  0.0818504
10  4.9  0.0629326
10  5.1  0.0487272
10  5.3  0.0379115
10  5.5  0.029618
10  5.7  0.0232636
10  5.9  0.0183517
10  6.1  0.014545
10  6.3  0.0115714
10  6.5  0.00924347
10  6.7  0.00741159
10  6.9  0.00596275
10  7.1  0.0048137
10  7.3  0.00389873
10  7.5  0.00316703
10  7.7  0.0025819
10  7.9  0.00210968
10  8.1  0.00172915
10  8.3  0.00142044
10  8.5  0.00117049
10  8.7  0.000967007
10  8.9  0.000801062
10  9.1  0.000664608
10  9.3  0.000552494
10  9.5  0.00046024
10  9.7  0.000384325
10  9.9  0.000321696
10  10.1  0.000269792
10  10.3  0.000226764
10  10.5  0.000190936
10  10.7  0.00016078
10  10.9  0.000135922
10  11.1  0.000114971
10  11.3  9.74764e-05
10  11.5  8.27007e-05
10  11.7  7.02991e-05
10  11.9  5.98442e-05
12  0.1  214.995
12  0.3  158.943
12  0.5  112.009
12  0.7  75.9265
12  0.9  50.561
12  1.1  33.5262
12  1.3  22.2969
12  1.5  14.9123
12  1.7  10.0535
12  1.9  6.84286
12  2.1  4.70042
12  2.3  3.26089
12  2.5  2.28443
12  2.7  1.61552
12  2.9  1.15388
12  3.1  0.831674
12  3.3  0.604674
12  3.5  0.443318
12  3.7  0.327705
12  3.9  0.24406
12  4.1  0.183068
12  4.3  0.138332
12  4.5  0.105141
12  4.7  0.0804422
12  4.9  0.0618881
12  5.1  0.0478484
12  5.3  0.0372177
12  5.5  0.0290935
12  5.7  0.0228663
12  5.9  0.0180373
12  6.1  0.0142851
12  6.3  0.0113633
12  6.5  0.00907653
12  6.7  0.00727607
12  6.9  0.00585342
12  7.1  0.00472492
12  7.3  0.00382847
12  7.5  0.00310994
12  7.7  0.00253362
12  7.9  0.00206862
12  8.1  0.00169502
12  8.3  0.00139268
12  8.5  0.00114806
12  8.7  0.000947189
12  8.9  0.000784432
12  9.1  0.000650592
12  9.3  0.000540755
12  9.5  0.000450414
12  9.7  0.000375906
12  9.9  0.000314417
12  10.1  0.000263442
12  10.3  0.000220945
12  10.5  0.000185969
12  10.7  0.000156491
12  10.9  0.000132165
12  11.1  0.000111569
12  11.3  9.44227e-05
12  11.5  8.01027e-05
12  11.7  6.79837e-05
12  11.9  5.77987e-05
14  0.1  212.402
14  0.3  157.019
14  0.5  110.64
14  0.7  74.9783
14  0.9  49.9056
14  1.1  33.0742
14  1.3  21.9746
14  1.5  14.6905
14  1.7  9.89681
14  1.9  6.73172
14  2.1  4.62118
14  2.3  3.20401
14  2.5  2.2434
14  2.7  1.5857
14  2.9  1.13209
14  3.1  0.815646
14  3.3  0.592821
14  3.5  0.434462
14  3.7  0.321074
14  3.9  0.239057
14  4.1  0.179276
14  4.3  0.135435
14  4.5  0.102915
14  4.7  0.0787224
14  4.9  0.0605544
14  5.1  0.0468084
14  5.3  0.0364028
14  5.5  0.0284524
14  5.7  0.0223595
14  5.9  0.0176354
14  6.1  0.0139646
14  6.3  0.0111077
14  6.5  0.00887101
14  6.7  0.00711107
14  6.9  0.00571975
14  7.1  0.00461656
14  7.3  0.00374044
14  7.5  0.00303819
14  7.7  0.00247494
14  7.9  0.00202054
14  8.1  0.00165546
14  8.3  0.00136008
14  8.5  0.00112112
14  8.7  0.000924881
14  8.9  0.000765917
14  9.1  0.000635193
14  9.3  0.000527929
14  9.5  0.000439709
14  9.7  0.000366953
14  9.9  0.000306914
14  10.1  0.000257148
14  10.3  0.000215852
14  10.5  0.000181516
14  10.7  0.000152749
14  10.9  0.000128981
14  11.1  0.000108879
14  11.3  9.21487e-05
14  11.5  7.81598e-05
14  11.7  6.6334e-05
14  11.9  5.63942e-05
16  0.1  209.209
16  0.3  154.647
16  0.5  108.953
16  0.7  73.808
16  0.9  49.0979
16  1.1  32.5181
16  1.3  21.5856
16  1.5  14.4179
16  1.7  9.70468
16  1.9  6.59564
16  2.1  4.52435
16  2.3  3.13457
16  2.5  2.19334
16  2.7  1.54933
16  2.9  1.10557
16  3.1  0.796148
16  3.3  0.578388
16  3.5  0.423725
16  3.7  0.313008
16  3.9  0.232975
16  4.1  0.174663
16  4.3  0.131911
16  4.5  0.10021
16  4.7  0.0766378
16  4.9  0.0589387
16  5.1  0.0455497
16  5.3  0.0354175
16  5.5  0.0276772
16  5.7  0.0217466
16  5.9  0.017149
16  6.1  0.0135773
16  6.3  0.0107981
16  6.5  0.00862257
16  6.7  0.00691106
16  6.9  0.00556099
16  7.1  0.00448553
16  7.3  0.00363389
16  7.5  0.00295139
16  7.7  0.00240398
16  7.9  0.00196237
16  8.1  0.00160768
16  8.3  0.00132071
16  8.5  0.00108861
16  8.7  0.000897958
16  8.9  0.000743576
16  9.1  0.000616613
16  9.3  0.000512438
16  9.5  0.000426768
16  9.7  0.00035613
16  9.9  0.000297836
16  10.1  0.000249526
16  10.3  0.000209436
16  10.5  0.000176101
16  10.7  0.000148167
16  10.9  0.000125115
16  11.1  0.000105571
16  11.3  8.93713e-05
16  11.5  7.58093e-05
16  11.7  6.43354e-05
16  11.9  5.46904e-05
18  0.1  205.296
18  0.3  151.742
18  0.5  106.878
18  0.7  72.3685
18  0.9  48.0875
18  1.1  31.8344
18  1.3  21.109
18  1.5  14.0843
18  1.7  9.47005
18  1.9  6.42972
18  2.1  4.40644
18  2.3  3.05011
18  2.5  2.13254
18  2.7  1.50521
18  2.9  1.07342
18  3.1  0.772523
18  3.3  0.560935
18  3.5  0.410735
18  3.7  0.303264
18  3.9  0.22563
18  4.1  0.169097
18  4.3  0.127655
18  4.5  0.0969796
18  4.7  0.0741201
18  4.9  0.0569874
18  5.1  0.0440303
18  5.3  0.0342271
18  5.5  0.0267413
18  5.7  0.0210065
18  5.9  0.0165625
18  6.1  0.0131103
18  6.3  0.0104247
18  6.5  0.00832314
18  6.7  0.00666998
18  6.9  0.00536625
18  7.1  0.00432776
18  7.3  0.00350563
18  7.5  0.00284689
18  7.7  0.00231859
18  7.9  0.00189242
18  8.1  0.00155018
18  8.3  0.0012733
18  8.5  0.00104946
18  8.7  0.000865577
18  8.9  0.000716675
18  9.1  0.000594251
18  9.3  0.000493807
18  9.5  0.00041122
18  9.7  0.000343126
18  9.9  0.000286933
18  10.1  0.000240379
18  10.3  0.000201738
18  10.5  0.000169615
18  10.7  0.00014286
18  10.9  0.000120493
18  11.1  0.000101698
18  11.3  8.60513e-05
18  11.5  7.29892e-05
18  11.7  6.19363e-05
18  11.9  5.26467e-05
20  0.1  200.46
20  0.3  148.14
20  0.5  104.317
20  0.7  70.5935
20  0.9  46.8674
20  1.1  30.9728
20  1.3  20.5223
20  1.5  13.6743
20  1.7  9.18242
20  1.9  6.22658
20  2.1  4.26204
20  2.3  2.94703
20  2.5  2.05842
20  2.7  1.45157
20  2.9  1.03434
20  3.1  0.74382
20  3.3  0.539754
20  3.5  0.394975
20  3.7  0.291458
20  3.9  0.216737
20  4.1  0.162359
20  4.3  0.122508
20  4.5  0.0930417
20  4.7  0.0710833
20  4.9  0.0546346
20  5.1  0.0421959
20  5.3  0.0327911
20  5.5  0.0256123
20  5.7  0.0201151
20  5.9  0.0158557
20  6.1  0.0125479
20  6.3  0.00997529
20  6.5  0.00796249
20  6.7  0.00637975
20  6.9  0.00513188
20  7.1  0.00413789
20  7.3  0.00335133
20  7.5  0.00272108
20  7.7  0.0022158
20  7.9  0.00180817
20  8.1  0.00148097
20  8.3  0.00121631
20  8.5  0.00100237
20  8.7  0.000826628
20  8.9  0.000684353
20  9.1  0.000567345
20  9.3  0.000471403
20  9.5  0.000392534
20  9.7  0.000327493
20  9.9  0.000273838
20  10.1  0.000229396
20  10.3  0.000192493
20  10.5  0.000161822
20  10.7  0.000136281
20  10.9  0.000114935
20  11.1  9.70006e-05
20  11.3  8.20796e-05
20  11.5  6.96083e-05
20  11.7  5.90612e-05
