# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0028.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  225.411
0  0.3  169.983
0  0.5  121.569
0  0.7  82.5735
0  0.9  54.5695
0  1.1  35.6593
0  1.3  23.2179
0  1.5  15.1619
0  1.7  9.95352
0  1.9  6.58927
0  2.1  4.40348
0  2.3  2.97375
0  2.5  2.02754
0  2.7  1.39777
0  2.9  0.973395
0  3.1  0.684483
0  3.3  0.485936
0  3.5  0.348218
0  3.7  0.251701
0  3.9  0.183485
0  4.1  0.134807
0  4.3  0.0997943
0  4.5  0.074413
0  4.7  0.0558851
0  4.9  0.0422174
0  5.1  0.0321121
0  5.3  0.0245487
0  5.5  0.0188788
0  5.7  0.0145895
0  5.9  0.0113237
0  6.1  0.00883418
0  6.3  0.00692215
0  6.5  0.00545039
0  6.7  0.00430657
0  6.9  0.00341689
0  7.1  0.00272111
0  7.3  0.00217559
0  7.5  0.00174303
0  7.7  0.00140335
0  7.9  0.0011308
0  8.1  0.000915589
0  8.3  0.000743325
0  8.5  0.000604872
0  8.7  0.000493622
0  8.9  0.00040388
0  9.1  0.000331528
0  9.3  0.000272127
0  9.5  0.000224219
0  9.7  0.000185127
0  9.9  0.000153185
0  10.1  0.000127203
0  10.3  0.000105719
0  10.5  8.80045e-05
0  10.7  7.33831e-05
0  10.9  6.13032e-05
0  11.1  5.13226e-05
0  11.3  4.30204e-05
0  11.5  3.61167e-05
0  11.7  3.03595e-05
0  11.9  2.55767e-05
2  0.1  225.24
2  0.3  169.854
2  0.5  121.476
2  0.7  82.5083
2  0.9  54.5246
2  1.1  35.6289
2  1.3  23.197
2  1.5  15.1474
2  1.7  9.94355
2  1.9  6.58237
2  2.1  4.39869
2  2.3  2.9704
2  2.5  2.02519
2  2.7  1.39611
2  2.9  0.972207
2  3.1  0.683631
2  3.3  0.485315
2  3.5  0.347767
2  3.7  0.251371
2  3.9  0.183241
2  4.1  0.134625
2  4.3  0.0996584
2  4.5  0.0743108
2  4.7  0.0558074
2  4.9  0.0421581
2  5.1  0.0320668
2  5.3  0.0245138
2  5.5  0.0188518
2  5.7  0.0145685
2  5.9  0.0113073
2  6.1  0.00882127
2  6.3  0.00691191
2  6.5  0.00544228
2  6.7  0.00430014
2  6.9  0.00341174
2  7.1  0.002717
2  7.3  0.00217229
2  7.5  0.00174038
2  7.7  0.00140121
2  7.9  0.00112907
2  8.1  0.000914178
2  8.3  0.000742177
2  8.5  0.000603938
2  8.7  0.000492858
2  8.9  0.000403254
2  9.1  0.000331013
2  9.3  0.00027171
2  9.5  0.000223872
2  9.7  0.000184838
2  9.9  0.000152947
2  10.1  0.000127005
2  10.3  0.000105555
2  10.5  8.78678e-05
2  10.7  7.327e-05
2  10.9  6.12084e-05
2  11.1  5.12427e-05
2  11.3  4.29526e-05
2  11.5  3.60595e-05
2  11.7  3.03107e-05
2  11.9  2.55365e-05
4  0.1  224.713
4  0.3  169.457
4  0.5  121.189
4  0.7  82.309
4  0.9  54.3873
4  1.1  35.5354
4  1.3  23.1336
4  1.5  15.1039
4  1.7  9.91343
4  1.9  6.56147
4  2.1  4.38422
4  2.3  2.96031
4  2.5  2.01814
4  2.7  1.39122
4  2.9  0.968587
4  3.1  0.681065
4  3.3  0.483428
4  3.5  0.346401
4  3.7  0.25039
4  3.9  0.182501
4  4.1  0.134073
4  4.3  0.0992632
4  4.5  0.0740133
4  4.7  0.0555942
4  4.9  0.0420005
4  5.1  0.0319242
4  5.3  0.0243983
4  5.5  0.0187728
4  5.7  0.0144956
4  5.9  0.0112673
4  6.1  0.00878477
4  6.3  0.00688278
4  6.5  0.00541788
4  6.7  0.00428113
4  6.9  0.00339938
4  7.1  0.00270438
4  7.3  0.00216025
4  7.5  0.00173421
4  7.7  0.00139376
4  7.9  0.00112418
4  8.1  0.000910377
4  8.3  0.000739266
4  8.5  0.000601695
4  8.7  0.000491045
4  8.9  0.000401807
4  9.1  0.000329613
4  9.3  0.000270938
4  9.5  0.000223311
4  9.7  0.000184561
4  9.9  0.000152689
4  10.1  0.000126849
4  10.3  0.000105488
4  10.5  8.78713e-05
4  10.7  7.3249e-05
4  10.9  6.13144e-05
4  11.1  5.13282e-05
4  11.3  4.30962e-05
4  11.5  3.61966e-05
4  11.7  3.04908e-05
4  11.9  2.5697e-05
6  0.1  223.855
6  0.3  168.801
6  0.5  120.714
6  0.7  81.9782
6  0.9  54.1596
6  1.1  35.3803
6  1.3  23.0268
6  1.5  15.0307
6  1.7  9.86292
6  1.9  6.52644
6  2.1  4.35991
6  2.3  2.94332
6  2.5  2.00616
6  2.7  1.38261
6  2.9  0.962587
6  3.1  0.676728
6  3.3  0.480317
6  3.5  0.344129
6  3.7  0.248704
6  3.9  0.181271
6  4.1  0.133161
6  4.3  0.0985624
6  4.5  0.0734874
6  4.7  0.0551835
6  4.9  0.0416826
6  5.1  0.0317021
6  5.3  0.0242331
6  5.5  0.0186356
6  5.7  0.0143903
6  5.9  0.0111753
6  6.1  0.00872515
6  6.3  0.0068306
6  6.5  0.0053778
6  6.7  0.0042488
6  6.9  0.00337096
6  7.1  0.00268418
6  7.3  0.00214421
6  7.5  0.00171927
