# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0029.dat, member 0, Q=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 3.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  131.986
0  0.3  92.1985
0  0.5  60.8441
0  0.7  38.619
0  0.9  24.2022
0  1.1  15.163
0  1.3  9.54439
0  1.5  6.059
0  1.7  3.88434
0  1.9  2.51499
0  2.1  1.64508
0  2.3  1.08794
0  2.5  0.726509
0  2.7  0.490062
0  2.9  0.33354
0  3.1  0.229374
0  3.3  0.159057
0  3.5  0.111183
0  3.7  0.0783876
0  3.9  0.0556915
0  4.1  0.0398428
0  4.3  0.0287147
0  4.5  0.020811
0  4.7  0.015197
0  4.9  0.0111535
0  5.1  0.00823404
0  5.3  0.00611087
0  5.5  0.00455788
0  5.7  0.00341588
0  5.9  0.00257207
0  6.1  0.00194512
0  6.3  0.00147728
0  6.5  0.00112624
0  6.7  0.000862103
0  6.9  0.000662033
0  7.1  0.000510002
0  7.3  0.000394384
0  7.5  0.000306004
0  7.7  0.000238185
0  7.9  0.000185933
0  8.1  0.00014545
0  8.3  0.000114143
0  8.5  8.97929e-05
0  8.7  7.08059e-05
0  8.9  5.59908e-05
0  9.1  4.43811e-05
0  9.3  3.52626e-05
0  9.5  2.8065e-05
0  9.7  2.23851e-05
0  9.9  1.78919e-05
0  10.1  1.43362e-05
0  10.3  1.15015e-05
0  10.5  9.23781e-06
0  10.7  7.44218e-06
0  10.9  6.00284e-06
0  11.1  4.84752e-06
0  11.3  3.92572e-06
0  11.5  3.1808e-06
0  11.7  2.58236e-06
0  11.9  2.09915e-06
2  0.1  131.892
2  0.3  92.1318
2  0.5  60.7992
2  0.7  38.5899
2  0.9  24.1833
2  1.1  15.1506
2  1.3  9.53627
2  1.5  6.05359
2  1.7  3.88071
2  1.9  2.51254
2  2.1  1.64341
2  2.3  1.08679
2  2.5  0.725725
2  2.7  0.489519
2  2.9  0.33316
2  3.1  0.229105
2  3.3  0.158866
2  3.5  0.111048
2  3.7  0.0782906
2  3.9  0.0556215
2  4.1  0.039792
2  4.3  0.0286776
2  4.5  0.0207838
2  4.7  0.015177
2  4.9  0.0111387
2  5.1  0.00822298
2  5.3  0.00610258
2  5.5  0.00455166
2  5.7  0.00341119
2  5.9  0.00256848
2  6.1  0.0019424
2  6.3  0.0014752
2  6.5  0.00112464
2  6.7  0.00086087
2  6.9  0.00066108
2  7.1  0.000509262
2  7.3  0.00039381
2  7.5  0.000305559
2  7.7  0.000237837
2  7.9  0.00018566
2  8.1  0.000145235
2  8.3  0.000113974
2  8.5  8.96595e-05
2  8.7  7.07003e-05
2  8.9  5.59068e-05
2  9.1  4.43143e-05
2  9.3  3.52094e-05
2  9.5  2.80225e-05
2  9.7  2.23511e-05
2  9.9  1.78646e-05
2  10.1  1.43143e-05
2  10.3  1.14839e-05
2  10.5  9.22356e-06
2  10.7  7.43061e-06
2  10.9  5.99354e-06
2  11.1  4.83998e-06
2  11.3  3.91956e-06
2  11.5  3.1758e-06
2  11.7  2.57831e-06
2  11.9  2.09586e-06
4  0.1  131.606
4  0.3  91.9299
4  0.5  60.6639
4  0.7  38.5019
4  0.9  24.126
4  1.1  15.1133
4  1.3  9.51172
4  1.5  6.03712
4  1.7  3.86968
4  1.9  2.5051
4  2.1  1.63843
4  2.3  1.08333
4  2.5  0.723378
4  2.7  0.487866
4  2.9  0.332008
4  3.1  0.22829
4  3.3  0.15829
4  3.5  0.110658
4  3.7  0.0780017
4  3.9  0.0554103
4  4.1  0.0396499
4  4.3  0.0285673
4  4.5  0.0207012
4  4.7  0.0151169
4  4.9  0.011094
4  5.1  0.00819011
4  5.3  0.00607805
4  5.5  0.00453306
4  5.7  0.0033971
4  5.9  0.00255777
4  6.1  0.00193434
4  6.3  0.00146846
4  6.5  0.00111984
4  6.7  0.000856837
4  6.9  0.000657904
4  7.1  0.000507057
4  7.3  0.000392157
4  7.5  0.000304178
4  7.7  0.00023686
4  7.9  0.000184875
4  8.1  0.000144665
4  8.3  0.00011348
4  8.5  8.92645e-05
4  8.7  7.03908e-05
4  8.9  5.56546e-05
4  9.1  4.41151e-05
4  9.3  3.50439e-05
4  9.5  2.78991e-05
4  9.7  2.22606e-05
4  9.9  1.77875e-05
4  10.1  1.42411e-05
4  10.3  1.14301e-05
4  10.5  9.18203e-06
4  10.7  7.39319e-06
4  10.9  5.96314e-06
4  11.1  4.81776e-06
4  11.3  3.9003e-06
4  11.5  3.16099e-06
4  11.7  2.56529e-06
4  11.9  2.08478e-06
6  0.1  131.124
6  0.3  91.5905
6  0.5  60.4346
6  0.7  38.3537
6  0.9  24.0298
6  1.1  15.0504
6  1.3  9.47034
6  1.5  6.00966
