# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0040.dat, member 0, Q=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  757.609
0  0.3  587.829
0  0.5  447.546
0  0.7  333.153
0  0.9  244.632
0  1.1  178.381
0  1.3  129.599
0  1.5  94.1737
0  1.7  68.7024
0  1.9  50.3813
0  2.1  37.2333
0  2.3  27.7652
0  2.5  20.9018
0  2.7  15.8889
0  2.9  12.1993
0  3.1  9.45952
0  3.3  7.41063
0  3.5  5.85671
0  3.7  4.66834
0  3.9  3.75665
0  4.1  3.04579
0  4.3  2.48844
0  4.5  2.0479
0  4.7  1.695
0  4.9  1.41418
0  5.1  1.18561
0  5.3  1.00011
0  5.5  0.847779
0  5.7  0.722021
0  5.9  0.61818
0  6.1  0.53174
0  6.3  0.459101
0  6.5  0.398042
0  6.7  0.346291
0  6.9  0.302312
0  7.1  0.264846
0  7.3  0.237123
0  7.5  0.212725
0  7.7  0.191438
0  7.9  0.17274
0  8.1  0.156332
0  8.3  0.141697
0  8.5  0.128926
0  8.7  0.117459
0  8.9  0.107216
0  9.1  0.0980119
0  9.3  0.0898395
0  9.5  0.0824815
0  9.7  0.0757745
0  9.9  0.069801
0  10.1  0.0644137
0  10.3  0.0595085
0  10.5  0.055154
0  10.7  0.0511086
0  10.9  0.0473787
0  11.1  0.0440357
0  11.3  0.0410193
0  11.5  0.0382244
0  11.7  0.0356516
0  11.9  0.0332952
2  0.1  756.73
2  0.3  587.12
2  0.5  446.998
2  0.7  332.732
2  0.9  244.301
2  1.1  178.131
2  1.3  129.404
2  1.5  94.0255
2  1.7  68.5897
2  1.9  50.296
2  2.1  37.1646
2  2.3  27.7154
2  2.5  20.8633
2  2.7  15.8584
2  2.9  12.1766
2  3.1  9.44347
2  3.3  7.39654
2  3.5  5.84546
2  3.7  4.66013
2  3.9  3.74939
2  4.1  3.04018
2  4.3  2.48379
2  4.5  2.04397
2  4.7  1.69176
2  4.9  1.41147
2  5.1  1.18333
2  5.3  0.998164
2  5.5  0.846075
2  5.7  0.720635
2  5.9  0.617076
2  6.1  0.530729
2  6.3  0.458221
2  6.5  0.397258
2  6.7  0.345615
2  6.9  0.301741
2  7.1  0.264359
2  7.3  0.236666
2  7.5  0.21231
2  7.7  0.191076
2  7.9  0.172404
2  8.1  0.156034
2  8.3  0.141422
2  8.5  0.12868
2  8.7  0.117232
2  8.9  0.107
2  9.1  0.0978193
2  9.3  0.0896667
2  9.5  0.0823194
2  9.7  0.0756318
2  9.9  0.0696638
2  10.1  0.0642893
2  10.3  0.0593942
2  10.5  0.0550343
2  10.7  0.0510115
2  10.9  0.0472879
2  11.1  0.043953
2  11.3  0.0409408
2  11.5  0.0381487
2  11.7  0.0355914
2  11.9  0.0332327
4  0.1  754.008
4  0.3  585.044
4  0.5  445.425
4  0.7  331.431
4  0.9  243.432
4  1.1  177.382
4  1.3  128.845
4  1.5  93.6144
4  1.7  68.2396
4  1.9  50.0481
4  2.1  36.9762
4  2.3  27.5612
4  2.5  20.7489
4  2.7  15.7722
4  2.9  12.1082
4  3.1  9.39069
4  3.3  7.35555
4  3.5  5.8119
4  3.7  4.63363
4  3.9  3.72764
4  4.1  3.02252
4  4.3  2.46948
4  4.5  2.03157
4  4.7  1.68201
4  4.9  1.40311
4  5.1  1.17696
4  5.3  0.992508
4  5.5  0.841465
4  5.7  0.716436
4  5.9  0.613409
4  6.1  0.527602
4  6.3  0.455577
4  6.5  0.394972
4  6.7  0.34365
4  6.9  0.299979
4  7.1  0.262818
4  7.3  0.235285
4  7.5  0.211044
4  7.7  0.189956
4  7.9  0.171442
4  8.1  0.155138
4  8.3  0.140595
4  8.5  0.127921
4  8.7  0.11655
4  8.9  0.106379
4  9.1  0.097239
4  9.3  0.0891437
4  9.5  0.0817549
4  9.7  0.0751989
4  9.9  0.0692613
4  10.1  0.0639174
4  10.3  0.0590474
4  10.5  0.0546511
4  10.7  0.0507103
4  10.9  0.0470122
4  11.1  0.0436996
4  11.3  0.0407029
4  11.5  0.0379352
4  11.7  0.0353832
4  11.9  0.033044
6  0.1  749.233
6  0.3  581.541
6  0.5  442.337
6  0.7  329.345
6  0.9  241.688
6  1.1  176.092
6  1.3  127.805
6  1.5  92.842
6  1.7  67.6725
6  1.9  49.6044
6  2.1  36.6431
6  2.3  27.3148
6  2.5  20.5546
6  2.7  15.6196
6  2.9  11.9923
6  3.1  9.30078
6  3.3  7.28025
6  3.5  5.75742
6  3.7  4.58715
6  3.9  3.69157
6  4.1  2.99367
6  4.3  2.4465
6  4.5  2.01197
6  4.7  1.66561
6  4.9  1.38895
6  5.1  1.16547
6  5.3  0.982569
6  5.5  0.833169
6  5.7  0.709413
6  5.9  0.607355
6  6.1  0.522429
6  6.3  0.451079
6  6.5  0.391097
6  6.7  0.340341
6  6.9  0.297079
6  7.1  0.260212
6  7.3  0.232966
6  7.5  0.209002
6  7.7  0.188099
6  7.9  0.169741
6  8.1  0.153609
6  8.3  0.139304
6  8.5  0.126656
6  8.7  0.115399
6  8.9  0.105333
6  9.1  0.0963429
6  9.3  0.0882658
6  9.5  0.0810364
6  9.7  0.0744594
6  9.9  0.0686532
6  10.1  0.0633517
6  10.3  0.0584639
6  10.5  0.0541086
6  10.7  0.0501519
6  10.9  0.0465507
6  11.1  0.043266
6  11.3  0.0403015
6  11.5  0.0375613
6  11.7  0.0350319
6  11.9  0.0327139
8  0.1  742.974
8  0.3  576.48
8  0.5  438.338
8  0.7  326.3
8  0.9  239.331
8  1.1  174.257
8  1.3  126.435
8  1.5  91.7678
8  1.7  66.8707
8  1.9  48.9967
8  2.1  36.1732
8  2.3  26.9581
8  2.5  20.2793
8  2.7  15.4125
8  2.9  11.8286
8  3.1  9.17254
8  3.3  7.17969
8  3.5  5.67594
8  3.7  4.52473
8  3.9  3.64077
8  4.1  2.9529
8  4.3  2.41164
8  4.5  1.98345
8  4.7  1.64269
8  4.9  1.3699
8  5.1  1.14892
8  5.3  0.968926
8  5.5  0.82127
8  5.7  0.699483
8  5.9  0.598899
8  6.1  0.515122
8  6.3  0.444794
8  6.5  0.385576
8  6.7  0.335466
8  6.9  0.2928
8  7.1  0.256538
8  7.3  0.229615
8  7.5  0.20606
8  7.7  0.185446
8  7.9  0.167359
8  8.1  0.151443
8  8.3  0.137362
8  8.5  0.124865
8  8.7  0.113632
8  8.9  0.103854
8  9.1  0.0949851
8  9.3  0.0870456
8  9.5  0.0798966
8  9.7  0.0733947
8  9.9  0.067617
8  10.1  0.0623943
8  10.3  0.0576488
8  10.5  0.0534182
8  10.7  0.0494446
8  10.9  0.0459018
8  11.1  0.042703
8  11.3  0.0397466
8  11.5  0.0369896
8  11.7  0.0345463
8  11.9  0.0322544
10  0.1  734.205
10  0.3  569.633
10  0.5  433.173
10  0.7  322.346
10  0.9  236.301
10  1.1  171.848
10  1.3  124.626
10  1.5  90.3835
10  1.7  65.8019
10  1.9  48.1806
10  2.1  35.5615
10  2.3  26.4875
10  2.5  19.9225
10  2.7  15.1367
10  2.9  11.616
10  3.1  9.00359
10  3.3  7.04875
10  3.5  5.57122
10  3.7  4.44204
10  3.9  3.57253
10  4.1  2.89708
10  4.3  2.36661
10  4.5  1.94675
10  4.7  1.61221
10  4.9  1.3444
10  5.1  1.12751
10  5.3  0.950738
10  5.5  0.805844
10  5.7  0.686309
10  5.9  0.587756
10  6.1  0.505466
10  6.3  0.436412
10  6.5  0.378343
10  6.7  0.32916
10  6.9  0.287318
10  7.1  0.251728
10  7.3  0.225321
10  7.5  0.202179
10  7.7  0.181982
10  7.9  0.164166
10  8.1  0.148549
10  8.3  0.134737
10  8.5  0.122421
10  8.7  0.111512
10  8.9  0.101919
10  9.1  0.0932181
10  9.3  0.0854145
10  9.5  0.0784034
10  9.7  0.072119
10  9.9  0.0664451
10  10.1  0.0612454
10  10.3  0.0566478
10  10.5  0.0523636
10  10.7  0.0485387
10  10.9  0.0450456
10  11.1  0.0418691
10  11.3  0.0390084
10  11.5  0.0363461
10  11.7  0.0339112
10  11.9  0.0316608
12  0.1  723.361
12  0.3  561.121
12  0.5  426.527
12  0.7  317.314
12  0.9  232.365
12  1.1  168.87
12  1.3  122.294
12  1.5  88.63
12  1.7  64.453
12  1.9  47.1711
12  2.1  34.7968
12  2.3  25.9054
12  2.5  19.4766
12  2.7  14.7895
12  2.9  11.3476
12  3.1  8.79765
12  3.3  6.88413
12  3.5  5.44045
12  3.7  4.33711
12  3.9  3.48832
12  4.1  2.82875
12  4.3  2.31047
12  4.5  1.9001
12  4.7  1.57379
12  4.9  1.31245
12  5.1  1.10068
12  5.3  0.928102
12  5.5  0.786769
12  5.7  0.669907
12  5.9  0.573723
12  6.1  0.493381
12  6.3  0.425967
12  6.5  0.369274
12  6.7  0.32139
12  6.9  0.280438
12  7.1  0.245804
12  7.3  0.219921
12  7.5  0.197366
12  7.7  0.177657
12  7.9  0.160347
12  8.1  0.145109
12  8.3  0.131594
12  8.5  0.119531
12  8.7  0.108898
12  8.9  0.0995062
12  9.1  0.0910081
12  9.3  0.0834081
12  9.5  0.0765651
12  9.7  0.0703572
12  9.9  0.0648923
12  10.1  0.0598054
12  10.3  0.0552526
12  10.5  0.0512114
12  10.7  0.0474005
12  10.9  0.0439926
12  11.1  0.0408923
12  11.3  0.0380893
12  11.5  0.0354962
12  11.7  0.0331137
12  11.9  0.0309206
14  0.1  709.953
14  0.3  550.457
14  0.5  418.568
14  0.7  310.895
14  0.9  227.407
14  1.1  165.104
14  1.3  119.424
14  1.5  86.4174
14  1.7  62.8071
14  1.9  45.9231
14  2.1  33.8455
14  2.3  25.1839
14  2.5  18.93
14  2.7  14.3691
14  2.9  11.0242
14  3.1  8.54353
14  3.3  6.68392
14  3.5  5.28268
14  3.7  4.2104
14  3.9  3.38517
14  4.1  2.74488
14  4.3  2.24195
14  4.5  1.84426
14  4.7  1.52768
14  4.9  1.2735
14  5.1  1.06821
14  5.3  0.900769
14  5.5  0.763264
14  5.7  0.650024
14  5.9  0.556565
14  6.1  0.47856
14  6.3  0.413287
14  6.5  0.358299
14  6.7  0.311724
14  6.9  0.272048
14  7.1  0.238335
14  7.3  0.213303
14  7.5  0.19147
14  7.7  0.172345
14  7.9  0.155545
14  8.1  0.14075
14  8.3  0.127576
14  8.5  0.11594
14  8.7  0.105622
14  8.9  0.0964482
14  9.1  0.0882971
14  9.3  0.0809134
14  9.5  0.0742685
14  9.7  0.0682413
14  9.9  0.0628752
14  10.1  0.0580261
14  10.3  0.0536006
14  10.5  0.049614
14  10.7  0.0459786
14  10.9  0.042681
14  11.1  0.039718
14  11.3  0.0369464
14  11.5  0.0344332
14  11.7  0.0321226
14  11.9  0.0299924
16  0.1  693.154
16  0.3  537.404
16  0.5  408.642
16  0.7  303.135
16  0.9  221.427
16  1.1  160.539
16  1.3  115.943
16  1.5  83.7665
16  1.7  60.7877
16  1.9  44.4179
16  2.1  32.7026
16  2.3  24.3148
16  2.5  18.2674
16  2.7  13.8592
16  2.9  10.6275
16  3.1  8.23628
16  3.3  6.44214
16  3.5  5.08825
16  3.7  4.05729
16  3.9  3.26207
16  4.1  2.64441
16  4.3  2.16075
16  4.5  1.77666
16  4.7  1.47139
16  4.9  1.22659
16  5.1  1.02855
16  5.3  0.867383
16  5.5  0.735235
16  5.7  0.626187
16  5.9  0.536053
16  6.1  0.460957
16  6.3  0.398055
16  6.5  0.345149
16  6.7  0.300128
16  6.9  0.261974
16  7.1  0.229667
16  7.3  0.205446
16  7.5  0.184395
16  7.7  0.165971
16  7.9  0.149829
16  8.1  0.135525
16  8.3  0.12289
16  8.5  0.11182
16  8.7  0.101866
16  8.9  0.0929745
16  9.1  0.0850491
16  9.3  0.0779378
16  9.5  0.071486
16  9.7  0.0658221
16  9.9  0.0606338
16  10.1  0.0559006
16  10.3  0.0516455
16  10.5  0.0478398
16  10.7  0.0443072
16  10.9  0.0411727
16  11.1  0.038218
16  11.3  0.0356056
16  11.5  0.0331753
16  11.7  0.0309487
16  11.9  0.0288927
18  0.1  672.887
18  0.3  521.542
18  0.5  396.227
18  0.7  293.759
18  0.9  214.418
18  1.1  155.034
18  1.3  111.765
18  1.5  80.5823
18  1.7  58.4157
18  1.9  42.6188
18  2.1  31.3502
18  2.3  23.2879
18  2.5  17.4777
18  2.7  13.2558
18  2.9  10.1594
18  3.1  7.87191
18  3.3  6.15507
18  3.5  4.86299
18  3.7  3.87464
18  3.9  3.11545
18  4.1  2.52546
18  4.3  2.06238
18  4.5  1.69673
18  4.7  1.40478
18  4.9  1.17119
18  5.1  0.982335
18  5.3  0.828244
18  5.5  0.701765
18  5.7  0.597741
18  5.9  0.511666
18  6.1  0.440013
18  6.3  0.379946
18  6.5  0.32932
18  6.7  0.286483
18  6.9  0.250067
18  7.1  0.219003
18  7.3  0.196032
18  7.5  0.175918
18  7.7  0.158355
18  7.9  0.14287
18  8.1  0.129325
18  8.3  0.11722
18  8.5  0.106542
18  8.7  0.0971758
18  8.9  0.0887004
18  9.1  0.0811384
18  9.3  0.0743555
18  9.5  0.0681956
18  9.7  0.0627137
18  9.9  0.0577841
18  10.1  0.0533836
18  10.3  0.0492665
18  10.5  0.0456479
18  10.7  0.0422628
18  10.9  0.0392821
18  11.1  0.0364561
18  11.3  0.033932
18  11.5  0.0316569
18  11.7  0.0295241
18  11.9  0.027564
20  0.1  648.294
20  0.3  502.277
20  0.5  381.516
20  0.7  282.359
20  0.9  205.699
20  1.1  148.37
20  1.3  106.707
20  1.5  76.7839
20  1.7  55.5467
20  1.9  40.4568
20  2.1  29.7264
20  2.3  22.0572
20  2.5  16.5389
20  2.7  12.5376
20  2.9  9.60469
20  3.1  7.43772
20  3.3  5.81679
20  3.5  4.59331
20  3.7  3.65859
20  3.9  2.94161
20  4.1  2.38383
20  4.3  1.94702
20  4.5  1.60101
20  4.7  1.32584
20  4.9  1.1052
20  5.1  0.926777
20  5.3  0.781456
20  5.5  0.662449
20  5.7  0.563906
20  5.9  0.482595
20  6.1  0.415075
20  6.3  0.35846
20  6.5  0.310646
20  6.7  0.270191
20  6.9  0.235923
20  7.1  0.206741
20  7.3  0.184951
20  7.5  0.166034
20  7.7  0.149467
20  7.9  0.134898
20  8.1  0.122036
20  8.3  0.11076
20  8.5  0.100719
20  8.7  0.0917543
20  8.9  0.0836985
20  9.1  0.076614
20  9.3  0.0702109
20  9.5  0.0644714
20  9.7  0.0592422
20  9.9  0.0546454
20  10.1  0.0504299
20  10.3  0.046601
20  10.5  0.0431276
20  10.7  0.0399787
20  10.9  0.037065
20  11.1  0.0344509
20  11.3  0.0321004
20  11.5  0.0299126
20  11.7  0.0278987
20  11.9  0.0260535
22  0.1  622.87
22  0.3  482.464
22  0.5  365.317
22  0.7  269.19
22  0.9  194.993
22  1.1  140.226
22  1.3  100.572
22  1.5  72.1704
22  1.7  52.0879
22  1.9  37.8675
22  2.1  27.7711
22  2.3  20.5841
22  2.5  15.4212
22  2.7  11.6804
22  2.9  8.94102
22  3.1  6.92055
22  3.3  5.41142
22  3.5  4.27178
22  3.7  3.4019
22  3.9  2.73453
22  4.1  2.21606
22  4.3  1.80989
22  4.5  1.48781
22  4.7  1.23163
22  4.9  1.02689
22  5.1  0.860869
22  5.3  0.725857
22  5.5  0.614704
22  5.7  0.52363
22  5.9  0.448248
22  6.1  0.385489
22  6.3  0.332847
22  6.5  0.28839
22  6.7  0.250854
22  6.9  0.218973
22  7.1  0.191814
22  7.3  0.171682
22  7.5  0.154137
22  7.7  0.138759
22  7.9  0.125253
22  8.1  0.113304
22  8.3  0.102754
22  8.5  0.0934183
22  8.7  0.0851453
22  8.9  0.0777892
22  9.1  0.0711505
22  9.3  0.0651996
22  9.5  0.0598108
22  9.7  0.0550014
22  9.9  0.050678
22  10.1  0.046768
22  10.3  0.0432178
22  10.5  0.0400564
22  10.7  0.0370861
22  10.9  0.034424
22  11.1  0.0319969
22  11.3  0.0298168
22  11.5  0.0277748
22  11.7  0.0259048
22  11.9  0.0241901
24  0.1  579.682
24  0.3  448.994
24  0.5  340.543
24  0.7  251.001
24  0.9  181.71
24  1.1  130.186
24  1.3  92.9904
24  1.5  66.5645
24  1.7  47.8969
24  1.9  34.7245
24  2.1  25.4277
24  2.3  18.8181
24  2.5  14.0801
24  2.7  10.6533
24  2.9  8.14883
24  3.1  6.30313
24  3.3  4.92734
24  3.5  3.88731
24  3.7  3.09521
24  3.9  2.48765
24  4.1  2.01534
24  4.3  1.64532
