# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0085.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  830.566
0  0.3  635.597
0  0.5  475.846
0  0.7  347.586
0  0.9  249.877
0  1.1  178.049
0  1.3  126.149
0  1.5  89.3486
0  1.7  63.4741
0  1.9  45.4296
0  2.1  32.7837
0  2.3  23.8936
0  2.5  17.6137
0  2.7  13.1299
0  2.9  9.89837
0  3.1  7.55041
0  3.3  5.82058
0  3.5  4.53336
0  3.7  3.56689
0  3.9  2.83461
0  4.1  2.2713
0  4.3  1.83518
0  4.5  1.4941
0  4.7  1.226
0  4.9  1.01274
0  5.1  0.841903
0  5.3  0.704101
0  5.5  0.592782
0  5.7  0.500947
0  5.9  0.425626
0  6.1  0.363588
0  6.3  0.311853
0  6.5  0.268941
0  6.7  0.232552
0  6.9  0.201957
0  7.1  0.175925
0  7.3  0.156527
0  7.5  0.139806
0  7.7  0.125232
0  7.9  0.112453
0  8.1  0.101205
0  8.3  0.0912949
0  8.5  0.0826202
0  8.7  0.0749299
0  8.9  0.0681352
0  9.1  0.062036
0  9.3  0.0566678
0  9.5  0.0518158
0  9.7  0.047468
0  9.9  0.043544
0  10.1  0.0399806
0  10.3  0.0368515
0  10.5  0.0339586
0  10.7  0.0313487
0  10.9  0.0290101
0  11.1  0.0268656
0  11.3  0.0248933
0  11.5  0.0231039
0  11.7  0.0214783
0  11.9  0.0199874
2  0.1  829.629
2  0.3  634.645
2  0.5  475.304
2  0.7  347.138
2  0.9  249.554
2  1.1  177.798
2  1.3  125.958
2  1.5  89.2066
2  1.7  63.3686
2  1.9  45.3521
2  2.1  32.727
2  2.3  23.8507
2  2.5  17.581
2  2.7  13.1066
2  2.9  9.88034
2  3.1  7.53638
2  3.3  5.80918
2  3.5  4.52516
2  3.7  3.56018
2  3.9  2.82923
2  4.1  2.26699
2  4.3  1.83152
2  4.5  1.49111
2  4.7  1.22366
2  4.9  1.01081
2  5.1  0.8403
2  5.3  0.702815
2  5.5  0.591677
2  5.7  0.500012
2  5.9  0.424815
2  6.1  0.362872
2  6.3  0.311599
2  6.5  0.268447
2  6.7  0.232073
2  6.9  0.201442
2  7.1  0.175594
2  7.3  0.156221
2  7.5  0.139539
2  7.7  0.125
2  7.9  0.112081
2  8.1  0.101078
2  8.3  0.091246
2  8.5  0.0824601
2  8.7  0.0747423
2  8.9  0.0679925
2  9.1  0.0619881
2  9.3  0.0565157
2  9.5  0.0516347
2  9.7  0.0473793
2  9.9  0.0434624
2  10.1  0.0399048
2  10.3  0.0367724
2  10.5  0.0338938
2  10.7  0.0312881
2  10.9  0.0289546
2  11.1  0.0267754
2  11.3  0.0248499
2  11.5  0.023043
2  11.7  0.021437
2  11.9  0.0199564
4  0.1  826.626
4  0.3  632.321
4  0.5  473.278
4  0.7  345.777
4  0.9  248.561
4  1.1  176.978
4  1.3  125.314
4  1.5  88.7777
4  1.7  63.0666
4  1.9  45.0879
4  2.1  32.5446
4  2.3  23.7239
4  2.5  17.4706
4  2.7  13.0319
4  2.9  9.82478
4  3.1  7.49361
4  3.3  5.77617
4  3.5  4.49925
4  3.7  3.54
4  3.9  2.81306
4  4.1  2.25375
4  4.3  1.82075
4  4.5  1.48258
4  4.7  1.21664
4  4.9  1.00498
4  5.1  0.835985
4  5.3  0.698631
4  5.5  0.588292
4  5.7  0.497244
4  5.9  0.422292
4  6.1  0.360798
4  6.3  0.309678
4  6.5  0.266673
4  6.7  0.230758
4  6.9  0.2003
4  7.1  0.174465
4  7.3  0.155311
4  7.5  0.138726
4  7.7  0.124277
4  7.9  0.11143
4  8.1  0.100347
4  8.3  0.0905764
4  8.5  0.0820056
4  8.7  0.0743336
4  8.9  0.067602
4  9.1  0.0616322
4  9.3  0.0561876
4  9.5  0.0514263
4  9.7  0.0471072
4  9.9  0.0432089
4  10.1  0.0396701
