# fragmentation : HymnD (inputs/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.25*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -0.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  749.237
0  0.3  582.85
0  0.5  445.921
0  0.7  333.983
0  0.9  247.917
0  1.1  183.276
0  1.3  135.432
0  1.5  100.23
0  1.7  74.5164
0  1.9  55.7249
0  2.1  41.9671
0  2.3  31.865
0  2.5  24.3873
0  2.7  18.841
0  2.9  14.6821
0  3.1  11.5401
0  3.3  9.14291
0  3.5  7.30827
0  3.7  5.88767
0  3.9  4.77511
0  4.1  3.90079
0  4.3  3.20842
0  4.5  2.65589
0  4.7  2.21141
0  4.9  1.8516
0  5.1  1.55841
0  5.3  1.31876
0  5.5  1.12193
0  5.7  0.95797
0  5.9  0.817257
0  6.1  0.695417
0  6.3  0.594326
0  6.5  0.510092
0  6.7  0.439964
0  6.9  0.380283
0  7.1  0.330137
0  7.3  0.287366
0  7.5  0.250918
0  7.7  0.219681
0  7.9  0.192911
0  8.1  0.169919
0  8.3  0.150092
0  8.5  0.13285
0  8.7  0.117898
0  8.9  0.104847
0  9.1  0.0934337
0  9.3  0.0834385
0  9.5  0.0746733
0  9.7  0.0669423
0  9.9  0.0601823
0  10.1  0.0541812
0  10.3  0.0488512
0  10.5  0.0441252
0  10.7  0.0399117
0  10.9  0.0361732
0  11.1  0.0328185
0  11.3  0.0298218
0  11.5  0.0271449
0  11.7  0.024733
0  11.9  0.022569
2  0.1  748.464
2  0.3  582.252
2  0.5  445.455
2  0.7  333.624
2  0.9  247.64
2  1.1  183.06
2  1.3  135.264
2  1.5  100.104
2  1.7  74.4145
2  1.9  55.6458
2  2.1  41.9052
2  2.3  31.8167
2  2.5  24.3496
2  2.7  18.8114
2  2.9  14.6585
2  3.1  11.5177
2  3.3  9.12811
2  3.5  7.29619
2  3.7  5.87783
2  3.9  4.76716
2  4.1  3.89422
2  4.3  3.20296
2  4.5  2.65132
2  4.7  2.20759
2  4.9  1.8484
2  5.1  1.55571
2  5.3  1.31645
2  5.5  1.12002
2  5.7  0.956299
2  5.9  0.815824
2  6.1  0.694185
2  6.3  0.593283
2  6.5  0.509187
2  6.7  0.439191
2  6.9  0.379612
2  7.1  0.32956
2  7.3  0.286858
2  7.5  0.250469
2  7.7  0.219316
2  7.9  0.192572
2  8.1  0.169618
