# fragmentation : HymnD (inputs/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.25*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  221.459
0  0.3  163.75
0  0.5  115.44
0  0.7  78.3016
0  0.9  52.1749
0  1.1  34.6619
0  1.3  23.0866
0  1.5  15.4709
0  1.7  10.4487
0  1.9  7.12348
0  2.1  4.90077
0  2.3  3.40508
0  2.5  2.38859
0  2.7  1.69127
0  2.9  1.20928
0  3.1  0.872498
0  3.3  0.635062
0  3.5  0.465886
0  3.7  0.344647
0  3.9  0.256853
0  4.1  0.192777
0  4.3  0.145717
0  4.5  0.11085
0  4.7  0.0848499
0  4.9  0.065309
0  5.1  0.0505162
0  5.3  0.0393088
0  5.5  0.0307391
0  5.7  0.0241677
0  5.9  0.0189191
0  6.1  0.0147236
0  6.3  0.0115233
0  6.5  0.0090528
0  6.7  0.00714531
0  6.9  0.00566096
0  7.1  0.00450461
0  7.3  0.00359235
0  7.5  0.00287685
0  7.7  0.00231071
0  7.9  0.00186229
0  8.1  0.00150561
0  8.3  0.0012209
0  8.5  0.000992696
0  8.7  0.000810121
0  8.9  0.000662025
0  9.1  0.000542648
0  9.3  0.000445171
0  9.5  0.000366507
0  9.7  0.000302717
0  9.9  0.000250328
0  10.1  0.000207487
0  10.3  0.000172273
0  10.5  0.00014333
0  10.7  0.000119455
0  10.9  9.97321e-05
0  11.1  8.33318e-05
0  11.3  6.99116e-05
0  11.5  5.86627e-05
0  11.7  4.92546e-05
0  11.9  4.14688e-05
2  0.1  221.292
2  0.3  163.625
2  0.5  115.351
2  0.7  78.2399
2  0.9  52.1322
2  1.1  34.6325
2  1.3  23.066
2  1.5  15.4563
2  1.7  10.4383
2  1.9  7.11613
2  2.1  4.89553
2  2.3  3.4013
2  2.5  2.38586
2  2.7  1.68927
2  2.9  1.20782
2  3.1  0.871423
2  3.3  0.634259
2  3.5  0.46529
2  3.7  0.344198
2  3.9  0.256514
2  4.1  0.19252
2  4.3  0.145559
2  4.5  0.110699
2  4.7  0.0847331
2  4.9  0.065218
2  5.1  0.0504454
2  5.3  0.0392532
2  5.5  0.0306954
2  5.7  0.0241331
2  5.9  0.0188918
2  6.1  0.0147022
2  6.3  0.0115064
2  6.5  0.00903941
2  6.7  0.0071347
2  6.9  0.00565249
2  7.1  0.00449791
2  7.3  0.00358692
2  7.5  0.00287249
2  7.7  0.0023072
2  7.9  0.00185945
2  8.1  0.00150329
2  8.3  0.00121902
2  8.5  0.000991168
2  8.7  0.000808871
2  8.9  0.000661
2  9.1  0.000541807
2  9.3  0.000444486
2  9.5  0.00036594
2  9.7  0.000302246
2  9.9  0.000249939
2  10.1  0.000207165
2  10.3  0.000172006
2  10.5  0.000143107
2  10.7  0.000119273
2  10.9  9.95781e-05
2  11.1  8.32026e-05
2  11.3  6.98015e-05
2  11.5  5.85695e-05
2  11.7  4.91783e-05
2  11.9  4.14038e-05
4  0.1  220.782
4  0.3  163.245
4  0.5  115.078
4  0.7  78.0517
4  0.9  52.0018
4  1.1  34.5419
4  1.3  23.0032
4  1.5  15.412
4  1.7  10.4071
4  1.9  7.09401
4  2.1  4.8796
4  2.3  3.38987
4  2.5  2.37764
4  2.7  1.68326
4  2.9  1.20342
4  3.1  0.868197
4  3.3  0.631854
4  3.5  0.463499
4  3.7  0.342847
4  3.9  0.255483
4  4.1  0.191729
4  4.3  0.144947
4  4.5  0.110267
4  4.7  0.0843919
4  4.9  0.0649053
4  5.1  0.0502309
4  5.3  0.0391165
4  5.5  0.0305665
4  5.7  0.0240137
4  5.9  0.0187964
4  6.1  0.0146419
4  6.3  0.0114571
4  6.5  0.00900157
4  6.7  0.00710604
4  6.9  0.00562725
4  7.1  0.00447497
4  7.3  0.00357106
4  7.5  0.00285878
4  7.7  0.0022971
4  7.9  0.00185119
4  8.1  0.00149779
4  8.3  0.0012142
4  8.5  0.000987271
4  8.7  0.000805195
4  8.9  0.000658249
4  9.1  0.000539996
4  9.3  0.000443115
4  9.5  0.000365125
4  9.7  0.000301171
4  9.9  0.000249116
4  10.1  0.000206628
4  10.3  0.000171775
4  10.5  0.000142877
4  10.7  0.000119255
4  10.9  9.96866e-05
4  11.1  8.34168e-05
4  11.3  6.99516e-05
4  11.5  5.8768e-05
4  11.7  4.94957e-05
4  11.9  4.1701e-05
6  0.1  219.928
6  0.3  162.61
6  0.5  114.627
6  0.7  77.7387
6  0.9  51.7853
6  1.1  34.3921
6  1.3  22.898
6  1.5  15.3382
6  1.7  10.3548
6  1.9  7.05663
6  2.1  4.85299
6  2.3  3.37068
6  2.5  2.36369
6  2.7  1.67315
6  2.9  1.19602
6  3.1  0.862713
6  3.3  0.627656
6  3.5  0.460469
6  3.7  0.340577
6  3.9  0.253782
6  4.1  0.190445
6  4.3  0.143971
6  4.5  0.109479
6  4.7  0.0837908
6  4.9  0.0644872
6  5.1  0.0498751
6  5.3  0.0388064
6  5.5  0.0303437
6  5.7  0.0238547
6  5.9  0.0186723
6  6.1  0.0145305
6  6.3  0.0113717
6  6.5  0.00893259
6  6.7  0.00704986
6  6.9  0.00558537
6  7.1  0.00444425
6  7.3  0.00354377
6  7.5  0.00283782
6  7.7  0.00227931
6  7.9  0.00183683
6  8.1  0.00148498
6  8.3  0.00120511
6  8.5  0.000979857
6  8.7  0.000798902
6  8.9  0.000652852
6  9.1  0.000534619
6  9.3  0.000438976
6  9.5  0.000361394
6  9.7  0.000298475
6  9.9  0.000246824
6  10.1  0.000204553
6  10.3  0.000169839
6  10.5  0.000141289
6  10.7  0.000117648
6  10.9  9.82219e-05
6  11.1  8.22617e-05
6  11.3  6.89193e-05
6  11.5  5.77602e-05
6  11.7  4.86173e-05
6  11.9  4.09215e-05
8  0.1  218.7
8  0.3  161.697
8  0.5  113.975
8  0.7  77.2875
8  0.9  51.4731
8  1.1  34.1764
8  1.3  22.7466
8  1.5  15.2319
8  1.7  10.2794
8  1.9  7.0032
8  2.1  4.81486
8  2.3  3.34321
8  2.5  2.34382
8  2.7  1.65871
8  2.9  1.18544
8  3.1  0.854926
8  3.3  0.621879
8  3.5  0.456166
8  3.7  0.337346
8  3.9  0.251341
8  4.1  0.188592
8  4.3  0.142557
8  4.5  0.108388
8  4.7  0.0829496
8  4.9  0.0638326
8  5.1  0.0493646
8  5.3  0.0384061
8  5.5  0.0300287
8  5.7  0.0236058
8  5.9  0.0184763
8  6.1  0.0143772
8  6.3  0.011251
8  6.5  0.00883727
8  6.7  0.00697655
8  6.9  0.00552512
8  7.1  0.00439615
8  7.3  0.00350541
8  7.5  0.00280697
8  7.7  0.00225443
8  7.9  0.00181675
8  8.1  0.00146865
8  8.3  0.00119081
8  8.5  0.000968162
8  8.7  0.000790045
8  8.9  0.000645566
8  9.1  0.000529122
8  9.3  0.000434041
8  9.5  0.000357318
8  9.7  0.000295112
8  9.9  0.000244027
8  10.1  0.000202254
8  10.3  0.00016792
8  10.5  0.000139699
8  10.7  0.000116423
8  10.9  9.71973e-05
8  11.1  8.12112e-05
8  11.3  6.81302e-05
8  11.5  5.7165e-05
8  11.7  4.79973e-05
8  11.9  4.04073e-05
10  0.1  217.068
10  0.3  160.482
10  0.5  113.106
10  0.7  76.6871
10  0.9  51.0574
10  1.1  33.889
10  1.3  22.5518
10  1.5  15.0907
10  1.7  10.1797
10  1.9  6.93257
10  2.1  4.76429
10  2.3  3.30694
10  2.5  2.31759
10  2.7  1.6396
10  2.9  1.1715
10  3.1  0.844686
10  3.3  0.614274
10  3.5  0.450506
10  3.7  0.33308
10  3.9  0.248108
10  4.1  0.186139
10  4.3  0.140661
10  4.5  0.106975
10  4.7  0.0818504
10  4.9  0.0629326
10  5.1  0.0487272
10  5.3  0.0379115
10  5.5  0.029618
10  5.7  0.0232636
10  5.9  0.0182057
10  6.1  0.0141795
10  6.3  0.0110934
10  6.5  0.00871679
10  6.7  0.00687787
10  6.9  0.00544601
10  7.1  0.00433055
10  7.3  0.0034548
10  7.5  0.00276698
10  7.7  0.00222239
10  7.9  0.00179111
10  8.1  0.0014494
10  8.3  0.00117456
10  8.5  0.000955511
10  8.7  0.000779194
10  8.9  0.000636931
10  9.1  0.000522116
10  9.3  0.000429261
10  9.5  0.000353255
10  9.7  0.000291471
10  9.9  0.000241223
10  10.1  0.000200052
10  10.3  0.000166268
10  10.5  0.000138474
10  10.7  0.000115593
10  10.9  9.65767e-05
10  11.1  8.08664e-05
10  11.3  6.78951e-05
10  11.5  5.70548e-05
10  11.7  4.80177e-05
10  11.9  4.04762e-05
12  0.1  214.995
12  0.3  158.943
12  0.5  112.009
12  0.7  75.9265
12  0.9  50.561
12  1.1  33.5262
12  1.3  22.2969
12  1.5  14.9123
12  1.7  10.0535
12  1.9  6.84286
12  2.1  4.70042
12  2.3  3.26089
12  2.5  2.28443
12  2.7  1.61552
12  2.9  1.15388
12  3.1  0.831674
12  3.3  0.604674
12  3.5  0.443318
12  3.7  0.327705
12  3.9  0.24406
12  4.1  0.183068
12  4.3  0.138332
12  4.5  0.105141
12  4.7  0.0804422
12  4.9  0.0618881
12  5.1  0.0478484
12  5.3  0.0372177
12  5.5  0.0290935
12  5.7  0.0228663
12  5.9  0.0178941
12  6.1  0.0139216
12  6.3  0.0108928
12  6.5  0.00855488
12  6.7  0.00675177
12  6.9  0.00534662
12  7.1  0.00425357
12  7.3  0.00339125
12  7.5  0.00271519
12  7.7  0.00218052
12  7.9  0.00175696
12  8.1  0.00142017
12  8.3  0.00115138
12  8.5  0.000936039
12  8.7  0.00076376
12  8.9  0.000624023
12  9.1  0.000511416
12  9.3  0.000419477
12  9.5  0.000345301
12  9.7  0.000285164
12  9.9  0.000235781
12  10.1  0.000195402
12  10.3  0.000162221
12  10.5  0.000134949
12  10.7  0.000112453
12  10.9  9.38792e-05
12  11.1  7.85438e-05
12  11.3  6.57949e-05
12  11.5  5.52024e-05
12  11.7  4.6349e-05
12  11.9  3.90169e-05
14  0.1  212.402
14  0.3  157.019
14  0.5  110.64
14  0.7  74.9783
14  0.9  49.9056
14  1.1  33.0742
14  1.3  21.9746
14  1.5  14.6905
14  1.7  9.89681
14  1.9  6.73172
14  2.1  4.62118
14  2.3  3.20401
14  2.5  2.2434
14  2.7  1.5857
14  2.9  1.13209
14  3.1  0.815646
14  3.3  0.592821
14  3.5  0.434462
14  3.7  0.321074
14  3.9  0.239057
14  4.1  0.179276
14  4.3  0.135435
14  4.5  0.102915
14  4.7  0.0787224
14  4.9  0.0605544
14  5.1  0.0468084
14  5.3  0.0364028
14  5.5  0.0284524
14  5.7  0.0223595
14  5.9  0.0174952
14  6.1  0.0136097
14  6.3  0.0106474
14  6.5  0.00836133
14  6.7  0.00660128
14  6.9  0.00522447
14  7.1  0.004156
14  7.3  0.00331317
14  7.5  0.00265243
14  7.7  0.00212996
14  7.9  0.00171609
14  8.1  0.00138699
14  8.3  0.0011244
14  8.5  0.000914041
14  8.7  0.00074576
14  8.9  0.000609278
14  9.1  0.000499299
14  9.3  0.000409513
14  9.5  0.000337084
14  9.7  0.000278364
14  9.9  0.000230149
14  10.1  0.000190727
14  10.3  0.000158335
14  10.5  0.00013172
14  10.7  0.000109752
14  10.9  9.16164e-05
14  11.1  7.66483e-05
14  11.3  6.42041e-05
14  11.5  5.38664e-05
14  11.7  4.52224e-05
14  11.9  3.80679e-05
16  0.1  209.209
16  0.3  154.647
16  0.5  108.953
16  0.7  73.808
16  0.9  49.0979
16  1.1  32.5181
16  1.3  21.5856
16  1.5  14.4179
16  1.7  9.70468
16  1.9  6.59564
16  2.1  4.52435
16  2.3  3.13457
16  2.5  2.19334
16  2.7  1.54933
16  2.9  1.10557
16  3.1  0.796148
16  3.3  0.578388
16  3.5  0.423725
16  3.7  0.313008
16  3.9  0.232975
16  4.1  0.174663
16  4.3  0.131911
16  4.5  0.10021
16  4.7  0.0766378
16  4.9  0.0589387
16  5.1  0.0455497
16  5.3  0.0354175
16  5.5  0.0276772
16  5.7  0.0217466
16  5.9  0.0170127
16  6.1  0.0132324
16  6.3  0.0103505
16  6.5  0.00812704
16  6.7  0.00641226
16  6.9  0.00507696
16  7.1  0.004038
16  7.3  0.00322082
16  7.5  0.00257652
16  7.7  0.00206881
16  7.9  0.00166663
16  8.1  0.00134693
16  8.3  0.00109183
16  8.5  0.000887497
16  8.7  0.000724038
16  8.9  0.00059149
16  9.1  0.000484681
16  9.3  0.000397479
16  9.5  0.00032715
16  9.7  0.000270144
16  9.9  0.000223336
16  10.1  0.000185067
16  10.3  0.000153625
16  10.5  0.000127789
16  10.7  0.000106469
16  10.9  8.88708e-05
16  11.1  7.43456e-05
16  11.3  6.22725e-05
16  11.5  5.22441e-05
16  11.7  4.38592e-05
16  11.9  3.69147e-05
18  0.1  205.296
18  0.3  151.742
18  0.5  106.878
18  0.7  72.3685
18  0.9  48.0875
18  1.1  31.8344
18  1.3  21.109
18  1.5  14.0843
18  1.7  9.47005
18  1.9  6.42972
18  2.1  4.40644
18  2.3  3.05011
18  2.5  2.13254
18  2.7  1.50521
18  2.9  1.07342
18  3.1  0.772523
18  3.3  0.560935
18  3.5  0.410735
18  3.7  0.303264
18  3.9  0.22563
18  4.1  0.169097
18  4.3  0.127655
18  4.5  0.0969796
18  4.7  0.0741201
18  4.9  0.0569874
18  5.1  0.0440303
18  5.3  0.0342271
18  5.5  0.0267413
18  5.7  0.0210065
18  5.9  0.0164307
18  6.1  0.0127816
18  6.3  0.00999265
18  6.5  0.00784462
18  6.7  0.0061893
18  6.9  0.00490154
18  7.1  0.00389593
18  7.3  0.00310718
18  7.5  0.00248517
18  7.7  0.00199525
18  7.9  0.00160717
18  8.1  0.00129872
18  8.3  0.0010526
18  8.5  0.000856275
18  8.7  0.000697911
18  8.9  0.000570082
18  9.1  0.000467086
18  9.3  0.000383406
18  9.5  0.000315211
18  9.7  0.000260268
18  9.9  0.000215154
18  10.1  0.000178273
18  10.3  0.000147974
18  10.5  0.000123085
18  10.7  0.000102539
18  10.9  8.55843e-05
18  11.1  7.15885e-05
18  11.3  5.99606e-05
18  11.5  5.02965e-05
18  11.7  4.22215e-05
18  11.9  3.55275e-05
20  0.1  200.46
20  0.3  148.14
20  0.5  104.317
20  0.7  70.5935
20  0.9  46.8674
20  1.1  30.9728
20  1.3  20.5223
20  1.5  13.6743
20  1.7  9.18242
20  1.9  6.22658
20  2.1  4.26204
20  2.3  2.94703
20  2.5  2.05842
20  2.7  1.45157
20  2.9  1.03434
20  3.1  0.74382
20  3.3  0.539754
20  3.5  0.394975
20  3.7  0.291458
20  3.9  0.216737
20  4.1  0.162359
20  4.3  0.122508
20  4.5  0.0930417
20  4.7  0.0710833
20  4.9  0.0546346
20  5.1  0.0421959
20  5.3  0.0327911
20  5.5  0.0256123
20  5.7  0.0201151
20  5.9  0.0157295
20  6.1  0.0122329
20  6.3  0.00956189
20  6.5  0.00750455
20  6.7  0.00591984
20  6.9  0.00468738
20  7.1  0.00372497
20  7.3  0.00297031
20  7.5  0.00237523
20  7.7  0.00190667
20  7.9  0.00153555
20  8.1  0.00124084
20  8.3  0.00100641
20  8.5  0.000817827
20  8.7  0.000666475
20  8.9  0.000544369
20  9.1  0.000445931
20  9.3  0.000365998
20  9.5  0.000300867
20  9.7  0.000248404
20  9.9  0.000205326
20  10.1  0.000170112
20  10.3  0.000141182
20  10.5  0.000117428
20  10.7  9.78121e-05
20  10.9  8.16334e-05
