# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.5*mt0=0.751665)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  0
0  0.3  0
0  0.5  0
0  0.7  0
0  0.9  0
0  1.1  0
0  1.3  0
0  1.5  0
0  1.7  0
0  1.9  0
0  2.1  0
0  2.3  32.2378
0  2.5  24.2524
0  2.7  18.4008
0  2.9  14.0832
0  3.1  10.8808
0  3.3  8.48392
0  3.5  6.67373
0  3.7  5.29483
0  3.9  4.23529
0  4.1  3.4159
0  4.3  2.77509
0  4.5  2.26989
0  4.7  1.86921
0  4.9  1.54952
0  5.1  1.29203
0  5.3  1.08307
0  5.5  0.912575
0  5.7  0.772418
0  5.9  0.657508
0  6.1  0.562086
0  6.3  0.482554
0  6.5  0.41573
0  6.7  0.359812
0  6.9  0.31225
0  7.1  0.271963
0  7.3  0.237649
0  7.5  0.208513
0  7.7  0.183296
0  7.9  0.16171
0  8.1  0.142934
0  8.3  0.12675
0  8.5  0.112566
0  8.7  0.100262
0  8.9  0.0895416
0  9.1  0.0801308
0  9.3  0.0718822
0  9.5  0.0645794
0  9.7  0.058177
0  9.9  0.0524779
0  10.1  0.0474013
0  10.3  0.0429141
0  10.5  0.0389138
0  10.7  0.0353337
0  10.9  0.0321352
0  11.1  0.0292814
0  11.3  0.0267208
0  11.5  0.0244297
0  11.7  0.0223471
0  11.9  0.0204577
2  0.1  0
2  0.3  0
2  0.5  0
2  0.7  0
2  0.9  0
2  1.1  0
2  1.3  0
2  1.5  0
2  1.7  0
2  1.9  0
2  2.1  0
2  2.3  32.1865
2  2.5  24.2128
2  2.7  18.369
2  2.9  14.0595
2  3.1  10.8623
2  3.3  8.47014
2  3.5  6.66218
2  3.7  5.28561
2  3.9  4.22792
2  4.1  3.40989
2  4.3  2.7702
2  4.5  2.2659
2  4.7  1.86588
2  4.9  1.54677
2  5.1  1.28971
2  5.3  1.08113
2  5.5  0.910916
2  5.7  0.771024
2  5.9  0.656309
2  6.1  0.561052
2  6.3  0.481758
2  6.5  0.415181
2  6.7  0.359151
2  6.9  0.311695
2  7.1  0.271387
2  7.3  0.237214
2  7.5  0.208116
2  7.7  0.182923
2  7.9  0.16136
2  8.1  0.142717
2  8.3  0.126458
2  8.5  0.112358
2  8.7  0.100069
2  8.9  0.0893572
2  9.1  0.0799818
2  9.3  0.0717423
2  9.5  0.0644786
2  9.7  0.0580583
2  9.9  0.0523701
2  10.1  0.0473132
2  10.3  0.0428313
