# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.5*mt0=0.751665)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -0.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  0
0  0.3  0
0  0.5  0
0  0.7  0
0  0.9  0
0  1.1  0
0  1.3  0
0  1.5  0
0  1.7  0
0  1.9  0
0  2.1  0
0  2.3  32.5843
0  2.5  24.5863
0  2.7  18.6906
0  2.9  14.3341
0  3.1  11.0847
0  3.3  8.64884
0  3.5  6.80888
0  3.7  5.40384
0  3.9  4.32193
0  4.1  3.48311
0  4.3  2.82832
0  4.5  2.31196
0  4.7  1.90102
0  4.9  1.5733
0  5.1  1.30934
0  5.3  1.09583
0  5.5  0.922267
0  5.7  0.779283
0  5.9  0.661913
0  6.1  0.564472
0  6.3  0.483226
0  6.5  0.415402
0  6.7  0.358574
0  6.9  0.310391
0  7.1  0.269843
0  7.3  0.235243
0  7.5  0.205671
0  7.7  0.180287
0  7.9  0.158487
0  8.1  0.139756
0  8.3  0.123592
0  8.5  0.109519
0  8.7  0.0973149
0  8.9  0.0866227
0  9.1  0.0772876
0  9.3  0.0690682
0  9.5  0.0618638
0  9.7  0.0555204
0  9.9  0.0499389
0  10.1  0.0449895
0  10.3  0.0406142
0  10.5  0.0367241
0  10.7  0.0332535
0  10.9  0.0301528
0  11.1  0.0273854
0  11.3  0.0249001
0  11.5  0.0226798
0  11.7  0.0206696
0  11.9  0.0188757
2  0.1  0
2  0.3  0
2  0.5  0
2  0.7  0
2  0.9  0
2  1.1  0
2  1.3  0
2  1.5  0
2  1.7  0
2  1.9  0
2  2.1  0
2  2.3  32.5353
2  2.5  24.5484
2  2.7  18.6613
2  2.9  14.311
2  3.1  11.0668
2  3.3  8.63467
2  3.5  6.79765
2  3.7  5.39476
2  3.9  4.31472
2  4.1  3.47724
2  4.3  2.82351
2  4.5  2.30628
2  4.7  1.89775
2  4.9  1.57058
2  5.1  1.30707
2  5.3  1.09391
2  5.5  0.920678
2  5.7  0.777938
2  5.9  0.660715
2  6.1  0.563474
2  6.3  0.482381
2  6.5  0.414665
2  6.7  0.357944
2  6.9  0.309841
2  7.1  0.269377
2  7.3  0.234824
2  7.5  0.205303
2  7.7  0.179965
2  7.9  0.158207
2  8.1  0.139521
2  8.3  0.123375
2  8.5  0.109313
2  8.7  0.0971407
2  8.9  0.086465
2  9.1  0.077144
2  9.3  0.0689537
2  9.5  0.0617483
2  9.7  0.0554203
2  9.9  0.0498452
2  10.1  0.0449067
