# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1289.5
0  0.3  736.002
0  0.5  490.357
0  0.7  337.463
0  0.9  234.319
0  1.1  163.034
0  1.3  113.725
0  1.5  79.6426
0  1.7  56.1523
0  1.9  39.9593
0  2.1  28.712
0  2.3  20.881
0  2.5  15.3715
0  2.7  11.4666
0  2.9  8.64453
0  3.1  6.59471
0  3.3  5.08986
0  3.5  3.96864
0  3.7  3.12462
0  3.9  2.48523
0  4.1  1.9935
0  4.3  1.61302
0  4.5  1.31454
0  4.7  1.07949
0  4.9  0.892775
0  5.1  0.743796
0  5.3  0.622384
0  5.5  0.523793
0  5.7  0.442816
0  5.9  0.377151
0  6.1  0.322096
0  6.3  0.27676
0  6.5  0.238495
0  6.7  0.206354
0  6.9  0.179379
0  7.1  0.156388
0  7.3  0.139219
0  7.5  0.124537
0  7.7  0.11149
0  7.9  0.100186
0  8.1  0.0903575
0  8.3  0.0816143
0  8.5  0.0737763
0  8.7  0.0669869
0  8.9  0.0609723
0  9.1  0.0555126
0  9.3  0.0506921
0  9.5  0.0463989
0  9.7  0.0425178
0  9.9  0.0390228
0  10.1  0.0358515
0  10.3  0.0330492
0  10.5  0.0304801
0  10.7  0.0281664
0  10.9  0.0260545
0  11.1  0.0241361
0  11.3  0.0223562
0  11.5  0.0207786
0  11.7  0.0193219
0  11.9  0.0179837
2  0.1  1288
2  0.3  734.867
2  0.5  489.738
2  0.7  337.025
2  0.9  234.003
2  1.1  162.797
2  1.3  113.55
2  1.5  79.5145
2  1.7  56.0583
2  1.9  39.89
2  2.1  28.6615
2  2.3  20.8443
2  2.5  15.3427
2  2.7  11.4442
2  2.9  8.62852
2  3.1  6.58243
2  3.3  5.08064
2  3.5  3.96112
2  3.7  3.11852
2  3.9  2.48056
2  4.1  1.98963
2  4.3  1.60995
2  4.5  1.31208
2  4.7  1.07738
2  4.9  0.891136
2  5.1  0.742101
2  5.3  0.621218
2  5.5  0.522823
2  5.7  0.442012
2  5.9  0.376329
2  6.1  0.321513
2  6.3  0.276096
2  6.5  0.238053
2  6.7  0.20596
2  6.9  0.179035
2  7.1  0.156056
2  7.3  0.138941
2  7.5  0.124308
2  7.7  0.111267
2  7.9  0.0999913
2  8.1  0.0901297
2  8.3  0.0814243
2  8.5  0.073642
2  8.7  0.0668589
2  8.9  0.0608548
2  9.1  0.0554001
2  9.3  0.0505904
2  9.5  0.0463096
2  9.7  0.0424355
2  9.9  0.0389443
2  10.1  0.0357946
2  10.3  0.0329893
2  10.5  0.0304231
2  10.7  0.0280698
2  10.9  0.0259808
2  11.1  0.0240661
2  11.3  0.0223019
2  11.5  0.020733
2  11.7  0.0192827
2  11.9  0.0179494
4  0.1  1283.4
4  0.3  732.05
4  0.5  487.502
4  0.7  335.781
4  0.9  232.981
4  1.1  162.085
4  1.3  112.928
4  1.5  79.0915
4  1.7  55.7854
4  1.9  39.6832
4  2.1  28.5263
4  2.3  20.7471
4  2.5  15.2786
4  2.7  11.3812
4  2.9  8.57983
4  3.1  6.54541
4  3.3  5.05174
4  3.5  3.9385
4  3.7  3.10071
4  3.9  2.46617
4  4.1  1.97849
4  4.3  1.60064
4  4.5  1.30443
4  4.7  1.07103
4  4.9  0.885951
4  5.1  0.737875
4  5.3  0.617506
4  5.5  0.519813
4  5.7  0.439424
4  5.9  0.373848
4  6.1  0.319676
4  6.3  0.274451
4  6.5  0.236664
4  6.7  0.204839
4  6.9  0.17798
4  7.1  0.155173
4  7.3  0.138189
4  7.5  0.123584
4  7.7  0.110612
4  7.9  0.0994101
4  8.1  0.0896602
4  8.3  0.0808601
4  8.5  0.0732016
4  8.7  0.0664666
4  8.9  0.0605067
4  9.1  0.0551367
