# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  894.163
0  0.3  491.833
0  0.5  314.651
0  0.7  206.713
0  0.9  137.441
0  1.1  92.0756
0  1.3  62.2244
0  1.5  42.4499
0  1.7  29.2462
0  1.9  20.358
0  2.1  14.3319
0  2.3  10.1935
0  2.5  7.34088
0  2.7  5.3402
0  2.9  3.92587
0  3.1  2.91557
0  3.3  2.18641
0  3.5  1.65563
0  3.7  1.26387
0  3.9  0.973109
0  4.1  0.755002
0  4.3  0.590414
0  4.5  0.464849
0  4.7  0.368517
0  4.9  0.293923
0  5.1  0.235879
0  5.3  0.190298
0  5.5  0.15454
0  5.7  0.125897
0  5.9  0.103145
0  6.1  0.084875
0  6.3  0.0701316
0  6.5  0.0582058
0  6.7  0.0484893
0  6.9  0.0405645
0  7.1  0.0340356
0  7.3  0.0286578
0  7.5  0.0242099
0  7.7  0.0205091
0  7.9  0.0174234
0  8.1  0.0148539
0  8.3  0.0127074
0  8.5  0.0108855
0  8.7  0.00935316
0  8.9  0.00805431
0  9.1  0.00694214
0  9.3  0.00600353
0  9.5  0.00521024
0  9.7  0.00452491
0  9.9  0.00393721
0  10.1  0.00343392
0  10.3  0.00299966
0  10.5  0.00262533
0  10.7  0.00230118
0  10.9  0.00202108
0  11.1  0.00177742
0  11.3  0.00156558
0  11.5  0.00138089
0  11.7  0.00121963
0  11.9  0.00107919
2  0.1  893.406
2  0.3  491.407
2  0.5  314.375
2  0.7  206.526
2  0.9  137.312
2  1.1  91.9843
2  1.3  62.1598
2  1.5  42.4037
2  1.7  29.2129
2  1.9  20.3338
2  2.1  14.3142
2  2.3  10.1805
2  2.5  7.33135
2  2.7  5.3331
2  2.9  3.92055
2  3.1  2.91155
2  3.3  2.18334
2  3.5  1.65328
2  3.7  1.26206
2  3.9  0.971697
2  4.1  0.753897
2  4.3  0.589543
2  4.5  0.464158
2  4.7  0.367968
2  4.9  0.29348
2  5.1  0.235521
2  5.3  0.190006
2  5.5  0.154301
2  5.7  0.125702
2  5.9  0.102984
2  6.1  0.0847416
2  6.3  0.0700221
2  6.5  0.0581153
2  6.7  0.048413
2  6.9  0.0405008
2  7.1  0.0339818
2  7.3  0.0286114
2  7.5  0.0241707
2  7.7  0.0204757
2  7.9  0.0173951
2  8.1  0.0148298
2  8.3  0.0126871
2  8.5  0.010868
2  8.7  0.00933805
2  8.9  0.0080412
2  9.1  0.00693081
2  9.3  0.00599359
2  9.5  0.00520152
2  9.7  0.00451728
2  9.9  0.00393053
2  10.1  0.00342815
2  10.3  0.00299457
2  10.5  0.00262078
2  10.7  0.00229734
2  10.9  0.00201758
2  11.1  0.00177429
2  11.3  0.00156289
2  11.5  0.00137849
2  11.7  0.00121753
2  11.9  0.0010773
4  0.1  890.943
4  0.3  490.107
4  0.5  313.467
4  0.7  205.958
4  0.9  136.921
4  1.1  91.7106
4  1.3  61.9662
4  1.5  42.2648
4  1.7  29.1113
4  1.9  20.2624
4  2.1  14.2584
4  2.3  10.1422
4  2.5  7.30249
4  2.7  5.31324
4  2.9  3.90657
4  3.1  2.89898
4  3.3  2.17565
4  3.5  1.64749
4  3.7  1.25829
4  3.9  0.969437
4  4.1  0.752676
4  4.3  0.58859
4  4.5  0.464169
4  4.7  0.36809
4  4.9  0.294033
4  5.1  0.236152
4  5.3  0.190797
4  5.5  0.155109
4  5.7  0.12656
4  5.9  0.103972
4  6.1  0.0857211
4  6.3  0.0710493
4  6.5  0.0591718
4  6.7  0.049426
4  6.9  0.0415235
4  7.1  0.0349531
4  7.3  0.0295836
4  7.5  0.0251364
4  7.7  0.0214175
4  7.9  0.0182575
4  8.1  0.0154779
4  8.3  0.0131007
4  8.5  0.0111322
4  8.7  0.00950461
4  8.9  0.00811003
4  9.1  0.00694375
4  9.3  0.00597915
4  9.5  0.0051754
4  9.7  0.00449553
4  9.9  0.00391125
4  10.1  0.00341111
4  10.3  0.00297976
4  10.5  0.00260781
4  10.7  0.00228583
4  10.9  0.00200754
4  11.1  0.00176553
4  11.3  0.00155511
4  11.5  0.00137161
4  11.7  0.00121144
4  11.9  0.00107181
6  0.1  887.113
6  0.3  487.963
6  0.5  312.136
6  0.7  205.011
6  0.9  136.265
6  1.1  91.2465
6  1.3  61.6365
6  1.5  42.0294
6  1.7  28.9437
6  1.9  20.1389
6  2.1  14.1631
6  2.3  10.0815
6  2.5  7.25446
6  2.7  5.27581
6  2.9  3.87763
6  3.1  2.87915
6  3.3  2.15862
6  3.5  1.63432
6  3.7  1.24741
6  3.9  0.960352
6  4.1  0.744988
6  4.3  0.582534
6  4.5  0.4586
6  4.7  0.363517
6  4.9  0.289938
6  5.1  0.232634
6  5.3  0.187674
6  5.5  0.152274
6  5.7  0.12413
6  5.9  0.101799
6  6.1  0.0836834
6  6.3  0.0691446
6  6.5  0.0573817
6  6.7  0.0477938
6  6.9  0.0399862
6  7.1  0.0335509
6  7.3  0.0282405
6  7.5  0.023857
6  7.7  0.0202082
6  7.9  0.0171699
6  8.1  0.0146498
6  8.3  0.0125119
6  8.5  0.0107263
6  8.7  0.00921699
6  8.9  0.00793814
6  9.1  0.00684024
6  9.3  0.00591643
6  9.5  0.00513312
6  9.7  0.00445765
6  9.9  0.00387858
6  10.1  0.00338268
6  10.3  0.0029548
6  10.5  0.00258598
6  10.7  0.00226671
6  10.9  0.00199064
6  11.1  0.00175066
6  11.3  0.001542
6  11.5  0.00136001
6  11.7  0.00120128
6  11.9  0.00106289
8  0.1  881.61
8  0.3  484.867
8  0.5  310.122
8  0.7  203.649
8  0.9  135.324
8  1.1  90.5843
8  1.3  61.1665
8  1.5  41.6935
8  1.7  28.7017
8  1.9  19.9642
8  2.1  14.0448
8  2.3  9.98291
8  2.5  7.18556
8  2.7  5.22456
8  2.9  3.83919
8  3.1  2.85011
8  3.3  2.13653
8  3.5  1.61739
8  3.7  1.23433
8  3.9  0.950119
8  4.1  0.736991
8  4.3  0.576214
8  4.5  0.453581
8  4.7  0.359521
8  4.9  0.286741
8  5.1  0.230042
8  5.3  0.185567
8  5.5  0.150677
8  5.7  0.122733
8  5.9  0.100545
8  6.1  0.0827256
8  6.3  0.0683505
8  6.5  0.0567234
8  6.7  0.0472491
8  6.9  0.0395221
8  7.1  0.0331583
8  7.3  0.0279169
8  7.5  0.0235826
8  7.7  0.0199749
8  7.9  0.0169698
8  8.1  0.0144655
8  8.3  0.012375
8  8.5  0.0105999
8  8.7  0.00910706
8  8.9  0.00784225
8  9.1  0.00675895
8  9.3  0.00584484
8  9.5  0.00507219
8  9.7  0.00440476
8  9.9  0.00383254
8  10.1  0.00334247
8  10.3  0.00291961
8  10.5  0.00255518
8  10.7  0.00223957
8  10.9  0.00196688
8  11.1  0.00172966
8  11.3  0.00152348
8  11.5  0.00134365
8  11.7  0.00118684
8  11.9  0.00105003
10  0.1  874.239
10  0.3  480.74
10  0.5  307.405
10  0.7  201.935
10  0.9  134.076
10  1.1  89.709
10  1.3  60.5466
10  1.5  41.25
10  1.7  28.3821
10  1.9  19.7215
10  2.1  13.8745
10  2.3  9.86089
10  2.5  7.09325
10  2.7  5.15953
10  2.9  3.79147
10  3.1  2.81274
10  3.3  2.10979
10  3.5  1.59711
10  3.7  1.21967
10  3.9  0.939274
10  4.1  0.729162
10  4.3  0.570442
10  4.5  0.449573
10  4.7  0.356695
10  4.9  0.284823
10  5.1  0.228975
10  5.3  0.184952
10  5.5  0.150313
10  5.7  0.122895
10  5.9  0.100937
10  6.1  0.0832271
10  6.3  0.0689579
10  6.5  0.0574834
10  6.7  0.0480976
10  6.9  0.0403988
