# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 0.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1342.84
0  0.3  763.792
0  0.5  504.796
0  0.7  345.76
0  0.9  239.699
0  1.1  167.623
0  1.3  118.142
0  1.5  83.8255
0  1.7  60.0446
0  1.9  43.4006
0  2.1  31.709
0  2.3  23.4022
0  2.5  17.4656
0  2.7  13.1635
0  2.9  10.0247
0  3.1  7.71543
0  3.3  5.99337
0  3.5  4.69752
0  3.7  3.71297
0  3.9  2.95985
0  4.1  2.37695
0  4.3  1.92303
0  4.5  1.56586
0  4.7  1.28361
0  4.9  1.05851
0  5.1  0.877478
0  5.3  0.731957
0  5.5  0.613361
0  5.7  0.516263
0  5.9  0.436652
0  6.1  0.371109
0  6.3  0.316627
0  6.5  0.271164
0  6.7  0.232972
0  6.9  0.200968
0  7.1  0.173855
0  7.3  0.150968
0  7.5  0.131418
0  7.7  0.11482
0  7.9  0.100567
0  8.1  0.0883236
0  8.3  0.0777584
0  8.5  0.0685884
0  8.7  0.0606618
0  8.9  0.0537905
0  9.1  0.04779
0  9.3  0.0425551
0  9.5  0.0379804
0  9.7  0.0339531
0  9.9  0.0304047
0  10.1  0.0272661
0  10.3  0.0245011
0  10.5  0.0220612
0  10.7  0.0198749
0  10.9  0.0179391
0  11.1  0.016246
0  11.3  0.0147198
0  11.5  0.0133528
0  11.7  0.0121279
0  11.9  0.0110153
2  0.1  1341.56
2  0.3  763.022
2  0.5  504.278
2  0.7  345.393
2  0.9  239.434
2  1.1  167.428
2  1.3  117.998
2  1.5  83.7178
2  1.7  59.9642
2  1.9  43.3401
2  2.1  31.6636
2  2.3  23.3678
2  2.5  17.4395
2  2.7  13.1434
2  2.9  10.0093
2  3.1  7.70338
2  3.3  5.98389
2  3.5  4.69
2  3.7  3.70712
2  3.9  2.95503
2  4.1  2.37303
2  4.3  1.91985
2  4.5  1.56331
2  4.7  1.28145
2  4.9  1.05688
2  5.1  0.876013
2  5.3  0.730698
2  5.5  0.612324
2  5.7  0.515374
2  5.9  0.435939
2  6.1  0.370487
2  6.3  0.316071
2  6.5  0.270698
2  6.7  0.232577
2  6.9  0.200633
2  7.1  0.173569
2  7.3  0.150689
2  7.5  0.131188
2  7.7  0.114614
2  7.9  0.100389
