# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1365.52
0  0.3  780.994
0  0.5  519.951
0  0.7  358.528
0  0.9  250.011
0  1.1  175.42
0  1.3  123.76
0  1.5  87.8302
0  1.7  62.8958
0  1.9  45.4406
0  2.1  33.1683
0  2.3  24.4759
0  2.5  18.2705
0  2.7  13.7913
0  2.9  10.5214
0  3.1  8.11571
0  3.3  6.32253
0  3.5  4.97308
0  3.7  3.947
0  3.9  3.16155
0  4.1  2.54949
0  4.3  2.07437
0  4.5  1.69966
0  4.7  1.40156
0  4.9  1.16343
0  5.1  0.971606
0  5.3  0.815267
0  5.5  0.688351
0  5.7  0.583512
0  5.9  0.497248
0  6.1  0.425722
0  6.3  0.365878
0  6.5  0.315807
0  6.7  0.273441
0  6.9  0.237563
0  7.1  0.207204
0  7.3  0.181349
0  7.5  0.159222
0  7.7  0.140121
0  7.9  0.12372
0  8.1  0.109509
0  8.3  0.0971808
0  8.5  0.0864217
0  8.7  0.0770477
0  8.9  0.0688635
0  9.1  0.0616486
0  9.3  0.0553681
0  9.5  0.0497937
0  9.7  0.0448594
0  9.9  0.0404881
0  10.1  0.0366016
0  10.3  0.0331605
0  10.5  0.0300635
0  10.7  0.0273063
0  10.9  0.0248732
0  11.1  0.0226564
0  11.3  0.0206958
0  11.5  0.0189123
0  11.7  0.0173108
0  11.9  0.0158654
2  0.1  1364.05
2  0.3  780.172
2  0.5  519.363
2  0.7  358.105
2  0.9  249.704
2  1.1  175.198
2  1.3  123.59
2  1.5  87.7044
2  1.7  62.8024
2  1.9  45.3708
2  2.1  33.1164
2  2.3  24.4362
2  2.5  18.2403
2  2.7  13.7683
2  2.9  10.5036
2  3.1  8.10193
2  3.3  6.31164
2  3.5  4.96445
2  3.7  3.9401
2  3.9  3.15602
2  4.1  2.54757
2  4.3  2.07069
2  4.5  1.69669
2  4.7  1.39921
2  4.9  1.16103
2  5.1  0.969796
2  5.3  0.813808
2  5.5  0.687197
2  5.7  0.582493
2  5.9  0.496353
2  6.1  0.425056
2  6.3  0.365273
2  6.5  0.315241
2  6.7  0.272884
2  6.9  0.237155
2  7.1  0.2068
2  7.3  0.181026
2  7.5  0.158889
2  7.7  0.139866
2  7.9  0.123492
2  8.1  0.109313
2  8.3  0.0970101
2  8.5  0.0862518
2  8.7  0.0769027
2  8.9  0.0687015
2  9.1  0.0615685
2  9.3  0.0552636
2  9.5  0.0496997
2  9.7  0.0447858
2  9.9  0.0404073
2  10.1  0.0365344
2  10.3  0.033094
2  10.5  0.0300129
2  10.7  0.0272591
2  10.9  0.0248266
2  11.1  0.0226206
2  11.3  0.0206593
2  11.5  0.0188819
2  11.7  0.0172747
2  11.9  0.0158392
4  0.1  1359.54
4  0.3  777.525
4  0.5  517.583
4  0.7  356.868
4  0.9  248.776
4  1.1  174.516
4  1.3  123.08
4  1.5  87.3254
4  1.7  62.5205
4  1.9  45.1584
4  2.1  32.9602
4  2.3  24.3165
4  2.5  18.1496
4  2.7  13.6991
4  2.9  10.4496
4  3.1  8.06003
4  3.3  6.27866
4  3.5  4.9385
4  3.7  3.91962
4  3.9  3.13924
4  4.1  2.53136
4  4.3  2.06106
4  4.5  1.68769
4  4.7  1.39126
4  4.9  1.15516
4  5.1  0.964051
4  5.3  0.809682
4  5.5  0.683136
4  5.7  0.579092
4  5.9  0.49367
4  6.1  0.422546
4  6.3  0.363195
4  6.5  0.313341
4  6.7  0.271424
4  6.9  0.235905
4  7.1  0.205591
4  7.3  0.179954
4  7.5  0.158053
4  7.7  0.139087
4  7.9  0.122821
4  8.1  0.108711
4  8.3  0.0964637
4  8.5  0.0857635
4  8.7  0.0764253
4  8.9  0.0683228
4  9.1  0.0611906
4  9.3  0.0549596
4  9.5  0.049424
4  9.7  0.0445314
4  9.9  0.0401929
