# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  383.878
0  0.3  203.041
0  0.5  124.176
0  0.7  77.1036
0  0.9  48.1864
0  1.1  30.3062
0  1.3  19.2201
0  1.5  12.3227
0  1.7  7.98262
0  1.9  5.23555
0  2.1  3.47419
0  2.3  2.33471
0  2.5  1.58673
0  2.7  1.09022
0  2.9  0.757949
0  3.1  0.532209
0  3.3  0.37744
0  3.5  0.270262
0  3.7  0.195263
0  3.9  0.142306
0  4.1  0.104494
0  4.3  0.0773759
0  4.5  0.0576596
0  4.7  0.0432936
0  4.9  0.032703
0  5.1  0.02486
0  5.3  0.0190031
0  5.5  0.014611
0  5.7  0.0112883
0  5.9  0.0087672
0  6.1  0.00684542
0  6.3  0.00536054
0  6.5  0.00421989
0  6.7  0.00333427
0  6.9  0.00264618
0  7.1  0.00210919
0  7.3  0.00168363
0  7.5  0.00134997
0  7.7  0.00108584
0  7.9  0.000876107
0  8.1  0.000709256
0  8.3  0.000575742
0  8.5  0.000468519
0  8.7  0.000382836
0  8.9  0.000312867
0  9.1  0.000256832
0  9.3  0.000210895
0  9.5  0.000173758
0  9.7  0.000143445
0  9.9  0.000118667
0  10.1  9.84237e-05
0  10.3  8.19116e-05
0  10.5  6.8087e-05
0  10.7  5.67726e-05
0  10.9  4.75057e-05
0  11.1  3.97586e-05
0  11.3  3.33277e-05
0  11.5  2.79755e-05
0  11.7  2.35233e-05
0  11.9  1.98161e-05
2  0.1  383.586
2  0.3  202.884
2  0.5  124.079
2  0.7  77.0413
2  0.9  48.158
2  1.1  30.2797
2  1.3  19.2024
2  1.5  12.3107
2  1.7  7.9745
2  1.9  5.23001
2  2.1  3.47037
2  2.3  2.33206
2  2.5  1.58487
2  2.7  1.08891
2  2.9  0.757017
2  3.1  0.531542
2  3.3  0.376955
2  3.5  0.26991
2  3.7  0.195006
2  3.9  0.142116
2  4.1  0.104353
2  4.3  0.0772702
2  4.5  0.0575801
2  4.7  0.0432333
2  4.9  0.032657
2  5.1  0.0248248
2  5.3  0.018976
2  5.5  0.0145901
2  5.7  0.011272
2  5.9  0.00875446
2  6.1  0.0068354
2  6.3  0.0053526
2  6.5  0.0042136
2  6.7  0.00332928
2  6.9  0.00264219
2  7.1  0.002106
2  7.3  0.00168106
2  7.5  0.00134792
2  7.7  0.00108419
2  7.9  0.000874762
2  8.1  0.000708161
2  8.3  0.000574852
2  8.5  0.000467796
2  8.7  0.000382244
2  8.9  0.00031238
2  9.1  0.000256432
2  9.3  0.00021057
2  9.5  0.000173489
2  9.7  0.000143221
2  9.9  0.000118482
2  10.1  9.82707e-05
2  10.3  8.17844e-05
2  10.5  6.79812e-05
2  10.7  5.6685e-05
2  10.9  4.74322e-05
2  11.1  3.96968e-05
2  11.3  3.32748e-05
2  11.5  2.79309e-05
2  11.7  2.34855e-05
2  11.9  1.97848e-05
4  0.1  382.691
4  0.3  202.407
4  0.5  123.782
4  0.7  76.851
4  0.9  48.0217
4  1.1  30.1984
4  1.3  19.1485
4  1.5  12.2745
4  1.7  7.94994
4  1.9  5.21329
4  2.1  3.45888
4  2.3  2.32414
4  2.5  1.57928
4  2.7  1.08502
4  2.9  0.754221
4  3.1  0.529514
4  3.3  0.3755
4  3.5  0.268844
4  3.7  0.194233
4  3.9  0.141546
4  4.1  0.103935
