# fragmentation : HymnD (inputs/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=4*mt0=6.01332)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -3.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1649.15
0  0.3  784.656
0  0.5  476.789
0  0.7  308.439
0  0.9  203.605
0  1.1  135.555
0  1.3  90.6042
0  1.5  60.9792
0  1.7  41.3971
0  1.9  28.3944
0  2.1  19.7136
0  2.3  14.0274
0  2.5  10.3096
0  2.7  7.69711
0  2.9  5.84371
0  3.1  4.5013
0  3.3  3.51659
0  3.5  2.78428
0  3.7  2.23084
0  3.9  1.80786
0  4.1  1.47936
0  4.3  1.22265
0  4.5  1.01832
0  4.7  0.854765
0  4.9  0.72273
0  5.1  0.615108
0  5.3  0.52661
0  5.5  0.453636
0  5.7  0.392804
0  5.9  0.341979
0  6.1  0.298975
0  6.3  0.262631
0  6.5  0.231634
0  6.7  0.20499
0  6.9  0.181896
0  7.1  0.162122
0  7.3  0.144977
0  7.5  0.130063
0  7.7  0.117029
0  7.9  0.105549
0  8.1  0.095334
0  8.3  0.0864823
0  8.5  0.0785748
0  8.7  0.0714997
0  8.9  0.0652526
0  9.1  0.0596618
0  9.3  0.0546532
0  9.5  0.0501677
0  9.7  0.0460563
0  9.9  0.0424801
0  10.1  0.0392004
0  10.3  0.036206
0  10.5  0.0335017
0  10.7  0.031013
0  10.9  0.028816
0  11.1  0.0267382
0  11.3  0.0248824
0  11.5  0.0231702
0  11.7  0.0216486
0  11.9  0.0202028
2  0.1  1647.07
2  0.3  783.461
2  0.5  476.073
2  0.7  307.981
2  0.9  203.284
2  1.1  135.305
2  1.3  90.4456
2  1.5  60.868
2  1.7  41.3004
2  1.9  28.3373
2  2.1  19.6737
2  2.3  13.9992
2  2.5  10.2888
2  2.7  7.68151
2  2.9  5.83014
2  3.1  4.49315
2  3.3  3.50953
2  3.5  2.78057
2  3.7  2.22648
2  3.9  1.80428
2  4.1  1.47644
2  4.3  1.21963
2  4.5  1.01657
2  4.7  0.853046
2  4.9  0.72153
2  5.1  0.613994
2  5.3  0.52575
2  5.5  0.45275
2  5.7  0.392289
2  5.9  0.341329
2  6.1  0.29844
2  6.3  0.262123
2  6.5  0.231196
2  6.7  0.204597
2  6.9  0.181582
2  7.1  0.161892
2  7.3  0.144825
2  7.5  0.129819
2  7.7  0.116706
2  7.9  0.10535
2  8.1  0.0951386
2  8.3  0.0862994
2  8.5  0.0784254
2  8.7  0.071355
2  8.9  0.0651192
2  9.1  0.059443
2  9.3  0.0545583
2  9.5  0.0500676
2  9.7  0.0459691
2  9.9  0.0424053
2  10.1  0.0391255
2  10.3  0.0361377
2  10.5  0.0334074
2  10.7  0.0309427
2  10.9  0.0287086
2  11.1  0.026674
2  11.3  0.0248616
2  11.5  0.0231234
2  11.7  0.0215821
2  11.9  0.0201726
4  0.1  1640.71
4  0.3  780.287
4  0.5  474.088
4  0.7  306.601
4  0.9  202.205
4  1.1  134.548
4  1.3  89.958
4  1.5  60.5203
4  1.7  41.0535
4  1.9  28.158
4  2.1  19.5511
4  2.3  13.9147
4  2.5  10.2252
4  2.7  7.63431
4  2.9  5.79579
4  3.1  4.46611
4  3.3  3.48813
4  3.5  2.76378
4  3.7  2.21308
4  3.9  1.79411
4  4.1  1.46822
4  4.3  1.21248
4  4.5  1.01022
4  4.7  0.848645
4  4.9  0.717195
4  5.1  0.610327
4  5.3  0.522663
4  5.5  0.450351
4  5.7  0.390061
4  5.9  0.339328
4  6.1  0.296661
4  6.3  0.260642
4  6.5  0.229805
4  6.7  0.203259
4  6.9  0.180535
4  7.1  0.160943
4  7.3  0.143868
4  7.5  0.128962
4  7.7  0.115982
4  7.9  0.104716
4  8.1  0.0946962
4  8.3  0.0858075
4  8.5  0.0779683
4  8.7  0.0709851
4  8.9  0.0647516
4  9.1  0.0591182
4  9.3  0.0542011
4  9.5  0.0497791
4  9.7  0.0457594
4  9.9  0.0421246
4  10.1  0.0388981
4  10.3  0.0359326
4  10.5  0.0332484
4  10.7  0.0307798
4  10.9  0.0285478
4  11.1  0.0265496
4  11.3  0.0246654
4  11.5  0.0230341
4  11.7  0.0214812
4  11.9  0.0200548
6  0.1  1628.79
6  0.3  774.664
6  0.5  470.465
6  0.7  304.22
6  0.9  200.685
6  1.1  133.395
6  1.3  89.1511
6  1.5  59.9457
6  1.7  40.6507
6  1.9  27.8866
6  2.1  19.3626
6  2.3  13.7729
6  2.5  10.119
6  2.7  7.55507
6  2.9  5.73599
6  3.1  4.42028
6  3.3  3.45202
6  3.5  2.7359
6  3.7  2.19165
6  3.9  1.77535
6  4.1  1.45336
6  4.3  1.20077
6  4.5  1.00003
6  4.7  0.839972
6  4.9  0.710269
6  5.1  0.604426
6  5.3  0.517759
6  5.5  0.44569
6  5.7  0.386013
6  5.9  0.335947
6  6.1  0.293586
6  6.3  0.257929
6  6.5  0.227289
6  6.7  0.201223
6  6.9  0.178775
6  7.1  0.159364
6  7.3  0.142512
6  7.5  0.127866
6  7.7  0.114892
6  7.9  0.103686
6  8.1  0.0937488
6  8.3  0.084964
6  8.5  0.0771468
6  8.7  0.0702819
6  8.9  0.0640955
6  9.1  0.0586228
6  9.3  0.0537067
