# fragmentation : HymnD (inputs/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=4*mt0=6.01332)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1535
0  0.3  719.378
0  0.5  428.122
0  0.7  272.208
0  0.9  178.281
0  1.1  118.99
0  1.3  80.615
0  1.5  55.2919
0  1.7  38.4274
0  1.9  27.0242
0  2.1  19.2558
0  2.3  13.8794
0  2.5  10.1249
0  2.7  7.46953
0  2.9  5.56979
0  3.1  4.19487
0  3.3  3.19235
0  3.5  2.45231
0  3.7  1.89984
0  3.9  1.48509
0  4.1  1.16959
0  4.3  0.928044
0  4.5  0.741455
0  4.7  0.59632
0  4.9  0.482754
0  5.1  0.393024
0  5.3  0.322028
0  5.5  0.264723
0  5.7  0.218897
0  5.9  0.181952
0  6.1  0.151951
0  6.3  0.127388
0  6.5  0.107201
0  6.7  0.0905636
0  6.9  0.0767778
0  7.1  0.0652396
0  7.3  0.0557621
0  7.5  0.0477683
0  7.7  0.0409924
0  7.9  0.0353505
0  8.1  0.0305073
0  8.3  0.0264587
0  8.5  0.022976
0  8.7  0.0199981
0  8.9  0.0174534
0  9.1  0.0152669
0  9.3  0.0133642
0  9.5  0.0117535
0  9.7  0.0103411
0  9.9  0.00911233
0  10.1  0.00805227
0  10.3  0.00713101
0  10.5  0.00631968
0  10.7  0.00560787
0  10.9  0.00498968
0  11.1  0.00444991
0  11.3  0.00397096
0  11.5  0.00354889
0  11.7  0.0031765
0  11.9  0.00284676
2  0.1  1533.63
2  0.3  718.712
2  0.5  427.717
2  0.7  271.943
2  0.9  178.101
2  1.1  118.863
2  1.3  80.5249
2  1.5  55.2274
2  1.7  38.3806
2  1.9  26.9902
2  2.1  19.2307
2  2.3  13.8609
2  2.5  10.1111
2  2.7  7.45909
2  2.9  5.56187
2  3.1  4.18878
2  3.3  3.18767
2  3.5  2.44866
2  3.7  1.897
2  3.9  1.48285
2  4.1  1.16781
2  4.3  0.926607
2  4.5  0.740299
2  4.7  0.595386
2  4.9  0.482
2  5.1  0.39241
2  5.3  0.321522
2  5.5  0.264302
2  5.7  0.218547
2  5.9  0.181657
2  6.1  0.151701
2  6.3  0.127181
2  6.5  0.107022
2  6.7  0.0904131
2  6.9  0.0766486
2  7.1  0.0651299
2  7.3  0.0556687
2  7.5  0.0476895
