pT,label,z,D
3,IC (μ=mc),0.05,0.0193801
3,IC (μ=mc),0.0547739,0.021326
3,IC (μ=mc),0.0595477,0.0232913
3,IC (μ=mc),0.0643216,0.0252766
3,IC (μ=mc),0.0690955,0.0272827
3,IC (μ=mc),0.0738693,0.0293103
3,IC (μ=mc),0.0786432,0.0313602
3,IC (μ=mc),0.0834171,0.0334331
3,IC (μ=mc),0.0881909,0.03553
3,IC (μ=mc),0.0929648,0.0376516
3,IC (μ=mc),0.0977386,0.0397989
3,IC (μ=mc),0.102513,0.0419727
3,IC (μ=mc),0.107286,0.044174
3,IC (μ=mc),0.11206,0.0464037
3,IC (μ=mc),0.116834,0.0486628
3,IC (μ=mc),0.121608,0.0509524
3,IC (μ=mc),0.126382,0.0532735
3,IC (μ=mc),0.131156,0.0556271
3,IC (μ=mc),0.13593,0.0580145
3,IC (μ=mc),0.140703,0.0604368
3,IC (μ=mc),0.145477,0.0628951
3,IC (μ=mc),0.150251,0.0653908
3,IC (μ=mc),0.155025,0.067925
3,IC (μ=mc),0.159799,0.0704991
3,IC (μ=mc),0.164573,0.0731145
3,IC (μ=mc),0.169347,0.0757726
3,IC (μ=mc),0.17412,0.0784748
3,IC (μ=mc),0.178894,0.0812226
3,IC (μ=mc),0.183668,0.0840176
3,IC (μ=mc),0.188442,0.0868614
3,IC (μ=mc),0.193216,0.0897556
3,IC (μ=mc),0.19799,0.0927019
3,IC (μ=mc),0.202764,0.0957021
3,IC (μ=mc),0.207538,0.0987581
3,IC (μ=mc),0.212311,0.101872
3,IC (μ=mc),0.217085,0.105045
3,IC (μ=mc),0.221859,0.108279
3,IC (μ=mc),0.226633,0.111578
3,IC (μ=mc),0.231407,0.114942
3,IC (μ=mc),0.236181,0.118374
3,IC (μ=mc),0.240955,0.121877
3,IC (μ=mc),0.245728,0.125452
3,IC (μ=mc),0.250502,0.129103
3,IC (μ=mc),0.255276,0.132831
3,IC (μ=mc),0.26005,0.13664
3,IC (μ=mc),0.264824,0.140532
3,IC (μ=mc),0.269598,0.144509
3,IC (μ=mc),0.274372,0.148576
3,IC (μ=mc),0.279145,0.152735
3,IC (μ=mc),0.283919,0.156989
3,IC (μ=mc),0.288693,0.161341
3,IC (μ=mc),0.293467,0.165795
3,IC (μ=mc),0.298241,0.170355
3,IC (μ=mc),0.303015,0.175023
3,IC (μ=mc),0.307789,0.179804
3,IC (μ=mc),0.312563,0.184701
3,IC (μ=mc),0.317336,0.189719
3,IC (μ=mc),0.32211,0.194862
3,IC (μ=mc),0.326884,0.200134
3,IC (μ=mc),0.331658,0.20554
3,IC (μ=mc),0.336432,0.211084
3,IC (μ=mc),0.341206,0.216771
3,IC (μ=mc),0.34598,0.222606
3,IC (μ=mc),0.350753,0.228595
3,IC (μ=mc),0.355527,0.234743
3,IC (μ=mc),0.360301,0.241055
3,IC (μ=mc),0.365075,0.247538
3,IC (μ=mc),0.369849,0.254198
3,IC (μ=mc),0.374623,0.26104
3,IC (μ=mc),0.379397,0.268072
3,IC (μ=mc),0.384171,0.275299
3,IC (μ=mc),0.388944,0.282731
