pT,label,z,D
3,IC (μ=mc),0.05,0.0380221
3,IC (μ=mc),0.0547739,0.0420242
3,IC (μ=mc),0.0595477,0.0460962
3,IC (μ=mc),0.0643216,0.0502391
3,IC (μ=mc),0.0690955,0.0544543
3,IC (μ=mc),0.0738693,0.058743
3,IC (μ=mc),0.0786432,0.0631067
3,IC (μ=mc),0.0834171,0.0675466
3,IC (μ=mc),0.0881909,0.0720641
3,IC (μ=mc),0.0929648,0.0766607
3,IC (μ=mc),0.0977386,0.0813377
3,IC (μ=mc),0.102513,0.0860965
3,IC (μ=mc),0.107286,0.0909388
3,IC (μ=mc),0.11206,0.0958659
3,IC (μ=mc),0.116834,0.100879
3,IC (μ=mc),0.121608,0.105981
3,IC (μ=mc),0.126382,0.111172
3,IC (μ=mc),0.131156,0.116454
3,IC (μ=mc),0.13593,0.121828
3,IC (μ=mc),0.140703,0.127298
3,IC (μ=mc),0.145477,0.132863
3,IC (μ=mc),0.150251,0.138526
3,IC (μ=mc),0.155025,0.144288
3,IC (μ=mc),0.159799,0.150152
3,IC (μ=mc),0.164573,0.156119
3,IC (μ=mc),0.169347,0.162191
3,IC (μ=mc),0.17412,0.16837
3,IC (μ=mc),0.178894,0.174657
3,IC (μ=mc),0.183668,0.181055
3,IC (μ=mc),0.188442,0.187566
3,IC (μ=mc),0.193216,0.194191
3,IC (μ=mc),0.19799,0.200933
3,IC (μ=mc),0.202764,0.207793
3,IC (μ=mc),0.207538,0.214773
3,IC (μ=mc),0.212311,0.221877
3,IC (μ=mc),0.217085,0.229105
3,IC (μ=mc),0.221859,0.23646
3,IC (μ=mc),0.226633,0.243944
3,IC (μ=mc),0.231407,0.251559
3,IC (μ=mc),0.236181,0.259308
3,IC (μ=mc),0.240955,0.267192
3,IC (μ=mc),0.245728,0.275215
3,IC (μ=mc),0.250502,0.283377
3,IC (μ=mc),0.255276,0.291683
3,IC (μ=mc),0.26005,0.300133
3,IC (μ=mc),0.264824,0.30873
3,IC (μ=mc),0.269598,0.317477
3,IC (μ=mc),0.274372,0.326376
3,IC (μ=mc),0.279145,0.33543
3,IC (μ=mc),0.283919,0.34464
3,IC (μ=mc),0.288693,0.35401
3,IC (μ=mc),0.293467,0.363541
3,IC (μ=mc),0.298241,0.373236
3,IC (μ=mc),0.303015,0.383098
3,IC (μ=mc),0.307789,0.393129
3,IC (μ=mc),0.312563,0.403331
3,IC (μ=mc),0.317336,0.413708
3,IC (μ=mc),0.32211,0.42426
3,IC (μ=mc),0.326884,0.434992
3,IC (μ=mc),0.331658,0.445905
3,IC (μ=mc),0.336432,0.457001
3,IC (μ=mc),0.341206,0.468283
3,IC (μ=mc),0.34598,0.479754
3,IC (μ=mc),0.350753,0.491415
3,IC (μ=mc),0.355527,0.50327
3,IC (μ=mc),0.360301,0.515319
3,IC (μ=mc),0.365075,0.527566
3,IC (μ=mc),0.369849,0.540012
3,IC (μ=mc),0.374623,0.55266
3,IC (μ=mc),0.379397,0.565511
3,IC (μ=mc),0.384171,0.578567
3,IC (μ=mc),0.388944,0.591831
3,IC (μ=mc),0.393718,0.605304
3,IC (μ=mc),0.398492,0.618987
3,IC (μ=mc),0.403266,0.632882
3,IC (μ=mc),0.40804,0.64699
3,IC (μ=mc),0.412814,0.661313
3,IC (μ=mc),0.417588,0.675851
3,IC (μ=mc),0.422361,0.690606
3,IC (μ=mc),0.427135,0.705578
3,IC (μ=mc),0.431909,0.720767
3,IC (μ=mc),0.436683,0.736174
3,IC (μ=mc),0.441457,0.751799
3,IC (μ=mc),0.446231,0.767642
3,IC (μ=mc),0.451005,0.783701
3,IC (μ=mc),0.455778,0.799977
3,IC (μ=mc),0.460552,0.816468
3,IC (μ=mc),0.465326,0.833173
3,IC (μ=mc),0.4701,0.850089
3,IC (μ=mc),0.474874,0.867215
3,IC (μ=mc),0.479648,0.884548
