# fragmentation : Kniehl & Kramer, evolved (scale=0.25*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  822.82
0  0.3  521.714
0  0.5  346.971
0  0.7  234.329
0  0.9  160.006
0  1.1  110.443
0  1.3  76.9972
0  1.5  54.2064
0  1.7  38.5374
0  1.9  27.6358
0  2.1  20.0196
0  2.3  14.6393
0  2.5  10.8095
0  2.7  8.05513
0  2.9  6.05677
0  3.1  4.5948
0  3.3  3.51471
0  3.5  2.71138
0  3.7  2.10767
0  3.9  1.65101
0  4.1  1.30228
0  4.3  1.03431
0  4.5  0.826748
0  4.7  0.664796
0  4.9  0.537645
0  5.1  0.437201
0  5.3  0.357442
0  5.5  0.293632
0  5.7  0.242302
0  5.9  0.199804
0  6.1  0.164604
0  6.3  0.13604
0  6.5  0.112907
0  6.7  0.0940938
0  6.9  0.0786172
0  7.1  0.0660475
0  7.3  0.0556162
0  7.5  0.0469761
0  7.7  0.0398061
0  7.9  0.0338252
0  8.1  0.0288014
0  8.3  0.0246489
0  8.5  0.0211187
0  8.7  0.0181228
0  8.9  0.0156209
0  9.1  0.0134776
0  9.3  0.0116578
0  9.5  0.0101012
0  9.7  0.00877405
0  9.9  0.0076366
0  10.1  0.00666071
0  10.3  0.00581997
0  10.5  0.00509443
0  10.7  0.00446619
0  10.9  0.00392088
0  11.1  0.00344897
0  11.3  0.0030377
0  11.5  0.00267982
0  11.7  0.00236693
0  11.9  0.00209407
2  0.1  822.125
2  0.3  521.267
2  0.5  346.668
2  0.7  234.119
2  0.9  159.856
2  1.1  110.336
2  1.3  76.919
2  1.5  54.149
2  1.7  38.4947
2  1.9  27.6038
2  2.1  19.9956
2  2.3  14.6211
2  2.5  10.7959
2  2.7  8.04461
2  2.9  6.0487
2  3.1  4.58855
2  3.3  3.50985
2  3.5  2.70758
2  3.7  2.10469
2  3.9  1.64864
2  4.1  1.30039
2  4.3  1.0328
2  4.5  0.825529
2  4.7  0.663812
2  4.9  0.536839
2  5.1  0.43654
2  5.3  0.356899
2  5.5  0.293181
2  5.7  0.241929
2  5.9  0.199493
2  6.1  0.164347
