# fragmentation : Kniehl & Kramer, evolved (scale=0.5*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1206.44
0  0.3  797.628
0  0.5  554.123
0  0.7  391.352
0  0.9  279.305
0  1.1  200.712
0  1.3  145.106
0  1.5  105.509
0  1.7  77.3136
0  1.9  57.0014
0  2.1  42.3846
0  2.3  31.7982
0  2.5  24.0846
0  2.7  18.2933
0  2.9  13.9593
0  3.1  10.7504
0  3.3  8.35905
0  3.5  6.56454
0  3.7  5.20144
0  3.9  4.15694
0  4.1  3.34821
0  4.3  2.71895
0  4.5  2.22364
0  4.7  1.83181
0  4.9  1.51791
0  5.1  1.26544
0  5.3  1.06162
0  5.5  0.895361
0  5.7  0.759195
0  5.9  0.646278
0  6.1  0.553015
0  6.3  0.475343
0  6.5  0.410141
0  6.7  0.355131
0  6.9  0.309059
0  7.1  0.269474
0  7.3  0.235886
0  7.5  0.207118
0  7.7  0.182218
0  7.9  0.16092
0  8.1  0.14254
0  8.3  0.12672
0  8.5  0.112813
0  8.7  0.100671
0  8.9  0.0900488
0  9.1  0.080765
0  9.3  0.0725038
0  9.5  0.0653049
0  9.7  0.0588836
0  9.9  0.0532379
0  10.1  0.0481961
0  10.3  0.0437357
0  10.5  0.0397378
0  10.7  0.0361685
0  10.9  0.0329634
0  11.1  0.0300869
0  11.3  0.0274888
0  11.5  0.0251557
0  11.7  0.0230416
0  11.9  0.0212139
2  0.1  1205.05
2  0.3  796.747
2  0.5  553.463
2  0.7  390.87
2  0.9  278.89
2  1.1  200.443
2  1.3  144.901
2  1.5  105.355
2  1.7  77.1943
2  1.9  56.91
2  2.1  42.3149
2  2.3  31.7444
2  2.5  24.0432
2  2.7  18.2616
2  2.9  13.9346
2  3.1  10.7312
2  3.3  8.344
2  3.5  6.55267
2  3.7  5.19199
2  3.9  4.14938
2  4.1  3.34212
2  4.3  2.71393
2  4.5  2.2201
2  4.7  1.82842
2  4.9  1.51513
2  5.1  1.2631
2  5.3  1.05954
2  5.5  0.893888
2  5.7  0.757774
2  5.9  0.645084
2  6.1  0.55209
2  6.3  0.474419
2  6.5  0.409364
2  6.7  0.354471
2  6.9  0.308287
2  7.1  0.26899
2  7.3  0.235508
2  7.5  0.206709
2  7.7  0.182001
2  7.9  0.160603
2  8.1  0.142388
2  8.3  0.126518
2  8.5  0.1126
2  8.7  0.100486
2  8.9  0.0898814
2  9.1  0.080626
2  9.3  0.0723556
2  9.5  0.0651379
2  9.7  0.0586751
2  9.9  0.053137
2  10.1  0.0481053
2  10.3  0.0436542
2  10.5  0.0396405
2  10.7  0.0361008
2  10.9  0.0328996
2  11.1  0.0300226
2  11.3  0.0274403
2  11.5  0.0251041
2  11.7  0.0229953
2  11.9  0.0211721
4  0.1  1200.54
4  0.3  793.94
4  0.5  551.476
4  0.7  389.415
4  0.9  277.819
4  1.1  199.645
4  1.3  144.286
4  1.5  104.889
4  1.7  76.8348
4  1.9  56.6369
4  2.1  42.1072
4  2.3  31.5827
4  2.5  23.9198
4  2.7  18.1657
4  2.9  13.8596
4  3.1  10.6735
4  3.3  8.29978
4  3.5  6.51689
4  3.7  5.16302
4  3.9  4.12613
4  4.1  3.32418
4  4.3  2.69897
4  4.5  2.20773
4  4.7  1.81821
4  4.9  1.50666
4  5.1  1.256
4  5.3  1.0539
4  5.5  0.888557
4  5.7  0.753551
4  5.9  0.641763
4  6.1  0.549032
4  6.3  0.471737
4  6.5  0.406994
4  6.7  0.352596
4  6.9  0.306749
4  7.1  0.267426
4  7.3  0.234152
4  7.5  0.205529
4  7.7  0.18095
4  7.9  0.159694
4  8.1  0.141571
4  8.3  0.125782
4  8.5  0.111959
4  8.7  0.0999111
4  8.9  0.0893543
4  9.1  0.0801212
4  9.3  0.0719613
4  9.5  0.0647917
4  9.7  0.0584339
4  9.9  0.0528266
4  10.1  0.0478252
4  10.3  0.0433858
4  10.5  0.0394233
4  10.7  0.0358916
4  10.9  0.0327115
4  11.1  0.0298614
4  11.3  0.0272923
4  11.5  0.0249635
4  11.7  0.0228683
4  11.9  0.0210173
6  0.1  1193.65
6  0.3  789.358
6  0.5  548.136
6  0.7  386.961
6  0.9  275.993
6  1.1  198.277
6  1.3  143.242
6  1.5  104.091
6  1.7  76.2289
6  1.9  56.1714
6  2.1  41.7479
6  2.3  31.31
6  2.5  23.7093
6  2.7  18.0026
6  2.9  13.7356
6  3.1  10.5762
6  3.3  8.22276
6  3.5  6.45684
6  3.7  5.11551
6  3.9  4.08803
6  4.1  3.29238
6  4.3  2.67358
6  4.5  2.18645
6  4.7  1.80115
6  4.9  1.49251
6  5.1  1.24417
6  5.3  1.04367
6  5.5  0.880329
6  5.7  0.746385
6  5.9  0.635401
6  6.1  0.543694
6  6.3  0.467221
6  6.5  0.403104
6  6.7  0.349239
6  6.9  0.303732
6  7.1  0.265056
6  7.3  0.231876
6  7.5  0.20358
6  7.7  0.179211
6  7.9  0.158245
6  8.1  0.140095
6  8.3  0.124556
6  8.5  0.110917
6  8.7  0.0990151
6  8.9  0.0884891
6  9.1  0.0793907
6  9.3  0.0712312
6  9.5  0.0641783
6  9.7  0.05784
6  9.9  0.0523035
6  10.1  0.0473762
6  10.3  0.0429532
6  10.5  0.0390611
6  10.7  0.0355414
6  10.9  0.0323957
6  11.1  0.0295671
6  11.3  0.0270129
6  11.5  0.0247284
6  11.7  0.0226525
6  11.9  0.0208118
8  0.1  1183.85
8  0.3  782.659
8  0.5  543.356
8  0.7  383.556
8  0.9  273.434
8  1.1  196.231
8  1.3  141.756
8  1.5  102.962
8  1.7  75.3639
8  1.9  55.5121
8  2.1  41.245
8  2.3  30.9228
8  2.5  23.4107
8  2.7  17.7829
8  2.9  13.5568
8  3.1  10.4384
8  3.3  8.1154
8  3.5  6.37067
8  3.7  5.04796
8  3.9  4.03381
8  4.1  3.2489
8  4.3  2.63828
8  4.5  2.15742
8  4.7  1.77653
8  4.9  1.47226
8  5.1  1.22738
8  5.3  1.02949
8  5.5  0.868324
8  5.7  0.735828
8  5.9  0.626824
8  6.1  0.53634
8  6.3  0.460722
8  6.5  0.397244
