# fragmentation : Kniehl & Kramer, evolved (scale=0.5*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1218.04
0  0.3  799.515
0  0.5  550.682
0  0.7  386.547
0  0.9  274.616
0  1.1  197.093
0  1.3  142.75
0  1.5  104.257
0  1.7  76.7794
0  1.9  57.0083
0  2.1  42.6985
0  2.3  32.2591
0  2.5  24.5995
0  2.7  18.7945
0  2.9  14.4025
0  3.1  11.1315
0  3.3  8.67705
0  3.5  6.82005
0  3.7  5.40457
0  3.9  4.31588
0  4.1  3.47169
0  4.3  2.81176
0  4.5  2.29196
0  4.7  1.88012
0  4.9  1.55166
0  5.1  1.28721
0  5.3  1.07424
0  5.5  0.900529
0  5.7  0.758115
0  5.9  0.641351
0  6.1  0.545139
0  6.3  0.465327
0  6.5  0.398554
0  6.7  0.342559
0  6.9  0.295478
0  7.1  0.255723
0  7.3  0.222094
0  7.5  0.193451
0  7.7  0.16889
0  7.9  0.14797
0  8.1  0.129949
0  8.3  0.114421
0  8.5  0.100974
0  8.7  0.0892743
0  8.9  0.0791783
0  9.1  0.0703615
0  9.3  0.0626457
0  9.5  0.0558933
0  9.7  0.0499586
0  9.9  0.0447482
0  10.1  0.0401433
0  10.3  0.036076
0  10.5  0.0324745
0  10.7  0.0292779
0  10.9  0.0264346
0  11.1  0.0239131
0  11.3  0.0216793
0  11.5  0.0196647
0  11.7  0.0178622
0  11.9  0.0162494
2  0.1  1216.85
2  0.3  798.719
2  0.5  550.124
2  0.7  386.142
2  0.9  274.317
2  1.1  196.869
2  1.3  142.58
2  1.5  104.126
2  1.7  76.6795
2  1.9  56.931
2  2.1  42.6385
2  2.3  32.2123
2  2.5  24.5632
2  2.7  18.7662
2  2.9  14.3804
2  3.1  11.1143
2  3.3  8.66341
2  3.5  6.8092
2  3.7  5.39592
2  3.9  4.30887
2  4.1  3.46599
2  4.3  2.80714
2  4.5  2.28819
2  4.7  1.87701
2  4.9  1.54911
2  5.1  1.28505
2  5.3  1.07244
2  5.5  0.899026
2  5.7  0.756826
2  5.9  0.640272
2  6.1  0.544198
2  6.3  0.46452
2  6.5  0.397869
2  6.7  0.341983
2  6.9  0.294982
2  7.1  0.25529
2  7.3  0.221707
2  7.5  0.193115
2  7.7  0.168596
2  7.9  0.147707
2  8.1  0.129727
2  8.3  0.114225
2  8.5  0.100789
2  8.7  0.0891353
2  8.9  0.0790381
2  9.1  0.0702418
2  9.3  0.0625414
2  9.5  0.0558142
2  9.7  0.0498737
2  9.9  0.0446696
2  10.1  0.0400713
2  10.3  0.0360125
2  10.5  0.0324167
2  10.7  0.0292251
2  10.9  0.0263867
2  11.1  0.0238694
2  11.3  0.0216428
2  11.5  0.0196308
2  11.7  0.0178296
2  11.9  0.0162187
4  0.1  1217.12
4  0.3  799.313
4  0.5  550.682
4  0.7  386.457
4  0.9  274.78
4  1.1  197.078
4  1.3  142.311
4  1.5  103.746
4  1.7  76.379
4  1.9  56.7024
4  2.1  42.4584
4  2.3  32.0721
4  2.5  24.4541
4  2.7  18.681
4  2.9  14.314
4  3.1  11.0622
4  3.3  8.62224
4  3.5  6.77651
4  3.7  5.36969
4  3.9  4.28781
4  4.1  3.44894
4  4.3  2.79328
4  4.5  2.27679
4  4.7  1.86765
4  4.9  1.54134
4  5.1  1.27859
4  5.3  1.06703
4  5.5  0.894143
4  5.7  0.752856
4  5.9  0.636985
4  6.1  0.541416
4  6.3  0.461967
4  6.5  0.395812
4  6.7  0.3401
4  6.9  0.293459
4  7.1  0.253983
4  7.3  0.220551
4  7.5  0.192119
4  7.7  0.167798
4  7.9  0.146981
4  8.1  0.129036
4  8.3  0.113605
4  8.5  0.100256
4  8.7  0.0886692
4  8.9  0.0786112
4  9.1  0.0698687
4  9.3  0.0622121
4  9.5  0.0555091
4  9.7  0.0496053
4  9.9  0.0444283
4  10.1  0.0398588
4  10.3  0.0358192
4  10.5  0.032243
4  10.7  0.0290729
4  10.9  0.0262602
4  11.1  0.0237585
4  11.3  0.0215169
4  11.5  0.0195194
4  11.7  0.0177371
4  11.9  0.016132
6  0.1  1207.19
6  0.3  792.271
6  0.5  545.581
6  0.7  382.867
6  0.9  271.888
6  1.1  195.047
6  1.3  141.197
6  1.5  103.073
6  1.7  75.8672
6  1.9  56.3091
6  2.1  42.1545
6  2.3  31.8365
6  2.5  24.2697
6  2.7  18.5372
6  2.9  14.2019
6  3.1  10.9742
6  3.3  8.5528
6  3.5  6.72137
6  3.7  5.32557
6  3.9  4.25231
6  4.1  3.42019
6  4.3  2.76981
6  4.5  2.25757
6  4.7  1.85176
6  4.9  1.52826
6  5.1  1.26767
6  5.3  1.05784
6  5.5  0.886742
6  5.7  0.746467
6  5.9  0.63147
6  6.1  0.536684
6  6.3  0.458099
6  6.5  0.392345
6  6.7  0.337227
6  6.9  0.290862
6  7.1  0.25172
6  7.3  0.218625
6  7.5  0.190415
6  7.7  0.166256
6  7.9  0.145637
6  8.1  0.127908
6  8.3  0.112625
6  8.5  0.0993754
6  8.7  0.0878577
6  8.9  0.0779067
6  9.1  0.0692086
6  9.3  0.0616483
6  9.5  0.0549969
6  9.7  0.0491603
6  9.9  0.0440275
6  10.1  0.0395005
6  10.3  0.0354987
6  10.5  0.0319547
6  10.7  0.0288062
6  10.9  0.0260074
6  11.1  0.0235259
6  11.3  0.0213247
6  11.5  0.0193388
6  11.7  0.0175711
6  11.9  0.0159828
8  0.1  1198.57
8  0.3  786.526
8  0.5  541.504
8  0.7  379.923
8  0.9  269.709
8  1.1  193.419
8  1.3  139.96
8  1.5  102.128
8  1.7  75.1412
8  1.9  55.7495
8  2.1  41.7223
8  2.3  31.5006
8  2.5  24.0079
8  2.7  18.3331
8  2.9  14.0429
8  3.1  10.8496
8  3.3  8.45455
8  3.5  6.64334
8  3.7  5.26324
8  3.9  4.20207
8  4.1  3.37945
8  4.3  2.73659
8  4.5  2.23036
8  4.7  1.82933
8  4.9  1.5096
8  5.1  1.25211
8  5.3  1.04485
8  5.5  0.875476
8  5.7  0.737268
8  5.9  0.623648
8  6.1  0.530033
8  6.3  0.452227
8  6.5  0.387427
8  6.7  0.33298
8  6.9  0.287202
8  7.1  0.248559
8  7.3  0.215835
8  7.5  0.188005
8  7.7  0.164211
8  7.9  0.14378
8  8.1  0.126252
8  8.3  0.111189
8  8.5  0.0981151
8  8.7  0.0867316
8  8.9  0.0769049
8  9.1  0.0683498
8  9.3  0.0608553
8  9.5  0.0542946
8  9.7  0.0485265
8  9.9  0.0434599
8  10.1  0.0389901
8  10.3  0.0350381
8  10.5  0.0315388
8  10.7  0.0284346
8  10.9  0.0256675
8  11.1  0.0232196
8  11.3  0.021039
8  11.5  0.0190907
8  11.7  0.0173378
8  11.9  0.0157745
10  0.1  1192.03
10  0.3  782.338
10  0.5  538.762
10  0.7  377.996
10  0.9  268.508
10  1.1  192.292
10  1.3  138.677
10  1.5  100.889
10  1.7  74.1826
10  1.9  55.0089
10  2.1  41.1524
10  2.3  31.0579
10  2.5  23.6631
10  2.7  18.0645
10  2.9  13.8335
10  3.1  10.6855
10  3.3  8.32511
10  3.5  6.54046
10  3.7  5.18107
10  3.9  4.13603
10  4.1  3.32589
10  4.3  2.69294
10  4.5  2.19461
10  4.7  1.79984
10  4.9  1.48508
10  5.1  1.2317
10  5.3  1.02773
10  5.5  0.861084
10  5.7  0.725152
10  5.9  0.613334
10  6.1  0.52121
10  6.3  0.444692
10  6.5  0.380981
10  6.7  0.327437
10  6.9  0.282404
10  7.1  0.244396
10  7.3  0.212238
10  7.5  0.184836
10  7.7  0.161442
10  7.9  0.141358
10  8.1  0.124124
10  8.3  0.109244
10  8.5  0.0964365
10  8.7  0.0852612
10  8.9  0.075591
10  9.1  0.0671801
10  9.3  0.0598047
10  9.5  0.0533571
10  9.7  0.0476934
10  9.9  0.0427132
10  10.1  0.0383222
10  10.3  0.034436
10  10.5  0.0309954
10  10.7  0.0279406
10  10.9  0.0252259
10  11.1  0.0228192
10  11.3  0.0206771
10  11.5  0.0187578
10  11.7  0.0170426
10  11.9  0.0154995
12  0.1  1172.48
12  0.3  769.198
12  0.5  529.27
12  0.7  371.088
12  0.9  263.18
12  1.1  188.535
12  1.3  136.22
12  1.5  99.2984
12  1.7  72.9708
12  1.9  54.0725
12  2.1  40.4333
12  2.3  30.5006
12  2.5  23.2286
12  2.7  17.7262
12  2.9  13.5701
12  3.1  10.4792
12  3.3  8.16235
12  3.5  6.41129
12  3.7  5.07789
12  3.9  4.05305
12  4.1  3.25861
12  4.3  2.63807
12  4.5  2.14968
12  4.7  1.76281
12  4.9  1.45441
12  5.1  1.20617
12  5.3  1.00636
12  5.5  0.843106
12  5.7  0.709869
12  5.9  0.600425
12  6.1  0.510258
