# fragmentation : Kniehl & Kramer, evolved (scale=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -0.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1245.07
0  0.3  825.332
0  0.5  572.46
0  0.7  402.439
0  0.9  285.177
0  1.1  203.102
0  1.3  145.515
0  1.5  104.834
0  1.7  75.9915
0  1.9  55.5575
0  2.1  40.9527
0  2.3  30.4596
0  2.5  22.8719
0  2.7  17.3535
0  2.9  13.2946
0  3.1  10.2831
0  3.3  8.02774
0  3.5  6.32531
0  3.7  5.02651
0  3.9  4.02629
0  4.1  3.24943
0  4.3  2.64252
0  4.5  2.16377
0  4.7  1.78292
0  4.9  1.47753
0  5.1  1.23147
0  5.3  1.03231
0  5.5  0.869969
0  5.7  0.736535
0  5.9  0.626329
0  6.1  0.534918
0  6.3  0.458554
0  6.5  0.394654
0  6.7  0.340998
0  6.9  0.2957
0  7.1  0.257281
0  7.3  0.224614
0  7.5  0.196599
0  7.7  0.172547
0  7.9  0.151911
0  8.1  0.134025
0  8.3  0.118605
0  8.5  0.105212
0  8.7  0.0935375
0  8.9  0.0833491
0  9.1  0.0744507
0  9.3  0.0666247
0  9.5  0.0597159
0  9.7  0.0536361
0  9.9  0.0482857
0  10.1  0.0435266
0  10.3  0.0393156
0  10.5  0.0355556
0  10.7  0.032222
0  10.9  0.0292422
0  11.1  0.0265706
0  11.3  0.024166
0  11.5  0.0220282
0  11.7  0.0200882
0  11.9  0.0183528
2  0.1  1243.77
2  0.3  824.449
2  0.5  571.843
2  0.7  401.993
2  0.9  284.848
2  1.1  202.856
2  1.3  145.33
2  1.5  104.694
2  1.7  75.8856
2  1.9  55.4776
2  2.1  40.8916
2  2.3  30.413
2  2.5  22.8362
2  2.7  17.326
2  2.9  13.2731
2  3.1  10.2664
2  3.3  8.0145
2  3.5  6.31474
2  3.7  5.01806
2  3.9  4.01956
2  4.1  3.24396
2  4.3  2.63802
2  4.5  2.16003
2  4.7  1.7798
2  4.9  1.47448
2  5.1  1.22932
2  5.3  1.03049
2  5.5  0.868501
2  5.7  0.73527
2  5.9  0.625212
2  6.1  0.533976
2  6.3  0.457746
2  6.5  0.393982
2  6.7  0.340392
2  6.9  0.29518
2  7.1  0.256836
2  7.3  0.224222
2  7.5  0.196249
2  7.7  0.172237
2  7.9  0.151639
2  8.1  0.133797
2  8.3  0.118393
2  8.5  0.105024
2  8.7  0.0933728
2  8.9  0.0832017
2  9.1  0.0743139
2  9.3  0.0665006
2  9.5  0.0596066
2  9.7  0.0535398
2  9.9  0.0481731
2  10.1  0.043451
2  10.3  0.0392446
2  10.5  0.0354962
2  10.7  0.0321609
2  10.9  0.0291819
2  11.1  0.0265163
2  11.3  0.0241379
2  11.5  0.0219899
2  11.7  0.0200536
2  11.9  0.0183161
4  0.1  1239.94
4  0.3  821.71
4  0.5  569.988
4  0.7  400.653
4  0.9  283.855
4  1.1  202.113
4  1.3  144.771
4  1.5  104.274
4  1.7  75.5658
4  1.9  55.2364
4  2.1  40.7064
4  2.3  30.2727
4  2.5  22.7287
4  2.7  17.243
4  2.9  13.2087
4  3.1  10.216
4  3.3  7.97468
4  3.5  6.28365
4  3.7  4.99263
4  3.9  3.99869
4  4.1  3.22735
4  4.3  2.62451
4  4.5  2.14893
4  4.7  1.77061
4  4.9  1.46676
4  5.1  1.223
4  5.3  1.02468
4  5.5  0.863864
4  5.7  0.731213
4  5.9  0.622006
4  6.1  0.531081
4  6.3  0.455302
4  6.5  0.391864
4  6.7  0.338524
4  6.9  0.293628
4  7.1  0.255512
4  7.3  0.222981
4  7.5  0.195121
4  7.7  0.171286
4  7.9  0.150746
4  8.1  0.133058
4  8.3  0.117785
4  8.5  0.104463
4  8.7  0.0928782
4  8.9  0.0827568
4  9.1  0.0739126
4  9.3  0.0661227
4  9.5  0.0592824
4  9.7  0.0532533
4  9.9  0.0479317
4  10.1  0.0432239
4  10.3  0.039009
4  10.5  0.0353013
4  10.7  0.0319821
4  10.9  0.0290292
4  11.1  0.0263581
4  11.3  0.0239926
4  11.5  0.0218497
4  11.7  0.0199386
4  11.9  0.0182235
6  0.1  1233.41
6  0.3  817.107
6  0.5  566.851
6  0.7  398.386
6  0.9  282.177
6  1.1  200.892
6  1.3  143.828
6  1.5  103.563
6  1.7  75.0694
6  1.9  54.8277
6  2.1  40.3965
6  2.3  30.036
6  2.5  22.5471
6  2.7  17.103
6  2.9  13.098
6  3.1  10.1308
6  3.3  7.90745
6  3.5  6.22971
6  3.7  4.95042
6  3.9  3.96465
6  4.1  3.19937
6  4.3  2.60166
6  4.5  2.13014
6  4.7  1.75508
6  4.9  1.45389
6  5.1  1.21209
6  5.3  1.016
6  5.5  0.856194
6  5.7  0.724851
6  5.9  0.616367
6  6.1  0.526403
6  6.3  0.451213
6  6.5  0.388366
6  6.7  0.335497
6  6.9  0.291023
6  7.1  0.253138
6  7.3  0.220989
6  7.5  0.19332
6  7.7  0.169656
6  7.9  0.149438
6  8.1  0.131912
6  8.3  0.116687
6  8.5  0.103571
6  8.7  0.0920248
6  8.9  0.0819908
6  9.1  0.0732292
6  9.3  0.0655297
6  9.5  0.0587438
6  9.7  0.0527498
6  9.9  0.0474794
6  10.1  0.0428074
6  10.3  0.0386635
6  10.5  0.0349818
6  10.7  0.0316854
6  10.9  0.0287564
6  11.1  0.026125
6  11.3  0.0237739
6  11.5  0.02165
6  11.7  0.0197542
6  11.9  0.0180606
8  0.1  1223.86
8  0.3  810.777
8  0.5  562.366
8  0.7  395.153
8  0.9  279.786
8  1.1  199.103
8  1.3  142.484
8  1.5  102.552
8  1.7  74.3003
8  1.9  54.2478
8  2.1  39.9544
