# fragmentation : Kniehl & Kramer, evolved (scale=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  878.954
0  0.3  427.246
0  0.5  251.806
0  0.7  156.167
0  0.9  99.1962
0  1.1  64.1101
0  1.3  42.0294
0  1.5  27.9244
0  1.7  18.7634
0  1.9  12.7654
0  2.1  8.78269
0  2.3  6.1167
0  2.5  4.3098
0  2.7  3.06901
0  2.9  2.20886
0  3.1  1.606
0  3.3  1.17962
0  3.5  0.874092
0  3.7  0.65368
0  3.9  0.49286
0  4.1  0.374526
0  4.3  0.286913
0  4.5  0.221229
0  4.7  0.171671
0  4.9  0.134131
0  5.1  0.105401
0  5.3  0.0832991
0  5.5  0.0661818
0  5.7  0.0528425
0  5.9  0.0423952
0  6.1  0.0341781
0  6.3  0.0276677
0  6.5  0.0225117
0  6.7  0.0183514
0  6.9  0.015034
0  7.1  0.0123557
0  7.3  0.0101918
0  7.5  0.00843547
0  7.7  0.00701128
0  7.9  0.00583793
0  8.1  0.00487453
0  8.3  0.00408103
0  8.5  0.00342162
0  8.7  0.00288252
0  8.9  0.00243221
0  9.1  0.00205681
0  9.3  0.00174335
0  9.5  0.00148071
0  9.7  0.00126029
0  9.9  0.00107477
0  10.1  0.000918204
0  10.3  0.000786136
0  10.5  0.000673027
0  10.7  0.00057909
0  10.9  0.000498366
0  11.1  0.000429728
0  11.3  0.000370968
0  11.5  0.000320812
0  11.7  0.000277856
0  11.9  0.000240563
2  0.1  878.243
2  0.3  426.894
2  0.5  251.594
2  0.7  156.032
2  0.9  99.1072
2  1.1  64.05
2  1.3  41.9881
2  1.5  27.8957
2  1.7  18.7432
2  1.9  12.7511
2  2.1  8.77248
2  2.3  6.10937
2  2.5  4.30447
2  2.7  3.06513
2  2.9  2.20601
2  3.1  1.60389
2  3.3  1.17804
2  3.5  0.872904
2  3.7  0.652774
2  3.9  0.49217
2  4.1  0.373995
2  4.3  0.286502
2  4.5  0.220911
2  4.7  0.171421
2  4.9  0.133934
2  5.1  0.105246
2  5.3  0.0831753
2  5.5  0.0660834
2  5.7  0.0527635
2  5.9  0.0423312
2  6.1  0.0341264
2  6.3  0.0276258
2  6.5  0.0224775
2  6.7  0.0183234
2  6.9  0.0150108
2  7.1  0.0123368
2  7.3  0.0101762
2  7.5  0.00842249
2  7.7  0.00700047
2  7.9  0.00582893
2  8.1  0.004867
2  8.3  0.00407469
2  8.5  0.00341632
2  8.7  0.002878
2  8.9  0.00242839
2  9.1  0.00205355
2  9.3  0.00174055
2  9.5  0.00147834
2  9.7  0.00125828
2  9.9  0.00107304
2  10.1  0.000916707
2  10.3  0.000784851
2  10.5  0.000671938
2  10.7  0.000578156
2  10.9  0.000497567
2  11.1  0.00042901
2  11.3  0.00037036
2  11.5  0.000320289
2  11.7  0.000277403
2  11.9  0.000240167
4  0.1  876.082
4  0.3  425.823
4  0.5  250.954
4  0.7  155.62
4  0.9  98.8559
4  1.1  63.8749
4  1.3  41.8732
4  1.5  27.8108
4  1.7  18.674
4  1.9  12.7083
4  2.1  8.74185
4  2.3  6.08727
4  2.5  4.28849
4  2.7  3.05331
4  2.9  2.1975
4  3.1  1.59762
4  3.3  1.17299
4  3.5  0.869302
4  3.7  0.650023
4  3.9  0.490085
4  4.1  0.372426
4  4.3  0.285158
4  4.5  0.219855
4  4.7  0.170684
4  4.9  0.133384
4  5.1  0.1049
4  5.3  0.0828692
4  5.5  0.0658323
4  5.7  0.05257
4  5.9  0.0422044
4  6.1  0.0340486
4  6.3  0.027568
4  6.5  0.0224265
4  6.7  0.0183152
4  6.9  0.0150174
4  7.1  0.0123447
4  7.3  0.0102027
4  7.5  0.00844698
4  7.7  0.00701849
4  7.9  0.00585219
4  8.1  0.00489481
4  8.3  0.00410761
4  8.5  0.00345053
4  8.7  0.00290839
4  8.9  0.00245973
4  9.1  0.0020879
4  9.3  0.00177487
4  9.5  0.00151058
4  9.7  0.00129092
4  9.9  0.00110353
4  10.1  0.000946029
4  10.3  0.000814552
4  10.5  0.000701719
4  10.7  0.00060618
4  10.9  0.000524579
4  11.1  0.000455382
4  11.3  0.000395765
4  11.5  0.000345026
4  11.7  0.000301305
4  11.9  0.000263807
6  0.1  872.469
6  0.3  424.04
6  0.5  249.881
6  0.7  154.935
6  0.9  98.3852
6  1.1  63.5621
6  1.3  41.6626
6  1.5  27.663
6  1.7  18.5797
6  1.9  12.6354
6  2.1  8.69353
6  2.3  6.05002
6  2.5  4.26152
6  2.7  3.03379
6  2.9  2.18295
6  3.1  1.58683
6  3.3  1.16529
6  3.5  0.863313
6  3.7  0.645509
6  3.9  0.486627
6  4.1  0.369738
6  4.3  0.283214
6  4.5  0.218256
6  4.7  0.169419
6  4.9  0.132357
6  5.1  0.104001
6  5.3  0.0821844
6  5.5  0.0652905
6  5.7  0.0521263
6  5.9  0.0418174
6  6.1  0.0337089
6  6.3  0.0272873
6  6.5  0.0222033
6  6.7  0.0181183
6  6.9  0.0148407
6  7.1  0.0121838
6  7.3  0.0100499
6  7.5  0.00831754
6  7.7  0.00691331
6  7.9  0.00575582
6  8.1  0.00480557
6  8.3  0.00402309
6  8.5  0.00337298
6  8.7  0.00284153
6  8.9  0.00239767
6  9.1  0.00202746
6  9.3  0.00171837
6  9.5  0.00145945
6  9.7  0.00124228
6  9.9  0.00105775
6  10.1  0.000905265
6  10.3  0.000774824
6  10.5  0.000664321
6  10.7  0.000569799
6  10.9  0.000491111
6  11.1  0.000422733
6  11.3  0.000365578
6  11.5  0.000316093
6  11.7  0.000273786
6  11.9  0.000237459
8  0.1  867.711
8  0.3  421.469
8  0.5  248.338
8  0.7  153.949
8  0.9  97.7361
8  1.1  63.1303
8  1.3  41.3617
8  1.5  27.4552
8  1.7  18.4331
8  1.9  12.5317
8  2.1  8.61957
8  2.3  5.99692
8  2.5  4.22307
8  2.7  3.00575
8  2.9  2.16232
8  3.1  1.57155
8  3.3  1.15389
8  3.5  0.854742
8  3.7  0.639012
8  3.9  0.481671
8  4.1  0.365931
8  4.3  0.280265
8  4.5  0.215966
8  4.7  0.167628
8  4.9  0.130948
8  5.1  0.102883
8  5.3  0.0812962
8  5.5  0.0645813
8  5.7  0.0515572
8  5.9  0.0413591
8  6.1  0.0333388
8  6.3  0.0269853
8  6.5  0.0219541
8  6.7  0.0178954
8  6.9  0.0146588
8  7.1  0.0120464
8  7.3  0.0099361
8  7.5  0.00822314
8  7.7  0.00683452
8  7.9  0.0056902
8  8.1  0.004751
8  8.3  0.00397686
8  8.5  0.00333433
8  8.7  0.00280874
8  8.9  0.00236986
8  9.1  0.00200405
8  9.3  0.00169846
8  9.5  0.0014425
8  9.7  0.00122777
8  9.9  0.00104703
8  10.1  0.000894532
8  10.3  0.000765729
8  10.5  0.00065652
8  10.7  0.000563992
8  10.9  0.00048537
8  11.1  0.000418479
8  11.3  0.000361247
8  11.5  0.000312386
8  11.7  0.00027053
8  11.9  0.000234218
10  0.1  860.34
10  0.3  418.046
10  0.5  246.287
10  0.7  152.638
10  0.9  96.8936
10  1.1  62.5427
10  1.3  40.9532
10  1.5  27.1792
10  1.7  18.2388
10  1.9  12.3949
10  2.1  8.52223
10  2.3  5.92667
10  2.5  4.17233
10  2.7  2.96861
10  2.9  2.13519
10  3.1  1.55152
10  3.3  1.13858
10  3.5  0.843453
10  3.7  0.630428
10  3.9  0.475138
10  4.1  0.360954
10  4.3  0.276307
10  4.5  0.213032
10  4.7  0.165385
10  4.9  0.129205
