# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.5*mt0=0.751665)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -3.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  0
0  0.3  0
0  0.5  0
0  0.7  0
0  0.9  0
0  1.1  0
0  1.3  0
0  1.5  0
0  1.7  0
0  1.9  0
0  2.1  0
0  2.3  21.6051
0  2.5  15.9008
0  2.7  11.8595
0  2.9  8.9763
0  3.1  6.88883
0  3.3  5.35763
0  3.5  4.21982
0  3.7  3.3623
0  3.9  2.71136
0  4.1  2.20671
0  4.3  1.8143
0  4.5  1.50311
0  4.7  1.25669
0  4.9  1.05794
0  5.1  0.896556
0  5.3  0.764612
0  5.5  0.656067
0  5.7  0.566177
0  5.9  0.490998
0  6.1  0.428091
0  6.3  0.3747
0  6.5  0.329377
0  6.7  0.290718
0  6.9  0.25745
0  7.1  0.229058
0  7.3  0.204262
0  7.5  0.182758
0  7.7  0.163896
0  7.9  0.147581
0  8.1  0.133161
0  8.3  0.120502
0  8.5  0.109219
0  8.7  0.0992351
0  8.9  0.0905251
0  9.1  0.0825234
0  9.3  0.0754846
0  9.5  0.0693067
0  9.7  0.0635066
0  9.9  0.0583977
0  10.1  0.0539142
0  10.3  0.0496634
0  10.5  0.0459936
0  10.7  0.0424837
0  10.9  0.0394445
0  11.1  0.0366201
0  11.3  0.0340404
0  11.5  0.0316792
0  11.7  0.0295198
0  11.9  0.0275377
2  0.1  0
2  0.3  0
2  0.5  0
2  0.7  0
2  0.9  0
2  1.1  0
2  1.3  0
2  1.5  0
2  1.7  0
2  1.9  0
2  2.1  0
2  2.3  21.5615
2  2.5  15.8704
2  2.7  11.8347
2  2.9  8.95791
2  3.1  6.86966
2  3.3  5.34681
2  3.5  4.21135
2  3.7  3.35539
2  3.9  2.70569
2  4.1  2.20247
2  4.3  1.81095
2  4.5  1.50024
2  4.7  1.25416
2  4.9  1.05586
2  5.1  0.894769
2  5.3  0.763089
2  5.5  0.654783
2  5.7  0.565069
2  5.9  0.490082
2  6.1  0.427213
2  6.3  0.373999
2  6.5  0.328721
2  6.7  0.290155
2  6.9  0.256966
2  7.1  0.228612
2  7.3  0.20388
2  7.5  0.182404
2  7.7  0.16358
2  7.9  0.147299
2  8.1  0.132907
2  8.3  0.120264
2  8.5  0.109087
2  8.7  0.0990823
2  8.9  0.0903498
2  9.1  0.0823658
2  9.3  0.0754181
2  9.5  0.0690508
2  9.7  0.0633843
2  9.9  0.0582944
2  10.1  0.0538107
