# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.5*mt0=0.751665)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  0
0  0.3  0
0  0.5  0
0  0.7  0
0  0.9  0
0  1.1  0
0  1.3  0
0  1.5  0
0  1.7  0
0  1.9  0
0  2.1  0
0  2.3  8.00947
0  2.5  5.6817
0  2.7  4.0671
0  2.9  2.93698
0  3.1  2.14041
0  3.3  1.57333
0  3.5  1.16672
0  3.7  0.872358
0  3.9  0.657759
0  4.1  0.499667
0  4.3  0.382274
0  4.5  0.29451
0  4.7  0.228388
0  4.9  0.178299
0  5.1  0.140026
0  5.3  0.110546
0  5.5  0.0877564
0  5.7  0.0700082
0  5.9  0.05612
0  6.1  0.0452174
0  6.3  0.0366007
0  6.5  0.0297146
0  6.7  0.0242571
0  6.9  0.019855
0  7.1  0.016314
0  7.3  0.0134379
0  7.5  0.0111296
0  7.7  0.00923486
0  7.9  0.00767905
0  8.1  0.00641758
0  8.3  0.00537252
0  8.5  0.00450783
0  8.7  0.00379347
0  8.9  0.00319969
0  9.1  0.00270662
0  9.3  0.00229098
0  9.5  0.00194618
0  9.7  0.00165701
0  9.9  0.00141321
0  10.1  0.00120935
0  10.3  0.00103579
0  10.5  0.000888605
0  10.7  0.000763568
0  10.9  0.000657283
0  11.1  0.000566942
0  11.3  0.000489829
0  11.5  0.000423754
0  11.7  0.000367094
0  11.9  0.000318458
2  0.1  0
2  0.3  0
2  0.5  0
2  0.7  0
2  0.9  0
2  1.1  0
2  1.3  0
2  1.5  0
2  1.7  0
2  1.9  0
2  2.1  0
2  2.3  8.00014
2  2.5  5.67484
2  2.7  4.06204
2  2.9  2.93325
2  3.1  2.13763
2  3.3  1.57125
2  3.5  1.16515
2  3.7  0.871163
2  3.9  0.656847
2  4.1  0.498966
2  4.3  0.381731
2  4.5  0.29409
2  4.7  0.228058
2  4.9  0.178039
2  5.1  0.139821
2  5.3  0.110383
2  5.5  0.0876266
2  5.7  0.0699041
2  5.9  0.0560356
2  6.1  0.0451493
2  6.3  0.0365455
2  6.5  0.0296697
2  6.7  0.0242202
2  6.9  0.0198246
2  7.1  0.0162891
2  7.3  0.0134174
2  7.5  0.0111125
2  7.7  0.00922064
2  7.9  0.00766723
2  8.1  0.00640768
2  8.3  0.00536421
2  8.5  0.00450083
2  8.7  0.00378753
2  8.9  0.00319468
2  9.1  0.00270233
2  9.3  0.00228731
2  9.5  0.00194307
2  9.7  0.00165437
