# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -3.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1183.05
0  0.3  670.556
0  0.5  445.49
0  0.7  304.738
0  0.9  209.121
0  1.1  142.994
0  1.3  97.5243
0  1.5  66.5212
0  1.7  45.6013
0  1.9  31.4783
0  2.1  21.9759
0  2.3  15.6937
0  2.5  11.5292
0  2.7  8.61201
0  2.9  6.5334
0  3.1  5.03302
0  3.3  3.92956
0  3.5  3.10856
0  3.7  2.48843
0  3.9  2.01459
0  4.1  1.64686
0  4.3  1.35903
0  4.5  1.13092
0  4.7  0.948963
0  4.9  0.801677
0  5.1  0.681705
0  5.3  0.583523
0  5.5  0.501924
0  5.7  0.434306
0  5.9  0.377782
0  6.1  0.329922
0  6.3  0.289316
0  6.5  0.255055
0  6.7  0.225657
0  6.9  0.200559
0  7.1  0.178407
0  7.3  0.159651
0  7.5  0.142899
0  7.7  0.128433
0  7.9  0.115777
0  8.1  0.104812
0  8.3  0.0948459
0  8.5  0.086102
0  8.7  0.0784952
0  8.9  0.0715885
0  9.1  0.0652912
0  9.3  0.0598988
0  9.5  0.0549279
0  9.7  0.0505196
0  9.9  0.0465114
0  10.1  0.0428739
0  10.3  0.0396265
0  10.5  0.0366255
0  10.7  0.0339595
0  10.9  0.0314909
0  11.1  0.0292542
0  11.3  0.0272281
0  11.5  0.0253629
0  11.7  0.0236551
0  11.9  0.0220497
2  0.1  1181.46
2  0.3  669.662
2  0.5  444.891
2  0.7  304.253
2  0.9  208.797
2  1.1  142.762
2  1.3  97.3548
2  1.5  66.4078
2  1.7  45.5133
2  1.9  31.4159
2  2.1  21.9156
2  2.3  15.6599
2  2.5  11.5035
2  2.7  8.59345
2  2.9  6.51995
2  3.1  5.02258
2  3.3  3.92162
2  3.5  3.10227
2  3.7  2.48341
2  3.9  2.01057
2  4.1  1.64359
2  4.3  1.35632
2  4.5  1.12868
2  4.7  0.946776
2  4.9  0.800113
2  5.1  0.68041
2  5.3  0.582044
2  5.5  0.500955
2  5.7  0.433462
